date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-11,17.2833333333,Los Angeles Lakers,Philadelphia 76ers,2,35-35,-2,two point jumper,False,10,False,False
2006-11-18,29.9166666667,Los Angeles Lakers,Los Angeles Clippers,3,63-52,-13,two point jumper,True,21,False,False
2006-11-03,37.3666666667,Los Angeles Lakers,Phoenix Suns,4,97-84,-15,two point jumper,True,20,False,False
2006-11-06,14.8,Los Angeles Lakers,Denver Nuggets,2,24-36,10,two point jumper,True,20,True,False
2006-11-20,17.4666666667,Los Angeles Lakers,Chicago Bulls,5,82-89,5,two point jumper,True,1,False,False
2006-11-24,4.53333333333,Los Angeles Lakers,Oklahoma City Thunder,1,7-9,0,two point jumper,True,21,False,False
2006-11-29,35.6166666667,Los Angeles Lakers,San Antonio Spurs,3,57-69,-14,two point jumper,False,16,False,False
2006-12-01,13.5166666667,Los Angeles Lakers,Utah Jazz,2,26-21,3,two point jumper,False,21,False,True
2006-12-01,24.0,Los Angeles Lakers,Utah Jazz,2,51-43,5,three point jumper,False,29,False,True
2006-12-01,33.9833333333,Los Angeles Lakers,Utah Jazz,3,72-59,12,free throw,False,15,False,True
2006-12-01,33.9833333333,Los Angeles Lakers,Utah Jazz,3,73-59,13,free throw,False,15,True,True
2006-04-14,29.6,Los Angeles Lakers,Portland Trail Blazers,3,30-44,11,three point jumper,True,23,False,False
2006-04-16,21.45,Los Angeles Lakers,Phoenix Suns,2,36-58,20,two point jumper,True,5,True,False
2006-04-19,15.6833333333,Los Angeles Lakers,New Orleans Pelicans,2,24-40,14,two point jumper,True,17,True,False
2007-02-23,43.9166666667,Los Angeles Lakers,Boston Celtics,4,89-114,23,two point jumper,True,1,True,False
2007-02-23,46.2333333333,Los Angeles Lakers,Boston Celtics,4,92-120,26,layup,True,0,True,False
2007-03-09,28.2833333333,Los Angeles Lakers,Philadelphia 76ers,3,60-63,-5,two point jumper,False,19,False,True
2007-03-09,34.4333333333,Los Angeles Lakers,Philadelphia 76ers,3,75-81,-8,two point jumper,False,21,True,True
2007-02-25,40.95,Los Angeles Lakers,Golden State Warriors,4,92-67,23,two point jumper,False,1,True,False
2007-03-02,9.75,Los Angeles Lakers,Sacramento Kings,1,28-22,-8,two point jumper,True,20,True,False
2007-03-02,14.3166666667,Los Angeles Lakers,Sacramento Kings,2,38-30,-10,layup,True,0,True,False
2007-03-02,15.2666666667,Los Angeles Lakers,Sacramento Kings,2,41-32,-11,two point jumper,True,21,True,False
2007-03-02,17.7,Los Angeles Lakers,Sacramento Kings,2,46-38,-10,two point shot,True,9,True,False
2007-03-02,22.7666666667,Los Angeles Lakers,Sacramento Kings,2,62-46,-18,two point jumper,True,19,True,False
2007-03-02,23.9,Los Angeles Lakers,Sacramento Kings,2,62-48,-16,two point jumper,True,19,True,False
2007-03-02,37.2666666667,Los Angeles Lakers,Sacramento Kings,4,94-78,-18,two point jumper,True,16,False,False
2007-03-06,16.1666666667,Los Angeles Lakers,Minnesota Timberwolves,2,38-29,7,two point jumper,False,22,False,False
2007-03-06,18.0,Los Angeles Lakers,Minnesota Timberwolves,2,42-31,9,two point jumper,False,14,False,False
2007-03-07,17.4166666667,Los Angeles Lakers,Milwaukee Bucks,2,29-34,-7,two point jumper,False,9,False,True
2007-03-07,42.4833333333,Los Angeles Lakers,Milwaukee Bucks,4,73-92,-21,two point jumper,False,16,True,True
2007-03-11,39.4,Los Angeles Lakers,Dallas Mavericks,4,92-58,-36,two point jumper,True,20,False,True
