date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-02-06,12.8666666667,New Orleans Pelicans,Brooklyn Nets,2,25-25,-2,dunk,False,0,True,False
2006-03-12,10.4833333333,New Orleans Pelicans,Brooklyn Nets,1,20-13,-8,free throw,True,15,True,False
2006-03-12,10.4833333333,New Orleans Pelicans,Brooklyn Nets,1,20-14,-7,free throw,True,15,True,False
2006-03-12,30.6666666667,New Orleans Pelicans,Brooklyn Nets,3,60-47,-15,layup,True,0,True,False
2006-03-12,40.0333333333,New Orleans Pelicans,Brooklyn Nets,4,75-65,-12,layup,True,0,True,False
2006-03-12,40.7833333333,New Orleans Pelicans,Brooklyn Nets,4,75-67,-10,two point jumper,True,5,True,False
2006-03-12,46.5333333333,New Orleans Pelicans,Brooklyn Nets,4,85-78,-9,two point jumper,True,15,False,False
2006-01-15,42.6666666667,Toronto Raptors,New York Knicks,4,88-118,28,two point shot,True,9,False,True
2006-01-15,46.1,Toronto Raptors,New York Knicks,4,98-124,24,dunk,True,0,True,True
2006-02-10,8.01666666667,New Orleans Pelicans,New York Knicks,1,17-19,0,dunk,True,0,True,True
2006-02-10,15.0,New Orleans Pelicans,New York Knicks,2,36-27,-11,layup,True,0,False,True
2006-02-10,32.95,New Orleans Pelicans,New York Knicks,3,76-81,3,dunk,True,0,True,True
2006-02-10,33.75,New Orleans Pelicans,New York Knicks,3,78-83,3,dunk,True,0,True,True
2006-02-10,33.75,New Orleans Pelicans,New York Knicks,3,78-83,4,free throw,True,15,False,True
2006-02-10,35.2833333333,New Orleans Pelicans,New York Knicks,3,78-85,5,two point jumper,True,13,False,True
2006-11-07,29.7833333333,Toronto Raptors,Cleveland Cavaliers,3,61-51,-12,two point shot,True,8,True,True
2006-11-07,31.1333333333,Toronto Raptors,Cleveland Cavaliers,3,63-52,-12,free throw,True,15,True,True
2006-11-07,31.1333333333,Toronto Raptors,Cleveland Cavaliers,3,63-52,-12,free throw,True,15,False,True
2006-11-07,32.2166666667,Toronto Raptors,Cleveland Cavaliers,3,65-56,-11,two point shot,True,3,True,True
2006-11-07,34.1333333333,Toronto Raptors,Cleveland Cavaliers,3,69-60,-11,two point shot,True,7,False,True
2006-11-11,5.25,Toronto Raptors,Utah Jazz,1,8-13,3,layup,True,0,True,False
2006-11-11,25.4666666667,Toronto Raptors,Utah Jazz,3,45-35,-12,two point jumper,True,11,False,False
2006-11-13,3.83333333333,Toronto Raptors,Oklahoma City Thunder,1,11-4,-9,layup,True,0,False,False
2006-11-13,4.81666666667,Toronto Raptors,Oklahoma City Thunder,1,15-6,-11,two point jumper,True,16,False,False
2006-11-13,25.15,Toronto Raptors,Oklahoma City Thunder,3,60-56,-6,tip shot,True,0,False,False
2006-11-13,27.15,Toronto Raptors,Oklahoma City Thunder,3,64-61,-5,two point shot,True,1,True,False
2006-12-14,16.3166666667,Toronto Raptors,Chicago Bulls,2,29-37,7,free throw,True,15,True,True
2006-12-14,16.3166666667,Toronto Raptors,Chicago Bulls,2,29-38,8,free throw,True,15,True,True
2006-12-14,18.1333333333,Toronto Raptors,Chicago Bulls,2,34-42,7,free throw,True,15,True,True
2006-12-14,18.1333333333,Toronto Raptors,Chicago Bulls,2,34-43,8,free throw,True,15,True,True
2006-12-19,9.03333333333,Toronto Raptors,Orlando Magic,1,11-23,-14,two point jumper,False,4,False,True
2006-12-19,10.8833333333,Toronto Raptors,Orlando Magic,1,17-25,-10,dunk,False,0,True,True
2006-12-19,12.0,Toronto Raptors,Orlando Magic,1,19-27,-10,two point shot,False,15,False,True
2006-12-19,12.6333333333,Toronto Raptors,Orlando Magic,2,21-29,-10,layup,False,0,True,True
2006-12-19,29.9833333333,Toronto Raptors,Orlando Magic,3,60-57,1,hook shot,False,11,True,True
2006-12-19,37.05,Toronto Raptors,Orlando Magic,4,74-72,0,layup,False,0,True,True
