date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2008-02-02,9.06666666667,Atlanta Hawks,Brooklyn Nets,1,13-17,2,two point jumper,True,19,False,False
2008-03-19,13.3,Atlanta Hawks,Brooklyn Nets,2,35-39,-6,two point jumper,False,19,False,False
2008-03-19,16.7,Atlanta Hawks,Brooklyn Nets,2,46-44,0,two point jumper,False,21,True,False
2008-03-19,38.6333333333,Atlanta Hawks,Brooklyn Nets,4,94-99,-7,dunk,False,0,True,False
2008-03-16,10.35,Atlanta Hawks,New York Knicks,1,18-18,-1,free throw,False,15,True,False
2008-03-16,10.35,Atlanta Hawks,New York Knicks,1,19-18,0,free throw,False,15,True,False
2008-03-16,14.3833333333,Atlanta Hawks,New York Knicks,2,27-24,2,free throw,False,15,False,False
2008-03-16,14.3833333333,Atlanta Hawks,New York Knicks,2,27-24,2,free throw,False,15,False,False
2008-03-16,43.0333333333,Atlanta Hawks,New York Knicks,4,102-91,9,two point jumper,False,17,False,False
2008-03-30,13.8333333333,Atlanta Hawks,New York Knicks,2,27-28,-1,two point jumper,True,22,False,True
2008-12-03,9.48333333333,Atlanta Hawks,Philadelphia 76ers,1,16-12,2,layup,False,0,False,True
2008-12-03,30.7,Atlanta Hawks,Philadelphia 76ers,3,59-54,3,layup,False,0,False,True
2008-12-03,33.3666666667,Atlanta Hawks,Philadelphia 76ers,3,63-56,5,layup,False,0,False,True
2008-12-03,33.6666666667,Atlanta Hawks,Philadelphia 76ers,3,63-58,2,three point jumper,False,28,False,True
2008-12-03,34.5833333333,Atlanta Hawks,Philadelphia 76ers,3,63-59,1,three point jumper,False,25,False,True
2008-12-03,35.4,Atlanta Hawks,Philadelphia 76ers,3,65-60,3,layup,False,0,False,True
2008-12-03,43.4833333333,Atlanta Hawks,Philadelphia 76ers,4,79-70,6,three point jumper,False,26,False,True
2008-12-03,46.8,Atlanta Hawks,Philadelphia 76ers,4,85-74,9,layup,False,0,False,True
2008-02-04,7.38333333333,Atlanta Hawks,Philadelphia 76ers,1,21-8,-16,three point jumper,True,27,False,True
2008-02-04,7.73333333333,Atlanta Hawks,Philadelphia 76ers,1,22-8,-16,layup,True,0,False,True
2008-04-04,11.9833333333,Atlanta Hawks,Philadelphia 76ers,1,28-19,-12,three point jumper,True,26,False,False
2008-04-04,13.5666666667,Atlanta Hawks,Philadelphia 76ers,2,30-23,-9,two point jumper,True,1,False,False
2008-04-04,32.0166666667,Atlanta Hawks,Philadelphia 76ers,3,65-65,-2,two point shot,True,1,True,False
2008-12-11,7.23333333333,Atlanta Hawks,Toronto Raptors,1,15-9,-8,two point jumper,True,13,False,True
2008-12-11,10.8333333333,Atlanta Hawks,Toronto Raptors,1,19-19,-2,layup,True,0,False,True
2008-12-11,19.2833333333,Atlanta Hawks,Toronto Raptors,2,38-37,-3,two point jumper,True,12,False,True
2008-12-11,36.0,Atlanta Hawks,Toronto Raptors,3,69-68,-3,two point jumper,True,16,True,True
2008-12-11,36.6333333333,Atlanta Hawks,Toronto Raptors,4,71-68,-6,three point jumper,True,24,False,True
2008-01-18,10.4333333333,Atlanta Hawks,Toronto Raptors,1,17-23,-8,two point jumper,False,19,False,False
2008-01-18,15.3833333333,Atlanta Hawks,Toronto Raptors,2,26-29,-5,two point jumper,False,21,False,False
2008-01-18,23.9833333333,Atlanta Hawks,Toronto Raptors,2,39-44,-7,two point jumper,False,13,False,False
2008-01-30,11.9333333333,Atlanta Hawks,Los Angeles Clippers,1,21-20,-1,two point jumper,False,21,False,False
2008-01-30,45.0666666667,Atlanta Hawks,Los Angeles Clippers,4,79-91,-15,three point jumper,False,23,False,False
2008-01-30,45.7166666667,Atlanta Hawks,Los Angeles Clippers,4,81-91,-12,layup,False,0,True,False
2008-03-14,13.1333333333,Atlanta Hawks,Los Angeles Clippers,2,24-41,15,layup,True,0,True,False
2008-03-14,18.0666666667,Atlanta Hawks,Los Angeles Clippers,2,33-50,15,two point jumper,True,21,False,False
2008-03-14,34.6,Atlanta Hawks,Los Angeles Clippers,3,69-92,21,two point jumper,True,20,False,False
2008-03-14,37.0166666667,Atlanta Hawks,Los Angeles Clippers,4,71-100,27,layup,True,0,True,False
2008-03-14,37.5666666667,Atlanta Hawks,Los Angeles Clippers,4,73-102,27,layup,True,0,True,False
2008-03-14,38.5666666667,Atlanta Hawks,Los Angeles Clippers,4,73-102,27,two point shot,True,1,False,False
2008-03-14,39.5666666667,Atlanta Hawks,Los Angeles Clippers,4,75-106,29,two point shot,True,1,True,False
2008-03-14,41.45,Atlanta Hawks,Los Angeles Clippers,4,77-109,30,layup,True,0,False,False
2008-03-14,43.6,Atlanta Hawks,Los Angeles Clippers,4,81-113,30,layup,True,0,True,False
2008-02-19,13.3666666667,Atlanta Hawks,Los Angeles Lakers,2,19-34,-17,two point jumper,False,21,True,True
2008-02-19,29.35,Atlanta Hawks,Los Angeles Lakers,3,49-83,-36,layup,False,0,True,True
2008-02-19,30.2,Atlanta Hawks,Los Angeles Lakers,3,51-86,-37,layup,False,0,True,True
2008-02-19,30.5666666667,Atlanta Hawks,Los Angeles Lakers,3,52-86,-35,free throw,False,15,True,True
2008-02-19,30.5666666667,Atlanta Hawks,Los Angeles Lakers,3,53-86,-34,free throw,False,15,True,True
2008-02-19,32.05,Atlanta Hawks,Los Angeles Lakers,3,57-88,-33,layup,False,0,True,True
2008-02-19,35.9833333333,Atlanta Hawks,Los Angeles Lakers,3,69-97,-30,layup,False,0,False,True
2008-02-19,37.0166666667,Atlanta Hawks,Los Angeles Lakers,4,72-99,-28,free throw,False,15,True,True
2008-02-19,37.0166666667,Atlanta Hawks,Los Angeles Lakers,4,73-99,-27,free throw,False,15,True,True
2008-02-19,38.8666666667,Atlanta Hawks,Los Angeles Lakers,4,77-103,-28,two point jumper,False,13,False,True
