date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-01-05,1.13333333333,Memphis Grizzlies,Boston Celtics,1,2-2,-2,layup,True,0,False,False
2007-01-05,1.15,Memphis Grizzlies,Boston Celtics,1,2-3,0,free throw,True,15,True,False
2007-01-05,1.15,Memphis Grizzlies,Boston Celtics,1,2-4,1,free throw,True,15,True,False
2007-01-05,2.5,Memphis Grizzlies,Boston Celtics,1,4-6,0,dunk,True,0,True,False
2007-01-05,4.31666666667,Memphis Grizzlies,Boston Celtics,1,8-15,5,dunk,True,0,True,False
2007-01-05,20.6833333333,Memphis Grizzlies,Boston Celtics,2,51-45,-8,two point shot,True,1,True,False
2007-01-05,26.15,Memphis Grizzlies,Boston Celtics,3,67-61,-7,free throw,True,15,True,False
2007-01-05,26.15,Memphis Grizzlies,Boston Celtics,3,67-62,-6,free throw,True,15,True,False
2007-01-05,35.4,Memphis Grizzlies,Boston Celtics,3,97-90,-9,two point jumper,True,4,True,False
2007-01-05,38.65,Memphis Grizzlies,Boston Celtics,4,106-95,-13,two point jumper,True,18,False,False
2007-11-01,14.25,Memphis Grizzlies,New York Knicks,2,26-29,1,two point shot,True,1,True,False
2007-01-17,4.45,Memphis Grizzlies,Philadelphia 76ers,1,10-11,0,free throw,True,15,True,True
2007-01-17,4.45,Memphis Grizzlies,Philadelphia 76ers,1,10-11,0,free throw,True,15,False,True
2007-01-17,4.6,Memphis Grizzlies,Philadelphia 76ers,1,10-11,-1,two point shot,True,15,False,True
2007-01-17,4.98333333333,Memphis Grizzlies,Philadelphia 76ers,1,10-13,1,two point jumper,True,13,True,True
2007-01-17,24.45,Memphis Grizzlies,Philadelphia 76ers,3,49-70,19,two point shot,True,10,False,True
2007-01-17,25.55,Memphis Grizzlies,Philadelphia 76ers,3,51-70,17,two point jumper,True,13,False,True
2007-01-17,26.3166666667,Memphis Grizzlies,Philadelphia 76ers,3,51-73,20,two point jumper,True,13,False,True
2007-12-30,13.4,Memphis Grizzlies,Toronto Raptors,2,22-44,20,two point jumper,True,6,False,True
2007-01-03,15.95,Memphis Grizzlies,Golden State Warriors,2,48-44,-6,two point shot,True,1,False,True
2007-01-03,23.8833333333,Memphis Grizzlies,Golden State Warriors,2,68-67,-3,two point jumper,True,21,False,True
2007-01-03,25.6333333333,Memphis Grizzlies,Golden State Warriors,3,72-72,-1,free throw,True,15,False,True
2007-01-03,25.6333333333,Memphis Grizzlies,Golden State Warriors,3,72-73,0,free throw,True,15,True,True
2007-01-03,28.0333333333,Memphis Grizzlies,Golden State Warriors,3,77-81,2,layup,True,0,True,True
2007-02-21,21.65,Memphis Grizzlies,Golden State Warriors,2,48-43,3,dunk,False,0,True,False
2007-11-29,47.9,Memphis Grizzlies,Los Angeles Clippers,4,90-105,-17,layup,False,0,True,True
2007-11-29,47.9,Memphis Grizzlies,Los Angeles Clippers,4,90-105,-16,free throw,False,15,False,True
2007-01-20,2.13333333333,Memphis Grizzlies,Los Angeles Clippers,1,2-7,-6,free throw,False,15,False,True
2007-01-20,2.13333333333,Memphis Grizzlies,Los Angeles Clippers,1,2-7,-6,free throw,False,15,False,True
2007-01-20,4.63333333333,Memphis Grizzlies,Los Angeles Clippers,1,9-9,-2,layup,False,0,True,True
2007-01-20,26.7166666667,Memphis Grizzlies,Los Angeles Clippers,3,49-65,-18,layup,False,0,True,True
2007-01-09,4.56666666667,Memphis Grizzlies,Los Angeles Lakers,1,11-3,-10,layup,True,0,False,True
2007-01-09,4.6,Memphis Grizzlies,Los Angeles Lakers,1,11-3,-10,tip shot,True,0,False,True
2007-01-09,16.6,Memphis Grizzlies,Los Angeles Lakers,2,37-36,-2,free throw,True,15,True,True
2007-01-09,16.6,Memphis Grizzlies,Los Angeles Lakers,2,37-37,-1,free throw,True,15,True,True
2007-01-09,29.2833333333,Memphis Grizzlies,Los Angeles Lakers,3,66-71,3,layup,True,0,True,True
2007-01-09,29.2833333333,Memphis Grizzlies,Los Angeles Lakers,3,66-72,5,free throw,True,15,True,True
2007-01-09,29.9166666667,Memphis Grizzlies,Los Angeles Lakers,3,68-72,2,two point shot,True,5,False,True
2007-01-09,30.3833333333,Memphis Grizzlies,Los Angeles Lakers,3,68-72,2,layup,True,0,False,True
2007-01-09,30.45,Memphis Grizzlies,Los Angeles Lakers,3,68-74,4,tip shot,True,0,True,True
2007-01-09,43.9833333333,Memphis Grizzlies,Los Angeles Lakers,4,107-120,11,dunk,True,0,True,True
2007-01-09,45.95,Memphis Grizzlies,Los Angeles Lakers,4,109-125,15,free throw,True,15,False,True
2007-01-09,45.95,Memphis Grizzlies,Los Angeles Lakers,4,109-126,16,free throw,True,15,True,True
2007-03-27,20.3,Memphis Grizzlies,Los Angeles Lakers,2,31-40,-11,layup,False,0,True,True
2007-01-15,12.95,Memphis Grizzlies,Phoenix Suns,2,35-35,-2,layup,True,0,False,False
2007-01-15,13.2666666667,Memphis Grizzlies,Phoenix Suns,2,35-37,0,two point jumper,True,11,True,False
2007-01-15,18.0,Memphis Grizzlies,Phoenix Suns,2,55-55,-2,dunk,True,0,True,False
2007-01-15,42.7333333333,Memphis Grizzlies,Phoenix Suns,4,125-105,-21,free throw,True,15,True,False
2007-01-15,42.7333333333,Memphis Grizzlies,Phoenix Suns,4,125-106,-20,free throw,True,15,True,False
2007-01-15,43.0666666667,Memphis Grizzlies,Phoenix Suns,4,125-106,-20,free throw,True,15,False,False
2007-01-15,43.0666666667,Memphis Grizzlies,Phoenix Suns,4,125-107,-19,free throw,True,15,True,False
2007-01-15,43.4166666667,Memphis Grizzlies,Phoenix Suns,4,125-109,-18,two point jumper,True,7,True,False
2007-03-26,9.33333333333,Memphis Grizzlies,Phoenix Suns,1,21-24,-5,dunk,False,0,True,True
2007-03-26,10.2166666667,Memphis Grizzlies,Phoenix Suns,1,23-26,-5,layup,False,0,True,True
2007-03-26,10.6833333333,Memphis Grizzlies,Phoenix Suns,1,23-29,-8,two point jumper,False,17,False,True
2007-03-26,44.3166666667,Memphis Grizzlies,Phoenix Suns,4,63-71,-10,dunk,False,0,True,True
2007-03-26,17.0333333333,Memphis Grizzlies,Phoenix Suns,5,79-94,-17,dunk,False,0,True,True
2007-04-03,6.98333333333,Memphis Grizzlies,Phoenix Suns,1,19-14,-7,layup,True,0,False,False
2007-04-03,7.03333333333,Memphis Grizzlies,Phoenix Suns,1,19-16,-5,tip shot,True,0,True,False
2007-04-03,18.2,Memphis Grizzlies,Phoenix Suns,2,47-46,-2,free throw,True,15,False,False
2007-04-03,18.2,Memphis Grizzlies,Phoenix Suns,2,47-47,-1,free throw,True,15,True,False
2007-04-03,19.0666666667,Memphis Grizzlies,Phoenix Suns,2,51-47,-5,free throw,True,15,False,False
2007-04-03,19.0666666667,Memphis Grizzlies,Phoenix Suns,2,51-48,-4,free throw,True,15,True,False
2007-01-13,18.95,Memphis Grizzlies,Chicago Bulls,2,27-53,-28,two point jumper,False,19,False,True
2007-01-13,25.05,Memphis Grizzlies,Chicago Bulls,3,38-71,-35,two point jumper,False,1,False,True
2007-01-13,25.2,Memphis Grizzlies,Chicago Bulls,3,40-71,-33,tip shot,False,0,True,True
2007-02-14,35.3666666667,Memphis Grizzlies,Indiana Pacers,3,81-85,-6,layup,False,0,False,False
2007-12-08,13.65,Memphis Grizzlies,Milwaukee Bucks,2,18-32,-16,layup,False,0,True,True
2007-12-08,13.65,Memphis Grizzlies,Milwaukee Bucks,2,19-32,-14,free throw,False,15,True,True
2007-12-08,14.25,Memphis Grizzlies,Milwaukee Bucks,2,19-34,-17,two point jumper,False,8,False,True
2007-12-08,46.9666666667,Memphis Grizzlies,Milwaukee Bucks,4,88-100,-14,dunk,False,0,True,True
2007-12-27,0.7,Memphis Grizzlies,Milwaukee Bucks,1,0-0,-2,two point shot,True,11,False,True
2007-12-27,1.58333333333,Memphis Grizzlies,Milwaukee Bucks,1,3-4,-1,two point shot,True,8,True,True
2007-12-27,5.06666666667,Memphis Grizzlies,Milwaukee Bucks,1,11-11,-2,dunk,True,0,False,True
2007-12-27,9.81666666667,Memphis Grizzlies,Milwaukee Bucks,1,21-19,-4,dunk,True,0,True,True
2007-12-27,10.3666666667,Memphis Grizzlies,Milwaukee Bucks,1,23-19,-6,two point jumper,True,10,False,True
2007-12-27,20.6833333333,Memphis Grizzlies,Milwaukee Bucks,2,44-37,-8,free throw,True,15,False,True
2007-12-27,20.6833333333,Memphis Grizzlies,Milwaukee Bucks,2,44-37,-8,free throw,True,15,False,True
2007-12-27,26.3833333333,Memphis Grizzlies,Milwaukee Bucks,3,57-46,-12,free throw,True,15,True,True
2007-12-27,26.3833333333,Memphis Grizzlies,Milwaukee Bucks,3,57-47,-11,free throw,True,15,True,True
2007-12-27,38.6833333333,Memphis Grizzlies,Milwaukee Bucks,4,89-67,-24,tip shot,True,0,True,True
2007-01-31,29.8833333333,Memphis Grizzlies,Dallas Mavericks,3,52-47,-7,two point jumper,True,13,True,False
2007-02-07,8.33333333333,Memphis Grizzlies,Dallas Mavericks,1,18-24,-8,dunk,False,0,True,True
2007-02-07,8.75,Memphis Grizzlies,Dallas Mavericks,1,20-27,-9,dunk,False,0,True,True
2007-02-07,9.21666666667,Memphis Grizzlies,Dallas Mavericks,1,20-28,-9,free throw,False,15,False,True
2007-02-07,9.21666666667,Memphis Grizzlies,Dallas Mavericks,1,21-28,-8,free throw,False,15,True,True
2007-02-07,20.9833333333,Memphis Grizzlies,Dallas Mavericks,2,38-60,-24,two point jumper,False,9,False,True
2007-02-07,22.0,Memphis Grizzlies,Dallas Mavericks,2,41-62,-23,two point shot,False,1,True,True
2007-02-07,22.5,Memphis Grizzlies,Dallas Mavericks,2,41-62,-22,free throw,False,15,False,True
2007-02-07,22.5,Memphis Grizzlies,Dallas Mavericks,2,42-62,-21,free throw,False,15,True,True
2007-02-07,32.1,Memphis Grizzlies,Dallas Mavericks,3,62-74,-13,free throw,False,15,True,True
2007-02-07,32.1,Memphis Grizzlies,Dallas Mavericks,3,63-74,-12,free throw,False,15,True,True
