date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-03-22,11.45,Toronto Raptors,Boston Celtics,1,27-30,-5,two point jumper,False,9,False,True
2006-03-22,17.8833333333,Toronto Raptors,Boston Celtics,2,40-42,-4,layup,False,0,True,True
2006-04-04,15.05,Toronto Raptors,Boston Celtics,2,37-38,-1,layup,True,0,False,False
2006-04-04,10.4666666667,Toronto Raptors,Boston Celtics,5,89-90,-1,two point jumper,True,20,False,False
2006-04-04,12.7166666667,Toronto Raptors,Boston Celtics,5,94-98,2,two point shot,True,1,True,False
2006-03-21,16.0,Toronto Raptors,New York Knicks,2,30-36,-7,free throw,False,15,False,True
2006-03-21,16.0,Toronto Raptors,New York Knicks,2,31-36,-6,free throw,False,15,True,True
2006-03-21,16.4833333333,Toronto Raptors,New York Knicks,2,33-36,-5,two point jumper,False,22,True,True
2006-03-21,21.0,Toronto Raptors,New York Knicks,2,50-47,1,two point jumper,False,18,False,True
2006-03-21,35.9833333333,Toronto Raptors,New York Knicks,3,86-76,7,three point jumper,False,25,False,True
2006-03-21,44.4333333333,Toronto Raptors,New York Knicks,4,106-100,3,three point jumper,False,24,False,True
2006-03-21,45.6666666667,Toronto Raptors,New York Knicks,4,108-100,6,two point jumper,False,19,False,True
2006-03-21,47.8333333333,Toronto Raptors,New York Knicks,4,113-109,3,free throw,False,15,False,True
2006-03-21,47.8333333333,Toronto Raptors,New York Knicks,4,114-109,4,free throw,False,15,True,True
2006-03-17,15.75,Toronto Raptors,Milwaukee Bucks,2,34-29,-7,layup,True,0,False,True
2006-03-17,20.35,Toronto Raptors,Milwaukee Bucks,2,41-39,-4,two point jumper,True,21,False,True
2006-03-17,23.65,Toronto Raptors,Milwaukee Bucks,2,47-46,-3,layup,True,0,True,True
2006-03-17,36.75,Toronto Raptors,Milwaukee Bucks,4,80-68,-14,two point jumper,True,15,True,True
2006-03-17,38.2,Toronto Raptors,Milwaukee Bucks,4,82-70,-15,three point jumper,True,24,False,True
2006-03-24,14.8833333333,Toronto Raptors,Minnesota Timberwolves,2,15-30,13,two point jumper,True,14,False,True
2006-03-24,16.3833333333,Toronto Raptors,Minnesota Timberwolves,2,17-30,11,layup,True,0,False,True
2006-03-24,17.7833333333,Toronto Raptors,Minnesota Timberwolves,2,23-38,14,free throw,True,15,True,True
