date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-01-05,42.2,Oklahoma City Thunder,New York Knicks,4,105-80,-27,two point jumper,True,14,False,True
2007-01-05,43.3833333333,Oklahoma City Thunder,New York Knicks,4,105-81,-26,two point shot,True,1,False,True
2007-01-05,43.45,Oklahoma City Thunder,New York Knicks,4,105-83,-24,layup,True,0,True,True
2007-01-05,43.8833333333,Oklahoma City Thunder,New York Knicks,4,105-85,-22,tip shot,True,0,True,True
2007-01-05,44.8,Oklahoma City Thunder,New York Knicks,4,107-87,-22,dunk,True,0,True,True
2007-01-05,45.4833333333,Oklahoma City Thunder,New York Knicks,4,109-89,-22,dunk,True,0,True,True
2007-01-05,47.1666666667,Oklahoma City Thunder,New York Knicks,4,111-91,-22,two point jumper,True,4,False,True
2007-01-06,14.1333333333,Oklahoma City Thunder,Golden State Warriors,2,32-32,-2,two point jumper,False,1,True,False
2007-01-28,34.6833333333,Oklahoma City Thunder,Los Angeles Clippers,3,86-49,-39,layup,True,0,False,False
2007-01-28,35.6333333333,Oklahoma City Thunder,Los Angeles Clippers,3,86-51,-37,layup,True,0,False,False
2007-01-28,36.6166666667,Oklahoma City Thunder,Los Angeles Clippers,4,89-56,-35,two point jumper,True,12,False,False
2007-01-28,37.0833333333,Oklahoma City Thunder,Los Angeles Clippers,4,89-58,-33,layup,True,0,True,False
2007-01-28,42.6666666667,Oklahoma City Thunder,Los Angeles Clippers,4,91-68,-25,two point jumper,True,7,False,False
2007-03-01,35.6,Oklahoma City Thunder,Los Angeles Clippers,3,55-56,-1,two point shot,True,1,True,True
2007-03-01,35.6,Oklahoma City Thunder,Los Angeles Clippers,3,55-57,1,free throw,True,15,True,True
2007-03-01,39.7166666667,Oklahoma City Thunder,Los Angeles Clippers,4,61-65,2,layup,True,0,False,True
2007-03-01,41.2166666667,Oklahoma City Thunder,Los Angeles Clippers,4,64-69,3,hook shot,True,1,False,True
2007-02-14,41.0333333333,Oklahoma City Thunder,Phoenix Suns,4,82-102,18,two point shot,True,1,True,False
2007-02-10,14.7,Oklahoma City Thunder,Sacramento Kings,2,36-23,-15,layup,True,0,False,True
2007-01-16,16.1,Oklahoma City Thunder,Cleveland Cavaliers,2,35-28,-8,free throw,True,15,False,False
2007-01-16,16.1,Oklahoma City Thunder,Cleveland Cavaliers,2,35-29,-7,free throw,True,15,True,False
2007-01-16,17.9166666667,Oklahoma City Thunder,Cleveland Cavaliers,2,39-33,-8,tip shot,True,0,True,False
2007-01-16,18.9166666667,Oklahoma City Thunder,Cleveland Cavaliers,2,41-33,-10,two point jumper,True,8,False,False
2007-01-16,19.1333333333,Oklahoma City Thunder,Cleveland Cavaliers,2,41-35,-8,layup,True,0,True,False
2007-01-16,21.6,Oklahoma City Thunder,Cleveland Cavaliers,2,46-41,-7,dunk,True,0,True,False
2007-01-16,22.0,Oklahoma City Thunder,Cleveland Cavaliers,2,46-43,-5,two point shot,True,1,True,False
2007-02-07,33.7,Oklahoma City Thunder,Indiana Pacers,3,72-71,-1,dunk,False,0,True,True
2007-02-07,35.6666666667,Oklahoma City Thunder,Indiana Pacers,3,72-79,-9,layup,False,0,False,True
2007-02-07,40.3166666667,Oklahoma City Thunder,Indiana Pacers,4,83-86,-5,two point shot,False,3,True,True
2007-02-07,42.1,Oklahoma City Thunder,Indiana Pacers,4,88-90,-3,free throw,False,15,False,True
2007-02-07,42.1,Oklahoma City Thunder,Indiana Pacers,4,88-90,-3,free throw,False,15,False,True
2007-02-07,47.1,Oklahoma City Thunder,Indiana Pacers,4,100-100,-2,layup,False,0,True,True
2007-02-07,47.1,Oklahoma City Thunder,Indiana Pacers,4,101-100,0,free throw,False,15,True,True
2007-02-07,47.6166666667,Oklahoma City Thunder,Indiana Pacers,4,103-102,-1,layup,False,0,True,True
2007-02-07,47.6166666667,Oklahoma City Thunder,Indiana Pacers,4,103-102,0,free throw,False,15,False,True
2007-01-19,20.65,Oklahoma City Thunder,Milwaukee Bucks,2,23-47,22,tip shot,True,0,True,True
2007-01-19,21.0833333333,Oklahoma City Thunder,Milwaukee Bucks,2,23-49,24,two point jumper,True,5,True,True
2007-01-19,21.8333333333,Oklahoma City Thunder,Milwaukee Bucks,2,25-49,22,layup,True,0,False,True
2007-01-19,23.05,Oklahoma City Thunder,Milwaukee Bucks,2,27-51,22,two point jumper,True,5,False,True
2007-01-19,34.4166666667,Oklahoma City Thunder,Milwaukee Bucks,3,47-77,28,two point shot,True,1,True,True
2007-01-19,40.1333333333,Oklahoma City Thunder,Milwaukee Bucks,4,57-85,26,two point jumper,True,17,False,True
2007-01-19,42.4166666667,Oklahoma City Thunder,Milwaukee Bucks,4,66-93,25,two point jumper,True,1,True,True
2007-01-19,47.2,Oklahoma City Thunder,Milwaukee Bucks,4,70-99,27,two point jumper,True,5,True,True
2007-01-30,9.7,Oklahoma City Thunder,Dallas Mavericks,1,25-26,-3,layup,False,0,True,False
2007-01-30,9.7,Oklahoma City Thunder,Dallas Mavericks,1,26-26,-1,free throw,False,15,True,False
2007-01-30,24.0,Oklahoma City Thunder,Dallas Mavericks,2,54-66,-14,two point jumper,False,17,False,False
2007-01-30,35.3833333333,Oklahoma City Thunder,Dallas Mavericks,3,80-85,-7,two point jumper,False,14,False,False
2007-01-30,46.2166666667,Oklahoma City Thunder,Dallas Mavericks,4,98-114,-18,two point jumper,False,9,False,False
2007-01-30,46.25,Oklahoma City Thunder,Dallas Mavericks,4,100-114,-16,two point shot,False,6,True,False
2007-01-30,47.5,Oklahoma City Thunder,Dallas Mavericks,4,102-120,-20,layup,False,0,True,False
2007-04-18,28.95,Oklahoma City Thunder,Dallas Mavericks,3,70-44,-28,hook shot,True,9,True,True
2007-04-18,33.3333333333,Oklahoma City Thunder,Dallas Mavericks,3,81-54,-29,two point jumper,True,5,True,True
2007-04-18,33.3333333333,Oklahoma City Thunder,Dallas Mavericks,3,81-54,-28,free throw,True,15,False,True
2007-04-18,36.0,Oklahoma City Thunder,Dallas Mavericks,3,89-59,-33,three point jumper,True,44,False,True
2007-04-18,37.1333333333,Oklahoma City Thunder,Dallas Mavericks,4,89-61,-30,two point jumper,True,17,True,True
2007-04-18,37.8166666667,Oklahoma City Thunder,Dallas Mavericks,4,91-63,-30,two point jumper,True,11,True,True
2007-04-18,38.55,Oklahoma City Thunder,Dallas Mavericks,4,93-65,-30,layup,True,0,True,True
2007-04-18,40.7333333333,Oklahoma City Thunder,Dallas Mavericks,4,95-67,-30,hook shot,True,7,True,True
2007-04-18,42.5666666667,Oklahoma City Thunder,Dallas Mavericks,4,97-69,-30,hook shot,True,8,False,True
2007-04-09,22.7333333333,Oklahoma City Thunder,Houston Rockets,2,48-40,-10,two point jumper,True,1,True,False
2007-02-20,24.0,Oklahoma City Thunder,Memphis Grizzlies,2,58-62,2,tip shot,True,0,False,True
2007-02-20,35.4666666667,Oklahoma City Thunder,Memphis Grizzlies,3,78-96,16,tip shot,True,0,False,True
2007-02-20,47.85,Oklahoma City Thunder,Memphis Grizzlies,4,105-121,14,two point jumper,True,16,True,True
2007-03-30,45.0,Oklahoma City Thunder,Memphis Grizzlies,4,85-116,29,layup,True,0,True,False
2007-03-30,47.3666666667,Oklahoma City Thunder,Memphis Grizzlies,4,91-119,27,free throw,True,15,True,False
2007-03-30,47.3666666667,Oklahoma City Thunder,Memphis Grizzlies,4,91-120,28,free throw,True,15,True,False
2007-02-23,42.5333333333,Oklahoma City Thunder,New Orleans Pelicans,4,87-91,-6,layup,False,0,True,False
2007-02-05,19.95,Oklahoma City Thunder,Washington Wizards,2,52-46,4,two point jumper,False,9,True,False
2007-01-23,33.35,Oklahoma City Thunder,Denver Nuggets,3,77-72,-7,layup,True,0,False,False
2007-01-26,12.3833333333,Oklahoma City Thunder,Minnesota Timberwolves,2,21-25,2,tip shot,True,0,False,True
2007-01-12,31.1333333333,Oklahoma City Thunder,Utah Jazz,3,66-62,-6,dunk,True,0,True,True
2007-01-12,35.05,Oklahoma City Thunder,Utah Jazz,3,71-72,0,free throw,True,15,True,True
2007-01-12,35.05,Oklahoma City Thunder,Utah Jazz,3,71-73,1,free throw,True,15,True,True
2007-01-12,22.0666666667,Oklahoma City Thunder,Utah Jazz,5,114-122,6,dunk,True,0,True,True
2007-02-26,44.6666666667,Oklahoma City Thunder,Portland Trail Blazers,4,69-90,19,two point jumper,True,4,True,True
2007-02-26,45.2166666667,Oklahoma City Thunder,Portland Trail Blazers,4,69-91,21,free throw,True,15,True,True
2007-02-26,45.2166666667,Oklahoma City Thunder,Portland Trail Blazers,4,69-91,21,free throw,True,15,False,True
2007-02-26,46.1,Oklahoma City Thunder,Portland Trail Blazers,4,69-93,22,hook shot,True,5,True,True
2007-03-18,21.8166666667,Oklahoma City Thunder,Portland Trail Blazers,2,45-33,10,two point shot,False,11,False,True
2007-04-07,30.3166666667,Oklahoma City Thunder,Utah Jazz,3,57-73,-18,dunk,False,0,True,True
2007-04-07,31.35,Oklahoma City Thunder,Utah Jazz,3,62-75,-15,two point jumper,False,14,True,True
2008-12-22,29.75,Memphis Grizzlies,Philadelphia 76ers,3,54-63,8,free throw,True,15,True,False
2008-12-22,29.75,Memphis Grizzlies,Philadelphia 76ers,3,54-63,8,free throw,True,15,False,False
2008-12-22,30.4166666667,Memphis Grizzlies,Philadelphia 76ers,3,54-65,9,two point jumper,True,5,True,False
2008-12-22,32.1666666667,Memphis Grizzlies,Philadelphia 76ers,3,57-65,7,free throw,True,15,False,False
2008-12-22,32.1666666667,Memphis Grizzlies,Philadelphia 76ers,3,57-66,8,free throw,True,15,True,False
2008-11-28,47.7333333333,Memphis Grizzlies,Toronto Raptors,4,90-103,-14,free throw,False,15,True,True
2008-11-28,47.7333333333,Memphis Grizzlies,Toronto Raptors,4,91-103,-13,free throw,False,15,True,True
2008-12-21,42.4166666667,Memphis Grizzlies,Detroit Pistons,4,61-83,-23,free throw,False,15,True,False
2008-12-21,42.4166666667,Memphis Grizzlies,Detroit Pistons,4,61-83,-23,free throw,False,15,False,False
