date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-12-01,9.68333333333,Toronto Raptors,Boston Celtics,1,25-23,-4,two point jumper,True,21,False,True
2007-12-01,12.8833333333,Toronto Raptors,Boston Celtics,2,32-30,-4,two point shot,True,1,False,True
2007-12-01,13.5,Toronto Raptors,Boston Celtics,2,32-31,-4,three point jumper,True,25,False,True
2007-12-01,14.1833333333,Toronto Raptors,Boston Celtics,2,32-31,-3,two point shot,True,15,False,True
2007-12-01,16.6666666667,Toronto Raptors,Boston Celtics,2,39-35,-6,two point jumper,True,19,True,True
2007-12-01,17.7333333333,Toronto Raptors,Boston Celtics,2,39-41,0,two point shot,True,1,True,True
2007-12-01,19.3833333333,Toronto Raptors,Boston Celtics,2,43-47,2,two point shot,True,1,True,True
2007-12-01,33.9833333333,Toronto Raptors,Boston Celtics,3,72-74,0,two point jumper,True,8,False,True
2007-12-01,34.9666666667,Toronto Raptors,Boston Celtics,3,74-79,2,three point jumper,True,25,True,True
2007-12-01,37.3833333333,Toronto Raptors,Boston Celtics,4,82-81,-4,three point jumper,True,25,False,True
2007-12-01,38.3333333333,Toronto Raptors,Boston Celtics,4,88-86,-4,two point jumper,True,13,True,True
2007-01-12,13.3833333333,Toronto Raptors,Boston Celtics,2,23-18,2,three point jumper,False,25,False,True
2007-01-12,13.5,Toronto Raptors,Boston Celtics,2,25-18,5,two point jumper,False,22,True,True
2007-01-12,15.2,Toronto Raptors,Boston Celtics,2,27-18,7,two point jumper,False,1,False,True
2007-01-12,31.6333333333,Toronto Raptors,Boston Celtics,3,54-52,-1,three point jumper,False,25,True,True
2007-01-12,35.9833333333,Toronto Raptors,Boston Celtics,3,67-58,6,three point jumper,False,24,False,True
2007-01-12,36.55,Toronto Raptors,Boston Celtics,4,67-58,7,two point shot,False,3,False,True
2007-01-12,36.9666666667,Toronto Raptors,Boston Celtics,4,67-58,7,two point jumper,False,24,False,True
2007-01-12,37.15,Toronto Raptors,Boston Celtics,4,67-58,7,two point jumper,False,17,False,True
2007-01-12,38.0833333333,Toronto Raptors,Boston Celtics,4,70-58,9,three point jumper,False,25,True,True
2007-01-12,39.6333333333,Toronto Raptors,Boston Celtics,4,75-59,14,layup,False,0,False,True
2007-01-12,41.4166666667,Toronto Raptors,Boston Celtics,4,80-65,12,three point jumper,False,25,False,True
2007-01-12,42.6333333333,Toronto Raptors,Boston Celtics,4,82-70,10,two point shot,False,2,True,True
2007-01-12,45.6166666667,Toronto Raptors,Boston Celtics,4,85-78,4,three point jumper,False,25,False,True
2007-01-26,10.4166666667,Toronto Raptors,Boston Celtics,1,11-22,8,three point jumper,True,25,True,True
2007-01-26,11.1333333333,Toronto Raptors,Boston Celtics,1,13-24,9,two point jumper,True,18,True,True
2007-01-26,16.3166666667,Toronto Raptors,Boston Celtics,2,24-32,5,three point jumper,True,25,False,True
2007-01-26,16.3833333333,Toronto Raptors,Boston Celtics,2,24-32,5,three point jumper,True,25,False,True
2007-01-26,20.4333333333,Toronto Raptors,Boston Celtics,2,32-44,10,two point shot,True,9,False,True
2007-01-26,21.25,Toronto Raptors,Boston Celtics,2,34-44,7,three point jumper,True,24,False,True
2007-01-26,22.3333333333,Toronto Raptors,Boston Celtics,2,38-46,6,two point shot,True,1,True,True
2007-01-26,23.3666666667,Toronto Raptors,Boston Celtics,2,38-49,8,three point jumper,True,25,False,True
2007-01-26,32.4166666667,Toronto Raptors,Boston Celtics,3,61-64,1,two point jumper,True,21,False,True
2007-01-26,37.3,Toronto Raptors,Boston Celtics,4,71-69,-5,three point jumper,True,24,False,True
2007-11-01,7.41666666667,Toronto Raptors,Brooklyn Nets,1,16-16,-3,three point jumper,False,25,False,True
2007-11-01,8.01666666667,Toronto Raptors,Brooklyn Nets,1,16-18,-4,layup,False,0,False,True
2007-11-01,8.05,Toronto Raptors,Brooklyn Nets,1,18-18,-2,layup,False,0,True,True
2007-12-15,7.81666666667,Toronto Raptors,Brooklyn Nets,1,12-19,5,two point shot,True,12,False,True
2007-12-15,8.56666666667,Toronto Raptors,Brooklyn Nets,1,12-19,4,three point jumper,True,25,False,True
2007-12-15,9.21666666667,Toronto Raptors,Brooklyn Nets,1,12-19,4,three point jumper,True,25,False,True
2007-12-15,10.5,Toronto Raptors,Brooklyn Nets,1,12-22,8,two point shot,True,1,False,True
2007-12-15,11.2333333333,Toronto Raptors,Brooklyn Nets,1,14-24,7,three point jumper,True,25,False,True
2007-12-15,30.5333333333,Toronto Raptors,Brooklyn Nets,3,43-51,6,two point jumper,True,19,True,True
2007-12-15,34.3333333333,Toronto Raptors,Brooklyn Nets,3,49-60,9,two point jumper,True,21,True,True
2007-12-15,34.9166666667,Toronto Raptors,Brooklyn Nets,3,52-62,8,two point shot,True,1,True,True
2007-12-15,36.0,Toronto Raptors,Brooklyn Nets,3,56-64,6,tip shot,True,0,False,True
2007-12-15,38.1166666667,Toronto Raptors,Brooklyn Nets,4,64-66,0,two point shot,True,1,False,True
2007-01-09,7.66666666667,Toronto Raptors,Brooklyn Nets,1,7-19,-14,two point jumper,False,15,False,True
2007-01-09,13.5666666667,Toronto Raptors,Brooklyn Nets,2,22-24,-5,three point jumper,False,25,True,True
2007-01-09,14.25,Toronto Raptors,Brooklyn Nets,2,22-24,-4,two point jumper,False,21,False,True
2007-01-09,15.5166666667,Toronto Raptors,Brooklyn Nets,2,25-26,-2,free throw,False,15,True,True
2007-01-09,15.5166666667,Toronto Raptors,Brooklyn Nets,2,26-26,-1,free throw,False,15,True,True
2007-01-09,15.9666666667,Toronto Raptors,Brooklyn Nets,2,29-26,0,three point jumper,False,25,True,True
2007-01-09,19.5333333333,Toronto Raptors,Brooklyn Nets,2,39-38,-2,three point jumper,False,25,True,True
2007-01-09,22.5166666667,Toronto Raptors,Brooklyn Nets,2,43-45,-4,layup,False,0,True,True
2007-01-09,23.0666666667,Toronto Raptors,Brooklyn Nets,2,46-45,-2,three point jumper,False,26,True,True
2007-01-09,31.45,Toronto Raptors,Brooklyn Nets,3,58-65,-9,two point jumper,False,23,True,True
2007-01-09,32.65,Toronto Raptors,Brooklyn Nets,3,60-70,-13,three point jumper,False,25,False,True
2007-01-09,35.0666666667,Toronto Raptors,Brooklyn Nets,3,65-72,-9,two point jumper,False,21,True,True
2007-01-09,36.4,Toronto Raptors,Brooklyn Nets,4,65-74,-12,three point jumper,False,25,False,True
2007-01-09,43.6,Toronto Raptors,Brooklyn Nets,4,79-89,-13,three point jumper,False,25,False,True
