date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-03-20,15.3333333333,Los Angeles Lakers,Boston Celtics,2,39-28,9,two point jumper,False,14,False,False
2006-03-20,16.1666666667,Los Angeles Lakers,Boston Celtics,2,39-28,9,two point jumper,False,1,False,False
2006-11-27,9.83333333333,Los Angeles Lakers,Brooklyn Nets,1,19-8,-13,layup,True,0,True,True
2006-11-27,32.85,Los Angeles Lakers,Brooklyn Nets,3,61-47,-16,layup,True,0,True,True
2006-11-27,32.85,Los Angeles Lakers,Brooklyn Nets,3,61-47,-15,free throw,True,15,False,True
2006-11-27,33.4666666667,Los Angeles Lakers,Brooklyn Nets,3,61-47,-16,layup,True,0,False,True
2006-11-27,33.4833333333,Los Angeles Lakers,Brooklyn Nets,3,61-47,-16,tip shot,True,0,False,True
2006-11-27,34.4,Los Angeles Lakers,Brooklyn Nets,3,63-51,-13,free throw,True,15,True,True
2006-11-27,34.4,Los Angeles Lakers,Brooklyn Nets,3,63-51,-13,free throw,True,15,False,True
2006-03-17,12.0,Los Angeles Lakers,Brooklyn Nets,1,23-25,-4,tip shot,False,0,False,False
2006-03-17,27.1333333333,Los Angeles Lakers,Brooklyn Nets,3,48-52,-6,tip shot,False,0,False,False
2006-11-16,8.78333333333,Los Angeles Lakers,New York Knicks,1,15-17,0,hook shot,True,8,False,True
2006-01-31,38.6333333333,Los Angeles Lakers,New York Knicks,4,104-74,28,dunk,False,0,True,False
2006-01-31,40.5333333333,Los Angeles Lakers,New York Knicks,4,108-79,27,two point jumper,False,1,True,False
2006-01-31,43.2,Los Angeles Lakers,New York Knicks,4,115-85,28,layup,False,0,True,False
2006-01-31,43.8166666667,Los Angeles Lakers,New York Knicks,4,117-85,30,two point shot,False,6,True,False
2006-01-31,46.0,Los Angeles Lakers,New York Knicks,4,122-89,31,layup,False,0,True,False
2006-01-31,46.0,Los Angeles Lakers,New York Knicks,4,122-89,32,free throw,False,15,False,False
2006-01-31,46.15,Los Angeles Lakers,New York Knicks,4,123-89,33,free throw,False,15,True,False
2006-01-31,46.15,Los Angeles Lakers,New York Knicks,4,124-89,34,free throw,False,15,True,False
2006-01-31,46.75,Los Angeles Lakers,New York Knicks,4,126-91,33,layup,False,0,True,False
2006-01-31,46.75,Los Angeles Lakers,New York Knicks,4,126-91,34,free throw,False,15,False,False
2006-01-31,47.8166666667,Los Angeles Lakers,New York Knicks,4,130-95,33,layup,False,0,True,False
2006-01-06,47.0833333333,Los Angeles Lakers,Philadelphia 76ers,4,93-119,25,free throw,True,15,False,False
2006-01-06,47.0833333333,Los Angeles Lakers,Philadelphia 76ers,4,93-119,25,free throw,True,15,False,False
2006-12-07,46.55,Los Angeles Lakers,Toronto Raptors,4,96-85,9,two point jumper,False,13,False,False
2006-01-27,23.2,Los Angeles Lakers,Golden State Warriors,2,45-55,8,hook shot,True,8,False,True
2006-01-27,23.6,Los Angeles Lakers,Golden State Warriors,2,46-55,7,layup,True,0,False,True
2006-04-11,40.8166666667,Los Angeles Lakers,Golden State Warriors,4,81-103,20,two point jumper,True,4,False,True
2006-04-11,42.9166666667,Los Angeles Lakers,Golden State Warriors,4,85-105,18,hook shot,True,7,False,True
2006-11-02,18.1666666667,Los Angeles Lakers,Denver Nuggets,2,40-42,-4,two point shot,False,5,False,True
2006-11-14,44.9333333333,Los Angeles Lakers,Memphis Grizzlies,4,64-79,-17,two point jumper,False,8,False,False
2006-11-20,26.2166666667,Los Angeles Lakers,Chicago Bulls,3,28-25,-5,layup,True,0,False,False
2006-11-20,12.4666666667,Los Angeles Lakers,Chicago Bulls,5,74-74,-2,dunk,True,0,True,False
2006-11-20,12.95,Los Angeles Lakers,Chicago Bulls,5,74-75,0,free throw,True,15,True,False
2006-11-20,12.95,Los Angeles Lakers,Chicago Bulls,5,74-76,1,free throw,True,15,True,False
2006-11-24,12.8666666667,Los Angeles Lakers,Oklahoma City Thunder,2,19-26,5,tip shot,True,0,False,False
2006-11-24,13.8833333333,Los Angeles Lakers,Oklahoma City Thunder,2,22-28,4,two point jumper,True,6,True,False
2006-11-24,15.0166666667,Los Angeles Lakers,Oklahoma City Thunder,2,27-28,-1,two point jumper,True,16,False,False
