date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2013-11-25,10.6833333333,Orlando Magic,Boston Celtics,1,21-20,-3,two point jumper,True,4,True,False
2013-11-25,11.9166666667,Orlando Magic,Boston Celtics,1,26-22,-6,two point jumper,True,21,True,False
2013-11-25,19.1,Orlando Magic,Boston Celtics,2,44-38,-8,two point jumper,True,18,False,False
2013-11-25,19.5666666667,Orlando Magic,Boston Celtics,2,46-38,-10,two point jumper,True,19,False,False
2013-11-25,20.0666666667,Orlando Magic,Boston Celtics,2,46-40,-8,dunk,True,0,True,False
2013-11-25,30.2,Orlando Magic,Boston Celtics,3,68-63,-7,layup,True,0,True,False
2013-02-01,0.616666666667,Orlando Magic,Boston Celtics,1,2-0,0,two point shot,False,9,True,False
2013-02-01,2.68333333333,Orlando Magic,Boston Celtics,1,4-2,0,two point jumper,False,18,False,False
2013-02-01,3.63333333333,Orlando Magic,Boston Celtics,1,6-4,0,two point shot,False,1,True,False
2013-02-01,14.0166666667,Orlando Magic,Boston Celtics,2,20-27,-9,two point shot,False,8,True,False
2013-02-01,15.5,Orlando Magic,Boston Celtics,2,22-27,-7,hook shot,False,4,False,False
2013-02-01,16.1,Orlando Magic,Boston Celtics,2,24-29,-7,two point jumper,False,19,True,False
2013-02-01,16.9166666667,Orlando Magic,Boston Celtics,2,24-31,-9,two point jumper,False,12,False,False
2013-02-01,24.3,Orlando Magic,Boston Celtics,3,35-46,-13,two point shot,False,7,False,False
2013-02-01,27.8833333333,Orlando Magic,Boston Celtics,3,44-51,-8,free throw,False,15,True,False
2013-02-01,27.8833333333,Orlando Magic,Boston Celtics,3,45-51,-7,free throw,False,15,True,False
2013-02-01,29.2,Orlando Magic,Boston Celtics,3,49-53,-6,two point shot,False,8,True,False
2013-02-01,29.7,Orlando Magic,Boston Celtics,3,49-53,-6,two point jumper,False,19,False,False
2013-02-01,42.0333333333,Orlando Magic,Boston Celtics,4,65-86,-23,layup,False,0,True,False
2013-02-01,45.2166666667,Orlando Magic,Boston Celtics,4,75-92,-19,two point jumper,False,6,False,False
2013-04-13,8.93333333333,Orlando Magic,Boston Celtics,1,19-11,-10,two point jumper,True,9,False,True
2013-11-09,13.0666666667,Orlando Magic,Brooklyn Nets,2,21-19,-4,two point shot,True,2,True,True
2013-11-09,33.6,Orlando Magic,Brooklyn Nets,3,70-47,-25,two point jumper,True,19,True,True
2013-11-09,34.0,Orlando Magic,Brooklyn Nets,3,72-49,-25,layup,True,0,True,True
2013-11-09,17.4333333333,Orlando Magic,Brooklyn Nets,5,93-63,-31,free throw,True,15,True,True
2013-11-09,17.4333333333,Orlando Magic,Brooklyn Nets,5,93-64,-30,free throw,True,15,True,True
2013-11-09,17.9,Orlando Magic,Brooklyn Nets,5,93-66,-29,two point shot,True,3,True,True
2013-11-11,13.0666666667,Orlando Magic,Brooklyn Nets,2,19-37,-20,two point jumper,False,22,False,False
2013-11-30,7.66666666667,Orlando Magic,Brooklyn Nets,1,15-13,-4,two point jumper,True,16,True,False
2013-11-30,8.31666666667,Orlando Magic,Brooklyn Nets,1,15-13,-4,hook shot,True,4,False,False
2013-11-30,8.91666666667,Orlando Magic,Brooklyn Nets,1,17-15,-4,dunk,True,0,True,False
2013-11-30,30.95,Orlando Magic,Brooklyn Nets,3,64-56,-10,two point jumper,True,20,False,False
2013-11-30,32.5166666667,Orlando Magic,Brooklyn Nets,3,69-57,-13,free throw,True,15,True,False
2013-11-30,32.5166666667,Orlando Magic,Brooklyn Nets,3,69-58,-12,free throw,True,15,True,False
2013-11-30,34.2833333333,Orlando Magic,Brooklyn Nets,3,72-62,-12,two point jumper,True,17,True,False
2013-11-30,34.9166666667,Orlando Magic,Brooklyn Nets,3,72-62,-12,hook shot,True,8,False,False
2013-11-30,35.9666666667,Orlando Magic,Brooklyn Nets,3,76-65,-13,two point jumper,True,16,True,False
2013-11-30,46.8666666667,Orlando Magic,Brooklyn Nets,4,98-82,-18,layup,True,0,True,False
2013-01-28,46.6166666667,Orlando Magic,Brooklyn Nets,4,73-95,-24,hook shot,False,1,False,False
2013-11-13,21.4833333333,Orlando Magic,New York Knicks,2,45-45,-2,two point shot,True,1,True,False
2013-11-13,22.9333333333,Orlando Magic,New York Knicks,2,47-49,1,free throw,True,15,True,False
2013-11-13,22.9333333333,Orlando Magic,New York Knicks,2,47-49,1,free throw,True,15,False,False
2013-11-13,23.8666666667,Orlando Magic,New York Knicks,2,49-53,2,layup,True,0,True,False
2013-11-13,34.35,Orlando Magic,New York Knicks,3,73-74,-1,two point jumper,True,17,True,False
2013-11-13,34.8666666667,Orlando Magic,New York Knicks,3,75-76,-1,two point jumper,True,20,True,False
2013-11-13,35.4833333333,Orlando Magic,New York Knicks,3,77-76,-3,two point jumper,True,1,False,False
2013-11-13,37.4333333333,Orlando Magic,New York Knicks,4,79-79,-1,free throw,True,15,True,False
2013-11-13,37.4333333333,Orlando Magic,New York Knicks,4,79-80,0,free throw,True,15,True,False
