date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-01-07,1.36666666667,Washington Wizards,Boston Celtics,1,2-0,-4,two point jumper,True,17,False,True
2006-01-07,13.5666666667,Washington Wizards,Boston Celtics,2,30-30,-3,three point jumper,True,25,False,True
2006-01-07,14.2,Washington Wizards,Boston Celtics,2,32-30,-4,two point jumper,True,8,False,True
2006-01-07,29.7833333333,Washington Wizards,Boston Celtics,3,65-62,-6,three point jumper,True,24,False,True
2006-01-07,30.95,Washington Wizards,Boston Celtics,3,67-68,-1,layup,True,0,True,True
2006-01-07,33.55,Washington Wizards,Boston Celtics,3,74-73,-3,two point shot,True,7,True,True
2006-01-07,37.3,Washington Wizards,Boston Celtics,4,76-82,4,two point jumper,True,17,False,True
2006-01-07,37.4666666667,Washington Wizards,Boston Celtics,4,76-83,6,free throw,True,15,True,True
2006-01-07,37.4666666667,Washington Wizards,Boston Celtics,4,76-83,6,free throw,True,15,False,True
2006-01-07,39.2,Washington Wizards,Boston Celtics,4,78-85,4,three point jumper,True,28,False,True
2006-01-25,10.0,Washington Wizards,Boston Celtics,1,15-25,-12,two point jumper,False,16,False,True
2006-01-25,13.6166666667,Washington Wizards,Boston Celtics,2,21-30,-11,two point jumper,False,1,False,True
2006-01-25,15.5,Washington Wizards,Boston Celtics,2,23-33,-13,three point jumper,False,25,False,True
2006-01-25,16.4166666667,Washington Wizards,Boston Celtics,2,25-33,-10,two point jumper,False,20,False,True
2006-01-25,32.75,Washington Wizards,Boston Celtics,3,56-56,-2,two point jumper,False,16,False,True
2006-01-25,33.7833333333,Washington Wizards,Boston Celtics,3,60-56,2,two point jumper,False,21,True,True
2006-01-25,36.5,Washington Wizards,Boston Celtics,4,64-62,0,layup,False,0,True,True
2006-01-25,40.35,Washington Wizards,Boston Celtics,4,72-72,-2,layup,False,0,True,True
2006-01-25,44.15,Washington Wizards,Boston Celtics,4,77-81,-5,free throw,False,15,True,True
2006-01-25,44.15,Washington Wizards,Boston Celtics,4,78-81,-4,free throw,False,15,True,True
2006-01-25,46.4833333333,Washington Wizards,Boston Celtics,4,87-83,2,two point shot,False,7,False,True
2006-03-07,10.4833333333,Washington Wizards,Boston Celtics,1,26-20,-7,free throw,True,15,False,False
2006-03-07,10.4833333333,Washington Wizards,Boston Celtics,1,26-21,-6,free throw,True,15,True,False
2006-03-07,13.65,Washington Wizards,Boston Celtics,2,28-31,2,free throw,True,15,True,False
2006-03-07,13.65,Washington Wizards,Boston Celtics,2,28-32,3,free throw,True,15,True,False
2006-03-07,15.8666666667,Washington Wizards,Boston Celtics,2,35-37,0,two point shot,True,17,True,False
2006-03-07,19.6666666667,Washington Wizards,Boston Celtics,2,46-44,-4,layup,True,0,False,False
2006-03-07,37.5833333333,Washington Wizards,Boston Celtics,4,59-60,-1,two point jumper,True,4,True,False
2006-03-07,37.5833333333,Washington Wizards,Boston Celtics,4,59-61,1,free throw,True,15,True,False
2006-03-07,39.2,Washington Wizards,Boston Celtics,4,65-66,-1,layup,True,0,True,False
2006-03-07,43.1,Washington Wizards,Boston Celtics,4,73-81,6,two point shot,True,19,True,False
2006-03-07,12.5333333333,Washington Wizards,Boston Celtics,5,84-95,9,two point jumper,True,7,False,False
2006-03-07,20.3166666667,Washington Wizards,Boston Celtics,6,105-106,-1,two point jumper,True,10,False,False
2006-03-07,22.6333333333,Washington Wizards,Boston Celtics,6,107-111,2,layup,True,0,False,False
2006-03-07,23.6,Washington Wizards,Boston Celtics,6,111-112,0,free throw,True,15,True,False
2006-03-07,23.6,Washington Wizards,Boston Celtics,6,111-113,1,free throw,True,15,True,False
2006-04-05,14.7,Washington Wizards,Boston Celtics,2,37-32,3,two point jumper,False,17,True,False
2006-04-05,15.75,Washington Wizards,Boston Celtics,2,37-32,3,layup,False,0,False,False
2006-04-05,21.8,Washington Wizards,Boston Celtics,2,50-44,3,three point jumper,False,24,False,False
2006-04-05,33.8,Washington Wizards,Boston Celtics,3,75-74,-1,layup,False,0,False,False
2006-04-05,35.9666666667,Washington Wizards,Boston Celtics,3,78-78,-2,layup,False,0,True,False
2006-04-05,35.9666666667,Washington Wizards,Boston Celtics,3,78-78,-1,free throw,False,15,False,False
2006-04-05,35.9666666667,Washington Wizards,Boston Celtics,3,79-78,0,free throw,False,15,True,False
2006-04-05,42.45,Washington Wizards,Boston Celtics,4,94-85,7,two point jumper,False,16,False,False
2006-04-05,45.2,Washington Wizards,Boston Celtics,4,101-89,11,free throw,False,15,True,False
2006-04-05,46.25,Washington Wizards,Boston Celtics,4,105-91,12,layup,False,0,True,False
2006-11-19,27.9,Washington Wizards,Brooklyn Nets,3,48-54,-8,two point jumper,False,22,True,False
2006-11-19,34.4833333333,Washington Wizards,Brooklyn Nets,3,58-64,-8,two point jumper,False,14,False,False
2006-11-19,35.3,Washington Wizards,Brooklyn Nets,3,58-68,-13,three point jumper,False,30,False,False
2006-12-13,17.7,Washington Wizards,Brooklyn Nets,2,18-38,18,two point shot,True,1,True,True
2006-12-13,37.65,Washington Wizards,Brooklyn Nets,4,53-75,19,three point jumper,True,26,False,True
2006-12-13,38.8833333333,Washington Wizards,Brooklyn Nets,4,53-80,25,two point jumper,True,16,True,True
2006-12-13,40.5666666667,Washington Wizards,Brooklyn Nets,4,59-84,24,free throw,True,15,False,True
2006-12-13,40.5666666667,Washington Wizards,Brooklyn Nets,4,59-85,25,free throw,True,15,True,True
2006-12-13,42.2833333333,Washington Wizards,Brooklyn Nets,4,64-85,20,free throw,True,15,False,True
2006-12-13,42.2833333333,Washington Wizards,Brooklyn Nets,4,64-86,21,free throw,True,15,True,True
2006-12-13,45.2666666667,Washington Wizards,Brooklyn Nets,4,68-92,22,two point jumper,True,8,False,True
2006-12-13,46.6166666667,Washington Wizards,Brooklyn Nets,4,68-94,24,layup,True,0,False,True
2006-03-21,13.2166666667,Washington Wizards,Brooklyn Nets,2,29-23,-7,free throw,True,15,True,False
2006-03-21,13.2166666667,Washington Wizards,Brooklyn Nets,2,29-24,-6,free throw,True,15,True,False
2006-03-21,14.1833333333,Washington Wizards,Brooklyn Nets,2,29-26,-5,layup,True,0,True,False
2006-03-21,19.9166666667,Washington Wizards,Brooklyn Nets,2,39-39,-2,layup,True,0,True,False
2006-03-21,26.7166666667,Washington Wizards,Brooklyn Nets,3,54-47,-9,two point jumper,True,21,True,False
2006-03-21,30.2166666667,Washington Wizards,Brooklyn Nets,3,58-55,-5,layup,True,0,False,False
2006-03-21,31.6333333333,Washington Wizards,Brooklyn Nets,3,62-59,-5,two point jumper,True,16,False,False
2006-03-21,33.0333333333,Washington Wizards,Brooklyn Nets,3,66-64,-4,layup,True,0,True,False
2006-03-21,43.9833333333,Washington Wizards,Brooklyn Nets,4,99-81,-21,three point jumper,True,23,False,False
2006-03-21,44.3666666667,Washington Wizards,Brooklyn Nets,4,99-83,-18,layup,True,0,True,False
2006-03-21,46.2833333333,Washington Wizards,Brooklyn Nets,4,103-89,-15,free throw,True,15,True,False
2006-03-21,47.0666666667,Washington Wizards,Brooklyn Nets,4,106-93,-15,two point jumper,True,7,True,False
2006-03-21,47.0666666667,Washington Wizards,Brooklyn Nets,4,106-94,-13,free throw,True,15,True,False
2006-03-21,47.5,Washington Wizards,Brooklyn Nets,4,110-95,-16,free throw,True,15,True,False
2006-03-21,47.5,Washington Wizards,Brooklyn Nets,4,110-96,-15,free throw,True,15,True,False
2006-11-04,4.91666666667,Washington Wizards,New York Knicks,1,16-7,7,two point shot,False,17,True,True
2006-11-04,8.4,Washington Wizards,New York Knicks,1,22-11,9,two point jumper,False,21,True,True
2006-11-04,9.45,Washington Wizards,New York Knicks,1,27-11,13,three point jumper,False,24,True,True
2006-11-04,11.0,Washington Wizards,New York Knicks,1,30-13,16,free throw,False,15,True,True
2006-11-04,11.0,Washington Wizards,New York Knicks,1,30-13,16,free throw,False,15,False,True
2006-11-04,19.8833333333,Washington Wizards,New York Knicks,2,41-26,12,three point jumper,False,25,False,True
2006-11-04,21.4,Washington Wizards,New York Knicks,2,41-29,10,two point jumper,False,10,False,True
2006-11-04,23.0333333333,Washington Wizards,New York Knicks,2,41-31,8,two point jumper,False,18,False,True
2006-01-06,9.78333333333,Washington Wizards,New York Knicks,1,21-20,-1,layup,False,0,False,True
2006-01-06,13.1833333333,Washington Wizards,New York Knicks,2,32-29,0,three point jumper,False,25,False,True
2006-01-06,28.1333333333,Washington Wizards,New York Knicks,3,60-58,0,layup,False,0,False,True
2006-01-06,35.1833333333,Washington Wizards,New York Knicks,3,67-78,-12,free throw,False,15,False,True
2006-01-06,35.1833333333,Washington Wizards,New York Knicks,3,68-78,-11,free throw,False,15,True,True
2006-01-06,36.9333333333,Washington Wizards,New York Knicks,4,68-82,-17,three point jumper,False,25,False,True
2006-02-25,14.2666666667,Washington Wizards,New York Knicks,2,32-42,8,layup,True,0,True,False
2006-02-25,14.2666666667,Washington Wizards,New York Knicks,2,32-43,10,free throw,True,15,True,False
2006-02-25,16.2333333333,Washington Wizards,New York Knicks,2,33-50,14,three point jumper,True,25,True,False
2006-02-25,17.6,Washington Wizards,New York Knicks,2,38-52,12,two point jumper,True,18,False,False
2006-02-25,20.4833333333,Washington Wizards,New York Knicks,2,41-63,20,layup,True,0,True,False
2006-02-25,23.4833333333,Washington Wizards,New York Knicks,2,43-69,24,two point jumper,True,18,False,False
2006-02-25,45.2166666667,Washington Wizards,New York Knicks,4,59-86,26,free throw,True,15,True,False
2006-02-25,45.2166666667,Washington Wizards,New York Knicks,4,59-87,27,free throw,True,15,True,False
2006-02-25,46.0333333333,Washington Wizards,New York Knicks,4,63-88,24,free throw,True,15,True,False
2006-02-25,46.0333333333,Washington Wizards,New York Knicks,4,63-89,25,free throw,True,15,True,False
2006-02-25,47.9333333333,Washington Wizards,New York Knicks,4,66-93,25,two point jumper,True,9,True,False
2006-04-04,5.6,Washington Wizards,New York Knicks,1,8-16,6,layup,True,0,True,False
2006-04-04,11.2833333333,Washington Wizards,New York Knicks,1,16-28,10,two point jumper,True,1,False,False
2006-04-04,12.0,Washington Wizards,New York Knicks,1,19-29,9,free throw,True,15,True,False
2006-04-04,12.0,Washington Wizards,New York Knicks,1,19-30,10,free throw,True,15,True,False
2006-04-04,27.1333333333,Washington Wizards,New York Knicks,3,22-34,11,free throw,True,15,False,False
2006-04-04,33.2833333333,Washington Wizards,New York Knicks,3,33-49,14,two point jumper,True,6,False,False
2006-04-04,35.45,Washington Wizards,New York Knicks,3,37-58,20,free throw,True,15,True,False
2006-04-04,35.45,Washington Wizards,New York Knicks,3,37-59,21,free throw,True,15,True,False
2006-04-04,35.9166666667,Washington Wizards,New York Knicks,3,37-61,22,layup,True,0,True,False
2006-04-04,43.0333333333,Washington Wizards,New York Knicks,4,51-75,23,free throw,True,15,True,False
2006-04-04,43.0333333333,Washington Wizards,New York Knicks,4,51-76,24,free throw,True,15,True,False
2006-04-04,47.8833333333,Washington Wizards,New York Knicks,4,61-83,19,three point jumper,True,27,False,False
2006-04-04,14.0333333333,Washington Wizards,New York Knicks,5,67-98,29,dunk,True,0,True,False
2006-01-16,15.0166666667,Washington Wizards,Philadelphia 76ers,2,28-31,1,two point jumper,True,1,False,False
2006-01-16,16.6666666667,Washington Wizards,Philadelphia 76ers,2,30-34,1,three point jumper,True,27,True,False
2006-01-16,30.4833333333,Washington Wizards,Philadelphia 76ers,3,58-67,7,two point jumper,True,9,False,False
2006-01-16,36.0,Washington Wizards,Philadelphia 76ers,3,62-82,17,three point jumper,True,24,False,False
2006-01-16,38.6333333333,Washington Wizards,Philadelphia 76ers,4,65-88,22,free throw,True,15,True,False
2006-01-16,38.6333333333,Washington Wizards,Philadelphia 76ers,4,65-89,23,free throw,True,15,True,False
2006-01-16,44.2333333333,Washington Wizards,Philadelphia 76ers,4,72-96,23,free throw,True,15,True,False
2006-01-16,44.2333333333,Washington Wizards,Philadelphia 76ers,4,72-97,24,free throw,True,15,True,False
2006-01-16,45.3666666667,Washington Wizards,Philadelphia 76ers,4,72-100,25,three point jumper,True,24,True,False
2006-02-12,9.28333333333,Washington Wizards,Philadelphia 76ers,1,18-18,-2,two point jumper,True,17,False,False
2006-02-12,15.05,Washington Wizards,Philadelphia 76ers,2,28-27,-2,free throw,True,15,True,False
2006-02-12,15.3833333333,Washington Wizards,Philadelphia 76ers,2,28-27,-3,two point jumper,True,21,False,False
2006-02-12,16.0,Washington Wizards,Philadelphia 76ers,2,28-27,-3,two point jumper,True,5,False,False
2006-02-12,16.3833333333,Washington Wizards,Philadelphia 76ers,2,28-30,1,free throw,True,15,True,False
2006-02-12,16.3833333333,Washington Wizards,Philadelphia 76ers,2,28-31,2,free throw,True,15,True,False
2006-02-12,17.5666666667,Washington Wizards,Philadelphia 76ers,2,32-35,1,two point jumper,True,17,True,False
2006-02-12,18.35,Washington Wizards,Philadelphia 76ers,2,33-37,2,two point shot,True,2,True,False
2006-02-12,19.1,Washington Wizards,Philadelphia 76ers,2,35-38,2,free throw,True,15,True,False
2006-02-12,21.7166666667,Washington Wizards,Philadelphia 76ers,2,40-44,2,layup,True,0,True,False
2006-02-12,23.5,Washington Wizards,Philadelphia 76ers,2,44-49,4,free throw,True,15,True,False
