date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-04,6.88333333333,Detroit Pistons,Boston Celtics,1,15-10,3,dunk,False,0,True,True
2006-11-04,19.1,Detroit Pistons,Boston Celtics,2,33-30,1,dunk,False,0,True,True
2006-11-04,20.8,Detroit Pistons,Boston Celtics,2,34-34,-2,layup,False,0,False,True
2006-11-04,27.55,Detroit Pistons,Boston Celtics,3,45-46,-3,two point shot,False,1,False,True
2006-11-04,46.4833333333,Detroit Pistons,Boston Celtics,4,78-77,-1,layup,False,0,True,True
2006-11-15,0.8,Detroit Pistons,Boston Celtics,1,2-1,-2,free throw,True,15,True,True
2006-11-15,0.8,Detroit Pistons,Boston Celtics,1,2-2,-1,free throw,True,15,True,True
2006-11-15,6.6,Detroit Pistons,Boston Celtics,1,16-10,-8,layup,True,0,False,True
2006-11-15,18.2833333333,Detroit Pistons,Boston Celtics,2,41-33,-10,two point shot,True,1,True,True
2006-11-15,23.9833333333,Detroit Pistons,Boston Celtics,2,58-48,-12,dunk,True,0,True,True
2006-11-15,27.1833333333,Detroit Pistons,Boston Celtics,3,62-52,-12,dunk,True,0,True,True
2006-11-15,34.4166666667,Detroit Pistons,Boston Celtics,3,76-72,-6,tip shot,True,0,False,True
2006-11-15,45.5666666667,Detroit Pistons,Boston Celtics,4,93-101,7,free throw,True,15,True,True
2006-11-15,45.5666666667,Detroit Pistons,Boston Celtics,4,93-102,8,free throw,True,15,True,True
2006-01-16,0.383333333333,Detroit Pistons,Boston Celtics,1,0-0,-2,two point jumper,True,9,False,True
2006-01-16,4.31666666667,Detroit Pistons,Boston Celtics,1,4-6,1,free throw,True,15,False,True
2006-01-16,4.31666666667,Detroit Pistons,Boston Celtics,1,4-6,1,free throw,True,15,False,True
2006-01-16,12.7,Detroit Pistons,Boston Celtics,2,25-15,-12,layup,True,0,False,True
2006-01-16,13.15,Detroit Pistons,Boston Celtics,2,25-17,-10,two point shot,True,1,True,True
2006-01-16,25.2,Detroit Pistons,Boston Celtics,3,40-45,3,dunk,True,0,True,True
2006-01-16,45.9,Detroit Pistons,Boston Celtics,4,76-89,11,layup,True,0,True,True
2006-01-16,46.5166666667,Detroit Pistons,Boston Celtics,4,78-89,10,free throw,True,15,False,True
2006-01-16,46.5166666667,Detroit Pistons,Boston Celtics,4,78-89,10,free throw,True,15,False,True
2006-01-16,46.9666666667,Detroit Pistons,Boston Celtics,4,80-89,7,layup,True,0,False,True
2006-01-16,47.0,Detroit Pistons,Boston Celtics,4,80-89,8,free throw,True,15,False,True
2006-01-16,47.0,Detroit Pistons,Boston Celtics,4,80-89,8,free throw,True,15,False,True
2006-01-16,47.5833333333,Detroit Pistons,Boston Celtics,4,81-90,8,free throw,True,15,True,True
2006-01-16,47.5833333333,Detroit Pistons,Boston Celtics,4,81-91,9,free throw,True,15,True,True
2006-01-16,47.8833333333,Detroit Pistons,Boston Celtics,4,84-94,9,free throw,True,15,True,True
2006-01-16,47.8833333333,Detroit Pistons,Boston Celtics,4,84-94,9,free throw,True,15,False,True
2006-11-30,1.56666666667,Detroit Pistons,Brooklyn Nets,1,5-0,3,two point shot,False,7,False,True
2006-11-30,4.41666666667,Detroit Pistons,Brooklyn Nets,1,9-4,3,layup,False,0,True,True
2006-11-30,33.0833333333,Detroit Pistons,Brooklyn Nets,3,34-35,-3,two point shot,False,13,False,True
2006-11-30,43.9166666667,Detroit Pistons,Brooklyn Nets,4,58-53,3,two point shot,False,1,True,True
2006-11-30,11.8,Detroit Pistons,Brooklyn Nets,5,70-61,7,two point jumper,False,1,False,True
2006-01-31,11.5666666667,Detroit Pistons,Brooklyn Nets,1,21-20,-1,two point shot,False,1,True,False
2006-01-31,24.95,Detroit Pistons,Brooklyn Nets,3,45-46,-3,two point shot,False,1,False,False
2006-01-31,26.7166666667,Detroit Pistons,Brooklyn Nets,3,47-48,-3,two point shot,False,1,True,False
2006-02-14,0.55,Detroit Pistons,Brooklyn Nets,1,0-2,0,layup,True,0,True,True
2006-02-14,2.93333333333,Detroit Pistons,Brooklyn Nets,1,6-4,-4,layup,True,0,False,True
2006-02-14,3.36666666667,Detroit Pistons,Brooklyn Nets,1,6-6,-2,layup,True,0,True,True
2006-02-14,3.36666666667,Detroit Pistons,Brooklyn Nets,1,6-6,-1,free throw,True,15,False,True
2006-02-14,8.03333333333,Detroit Pistons,Brooklyn Nets,1,16-12,-6,hook shot,True,1,False,True
2006-02-14,8.58333333333,Detroit Pistons,Brooklyn Nets,1,16-14,-4,tip shot,True,0,True,True
2006-02-14,21.1166666667,Detroit Pistons,Brooklyn Nets,2,35-40,3,dunk,True,0,True,True
2006-02-14,33.4166666667,Detroit Pistons,Brooklyn Nets,3,48-67,17,two point shot,True,1,True,True
2006-03-26,1.65,Detroit Pistons,Brooklyn Nets,1,4-2,-4,two point shot,True,16,False,False
2006-03-26,2.13333333333,Detroit Pistons,Brooklyn Nets,1,6-2,-6,two point shot,True,13,False,False
2006-03-26,12.3166666667,Detroit Pistons,Brooklyn Nets,2,23-12,-13,layup,True,0,True,False
2006-03-26,28.35,Detroit Pistons,Brooklyn Nets,3,44-47,1,tip shot,True,0,True,False
2006-03-26,29.75,Detroit Pistons,Brooklyn Nets,3,46-47,0,free throw,True,15,False,False
2006-03-26,29.75,Detroit Pistons,Brooklyn Nets,3,46-47,0,free throw,True,15,False,False
2006-03-26,30.45,Detroit Pistons,Brooklyn Nets,3,46-47,0,free throw,True,15,False,False
2006-03-26,30.45,Detroit Pistons,Brooklyn Nets,3,46-48,1,free throw,True,15,True,False
