date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-09,9.96666666667,Memphis Grizzlies,Boston Celtics,1,23-22,-2,three point jumper,False,25,True,False
2006-11-09,11.9166666667,Memphis Grizzlies,Boston Celtics,1,28-27,0,free throw,False,15,True,False
2006-11-09,11.9166666667,Memphis Grizzlies,Boston Celtics,1,28-27,0,free throw,False,15,False,False
2006-11-09,11.9166666667,Memphis Grizzlies,Boston Celtics,1,28-27,0,free throw,False,15,False,False
2006-11-09,26.5666666667,Memphis Grizzlies,Boston Celtics,3,37-29,6,two point jumper,False,20,True,False
2006-11-09,28.0666666667,Memphis Grizzlies,Boston Celtics,3,37-31,3,three point jumper,False,25,False,False
2006-11-09,28.8166666667,Memphis Grizzlies,Boston Celtics,3,40-31,8,free throw,False,15,True,False
2006-11-09,28.8166666667,Memphis Grizzlies,Boston Celtics,3,41-31,9,free throw,False,15,True,False
2006-11-09,29.3166666667,Memphis Grizzlies,Boston Celtics,3,41-31,7,three point jumper,False,25,False,False
2006-11-09,47.1833333333,Memphis Grizzlies,Boston Celtics,4,73-71,0,layup,False,0,True,False
2006-11-09,47.9833333333,Memphis Grizzlies,Boston Celtics,4,76-71,2,three point jumper,False,23,True,False
2006-11-09,11.7,Memphis Grizzlies,Boston Celtics,5,78-73,3,two point shot,False,2,False,False
2006-11-09,12.0833333333,Memphis Grizzlies,Boston Celtics,5,81-73,5,three point jumper,False,23,True,False
2006-01-13,0.333333333333,Memphis Grizzlies,Brooklyn Nets,1,0-0,-2,two point jumper,True,21,False,True
2006-01-13,1.88333333333,Memphis Grizzlies,Brooklyn Nets,1,2-2,-2,two point jumper,True,22,True,True
2006-01-13,5.38333333333,Memphis Grizzlies,Brooklyn Nets,1,7-8,-1,two point jumper,True,22,False,True
2006-01-13,5.73333333333,Memphis Grizzlies,Brooklyn Nets,1,7-8,-2,three point jumper,True,25,False,True
2006-01-13,8.36666666667,Memphis Grizzlies,Brooklyn Nets,1,12-13,-1,two point jumper,True,20,True,True
2006-01-13,20.6833333333,Memphis Grizzlies,Brooklyn Nets,2,29-37,5,three point jumper,True,23,True,True
2006-01-13,25.8166666667,Memphis Grizzlies,Brooklyn Nets,3,29-52,22,free throw,True,15,True,True
2006-01-13,25.8166666667,Memphis Grizzlies,Brooklyn Nets,3,29-53,23,free throw,True,15,True,True
2006-01-13,28.2166666667,Memphis Grizzlies,Brooklyn Nets,3,35-56,18,three point jumper,True,24,True,True
2006-01-13,30.8166666667,Memphis Grizzlies,Brooklyn Nets,3,39-58,17,layup,True,0,True,True
