date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-23,5.81666666667,Sacramento Kings,Brooklyn Nets,1,11-9,-4,layup,True,0,False,True
2006-11-23,5.85,Sacramento Kings,Brooklyn Nets,1,11-9,-4,tip shot,True,0,False,True
2006-11-23,7.03333333333,Sacramento Kings,Brooklyn Nets,1,15-13,-4,dunk,True,0,True,True
2006-11-23,10.75,Sacramento Kings,Brooklyn Nets,1,23-23,-1,free throw,True,15,True,True
2006-11-23,10.75,Sacramento Kings,Brooklyn Nets,1,23-24,0,free throw,True,15,True,True
2006-11-23,13.9666666667,Sacramento Kings,Brooklyn Nets,2,34-29,-7,two point jumper,True,9,False,True
2006-11-23,19.1333333333,Sacramento Kings,Brooklyn Nets,2,48-44,-6,two point shot,True,10,False,True
2006-11-23,24.2166666667,Sacramento Kings,Brooklyn Nets,3,58-59,-1,layup,True,0,False,True
2006-11-23,25.0166666667,Sacramento Kings,Brooklyn Nets,3,60-59,-3,two point jumper,True,17,False,True
2006-11-23,26.6166666667,Sacramento Kings,Brooklyn Nets,3,64-60,-5,free throw,True,15,True,True
2006-11-23,26.6166666667,Sacramento Kings,Brooklyn Nets,3,64-61,-4,free throw,True,15,True,True
2006-11-23,29.9166666667,Sacramento Kings,Brooklyn Nets,3,70-70,-3,three point jumper,True,23,True,True
2006-11-23,30.8833333333,Sacramento Kings,Brooklyn Nets,3,72-72,-1,free throw,True,15,False,True
2006-11-23,30.8833333333,Sacramento Kings,Brooklyn Nets,3,72-73,0,free throw,True,15,True,True
2006-11-23,33.2,Sacramento Kings,Brooklyn Nets,3,74-84,9,free throw,True,15,True,True
2006-11-23,33.2,Sacramento Kings,Brooklyn Nets,3,74-84,9,free throw,True,15,False,True
2006-11-23,33.3333333333,Sacramento Kings,Brooklyn Nets,3,74-85,10,free throw,True,15,True,True
2006-11-23,33.3333333333,Sacramento Kings,Brooklyn Nets,3,74-86,11,free throw,True,15,True,True
2006-11-23,36.0,Sacramento Kings,Brooklyn Nets,3,78-94,14,two point jumper,True,18,True,True
2006-11-23,37.4666666667,Sacramento Kings,Brooklyn Nets,4,78-98,18,dunk,True,0,True,True
