date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-04-16,17.45,Brooklyn Nets,Boston Celtics,2,28-40,11,free throw,True,15,False,True
2006-04-16,17.45,Brooklyn Nets,Boston Celtics,2,28-41,12,free throw,True,15,True,True
2006-04-16,19.4833333333,Brooklyn Nets,Boston Celtics,2,37-44,4,three point jumper,True,23,False,True
2006-04-16,21.3,Brooklyn Nets,Boston Celtics,2,42-47,3,layup,True,0,False,True
2006-04-16,45.8166666667,Brooklyn Nets,Boston Celtics,4,85-91,3,three point jumper,True,24,False,True
2006-03-06,42.1333333333,Brooklyn Nets,Sacramento Kings,4,96-72,-27,three point jumper,True,24,False,True
2006-03-06,46.35,Brooklyn Nets,Sacramento Kings,4,106-80,-28,layup,True,0,False,True
2006-03-27,40.85,Brooklyn Nets,Phoenix Suns,4,55-92,35,two point jumper,True,1,True,False
2006-04-12,18.75,Brooklyn Nets,Philadelphia 76ers,2,48-31,-18,free throw,True,15,False,True
2006-04-12,18.75,Brooklyn Nets,Philadelphia 76ers,2,48-32,-17,free throw,True,15,True,True
2006-04-12,34.7166666667,Brooklyn Nets,Philadelphia 76ers,3,88-71,-20,three point jumper,True,23,False,True
2006-04-12,42.2833333333,Brooklyn Nets,Philadelphia 76ers,4,108-82,-28,layup,True,0,True,True
2006-04-12,44.7,Brooklyn Nets,Philadelphia 76ers,4,112-89,-25,hook shot,True,6,False,True
2006-04-12,46.1333333333,Brooklyn Nets,Philadelphia 76ers,4,114-89,-28,three point jumper,True,24,False,True
2006-04-12,47.5166666667,Brooklyn Nets,Philadelphia 76ers,4,116-93,-24,free throw,True,15,True,True
2006-04-12,47.5166666667,Brooklyn Nets,Philadelphia 76ers,4,116-94,-23,free throw,True,15,True,True
2006-04-18,16.5666666667,Brooklyn Nets,Philadelphia 76ers,2,35-23,9,three point jumper,False,24,False,False
2006-04-18,18.1333333333,Brooklyn Nets,Philadelphia 76ers,2,37-25,9,three point jumper,False,23,False,False
2006-04-18,19.95,Brooklyn Nets,Philadelphia 76ers,2,40-27,11,dunk,False,0,True,False
