date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2009-11-01,9.35,Indiana Pacers,Boston Celtics,1,17-21,1,three point jumper,True,24,False,True
2009-11-01,9.45,Indiana Pacers,Boston Celtics,1,17-23,4,two point shot,True,1,True,True
2009-11-01,11.0333333333,Indiana Pacers,Boston Celtics,1,17-27,8,two point jumper,True,20,False,True
2009-11-01,12.45,Indiana Pacers,Boston Celtics,2,17-27,7,three point jumper,True,25,False,True
2009-11-01,20.4666666667,Indiana Pacers,Boston Celtics,2,29-39,8,layup,True,0,False,True
2009-11-01,29.8833333333,Indiana Pacers,Boston Celtics,3,47-62,12,three point jumper,True,25,False,True
2009-11-01,34.7833333333,Indiana Pacers,Boston Celtics,3,56-68,10,layup,True,0,False,True
2009-11-01,35.1,Indiana Pacers,Boston Celtics,3,56-68,11,free throw,True,15,False,True
2009-11-01,35.1,Indiana Pacers,Boston Celtics,3,56-69,12,free throw,True,15,True,True
2009-12-03,10.0,Indiana Pacers,Boston Celtics,1,27-23,2,layup,False,0,False,True
2009-12-03,13.0166666667,Indiana Pacers,Boston Celtics,2,29-30,-3,two point jumper,False,1,False,True
2009-12-03,14.4,Indiana Pacers,Boston Celtics,2,31-30,-1,two point jumper,False,17,False,True
2009-12-03,17.95,Indiana Pacers,Boston Celtics,2,40-38,0,two point jumper,False,23,False,True
2009-12-03,32.4666666667,Indiana Pacers,Boston Celtics,3,59-83,-27,three point jumper,False,24,False,True
2009-12-03,33.0666666667,Indiana Pacers,Boston Celtics,3,61-83,-24,two point jumper,False,8,True,True
2009-12-03,45.6666666667,Indiana Pacers,Boston Celtics,4,94-110,-19,three point jumper,False,23,True,True
2009-12-03,46.25,Indiana Pacers,Boston Celtics,4,94-111,-19,two point jumper,False,23,False,True
2009-02-27,9.08333333333,Indiana Pacers,Boston Celtics,1,11-17,-8,two point jumper,False,12,False,True
2009-02-27,10.4833333333,Indiana Pacers,Boston Celtics,1,16-21,-8,three point jumper,False,25,True,True
2009-02-27,11.35,Indiana Pacers,Boston Celtics,1,16-24,-10,two point jumper,False,11,False,True
2009-02-27,12.0,Indiana Pacers,Boston Celtics,1,18-26,-11,three point jumper,False,82,False,True
2009-02-27,12.8333333333,Indiana Pacers,Boston Celtics,2,20-26,-8,two point jumper,False,20,True,True
2009-02-27,13.95,Indiana Pacers,Boston Celtics,2,23-29,-9,three point jumper,False,25,True,True
2009-02-27,15.0666666667,Indiana Pacers,Boston Celtics,2,25-29,-6,two point jumper,False,1,True,True
2009-02-27,17.0666666667,Indiana Pacers,Boston Celtics,2,33-29,1,three point jumper,False,23,True,True
2009-02-27,18.0666666667,Indiana Pacers,Boston Celtics,2,35-33,0,two point jumper,False,14,False,True
2009-02-27,20.5833333333,Indiana Pacers,Boston Celtics,2,42-41,-2,three point jumper,False,26,False,True
2009-02-27,33.9,Indiana Pacers,Boston Celtics,3,73-74,-3,two point jumper,False,17,True,True
2009-02-27,34.3833333333,Indiana Pacers,Boston Celtics,3,75-76,-3,layup,False,0,True,True
2009-02-27,42.75,Indiana Pacers,Boston Celtics,4,89-97,-10,layup,False,0,False,True
2009-02-27,44.8666666667,Indiana Pacers,Boston Celtics,4,91-98,-10,three point jumper,False,25,False,True
2009-02-27,47.75,Indiana Pacers,Boston Celtics,4,99-104,-8,three point jumper,False,25,False,True
2009-11-08,8.61666666667,Indiana Pacers,Brooklyn Nets,1,20-23,1,layup,True,0,True,True
2009-11-08,9.5,Indiana Pacers,Brooklyn Nets,1,20-23,0,three point jumper,True,24,False,True
2009-11-08,11.3333333333,Indiana Pacers,Brooklyn Nets,1,25-32,4,three point jumper,True,23,True,True
2009-11-08,38.5,Indiana Pacers,Brooklyn Nets,4,67-77,7,three point jumper,True,23,False,True
2009-11-12,0.933333333333,Indiana Pacers,Brooklyn Nets,1,3-2,-2,three point jumper,False,23,True,True
2009-11-12,3.5,Indiana Pacers,Brooklyn Nets,1,9-4,3,two point jumper,False,16,False,True
2009-11-12,5.38333333333,Indiana Pacers,Brooklyn Nets,1,11-8,1,two point jumper,False,19,False,True
2009-11-12,17.7,Indiana Pacers,Brooklyn Nets,2,38-32,3,three point jumper,False,23,True,True
