date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-03-29,10.7666666667,Memphis Grizzlies,Brooklyn Nets,1,18-24,-9,three point jumper,False,25,False,False
2006-03-01,16.1666666667,Memphis Grizzlies,New York Knicks,2,28-27,-3,two point jumper,True,1,False,False
2006-03-01,18.2166666667,Memphis Grizzlies,New York Knicks,2,37-32,-7,layup,True,0,True,False
2006-01-20,19.3833333333,Memphis Grizzlies,Philadelphia 76ers,2,23-40,-19,two point jumper,False,1,False,False
2006-01-20,20.7333333333,Memphis Grizzlies,Philadelphia 76ers,2,30-42,-14,two point jumper,False,17,True,False
2006-01-20,21.2333333333,Memphis Grizzlies,Philadelphia 76ers,2,30-42,-14,two point jumper,False,19,False,False
2006-01-20,22.6166666667,Memphis Grizzlies,Philadelphia 76ers,2,35-44,-11,layup,False,0,True,False
2006-01-20,23.1333333333,Memphis Grizzlies,Philadelphia 76ers,2,37-45,-10,layup,False,0,True,False
2006-01-20,37.1833333333,Memphis Grizzlies,Philadelphia 76ers,4,68-64,1,three point jumper,False,27,False,False
2006-01-03,15.0166666667,Memphis Grizzlies,Golden State Warriors,2,24-32,5,three point jumper,True,25,False,False
2006-04-04,12.2666666667,Memphis Grizzlies,Golden State Warriors,2,20-22,0,two point jumper,True,20,False,False
2006-04-04,15.4666666667,Memphis Grizzlies,Golden State Warriors,2,24-32,5,three point jumper,True,23,True,False
2006-04-04,16.1333333333,Memphis Grizzlies,Golden State Warriors,2,24-32,7,free throw,True,15,False,False
2006-04-04,16.1333333333,Memphis Grizzlies,Golden State Warriors,2,24-33,8,free throw,True,15,True,False
2006-04-04,16.6333333333,Memphis Grizzlies,Golden State Warriors,2,24-33,7,two point shot,True,1,False,False
2006-02-10,19.1,Memphis Grizzlies,Los Angeles Clippers,2,46-39,4,three point jumper,False,23,True,False
2006-02-10,39.25,Memphis Grizzlies,Los Angeles Clippers,4,77-75,-1,three point jumper,False,26,False,False
2006-02-10,40.4833333333,Memphis Grizzlies,Los Angeles Clippers,4,78-77,0,free throw,False,15,True,False
2006-02-10,40.4833333333,Memphis Grizzlies,Los Angeles Clippers,4,79-77,1,free throw,False,15,True,False
2006-04-18,16.0,Memphis Grizzlies,Los Angeles Clippers,2,17-28,9,two point jumper,True,7,True,False
2006-04-18,35.9666666667,Memphis Grizzlies,Los Angeles Clippers,3,65-76,8,three point jumper,True,25,True,False
2006-04-18,40.4166666667,Memphis Grizzlies,Los Angeles Clippers,4,71-87,14,two point jumper,True,22,False,False
2006-04-18,41.9166666667,Memphis Grizzlies,Los Angeles Clippers,4,75-89,12,two point shot,True,1,True,False
2006-04-18,42.7833333333,Memphis Grizzlies,Los Angeles Clippers,4,79-89,8,two point jumper,True,22,False,False
2006-04-18,43.4833333333,Memphis Grizzlies,Los Angeles Clippers,4,81-89,7,free throw,True,15,False,False
2006-04-18,43.4833333333,Memphis Grizzlies,Los Angeles Clippers,4,81-90,8,free throw,True,15,True,False
2006-12-14,13.6166666667,Memphis Grizzlies,Los Angeles Lakers,2,25-20,-7,two point shot,True,14,True,False
2006-12-14,14.95,Memphis Grizzlies,Los Angeles Lakers,2,27-20,-9,two point jumper,True,14,False,False
2006-12-14,34.2166666667,Memphis Grizzlies,Los Angeles Lakers,3,69-49,-21,free throw,True,15,False,False
2006-12-14,34.2166666667,Memphis Grizzlies,Los Angeles Lakers,3,69-50,-20,free throw,True,15,True,False
2006-12-14,36.0,Memphis Grizzlies,Los Angeles Lakers,3,73-52,-24,three point jumper,True,59,False,False
2006-12-17,14.5,Memphis Grizzlies,Phoenix Suns,2,22-27,3,two point jumper,True,6,False,True
2006-12-17,33.95,Memphis Grizzlies,Phoenix Suns,3,61-62,-1,two point jumper,True,9,False,True
2006-12-17,36.25,Memphis Grizzlies,Phoenix Suns,4,63-68,3,two point jumper,True,15,True,True
2006-02-08,43.5666666667,Memphis Grizzlies,Phoenix Suns,4,94-101,-9,layup,False,0,True,False
2006-02-08,48.0,Memphis Grizzlies,Phoenix Suns,4,104-108,-7,three point jumper,False,26,False,False
2006-02-07,23.5833333333,Memphis Grizzlies,Sacramento Kings,2,51-55,-7,three point jumper,False,25,False,True
2006-02-07,36.3333333333,Memphis Grizzlies,Sacramento Kings,4,71-74,-6,three point jumper,False,23,True,True
2006-02-07,38.7166666667,Memphis Grizzlies,Sacramento Kings,4,75-82,-9,two point shot,False,15,True,True
2006-02-07,41.9166666667,Memphis Grizzlies,Sacramento Kings,4,85-88,-5,layup,False,0,True,True
2006-02-07,42.3833333333,Memphis Grizzlies,Sacramento Kings,4,87-88,-3,two point jumper,False,6,True,True
2006-02-07,45.7166666667,Memphis Grizzlies,Sacramento Kings,4,95-94,-1,two point jumper,False,21,False,True
2006-02-07,47.65,Memphis Grizzlies,Sacramento Kings,4,98-102,-7,three point jumper,False,24,False,True
2006-12-23,10.1666666667,Memphis Grizzlies,Chicago Bulls,1,17-23,3,three point jumper,True,25,True,True
2006-12-23,36.3833333333,Memphis Grizzlies,Chicago Bulls,4,59-71,10,two point jumper,True,21,False,True
2006-12-23,38.1333333333,Memphis Grizzlies,Chicago Bulls,4,61-77,13,three point jumper,True,25,True,True
2006-12-23,38.9666666667,Memphis Grizzlies,Chicago Bulls,4,65-77,10,two point jumper,True,6,False,True
2006-12-23,39.4,Memphis Grizzlies,Chicago Bulls,4,65-77,10,two point jumper,True,18,False,True
2006-01-07,10.15,Memphis Grizzlies,Chicago Bulls,1,16-24,-9,free throw,False,15,True,True
2006-01-07,10.15,Memphis Grizzlies,Chicago Bulls,1,17-24,-8,free throw,False,15,True,True
2006-12-19,14.6166666667,Memphis Grizzlies,Detroit Pistons,2,32-23,-11,two point jumper,True,21,False,False
2006-12-19,16.5666666667,Memphis Grizzlies,Detroit Pistons,2,36-25,-13,two point jumper,True,21,False,False
2006-12-19,17.0333333333,Memphis Grizzlies,Detroit Pistons,2,36-26,-11,free throw,True,15,True,False
2006-12-19,17.0333333333,Memphis Grizzlies,Detroit Pistons,2,36-26,-11,free throw,True,15,False,False
2006-12-19,39.1166666667,Memphis Grizzlies,Detroit Pistons,4,76-69,-9,two point jumper,True,20,True,False
2006-01-27,11.0666666667,Memphis Grizzlies,Detroit Pistons,1,22-18,2,two point jumper,False,1,True,False
2006-02-04,13.9333333333,Memphis Grizzlies,Milwaukee Bucks,2,25-35,-12,layup,False,0,True,False
