date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-03-27,36.65,Phoenix Suns,Brooklyn Nets,4,45-83,-40,tip shot,False,0,False,True
2006-03-27,36.7,Phoenix Suns,Brooklyn Nets,4,45-83,-40,tip shot,False,0,False,True
2006-03-27,39.7166666667,Phoenix Suns,Brooklyn Nets,4,50-88,-40,two point jumper,False,18,False,True
2006-03-27,40.6333333333,Phoenix Suns,Brooklyn Nets,4,54-90,-38,layup,False,0,True,True
2006-03-27,40.6333333333,Phoenix Suns,Brooklyn Nets,4,55-90,-36,free throw,False,15,True,True
2006-11-22,40.4833333333,Phoenix Suns,Toronto Raptors,4,70-71,-1,two point jumper,True,15,True,True
2006-11-22,44.0833333333,Phoenix Suns,Toronto Raptors,4,77-76,-3,two point jumper,True,16,False,True
2006-04-14,1.61666666667,Phoenix Suns,Golden State Warriors,1,0-2,-4,two point jumper,False,18,False,False
2006-04-14,2.11666666667,Phoenix Suns,Golden State Warriors,1,2-5,-5,two point jumper,False,16,True,False
2006-04-14,2.76666666667,Phoenix Suns,Golden State Warriors,1,2-7,-7,two point jumper,False,17,False,False
2006-04-14,26.0666666667,Phoenix Suns,Golden State Warriors,3,63-53,8,two point jumper,False,16,True,False
2006-04-14,27.0666666667,Phoenix Suns,Golden State Warriors,3,65-56,7,two point jumper,False,18,False,False
2006-04-14,28.6,Phoenix Suns,Golden State Warriors,3,68-64,2,two point jumper,False,18,False,False
2006-11-03,10.35,Phoenix Suns,Los Angeles Lakers,1,26-21,3,two point jumper,False,1,True,True
2006-11-03,11.3833333333,Phoenix Suns,Los Angeles Lakers,1,31-23,6,two point jumper,False,19,True,True
2006-11-03,13.7666666667,Phoenix Suns,Los Angeles Lakers,2,41-25,14,two point jumper,False,18,True,True
2006-04-16,2.88333333333,Phoenix Suns,Los Angeles Lakers,1,1-12,-13,two point jumper,False,14,False,True
2006-04-16,4.7,Phoenix Suns,Los Angeles Lakers,1,5-18,-15,two point jumper,False,18,False,True
2006-11-01,14.1833333333,Phoenix Suns,Dallas Mavericks,2,28-29,-1,layup,True,0,True,False
2006-11-01,14.1833333333,Phoenix Suns,Dallas Mavericks,2,28-30,1,free throw,True,15,True,False
2006-11-05,9.96666666667,Phoenix Suns,Utah Jazz,1,15-23,-10,two point jumper,False,18,True,True
2006-11-05,13.25,Phoenix Suns,Utah Jazz,2,27-29,-4,two point jumper,False,23,True,True
2006-11-05,16.8166666667,Phoenix Suns,Utah Jazz,2,31-31,-2,two point jumper,False,19,False,True
2006-11-06,15.5833333333,Phoenix Suns,Sacramento Kings,2,36-44,6,two point shot,True,1,True,False
2006-11-06,37.2166666667,Phoenix Suns,Sacramento Kings,4,96-88,-10,two point jumper,True,17,True,False
2006-11-06,39.2,Phoenix Suns,Sacramento Kings,4,104-93,-13,two point shot,True,6,True,False
2006-11-06,48.0,Phoenix Suns,Sacramento Kings,4,118-117,-3,two point jumper,True,16,False,False
2006-11-10,12.0,Phoenix Suns,Detroit Pistons,1,30-25,-7,two point jumper,True,18,False,False
2006-11-10,30.1666666667,Phoenix Suns,Detroit Pistons,3,63-70,5,two point jumper,True,17,True,False
2006-11-10,31.9166666667,Phoenix Suns,Detroit Pistons,3,65-71,4,two point jumper,True,15,False,False
2006-11-10,33.3666666667,Phoenix Suns,Detroit Pistons,3,65-75,9,free throw,True,15,True,False
2006-11-10,33.3666666667,Phoenix Suns,Detroit Pistons,3,65-76,10,free throw,True,15,True,False
2006-11-10,44.1833333333,Phoenix Suns,Detroit Pistons,4,99-102,1,dunk,True,0,True,False
