date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2013-01-16,11.4166666667,New Orleans Pelicans,Boston Celtics,1,16-23,-9,layup,False,0,False,True
2013-01-16,11.7666666667,New Orleans Pelicans,Boston Celtics,1,20-25,-7,layup,False,0,True,True
2013-01-16,14.2666666667,New Orleans Pelicans,Boston Celtics,2,22-29,-10,three point jumper,False,26,False,True
2013-03-20,11.4166666667,New Orleans Pelicans,Boston Celtics,1,29-22,-9,layup,True,0,False,True
2013-03-20,12.3,New Orleans Pelicans,Boston Celtics,2,31-24,-9,layup,True,0,True,True
2013-03-20,15.15,New Orleans Pelicans,Boston Celtics,2,35-27,-9,free throw,True,15,True,True
2013-03-20,15.15,New Orleans Pelicans,Boston Celtics,2,35-28,-8,free throw,True,15,True,True
2013-03-20,16.6,New Orleans Pelicans,Boston Celtics,2,37-35,-5,three point jumper,True,25,True,True
2013-03-20,36.6333333333,New Orleans Pelicans,Boston Celtics,4,67-69,0,layup,True,0,True,True
2013-03-20,37.95,New Orleans Pelicans,Boston Celtics,4,67-72,2,three point jumper,True,28,True,True
2013-03-20,38.6833333333,New Orleans Pelicans,Boston Celtics,4,69-72,1,two point jumper,True,16,False,True
2013-02-26,15.7,New Orleans Pelicans,Brooklyn Nets,2,38-25,-16,three point jumper,True,27,True,True
2013-02-26,17.0666666667,New Orleans Pelicans,Brooklyn Nets,2,43-27,-18,two point shot,True,6,True,True
2013-02-26,35.55,New Orleans Pelicans,Brooklyn Nets,3,73-63,-12,two point shot,True,21,True,True
2013-02-26,36.8,New Orleans Pelicans,Brooklyn Nets,4,73-65,-10,two point jumper,True,22,False,True
2013-03-12,11.2833333333,New Orleans Pelicans,Brooklyn Nets,1,15-28,-15,two point jumper,False,12,False,True
2013-03-12,11.4833333333,New Orleans Pelicans,Brooklyn Nets,1,17-28,-13,two point jumper,False,19,True,True
2013-03-12,12.2666666667,New Orleans Pelicans,Brooklyn Nets,2,21-28,-9,two point shot,False,10,True,True
2013-03-12,13.7,New Orleans Pelicans,Brooklyn Nets,2,25-28,-5,two point shot,False,5,True,True
2013-03-12,14.2,New Orleans Pelicans,Brooklyn Nets,2,25-28,-5,two point jumper,False,12,False,True
2013-03-12,15.6833333333,New Orleans Pelicans,Brooklyn Nets,2,27-33,-8,two point jumper,False,1,False,True
2013-11-20,13.2666666667,New Orleans Pelicans,New York Knicks,2,31-20,-14,three point jumper,True,25,True,True
2013-11-20,13.8666666667,New Orleans Pelicans,New York Knicks,2,31-23,-11,three point jumper,True,25,True,True
2013-11-20,15.7166666667,New Orleans Pelicans,New York Knicks,2,34-28,-9,three point jumper,True,25,True,True
2013-11-20,21.2833333333,New Orleans Pelicans,New York Knicks,2,46-42,-7,three point jumper,True,24,False,True
2013-11-20,21.7833333333,New Orleans Pelicans,New York Knicks,2,48-42,-8,layup,True,0,False,True
2013-11-20,33.3666666667,New Orleans Pelicans,New York Knicks,3,78-62,-18,two point shot,True,20,True,True
2013-11-20,34.4666666667,New Orleans Pelicans,New York Knicks,3,81-62,-21,two point jumper,True,18,False,True
2013-11-20,35.9666666667,New Orleans Pelicans,New York Knicks,3,83-64,-21,layup,True,0,False,True
2013-11-20,45.0333333333,New Orleans Pelicans,New York Knicks,4,100-76,-26,two point jumper,True,1,False,True
2013-11-20,46.2333333333,New Orleans Pelicans,New York Knicks,4,100-77,-24,free throw,True,15,True,True
2013-11-20,46.2333333333,New Orleans Pelicans,New York Knicks,4,100-78,-23,free throw,True,15,True,True
2013-01-13,11.05,New Orleans Pelicans,New York Knicks,1,24-22,-1,three point jumper,False,26,False,True
2013-01-13,11.7333333333,New Orleans Pelicans,New York Knicks,1,25-22,2,free throw,False,15,True,True
2013-01-13,11.7333333333,New Orleans Pelicans,New York Knicks,1,26-22,3,free throw,False,15,True,True
2013-01-13,12.0,New Orleans Pelicans,New York Knicks,1,27-22,4,free throw,False,15,True,True
2013-01-13,12.0,New Orleans Pelicans,New York Knicks,1,28-22,5,free throw,False,15,True,True
2013-01-13,12.0,New Orleans Pelicans,New York Knicks,1,29-22,6,free throw,False,15,True,True
