date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2009-01-14,2.31666666667,Brooklyn Nets,Boston Celtics,1,4-8,-6,two point jumper,False,16,True,True
2009-01-14,5.16666666667,Brooklyn Nets,Boston Celtics,1,8-11,-5,two point jumper,False,15,False,True
2009-01-14,9.83333333333,Brooklyn Nets,Boston Celtics,1,19-23,-6,layup,False,0,False,True
2009-01-14,10.4666666667,Brooklyn Nets,Boston Celtics,1,19-25,-8,two point shot,False,1,False,True
2009-01-14,17.9166666667,Brooklyn Nets,Boston Celtics,2,25-38,-15,two point jumper,False,14,False,True
2009-01-14,19.0,Brooklyn Nets,Boston Celtics,2,28-41,-14,free throw,False,15,True,True
2009-01-14,19.0,Brooklyn Nets,Boston Celtics,2,28-41,-14,free throw,False,15,False,True
2009-01-14,22.05,Brooklyn Nets,Boston Celtics,2,37-47,-11,free throw,False,15,True,True
2009-01-14,22.05,Brooklyn Nets,Boston Celtics,2,38-47,-10,free throw,False,15,True,True
2009-01-14,25.6333333333,Brooklyn Nets,Boston Celtics,3,41-55,-16,layup,False,0,False,True
2009-01-14,27.75,Brooklyn Nets,Boston Celtics,3,45-64,-20,free throw,False,15,True,True
2009-01-14,27.75,Brooklyn Nets,Boston Celtics,3,46-64,-19,free throw,False,15,True,True
2009-01-14,29.8166666667,Brooklyn Nets,Boston Celtics,3,51-71,-22,two point shot,False,12,False,True
2009-01-14,30.3166666667,Brooklyn Nets,Boston Celtics,3,51-71,-22,two point shot,False,1,False,True
2009-01-14,36.55,Brooklyn Nets,Boston Celtics,4,62-90,-30,two point jumper,False,4,True,True
2009-01-14,38.3833333333,Brooklyn Nets,Boston Celtics,4,69-96,-29,layup,False,0,True,True
2009-01-14,39.2,Brooklyn Nets,Boston Celtics,4,71-98,-29,two point shot,False,1,True,True
2009-01-17,6.48333333333,Brooklyn Nets,Boston Celtics,1,15-2,-15,two point shot,True,5,False,True
2009-01-17,7.06666666667,Brooklyn Nets,Boston Celtics,1,18-4,-16,two point shot,True,7,True,True
2009-01-17,8.76666666667,Brooklyn Nets,Boston Celtics,1,20-8,-14,dunk,True,0,True,True
2009-01-17,10.2333333333,Brooklyn Nets,Boston Celtics,1,24-10,-16,two point jumper,True,20,False,True
2009-01-17,10.9,Brooklyn Nets,Boston Celtics,1,24-12,-14,two point shot,True,11,True,True
2009-01-17,10.9,Brooklyn Nets,Boston Celtics,1,24-13,-12,free throw,True,15,True,True
2009-01-17,17.0333333333,Brooklyn Nets,Boston Celtics,2,40-26,-16,dunk,True,0,True,True
2009-01-17,25.4333333333,Brooklyn Nets,Boston Celtics,3,70-42,-29,free throw,True,15,True,True
2009-01-17,25.4333333333,Brooklyn Nets,Boston Celtics,3,70-43,-28,free throw,True,15,True,True
2009-01-17,26.05,Brooklyn Nets,Boston Celtics,3,72-45,-29,layup,True,0,True,True
2009-01-17,27.7,Brooklyn Nets,Boston Celtics,3,72-45,-29,two point jumper,True,21,False,True
2009-01-17,29.85,Brooklyn Nets,Boston Celtics,3,74-52,-24,dunk,True,0,True,True
2009-01-17,30.6,Brooklyn Nets,Boston Celtics,3,74-54,-22,two point shot,True,1,True,True
2009-01-17,31.7833333333,Brooklyn Nets,Boston Celtics,3,77-56,-23,layup,True,0,True,True
2009-01-17,32.5,Brooklyn Nets,Boston Celtics,3,79-56,-24,free throw,True,15,False,True
2009-01-17,32.5,Brooklyn Nets,Boston Celtics,3,79-57,-23,free throw,True,15,True,True
2009-01-17,37.1333333333,Brooklyn Nets,Boston Celtics,4,85-65,-22,dunk,True,0,True,True
2009-01-17,38.5166666667,Brooklyn Nets,Boston Celtics,4,87-70,-19,two point jumper,True,17,True,True
2009-01-17,40.8166666667,Brooklyn Nets,Boston Celtics,4,94-70,-26,two point shot,True,8,False,True
2009-01-17,42.7333333333,Brooklyn Nets,Boston Celtics,4,98-76,-24,dunk,True,0,True,True
2009-01-17,43.7833333333,Brooklyn Nets,Boston Celtics,4,98-80,-20,two point jumper,True,17,False,True
2009-01-17,45.9833333333,Brooklyn Nets,Boston Celtics,4,105-83,-24,layup,True,0,True,True
2009-03-04,2.38333333333,Brooklyn Nets,Boston Celtics,1,6-5,-3,dunk,True,0,True,False
2009-03-04,2.38333333333,Brooklyn Nets,Boston Celtics,1,6-5,-2,free throw,True,15,False,False
2009-03-04,4.31666666667,Brooklyn Nets,Boston Celtics,1,10-9,-3,two point shot,True,9,False,False
2009-03-04,19.0333333333,Brooklyn Nets,Boston Celtics,2,43-41,-4,dunk,True,0,True,False
2009-03-04,29.7,Brooklyn Nets,Boston Celtics,3,71-64,-9,two point jumper,True,11,True,False
2009-03-04,32.9833333333,Brooklyn Nets,Boston Celtics,3,83-75,-10,layup,True,0,True,False
2009-03-04,34.6833333333,Brooklyn Nets,Boston Celtics,3,88-80,-9,free throw,True,15,True,False
2009-03-04,34.6833333333,Brooklyn Nets,Boston Celtics,3,88-81,-8,free throw,True,15,True,False
2009-04-08,7.13333333333,Brooklyn Nets,Boston Celtics,1,20-10,8,layup,False,0,True,False
2009-04-08,7.75,Brooklyn Nets,Boston Celtics,1,21-12,8,free throw,False,15,True,False
2009-04-08,7.75,Brooklyn Nets,Boston Celtics,1,22-12,9,free throw,False,15,True,False
2009-04-08,9.45,Brooklyn Nets,Boston Celtics,1,26-17,7,two point jumper,False,11,False,False
2009-04-08,11.4666666667,Brooklyn Nets,Boston Celtics,1,29-19,8,two point shot,False,1,True,False
2009-04-08,29.5333333333,Brooklyn Nets,Boston Celtics,3,65-69,-5,free throw,False,15,True,False
2009-04-08,29.5333333333,Brooklyn Nets,Boston Celtics,3,66-69,-4,free throw,False,15,True,False
2009-04-08,30.95,Brooklyn Nets,Boston Celtics,3,71-71,-2,layup,False,0,True,False
2009-04-08,41.9833333333,Brooklyn Nets,Boston Celtics,4,92-97,-7,dunk,False,0,True,False
2009-04-08,45.7666666667,Brooklyn Nets,Boston Celtics,4,96-102,-8,hook shot,False,1,False,False
2009-10-29,8.6,Brooklyn Nets,Washington Wizards,1,16-19,-5,two point jumper,False,15,False,True
2009-10-29,9.58333333333,Brooklyn Nets,Washington Wizards,1,18-21,-5,dunk,False,0,True,True
2009-10-29,11.1666666667,Brooklyn Nets,Washington Wizards,1,20-23,-4,free throw,False,15,False,True
2009-10-29,11.1666666667,Brooklyn Nets,Washington Wizards,1,21-23,-3,free throw,False,15,True,True
2009-10-29,14.7,Brooklyn Nets,Washington Wizards,2,28-27,-1,two point jumper,False,14,False,True
2009-10-29,15.2666666667,Brooklyn Nets,Washington Wizards,2,28-29,-3,two point jumper,False,12,False,True
2009-10-29,34.2166666667,Brooklyn Nets,Washington Wizards,3,65-65,-2,layup,False,0,True,True
2009-10-29,35.2166666667,Brooklyn Nets,Washington Wizards,3,67-67,-2,two point jumper,False,1,False,True
2009-10-29,37.45,Brooklyn Nets,Washington Wizards,4,71-71,-2,dunk,False,0,True,True
2009-10-29,37.45,Brooklyn Nets,Washington Wizards,4,72-71,0,free throw,False,15,True,True
2009-10-29,45.8166666667,Brooklyn Nets,Washington Wizards,4,86-82,2,layup,False,0,False,True
2009-11-01,8.45,Brooklyn Nets,Golden State Warriors,1,20-16,-5,free throw,True,15,True,True
2009-11-01,8.45,Brooklyn Nets,Golden State Warriors,1,20-17,-4,free throw,True,15,True,True
2009-11-01,12.0,Brooklyn Nets,Golden State Warriors,2,24-25,-1,layup,True,0,False,True
2009-11-01,12.25,Brooklyn Nets,Golden State Warriors,2,24-27,1,dunk,True,0,True,True
2009-11-01,16.2,Brooklyn Nets,Golden State Warriors,2,32-33,-1,hook shot,True,8,False,True
2009-11-01,30.1,Brooklyn Nets,Golden State Warriors,3,68-63,-7,hook shot,True,6,True,True
2009-11-01,30.6,Brooklyn Nets,Golden State Warriors,3,71-63,-10,two point jumper,True,7,False,True
