date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2008-01-27,16.0,Golden State Warriors,New York Knicks,2,31-35,2,two point jumper,True,19,True,True
2008-01-27,18.1666666667,Golden State Warriors,New York Knicks,2,38-39,-1,two point jumper,True,16,True,True
2008-01-27,22.25,Golden State Warriors,New York Knicks,2,48-43,-8,three point jumper,True,23,False,True
2008-01-11,23.9666666667,Golden State Warriors,Memphis Grizzlies,2,54-67,10,three point jumper,True,24,True,True
2008-01-11,32.4666666667,Golden State Warriors,Memphis Grizzlies,3,71-90,17,two point jumper,True,16,False,True
2008-01-11,33.9,Golden State Warriors,Memphis Grizzlies,3,74-93,16,three point jumper,True,26,True,True
2008-01-11,36.9333333333,Golden State Warriors,Memphis Grizzlies,4,84-99,12,three point jumper,True,27,False,True
2008-01-13,16.1333333333,Golden State Warriors,Indiana Pacers,2,38-29,-12,three point jumper,True,25,False,True
2008-01-13,17.4833333333,Golden State Warriors,Indiana Pacers,2,39-31,-9,free throw,True,15,True,True
2008-01-13,17.4833333333,Golden State Warriors,Indiana Pacers,2,39-32,-8,free throw,True,15,True,True
2008-01-15,14.2,Golden State Warriors,Minnesota Timberwolves,2,29-28,-2,three point jumper,False,23,False,False
2008-01-15,17.7833333333,Golden State Warriors,Minnesota Timberwolves,2,34-34,-1,free throw,False,15,False,False
2008-01-15,22.2833333333,Golden State Warriors,Minnesota Timberwolves,2,51-40,10,free throw,False,15,True,False
2008-01-15,22.2833333333,Golden State Warriors,Minnesota Timberwolves,2,52-40,11,free throw,False,15,True,False
2008-01-16,35.2833333333,Golden State Warriors,Indiana Pacers,3,90-76,13,free throw,False,15,False,False
2008-01-16,35.2833333333,Golden State Warriors,Indiana Pacers,3,91-76,14,free throw,False,15,True,False
2008-01-19,11.6833333333,Golden State Warriors,Milwaukee Bucks,1,22-24,-5,three point jumper,False,23,False,False
2008-01-19,21.7333333333,Golden State Warriors,Milwaukee Bucks,2,46-48,-4,two point jumper,False,21,False,False
2008-01-19,22.3833333333,Golden State Warriors,Milwaukee Bucks,2,50-48,0,layup,False,0,True,False
2008-01-19,22.3833333333,Golden State Warriors,Milwaukee Bucks,2,51-48,2,free throw,False,15,True,False
2008-01-19,24.0,Golden State Warriors,Milwaukee Bucks,2,53-52,-2,three point jumper,False,40,False,False
2008-01-19,35.0,Golden State Warriors,Milwaukee Bucks,3,85-72,10,three point jumper,False,24,True,False
2008-01-19,39.3666666667,Golden State Warriors,Milwaukee Bucks,4,105-79,23,three point jumper,False,26,True,False
2008-01-19,40.1,Golden State Warriors,Milwaukee Bucks,4,105-82,20,three point jumper,False,25,False,False
2008-01-19,43.4166666667,Golden State Warriors,Milwaukee Bucks,4,113-86,25,two point jumper,False,13,True,False
2008-01-19,44.7,Golden State Warriors,Milwaukee Bucks,4,113-88,23,two point jumper,False,23,False,False
2008-01-19,46.4833333333,Golden State Warriors,Milwaukee Bucks,4,117-93,22,layup,False,0,True,False
2008-01-21,18.0,Golden State Warriors,Minnesota Timberwolves,2,44-44,-2,layup,True,0,True,False
2008-01-21,19.5333333333,Golden State Warriors,Minnesota Timberwolves,2,47-44,-5,two point jumper,True,18,False,False
2008-01-21,46.0,Golden State Warriors,Minnesota Timberwolves,4,107-106,-2,free throw,True,15,True,False
2008-01-21,46.0,Golden State Warriors,Minnesota Timberwolves,4,107-107,-1,free throw,True,15,True,False
2008-01-29,13.3333333333,Golden State Warriors,Houston Rockets,2,23-33,-12,layup,False,0,True,False
2008-01-29,18.7,Golden State Warriors,Houston Rockets,2,31-47,-18,two point jumper,False,20,False,False
2008-01-30,22.1333333333,Golden State Warriors,New Orleans Pelicans,2,51-49,0,two point jumper,False,7,False,True
2008-01-30,22.3666666667,Golden State Warriors,New Orleans Pelicans,2,51-49,-1,three point jumper,False,24,False,True
2008-01-30,22.8833333333,Golden State Warriors,New Orleans Pelicans,2,51-52,-4,three point jumper,False,25,False,True
2008-02-01,19.7833333333,Golden State Warriors,Charlotte Bobcats,2,35-61,24,layup,True,0,True,False
2008-02-01,20.2833333333,Golden State Warriors,Charlotte Bobcats,2,36-62,25,free throw,True,15,True,False
2008-02-01,20.2833333333,Golden State Warriors,Charlotte Bobcats,2,36-63,26,free throw,True,15,True,False
2008-02-01,22.2666666667,Golden State Warriors,Charlotte Bobcats,2,42-68,24,two point jumper,True,3,False,False
2008-02-01,23.4666666667,Golden State Warriors,Charlotte Bobcats,2,48-69,19,two point jumper,True,4,False,False
2008-02-01,23.4833333333,Golden State Warriors,Charlotte Bobcats,2,48-69,19,layup,True,0,False,False
2008-02-01,36.7166666667,Golden State Warriors,Charlotte Bobcats,4,70-103,31,two point jumper,True,9,True,False
2008-02-01,40.3833333333,Golden State Warriors,Charlotte Bobcats,4,77-109,30,two point jumper,True,16,False,False
2008-02-01,42.9833333333,Golden State Warriors,Charlotte Bobcats,4,81-116,33,two point jumper,True,18,True,False
