date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-11-01,22.9666666667,New Orleans Pelicans,Boston Celtics,2,50-37,12,free throw,False,15,False,True
2007-11-01,22.9666666667,New Orleans Pelicans,Boston Celtics,2,51-37,13,free throw,False,15,True,True
2007-11-01,23.35,New Orleans Pelicans,Boston Celtics,2,53-39,12,tip shot,False,0,True,True
2007-11-01,23.5833333333,New Orleans Pelicans,Boston Celtics,2,54-41,12,free throw,False,15,True,True
2007-11-01,23.5833333333,New Orleans Pelicans,Boston Celtics,2,54-41,12,free throw,False,15,False,True
2007-03-19,44.3666666667,New Orleans Pelicans,Boston Celtics,4,74-102,26,two point shot,True,1,True,False
2007-03-19,44.3666666667,New Orleans Pelicans,Boston Celtics,4,74-102,27,free throw,True,15,False,False
2007-11-28,7.21666666667,New Orleans Pelicans,Toronto Raptors,1,10-13,1,layup,True,0,False,False
2007-11-28,8.96666666667,New Orleans Pelicans,Toronto Raptors,1,14-19,3,two point jumper,True,19,True,False
2007-11-28,9.56666666667,New Orleans Pelicans,Toronto Raptors,1,16-21,3,layup,True,0,True,False
2007-11-28,14.0,New Orleans Pelicans,Toronto Raptors,2,29-27,-4,two point shot,True,1,True,False
2007-11-28,17.8833333333,New Orleans Pelicans,Toronto Raptors,2,42-35,-9,two point jumper,True,18,False,False
2007-11-28,34.75,New Orleans Pelicans,Toronto Raptors,3,72-59,-15,two point jumper,True,18,False,False
2007-11-07,8.16666666667,New Orleans Pelicans,Golden State Warriors,1,15-26,10,free throw,True,15,True,True
2007-11-07,8.16666666667,New Orleans Pelicans,Golden State Warriors,1,15-27,11,free throw,True,15,True,True
2007-11-07,10.1833333333,New Orleans Pelicans,Golden State Warriors,1,17-29,10,dunk,True,0,False,True
2007-11-07,10.65,New Orleans Pelicans,Golden State Warriors,1,17-29,10,two point jumper,True,1,False,True
2007-11-07,37.3833333333,New Orleans Pelicans,Golden State Warriors,4,68-74,4,two point jumper,True,7,False,True
2007-11-09,36.0,New Orleans Pelicans,Golden State Warriors,3,83-92,-11,two point jumper,False,17,False,False
2007-12-09,0.933333333333,New Orleans Pelicans,Golden State Warriors,1,2-0,0,dunk,False,0,True,True
2007-12-09,1.36666666667,New Orleans Pelicans,Golden State Warriors,1,2-2,-2,two point shot,False,9,False,True
2007-12-09,2.68333333333,New Orleans Pelicans,Golden State Warriors,1,6-5,-1,dunk,False,0,True,True
2007-12-09,4.0,New Orleans Pelicans,Golden State Warriors,1,10-5,3,two point shot,False,1,True,True
2007-12-09,16.0333333333,New Orleans Pelicans,Golden State Warriors,2,31-27,2,two point jumper,False,17,False,True
2007-12-09,16.45,New Orleans Pelicans,Golden State Warriors,2,31-29,0,two point jumper,False,11,False,True
2007-12-09,29.5666666667,New Orleans Pelicans,Golden State Warriors,3,52-58,-8,two point jumper,False,18,False,True
2007-11-12,13.5,New Orleans Pelicans,Los Angeles Clippers,2,20-25,-7,two point jumper,False,1,True,False
2007-11-12,16.0,New Orleans Pelicans,Los Angeles Clippers,2,27-33,-8,two point jumper,False,21,True,False
2007-11-12,17.4166666667,New Orleans Pelicans,Los Angeles Clippers,2,29-35,-8,two point jumper,False,16,True,False
2007-11-12,18.9166666667,New Orleans Pelicans,Los Angeles Clippers,2,35-39,-6,two point jumper,False,18,True,False
2007-12-06,9.85,New Orleans Pelicans,Los Angeles Lakers,1,21-27,-8,dunk,False,0,True,False
2007-12-06,11.7666666667,New Orleans Pelicans,Los Angeles Lakers,1,30-34,-6,layup,False,0,True,False
2007-12-06,12.7,New Orleans Pelicans,Los Angeles Lakers,2,32-34,-4,dunk,False,0,True,False
2007-12-06,17.2,New Orleans Pelicans,Los Angeles Lakers,2,38-38,-2,two point jumper,False,17,False,False
2007-11-22,16.5,New Orleans Pelicans,Phoenix Suns,2,36-37,-3,two point jumper,False,19,False,False
2007-02-14,42.7333333333,New Orleans Pelicans,Sacramento Kings,4,79-104,23,two point jumper,True,16,False,False
2007-04-16,12.95,New Orleans Pelicans,Sacramento Kings,2,31-33,-4,two point jumper,False,14,False,True
2007-04-16,17.5333333333,New Orleans Pelicans,Sacramento Kings,2,37-46,-11,two point jumper,False,17,False,True
2007-12-01,12.2666666667,New Orleans Pelicans,Chicago Bulls,2,28-24,-6,two point jumper,True,16,False,False
2007-12-01,13.45,New Orleans Pelicans,Chicago Bulls,2,31-24,-8,free throw,True,15,False,False
2007-12-01,13.45,New Orleans Pelicans,Chicago Bulls,2,31-24,-8,free throw,True,15,False,False
2007-12-01,14.0166666667,New Orleans Pelicans,Chicago Bulls,2,31-26,-7,layup,True,0,True,False
2007-12-11,2.56666666667,New Orleans Pelicans,Cleveland Cavaliers,1,4-5,-1,two point jumper,True,16,True,True
2007-12-11,3.63333333333,New Orleans Pelicans,Cleveland Cavaliers,1,6-5,-3,two point jumper,True,16,False,True
2007-12-11,4.35,New Orleans Pelicans,Cleveland Cavaliers,1,8-5,-4,free throw,True,15,False,True
2007-12-11,4.35,New Orleans Pelicans,Cleveland Cavaliers,1,8-6,-3,free throw,True,15,True,True
2007-12-11,16.0333333333,New Orleans Pelicans,Cleveland Cavaliers,2,34-33,-3,two point jumper,True,17,True,True
2007-12-11,30.5,New Orleans Pelicans,Cleveland Cavaliers,3,65-62,-5,two point jumper,True,18,False,True
2007-11-15,7.13333333333,New Orleans Pelicans,Detroit Pistons,1,16-14,0,two point jumper,False,22,False,False
2007-11-15,9.05,New Orleans Pelicans,Detroit Pistons,1,20-18,0,tip shot,False,0,False,False
2007-11-15,13.0,New Orleans Pelicans,Detroit Pistons,2,31-24,5,layup,False,0,True,False
2007-11-15,22.1166666667,New Orleans Pelicans,Detroit Pistons,2,58-43,13,two point jumper,False,13,True,False
2007-11-15,23.95,New Orleans Pelicans,Detroit Pistons,2,60-49,9,layup,False,0,True,False
2007-11-15,36.75,New Orleans Pelicans,Detroit Pistons,4,81-76,3,two point jumper,False,15,False,False
2007-01-04,14.25,New Orleans Pelicans,Detroit Pistons,2,35-21,-16,two point jumper,True,15,True,False
2007-01-04,40.0333333333,New Orleans Pelicans,Detroit Pistons,4,77-63,-16,two point shot,True,1,True,False
2007-11-03,8.28333333333,New Orleans Pelicans,Indiana Pacers,1,16-11,3,layup,False,0,False,False
2007-11-03,38.8333333333,New Orleans Pelicans,Indiana Pacers,4,77-74,1,dunk,False,0,True,False
2007-01-06,10.7833333333,New Orleans Pelicans,Indiana Pacers,1,21-14,-9,two point jumper,True,18,True,True
2007-01-06,11.85,New Orleans Pelicans,Indiana Pacers,1,23-16,-9,layup,True,0,False,True
2007-04-03,45.65,New Orleans Pelicans,Milwaukee Bucks,4,119-93,24,layup,False,0,True,True
2007-04-03,47.0166666667,New Orleans Pelicans,Milwaukee Bucks,4,119-97,20,dunk,False,0,False,True
2007-04-03,47.6833333333,New Orleans Pelicans,Milwaukee Bucks,4,119-101,16,tip shot,False,0,False,True
2007-11-25,11.45,New Orleans Pelicans,Dallas Mavericks,1,14-33,-21,two point jumper,False,20,False,False
2007-11-25,11.9,New Orleans Pelicans,Dallas Mavericks,1,14-35,-23,two point jumper,False,18,False,False
2007-11-25,34.8333333333,New Orleans Pelicans,Dallas Mavericks,3,53-68,-17,two point jumper,False,15,False,False
2007-11-25,35.8833333333,New Orleans Pelicans,Dallas Mavericks,3,53-70,-19,two point jumper,False,18,False,False
2007-12-16,1.25,New Orleans Pelicans,Dallas Mavericks,1,4-0,-6,two point jumper,True,17,False,False
2007-12-16,2.43333333333,New Orleans Pelicans,Dallas Mavericks,1,9-0,-11,two point jumper,True,7,False,False
2007-12-16,4.2,New Orleans Pelicans,Dallas Mavericks,1,13-4,-11,dunk,True,0,False,False
2007-12-16,6.73333333333,New Orleans Pelicans,Dallas Mavericks,1,13-8,-7,two point jumper,True,17,False,False
2007-12-16,22.6166666667,New Orleans Pelicans,Dallas Mavericks,2,38-38,-2,layup,True,0,True,False
2007-12-16,25.8833333333,New Orleans Pelicans,Dallas Mavericks,3,44-42,-4,two point jumper,True,18,False,False
2007-12-30,9.28333333333,New Orleans Pelicans,Dallas Mavericks,1,18-26,-10,tip shot,False,0,True,False
2007-12-30,13.3666666667,New Orleans Pelicans,Dallas Mavericks,2,30-32,-4,dunk,False,0,True,False
2007-12-30,15.8833333333,New Orleans Pelicans,Dallas Mavericks,2,34-35,-3,two point jumper,False,16,False,False
2007-12-30,17.2833333333,New Orleans Pelicans,Dallas Mavericks,2,34-38,-6,two point shot,False,9,False,False
2007-12-30,38.0166666667,New Orleans Pelicans,Dallas Mavericks,4,60-77,-19,layup,False,0,True,False
2007-03-27,39.3166666667,New Orleans Pelicans,Dallas Mavericks,4,93-62,-33,layup,True,0,False,True
2007-03-27,46.0333333333,New Orleans Pelicans,Dallas Mavericks,4,101-78,-25,layup,True,0,False,True
2007-11-05,15.6333333333,New Orleans Pelicans,Houston Rockets,2,23-28,3,two point jumper,True,14,False,True
2007-11-05,32.3333333333,New Orleans Pelicans,Houston Rockets,3,63-62,-2,free throw,True,15,False,True
2007-11-05,32.3333333333,New Orleans Pelicans,Houston Rockets,3,63-62,-2,free throw,True,15,False,True
2007-11-18,8.35,New Orleans Pelicans,Minnesota Timberwolves,1,26-20,4,layup,False,0,True,True
2007-11-18,10.6666666667,New Orleans Pelicans,Minnesota Timberwolves,1,32-24,6,two point jumper,False,9,True,True
2007-11-18,14.7,New Orleans Pelicans,Minnesota Timberwolves,2,38-28,8,dunk,False,0,True,True
2007-11-18,29.2833333333,New Orleans Pelicans,Minnesota Timberwolves,3,56-60,-6,two point jumper,False,17,False,True
2007-11-18,30.7833333333,New Orleans Pelicans,Minnesota Timberwolves,3,60-64,-6,two point jumper,False,19,False,True
2007-11-18,32.75,New Orleans Pelicans,Minnesota Timberwolves,3,61-66,-7,two point jumper,False,18,False,True
2007-11-21,6.91666666667,New Orleans Pelicans,Miami Heat,1,10-16,4,layup,True,0,False,False
2007-11-21,11.0,New Orleans Pelicans,Miami Heat,1,17-21,3,free throw,True,15,False,False
2007-11-21,11.0,New Orleans Pelicans,Miami Heat,1,17-21,3,free throw,True,15,False,False
2007-11-21,33.3166666667,New Orleans Pelicans,Miami Heat,3,61-70,8,free throw,True,15,True,False
2007-11-21,33.3166666667,New Orleans Pelicans,Miami Heat,3,61-70,8,free throw,True,15,False,False
2007-11-21,36.8833333333,New Orleans Pelicans,Miami Heat,4,71-78,6,free throw,True,15,False,False
2007-11-21,36.8833333333,New Orleans Pelicans,Miami Heat,4,71-78,6,free throw,True,15,False,False
2007-11-24,7.35,New Orleans Pelicans,Minnesota Timberwolves,1,19-16,-5,two point jumper,True,1,True,False
2007-11-24,9.0,New Orleans Pelicans,Minnesota Timberwolves,1,19-16,-5,two point jumper,True,17,False,False
2007-11-24,10.6833333333,New Orleans Pelicans,Minnesota Timberwolves,1,21-20,-3,layup,True,0,True,False
2007-11-24,14.1166666667,New Orleans Pelicans,Minnesota Timberwolves,2,25-26,-1,two point jumper,True,1,False,False
2007-12-08,7.88333333333,New Orleans Pelicans,Oklahoma City Thunder,1,10-18,-10,two point jumper,False,14,True,False
2007-12-08,10.3333333333,New Orleans Pelicans,Oklahoma City Thunder,1,15-25,-12,two point jumper,False,14,False,False
2007-12-08,15.75,New Orleans Pelicans,Oklahoma City Thunder,2,20-33,-15,two point jumper,False,15,True,False
2007-12-08,35.2833333333,New Orleans Pelicans,Oklahoma City Thunder,3,60-70,-12,two point jumper,False,18,False,False
2007-12-08,37.3166666667,New Orleans Pelicans,Oklahoma City Thunder,4,62-78,-18,dunk,False,0,False,False
2007-12-08,38.25,New Orleans Pelicans,Oklahoma City Thunder,4,64-80,-18,two point jumper,False,14,True,False
2007-12-08,38.9333333333,New Orleans Pelicans,Oklahoma City Thunder,4,64-80,-18,two point jumper,False,17,False,False
2007-12-14,3.2,New Orleans Pelicans,San Antonio Spurs,1,11-2,-11,two point jumper,True,17,False,True
2007-12-14,6.1,New Orleans Pelicans,San Antonio Spurs,1,17-8,-11,dunk,True,0,False,True
2007-12-14,22.6166666667,New Orleans Pelicans,San Antonio Spurs,2,51-38,-15,two point jumper,True,11,False,True
2007-12-14,23.3166666667,New Orleans Pelicans,San Antonio Spurs,2,53-38,-17,layup,True,0,False,True
2007-12-14,24.3833333333,New Orleans Pelicans,San Antonio Spurs,3,53-42,-12,free throw,True,15,False,True
2007-12-14,24.3833333333,New Orleans Pelicans,San Antonio Spurs,3,53-43,-11,free throw,True,15,True,True
2007-12-14,26.8333333333,New Orleans Pelicans,San Antonio Spurs,3,61-47,-16,two point jumper,True,16,True,True
2007-12-14,27.5833333333,New Orleans Pelicans,San Antonio Spurs,3,62-49,-15,layup,True,0,True,True
2007-12-14,29.0333333333,New Orleans Pelicans,San Antonio Spurs,3,68-53,-17,layup,True,0,True,True
2007-12-18,13.05,New Orleans Pelicans,Miami Heat,2,30-33,-5,two point jumper,False,1,True,True
2007-12-18,16.0,New Orleans Pelicans,Miami Heat,2,38-41,-5,layup,False,0,False,True
2007-12-23,13.15,New Orleans Pelicans,San Antonio Spurs,2,30-23,-9,two point jumper,True,17,False,True
2007-12-23,15.2666666667,New Orleans Pelicans,San Antonio Spurs,2,32-28,-6,two point jumper,True,19,False,True
2007-12-23,37.7,New Orleans Pelicans,San Antonio Spurs,4,93-68,-27,two point jumper,True,15,False,True
2007-12-23,38.6333333333,New Orleans Pelicans,San Antonio Spurs,4,95-70,-27,layup,True,0,False,True
2007-12-23,42.3166666667,New Orleans Pelicans,San Antonio Spurs,4,103-75,-30,two point shot,True,10,True,True
2007-12-23,44.15,New Orleans Pelicans,San Antonio Spurs,4,107-75,-34,two point jumper,True,17,False,True
2007-12-27,9.43333333333,New Orleans Pelicans,Portland Trail Blazers,1,14-22,-9,free throw,False,15,True,True
2007-12-27,9.43333333333,New Orleans Pelicans,Portland Trail Blazers,1,15-22,-8,free throw,False,15,True,True
2007-12-27,13.95,New Orleans Pelicans,Portland Trail Blazers,2,27-32,-7,two point shot,False,1,True,True
2007-12-27,15.5166666667,New Orleans Pelicans,Portland Trail Blazers,2,30-36,-8,dunk,False,0,True,True
2007-12-27,33.0,New Orleans Pelicans,Portland Trail Blazers,3,57-73,-17,free throw,False,15,False,True
2007-12-27,33.0,New Orleans Pelicans,Portland Trail Blazers,3,57-73,-17,free throw,False,15,False,True
2007-12-27,35.1666666667,New Orleans Pelicans,Portland Trail Blazers,3,60-75,-17,two point jumper,False,20,False,True
2007-12-27,35.8833333333,New Orleans Pelicans,Portland Trail Blazers,3,60-80,-22,two point jumper,False,20,False,True
2007-12-27,36.8,New Orleans Pelicans,Portland Trail Blazers,4,61-82,-23,two point jumper,False,21,False,True
2007-12-27,37.7666666667,New Orleans Pelicans,Portland Trail Blazers,4,64-85,-22,free throw,False,15,True,True
2007-12-27,37.7666666667,New Orleans Pelicans,Portland Trail Blazers,4,65-85,-21,free throw,False,15,True,True
2007-12-27,39.75,New Orleans Pelicans,Portland Trail Blazers,4,70-85,-17,dunk,False,0,True,True
2007-12-29,6.85,New Orleans Pelicans,Denver Nuggets,1,16-16,-2,two point jumper,True,4,False,True
2007-12-29,7.25,New Orleans Pelicans,Denver Nuggets,1,18-18,-2,dunk,True,0,True,True
2007-12-29,13.5666666667,New Orleans Pelicans,Denver Nuggets,2,34-26,-10,two point jumper,True,7,False,True
2007-12-29,22.85,New Orleans Pelicans,Denver Nuggets,2,55-53,-4,layup,True,0,True,True
2007-12-29,23.45,New Orleans Pelicans,Denver Nuggets,2,57-55,-4,two point jumper,True,6,True,True
2007-12-29,36.3666666667,New Orleans Pelicans,Denver Nuggets,4,75-74,-3,two point jumper,True,8,True,True
2007-12-29,36.8,New Orleans Pelicans,Denver Nuggets,4,75-76,-1,dunk,True,0,True,True
2007-01-10,47.0666666667,New Orleans Pelicans,Atlanta Hawks,4,96-76,18,dunk,False,0,False,True
2007-02-07,37.2166666667,New Orleans Pelicans,Denver Nuggets,4,78-83,-6,free throw,False,15,False,True
2007-02-07,37.2166666667,New Orleans Pelicans,Denver Nuggets,4,79-83,-5,free throw,False,15,True,True
2007-03-17,44.0666666667,New Orleans Pelicans,Washington Wizards,4,94-119,-27,dunk,False,0,True,False
2007-03-17,45.4166666667,New Orleans Pelicans,Washington Wizards,4,96-121,-27,two point shot,False,13,True,False
2007-03-17,47.7,New Orleans Pelicans,Washington Wizards,4,103-125,-24,dunk,False,0,True,False
2008-03-07,47.0,Chicago Bulls,Boston Celtics,4,91-111,-22,two point jumper,False,20,False,True
2008-04-16,47.55,Chicago Bulls,Toronto Raptors,4,97-107,9,free throw,True,15,False,False
2008-04-16,47.55,Chicago Bulls,Toronto Raptors,4,97-107,9,free throw,True,15,False,False
2008-11-09,11.9666666667,Cleveland Cavaliers,Sacramento Kings,1,23-21,1,free throw,False,15,False,True
2008-11-09,11.9666666667,Cleveland Cavaliers,Sacramento Kings,1,23-21,1,free throw,False,15,False,True
2008-02-24,45.9666666667,Chicago Bulls,Houston Rockets,4,92-108,-18,dunk,False,0,True,True
2008-03-06,47.0,Chicago Bulls,Cleveland Cavaliers,4,92-107,13,two point jumper,True,10,False,False
2008-04-09,46.9833333333,Chicago Bulls,Orlando Magic,4,83-115,-34,layup,False,0,False,True
2008-04-09,47.5333333333,Chicago Bulls,Orlando Magic,4,83-115,-34,two point jumper,False,20,False,True
2008-04-13,47.3166666667,Chicago Bulls,Orlando Magic,4,104-82,-24,dunk,True,0,True,True
2008-11-12,10.1166666667,Cleveland Cavaliers,Denver Nuggets,1,13-19,-8,layup,False,0,False,False
2008-11-12,10.8,Cleveland Cavaliers,Denver Nuggets,1,18-19,-3,dunk,False,0,True,False
2008-11-12,30.95,Cleveland Cavaliers,Denver Nuggets,3,57-80,-24,free throw,False,15,False,False
2008-11-12,30.95,Cleveland Cavaliers,Denver Nuggets,3,57-80,-24,free throw,False,15,False,False
2008-11-12,41.9166666667,Cleveland Cavaliers,Denver Nuggets,4,85-110,-26,free throw,False,15,False,False
2008-11-12,41.9166666667,Cleveland Cavaliers,Denver Nuggets,4,85-110,-26,free throw,False,15,False,False
2008-11-12,43.1333333333,Cleveland Cavaliers,Denver Nuggets,4,89-110,-22,free throw,False,15,False,False
2008-11-12,43.1333333333,Cleveland Cavaliers,Denver Nuggets,4,89-110,-22,free throw,False,15,False,False
2008-11-16,36.0,Cleveland Cavaliers,Utah Jazz,3,74-68,-8,two point shot,True,1,False,True
2008-02-07,47.4,Cleveland Cavaliers,Houston Rockets,4,77-92,-17,two point jumper,False,15,False,False
2008-02-10,41.4166666667,Cleveland Cavaliers,Denver Nuggets,4,101-75,-28,layup,True,0,True,True
2009-12-19,36.8833333333,Chicago Bulls,Boston Celtics,4,84-100,-18,two point jumper,False,6,True,False
2009-12-19,36.8833333333,Chicago Bulls,Boston Celtics,4,84-100,-17,free throw,False,15,False,False
2009-12-19,37.9666666667,Chicago Bulls,Boston Celtics,4,87-106,-20,free throw,False,15,True,False
2009-12-19,37.9666666667,Chicago Bulls,Boston Celtics,4,87-106,-20,free throw,False,15,False,False
2009-12-19,40.7833333333,Chicago Bulls,Boston Celtics,4,92-112,-22,layup,False,0,False,False
2009-12-19,42.2166666667,Chicago Bulls,Boston Celtics,4,94-114,-22,layup,False,0,True,False
2009-12-19,44.7,Chicago Bulls,Boston Celtics,4,98-116,-19,free throw,False,15,True,False
2009-12-19,44.7,Chicago Bulls,Boston Celtics,4,98-116,-19,free throw,False,15,False,False
2009-12-19,47.3,Chicago Bulls,Boston Celtics,4,106-126,-22,layup,False,0,False,False
2009-12-19,47.5,Chicago Bulls,Boston Celtics,4,106-126,-22,two point jumper,False,13,False,False
2009-12-19,47.65,Chicago Bulls,Boston Celtics,4,108-126,-20,two point jumper,False,15,True,False
2009-11-18,47.2,Chicago Bulls,Los Angeles Lakers,4,104-116,-13,free throw,False,15,False,False
2009-11-18,47.2,Chicago Bulls,Los Angeles Lakers,4,105-116,-12,free throw,False,15,True,False
2009-04-03,45.4166666667,Sacramento Kings,Phoenix Suns,4,110-135,-26,free throw,False,15,False,False
2009-04-03,45.4166666667,Sacramento Kings,Phoenix Suns,4,111-135,-25,free throw,False,15,True,False
2009-04-03,47.5833333333,Sacramento Kings,Phoenix Suns,4,111-139,-30,two point shot,False,1,False,False
2009-01-30,44.9,Chicago Bulls,Sacramento Kings,4,104-79,23,two point shot,False,1,True,False
2009-01-30,45.8666666667,Chicago Bulls,Sacramento Kings,4,104-82,21,free throw,False,15,False,False
2009-01-30,45.8666666667,Chicago Bulls,Sacramento Kings,4,105-82,22,free throw,False,15,True,False
2009-01-30,46.9333333333,Chicago Bulls,Sacramento Kings,4,109-86,21,layup,False,0,True,False
2009-02-23,17.1333333333,Sacramento Kings,New Orleans Pelicans,2,44-33,-13,two point shot,True,6,False,False
2009-04-13,47.35,Sacramento Kings,Denver Nuggets,4,98-118,-22,two point jumper,False,18,False,True
2009-11-15,47.6166666667,Chicago Bulls,Indiana Pacers,4,89-104,13,layup,True,0,True,False
2009-11-19,23.0833333333,Chicago Bulls,Portland Trail Blazers,2,35-62,-28,free throw,False,15,True,True
2009-11-19,23.0833333333,Chicago Bulls,Portland Trail Blazers,2,35-62,-28,free throw,False,15,False,True
2009-11-19,42.85,Chicago Bulls,Portland Trail Blazers,4,64-106,-44,hook shot,False,4,True,True
2009-11-19,43.9833333333,Chicago Bulls,Portland Trail Blazers,4,64-106,-44,hook shot,False,1,False,True
2009-11-19,44.7,Chicago Bulls,Portland Trail Blazers,4,64-109,-47,two point jumper,False,5,False,True
2009-01-02,21.4333333333,Chicago Bulls,Cleveland Cavaliers,2,35-52,-19,tip shot,False,0,False,True
2009-01-02,21.7166666667,Chicago Bulls,Cleveland Cavaliers,2,37-54,-19,dunk,False,0,True,True
2009-01-02,23.4,Chicago Bulls,Cleveland Cavaliers,2,43-58,-17,dunk,False,0,True,True
2009-01-02,23.4,Chicago Bulls,Cleveland Cavaliers,2,43-58,-16,free throw,False,15,False,True
