date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-02-10,37.95,Portland Trail Blazers,Boston Celtics,4,63-96,-36,three point jumper,False,23,False,True
2006-02-10,38.5666666667,Portland Trail Blazers,Boston Celtics,4,63-96,-36,three point jumper,False,23,False,True
2006-02-10,45.1,Portland Trail Blazers,Boston Celtics,4,79-108,-31,layup,False,0,True,True
2006-02-10,46.1333333333,Portland Trail Blazers,Boston Celtics,4,79-111,-35,three point jumper,False,23,False,True
2006-01-18,23.15,Portland Trail Blazers,Toronto Raptors,2,49-51,0,layup,True,0,True,True
2006-01-18,23.15,Portland Trail Blazers,Toronto Raptors,2,49-52,2,free throw,True,15,True,True
2006-01-18,23.5833333333,Portland Trail Blazers,Toronto Raptors,2,49-52,0,three point jumper,True,25,False,True
2006-02-12,17.6666666667,Portland Trail Blazers,Toronto Raptors,2,23-40,-20,three point jumper,False,23,True,True
2006-02-12,22.25,Portland Trail Blazers,Toronto Raptors,2,34-48,-17,three point jumper,False,25,True,True
2006-02-12,28.4833333333,Portland Trail Blazers,Toronto Raptors,3,42-65,-25,two point jumper,False,6,False,True
2006-02-12,30.1333333333,Portland Trail Blazers,Toronto Raptors,3,45-72,-30,three point jumper,False,25,True,True
2006-02-12,31.0333333333,Portland Trail Blazers,Toronto Raptors,3,45-74,-32,three point jumper,False,25,False,True
2006-02-12,31.95,Portland Trail Blazers,Toronto Raptors,3,47-76,-31,two point jumper,False,23,True,True
2006-02-12,47.35,Portland Trail Blazers,Toronto Raptors,4,79-114,-37,two point jumper,False,16,False,True
2006-01-28,47.15,Portland Trail Blazers,Golden State Warriors,4,83-98,-18,three point jumper,False,23,True,False
2006-01-01,18.75,Portland Trail Blazers,Los Angeles Clippers,2,46-32,-16,two point jumper,True,1,True,True
2006-01-01,22.4333333333,Portland Trail Blazers,Los Angeles Clippers,2,53-41,-15,three point jumper,True,25,True,True
2006-01-01,23.9833333333,Portland Trail Blazers,Los Angeles Clippers,2,55-46,-12,three point jumper,True,23,True,True
2006-12-20,11.15,Portland Trail Blazers,Detroit Pistons,1,23-19,1,three point jumper,False,27,False,False
2006-12-20,13.7,Portland Trail Blazers,Detroit Pistons,2,27-25,0,two point jumper,False,15,True,False
2006-12-20,35.2666666667,Portland Trail Blazers,Detroit Pistons,3,64-71,-8,free throw,False,15,False,False
2006-12-20,35.2666666667,Portland Trail Blazers,Detroit Pistons,3,64-71,-8,free throw,False,15,False,False
2006-02-08,35.1166666667,Portland Trail Blazers,Indiana Pacers,3,27-41,-16,two point jumper,False,19,False,True
2006-02-08,17.0833333333,Portland Trail Blazers,Indiana Pacers,5,62-84,-25,three point jumper,False,25,True,True
2006-02-27,47.4333333333,Denver Nuggets,Milwaukee Bucks,4,108-89,-22,three point jumper,True,24,False,True
2006-01-03,44.9,Portland Trail Blazers,Dallas Mavericks,4,77-91,-15,free throw,False,15,True,False
2006-01-03,44.9,Portland Trail Blazers,Dallas Mavericks,4,78-91,-14,free throw,False,15,True,False
2006-01-03,45.1666666667,Portland Trail Blazers,Dallas Mavericks,4,78-91,-16,three point jumper,False,25,False,False
2006-01-22,24.0,Portland Trail Blazers,Dallas Mavericks,2,39-41,-1,three point jumper,True,25,False,False
2006-12-21,5.88333333333,Portland Trail Blazers,Memphis Grizzlies,1,6-13,-9,two point jumper,False,20,False,False
2006-12-21,12.0,Portland Trail Blazers,Memphis Grizzlies,1,24-18,3,three point jumper,False,25,True,False
2006-12-21,14.0166666667,Portland Trail Blazers,Memphis Grizzlies,2,26-22,1,three point jumper,False,25,False,False
2006-02-15,5.28333333333,Portland Trail Blazers,New Orleans Pelicans,1,10-18,-11,three point jumper,False,24,False,True
2006-01-04,47.3,Portland Trail Blazers,San Antonio Spurs,4,73-103,-32,two point jumper,False,20,False,True
2006-11-27,9.01666666667,Portland Trail Blazers,Atlanta Hawks,1,13-14,-3,two point jumper,False,17,False,True
2006-11-27,10.8333333333,Portland Trail Blazers,Atlanta Hawks,1,21-16,2,three point jumper,False,23,False,True
2006-11-27,12.4,Portland Trail Blazers,Atlanta Hawks,2,25-18,5,layup,False,0,False,True
2006-11-27,14.1833333333,Portland Trail Blazers,Atlanta Hawks,2,27-22,3,two point jumper,False,16,False,True
2006-02-13,2.95,Portland Trail Blazers,Charlotte Bobcats,1,7-7,-3,three point jumper,False,26,True,True
2006-02-13,8.46666666667,Portland Trail Blazers,Charlotte Bobcats,1,14-13,-2,three point jumper,False,25,False,True
2006-02-13,28.8833333333,Portland Trail Blazers,Charlotte Bobcats,3,57-45,9,three point jumper,False,26,False,True
2006-02-13,32.1666666667,Portland Trail Blazers,Charlotte Bobcats,3,57-56,-2,three point jumper,False,26,False,True
2006-12-18,11.3333333333,Portland Trail Blazers,Washington Wizards,1,19-18,-4,three point jumper,True,23,False,True
2006-12-18,13.25,Portland Trail Blazers,Washington Wizards,2,20-23,1,two point jumper,True,19,True,True
2006-12-18,14.4666666667,Portland Trail Blazers,Washington Wizards,2,22-26,1,three point jumper,True,25,False,True
