date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2010-03-19,15.6333333333,Houston Rockets,Boston Celtics,2,33-26,-9,two point shot,True,1,True,False
2010-03-19,16.4166666667,Houston Rockets,Boston Celtics,2,35-26,-12,three point jumper,True,24,False,False
2010-04-02,4.85,Houston Rockets,Boston Celtics,1,11-15,-6,two point jumper,False,6,True,True
2010-04-02,5.78333333333,Houston Rockets,Boston Celtics,1,11-20,-11,two point jumper,False,20,False,True
2010-04-02,7.7,Houston Rockets,Boston Celtics,1,17-24,-10,three point jumper,False,25,True,True
2010-04-02,23.95,Houston Rockets,Boston Celtics,2,57-53,1,three point jumper,False,24,True,True
2010-04-02,24.8166666667,Houston Rockets,Boston Celtics,3,60-55,2,three point jumper,False,24,True,True
2010-04-02,25.3833333333,Houston Rockets,Boston Celtics,3,62-55,5,two point jumper,False,18,True,True
2010-04-02,26.7,Houston Rockets,Boston Celtics,3,62-59,1,two point jumper,False,5,False,True
2010-04-02,27.2666666667,Houston Rockets,Boston Celtics,3,62-62,-2,two point jumper,False,13,False,True
2010-04-02,31.4833333333,Houston Rockets,Boston Celtics,3,76-74,0,two point shot,False,3,True,True
2010-04-02,35.6666666667,Houston Rockets,Boston Celtics,3,87-83,1,three point jumper,False,25,True,True
2010-04-02,41.9166666667,Houston Rockets,Boston Celtics,4,91-96,-8,three point jumper,False,24,False,True
2010-04-02,45.4,Houston Rockets,Boston Celtics,4,101-104,-6,three point jumper,False,25,True,True
2010-04-02,18.65,Houston Rockets,Boston Celtics,5,109-112,-6,three point jumper,False,23,False,True
2010-04-02,20.0666666667,Houston Rockets,Boston Celtics,5,113-114,-4,three point jumper,False,23,True,True
2010-03-13,12.75,Houston Rockets,Brooklyn Nets,2,31-33,-1,three point jumper,True,26,False,True
2010-03-13,15.4,Houston Rockets,Brooklyn Nets,2,36-35,-3,two point jumper,True,15,False,True
2010-03-13,18.3833333333,Houston Rockets,Brooklyn Nets,2,43-43,-2,layup,True,0,True,True
2010-01-09,11.0,Houston Rockets,New York Knicks,1,31-21,-12,two point jumper,True,18,False,False
2010-01-09,13.4666666667,Houston Rockets,New York Knicks,2,34-28,-7,free throw,True,15,True,False
2010-01-09,13.4666666667,Houston Rockets,New York Knicks,2,34-29,-6,free throw,True,15,True,False
2010-01-09,14.3833333333,Houston Rockets,New York Knicks,2,39-31,-10,two point jumper,True,23,True,False
2010-01-09,18.7,Houston Rockets,New York Knicks,2,49-38,-13,layup,True,0,False,False
2010-01-09,33.0166666667,Houston Rockets,New York Knicks,3,73-74,-2,three point jumper,True,26,False,False
2010-01-09,34.2666666667,Houston Rockets,New York Knicks,3,75-76,-1,two point jumper,True,11,False,False
2010-01-09,37.0666666667,Houston Rockets,New York Knicks,4,80-82,0,two point jumper,True,21,True,False
2010-01-09,37.5666666667,Houston Rockets,New York Knicks,4,80-84,2,two point shot,True,1,True,False
2010-03-21,9.95,Houston Rockets,New York Knicks,1,11-22,-14,three point jumper,False,23,False,True
2010-03-21,12.2,Houston Rockets,New York Knicks,2,19-32,-15,two point jumper,False,21,True,True
2010-03-21,16.0333333333,Houston Rockets,New York Knicks,2,35-43,-11,three point jumper,False,27,True,True
2010-03-21,19.1333333333,Houston Rockets,New York Knicks,2,47-45,-1,three point jumper,False,25,True,True
2010-03-21,21.15,Houston Rockets,New York Knicks,2,54-54,-3,three point jumper,False,24,False,True
2010-03-21,30.95,Houston Rockets,New York Knicks,3,78-81,-4,free throw,False,15,True,True
2010-03-21,30.95,Houston Rockets,New York Knicks,3,78-81,-4,free throw,False,15,False,True
2010-03-21,31.95,Houston Rockets,New York Knicks,3,80-84,-6,dunk,False,0,True,True
2010-03-21,34.2666666667,Houston Rockets,New York Knicks,3,87-92,-8,three point jumper,False,24,True,True
2010-03-21,38.0666666667,Houston Rockets,New York Knicks,4,94-98,-7,three point jumper,False,24,False,True
2010-03-21,39.8166666667,Houston Rockets,New York Knicks,4,98-100,-4,layup,False,0,True,True
2010-03-21,40.2,Houston Rockets,New York Knicks,4,100-100,-2,layup,False,0,True,True
2010-03-21,41.3166666667,Houston Rockets,New York Knicks,4,103-104,-4,three point jumper,False,25,False,True
2010-12-11,10.7666666667,Houston Rockets,Philadelphia 76ers,1,16-27,-13,two point jumper,False,20,True,True
2010-12-11,13.25,Houston Rockets,Philadelphia 76ers,2,21-31,-12,layup,False,0,True,True
2010-12-11,13.25,Houston Rockets,Philadelphia 76ers,2,22-31,-10,free throw,False,15,True,True
2010-12-11,14.7,Houston Rockets,Philadelphia 76ers,2,25-33,-11,three point jumper,False,23,True,True
2010-12-11,15.3166666667,Houston Rockets,Philadelphia 76ers,2,27-35,-10,two point jumper,False,20,True,True
2010-12-11,16.1,Houston Rockets,Philadelphia 76ers,2,30-35,-8,three point jumper,False,24,False,True
2010-12-11,37.1333333333,Houston Rockets,Philadelphia 76ers,4,79-68,8,three point jumper,False,22,True,True
2010-12-11,37.8,Houston Rockets,Philadelphia 76ers,4,81-68,11,layup,False,0,True,True
2010-12-11,42.3833333333,Houston Rockets,Philadelphia 76ers,4,89-78,8,three point jumper,False,23,False,True
2010-02-06,11.9666666667,Houston Rockets,Philadelphia 76ers,1,26-22,-7,three point jumper,True,22,True,True
2010-02-06,12.3333333333,Houston Rockets,Philadelphia 76ers,2,26-22,-7,three point jumper,True,25,False,True
2010-02-06,12.6833333333,Houston Rockets,Philadelphia 76ers,2,26-22,-6,two point shot,True,14,False,True
2010-02-06,19.0,Houston Rockets,Philadelphia 76ers,2,34-45,9,layup,True,0,False,True
2010-02-06,19.7833333333,Houston Rockets,Philadelphia 76ers,2,37-45,5,three point jumper,True,25,False,True
2010-02-06,36.5,Houston Rockets,Philadelphia 76ers,4,72-76,1,three point jumper,True,26,False,True
2010-12-13,12.55,Houston Rockets,Toronto Raptors,2,17-32,-18,three point jumper,False,26,False,True
2010-12-13,14.0666666667,Houston Rockets,Toronto Raptors,2,19-35,-18,layup,False,0,True,True
2010-12-13,17.2833333333,Houston Rockets,Toronto Raptors,2,24-40,-18,two point jumper,False,21,False,True
2010-12-13,18.6,Houston Rockets,Toronto Raptors,2,30-42,-13,free throw,False,15,False,True
2010-12-13,18.6,Houston Rockets,Toronto Raptors,2,31-42,-12,free throw,False,15,True,True
2010-12-13,19.8833333333,Houston Rockets,Toronto Raptors,2,35-44,-11,layup,False,0,False,True
2010-12-13,20.0833333333,Houston Rockets,Toronto Raptors,2,35-46,-13,layup,False,0,False,True
2010-12-13,40.85,Houston Rockets,Toronto Raptors,4,74-89,-18,three point jumper,False,25,False,True
2010-03-01,16.1,Houston Rockets,Toronto Raptors,2,37-45,5,three point jumper,True,26,False,False
2010-03-01,16.4833333333,Houston Rockets,Toronto Raptors,2,39-47,6,two point shot,True,1,True,False
2010-03-01,31.1,Houston Rockets,Toronto Raptors,3,52-80,26,two point jumper,True,21,False,False
2010-03-01,33.9,Houston Rockets,Toronto Raptors,3,57-92,33,two point shot,True,1,True,False
2010-03-01,33.9,Houston Rockets,Toronto Raptors,3,57-93,35,free throw,True,15,True,False
