date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-04,1.45,Detroit Pistons,Boston Celtics,1,2-2,-2,layup,False,0,False,True
2006-11-04,4.03333333333,Detroit Pistons,Boston Celtics,1,9-6,1,two point jumper,False,1,False,True
2006-11-04,6.1,Detroit Pistons,Boston Celtics,1,12-10,1,free throw,False,15,True,True
2006-11-04,6.1,Detroit Pistons,Boston Celtics,1,13-10,2,free throw,False,15,True,True
2006-11-04,9.31666666667,Detroit Pistons,Boston Celtics,1,17-14,0,three point jumper,False,24,False,True
2006-11-04,10.1166666667,Detroit Pistons,Boston Celtics,1,17-16,-1,two point jumper,False,16,False,True
2006-11-04,10.9833333333,Detroit Pistons,Boston Celtics,1,18-16,1,free throw,False,15,True,True
2006-11-04,10.9833333333,Detroit Pistons,Boston Celtics,1,19-16,2,free throw,False,15,True,True
2006-11-04,11.5,Detroit Pistons,Boston Celtics,1,22-18,1,three point jumper,False,25,True,True
2006-11-04,17.5333333333,Detroit Pistons,Boston Celtics,2,28-28,-1,free throw,False,15,False,True
2006-11-04,17.5333333333,Detroit Pistons,Boston Celtics,2,29-28,0,free throw,False,15,True,True
2006-11-04,18.1,Detroit Pistons,Boston Celtics,2,29-28,-1,layup,False,0,False,True
2006-11-04,19.9166666667,Detroit Pistons,Boston Celtics,2,33-30,1,two point jumper,False,16,False,True
2006-11-04,24.5666666667,Detroit Pistons,Boston Celtics,3,41-43,-5,three point jumper,False,25,True,True
2006-11-04,27.3833333333,Detroit Pistons,Boston Celtics,3,45-46,-4,three point jumper,False,25,False,True
2006-11-04,42.7833333333,Detroit Pistons,Boston Celtics,4,68-68,-2,two point jumper,False,11,True,True
2006-11-04,42.7833333333,Detroit Pistons,Boston Celtics,4,69-68,0,free throw,False,15,True,True
2006-11-04,43.2333333333,Detroit Pistons,Boston Celtics,4,69-70,-4,three point jumper,False,25,False,True
2006-11-04,45.0,Detroit Pistons,Boston Celtics,4,72-75,-4,free throw,False,15,True,True
2006-11-04,45.0,Detroit Pistons,Boston Celtics,4,73-75,-3,free throw,False,15,True,True
2006-11-04,45.9666666667,Detroit Pistons,Boston Celtics,4,76-77,-4,three point jumper,False,25,False,True
2006-11-04,47.7,Detroit Pistons,Boston Celtics,4,78-79,-3,layup,False,0,False,True
2006-11-15,7.28333333333,Detroit Pistons,Boston Celtics,1,19-13,-9,three point jumper,True,26,True,True
2006-11-15,10.0833333333,Detroit Pistons,Boston Celtics,1,21-21,-3,three point jumper,True,25,False,True
2006-11-15,20.1666666667,Detroit Pistons,Boston Celtics,2,44-38,-9,three point jumper,True,26,False,True
2006-11-15,23.4833333333,Detroit Pistons,Boston Celtics,2,55-46,-12,three point jumper,True,25,True,True
2006-11-15,24.3166666667,Detroit Pistons,Boston Celtics,3,58-48,-12,two point jumper,True,7,False,True
2006-11-15,24.4333333333,Detroit Pistons,Boston Celtics,3,58-48,-12,layup,True,0,False,True
2006-11-15,29.0333333333,Detroit Pistons,Boston Celtics,3,65-56,-11,layup,True,0,True,True
2006-11-15,31.7,Detroit Pistons,Boston Celtics,3,69-61,-9,free throw,True,15,True,True
2006-11-15,31.7,Detroit Pistons,Boston Celtics,3,69-61,-9,free throw,True,15,False,True
2006-11-15,32.45,Detroit Pistons,Boston Celtics,3,69-66,-6,three point jumper,True,25,True,True
2006-11-15,32.9333333333,Detroit Pistons,Boston Celtics,3,71-68,-5,layup,True,0,True,True
2006-11-15,32.9333333333,Detroit Pistons,Boston Celtics,3,71-68,-4,free throw,True,15,False,True
2006-11-15,32.9333333333,Detroit Pistons,Boston Celtics,3,71-69,-3,free throw,True,15,True,True
2006-11-15,33.3333333333,Detroit Pistons,Boston Celtics,3,73-71,-4,two point jumper,True,16,True,True
2006-11-15,33.3333333333,Detroit Pistons,Boston Celtics,3,73-72,-2,free throw,True,15,True,True
2006-11-15,34.8833333333,Detroit Pistons,Boston Celtics,3,78-74,-6,layup,True,0,True,True
2006-11-15,35.05,Detroit Pistons,Boston Celtics,3,78-74,-7,three point jumper,True,23,False,True
2006-11-15,35.6166666667,Detroit Pistons,Boston Celtics,3,78-76,-4,two point jumper,True,12,True,True
2006-11-15,35.6166666667,Detroit Pistons,Boston Celtics,3,78-76,-3,free throw,True,15,False,True
2006-11-15,35.6166666667,Detroit Pistons,Boston Celtics,3,78-76,-3,free throw,True,15,False,True
2006-11-15,35.6166666667,Detroit Pistons,Boston Celtics,3,78-77,-2,free throw,True,15,True,True
2006-11-15,35.9833333333,Detroit Pistons,Boston Celtics,3,81-77,-6,two point jumper,True,18,False,True
2006-11-15,36.65,Detroit Pistons,Boston Celtics,4,81-77,-6,two point jumper,True,21,False,True
2006-11-15,42.2166666667,Detroit Pistons,Boston Celtics,4,85-90,2,three point jumper,True,24,False,True
2006-11-15,46.9333333333,Detroit Pistons,Boston Celtics,4,96-108,11,free throw,True,15,True,True
2006-11-15,46.9333333333,Detroit Pistons,Boston Celtics,4,96-109,12,free throw,True,15,True,True
2006-01-16,2.93333333333,Detroit Pistons,Boston Celtics,1,2-6,2,two point jumper,True,11,True,True
2006-01-16,3.65,Detroit Pistons,Boston Celtics,1,4-6,0,two point jumper,True,19,False,True
2006-01-16,8.83333333333,Detroit Pistons,Boston Celtics,1,16-9,-8,free throw,True,15,True,True
2006-01-16,8.83333333333,Detroit Pistons,Boston Celtics,1,16-10,-7,free throw,True,15,True,True
2006-01-16,9.86666666667,Detroit Pistons,Boston Celtics,1,20-10,-13,three point jumper,True,25,False,True
2006-01-16,10.1,Detroit Pistons,Boston Celtics,1,20-11,-10,free throw,True,15,True,True
2006-01-16,10.1,Detroit Pistons,Boston Celtics,1,20-12,-9,free throw,True,15,True,True
2006-01-16,11.5333333333,Detroit Pistons,Boston Celtics,1,22-14,-10,layup,True,0,True,True
2006-01-16,11.5333333333,Detroit Pistons,Boston Celtics,1,22-15,-8,free throw,True,15,True,True
2006-01-16,16.8166666667,Detroit Pistons,Boston Celtics,2,31-20,-12,free throw,True,15,True,True
2006-01-16,16.8166666667,Detroit Pistons,Boston Celtics,2,31-21,-11,free throw,True,15,True,True
2006-01-16,23.5333333333,Detroit Pistons,Boston Celtics,2,40-41,-2,three point jumper,True,24,False,True
2006-01-16,29.2,Detroit Pistons,Boston Celtics,3,53-55,0,layup,True,0,False,True
2006-01-16,31.7833333333,Detroit Pistons,Boston Celtics,3,59-61,-1,three point jumper,True,25,False,True
2006-01-16,37.5,Detroit Pistons,Boston Celtics,4,65-76,8,three point jumper,True,25,False,True
2006-01-16,42.6333333333,Detroit Pistons,Boston Celtics,4,74-80,4,two point jumper,True,18,False,True
2006-01-16,44.9833333333,Detroit Pistons,Boston Celtics,4,74-87,11,layup,True,0,True,True
2006-01-16,45.3666666667,Detroit Pistons,Boston Celtics,4,74-87,10,three point jumper,True,24,False,True
2006-11-30,2.06666666667,Detroit Pistons,Brooklyn Nets,1,5-0,2,three point jumper,False,28,False,True
2006-11-30,2.45,Detroit Pistons,Brooklyn Nets,1,7-2,3,two point shot,False,1,True,True
2006-11-30,2.95,Detroit Pistons,Brooklyn Nets,1,7-2,2,three point jumper,False,27,False,True
