date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-12-07,10.4166666667,New Orleans Pelicans,Boston Celtics,1,26-24,-4,dunk,True,0,True,True
2006-01-23,15.45,New Orleans Pelicans,Boston Celtics,2,22-27,-6,free throw,False,15,False,False
2006-01-23,15.45,New Orleans Pelicans,Boston Celtics,2,23-27,-5,free throw,False,15,True,False
2006-01-23,16.2333333333,New Orleans Pelicans,Boston Celtics,2,24-29,-6,free throw,False,15,True,False
2006-01-23,16.2333333333,New Orleans Pelicans,Boston Celtics,2,25-29,-5,free throw,False,15,True,False
2006-01-23,40.1666666667,New Orleans Pelicans,Boston Celtics,4,65-87,-24,two point shot,False,1,True,False
2006-01-21,12.75,New Orleans Pelicans,New York Knicks,2,37-30,6,free throw,False,15,True,False
2006-01-21,12.75,New Orleans Pelicans,New York Knicks,2,38-30,7,free throw,False,15,True,False
2006-01-21,30.5333333333,New Orleans Pelicans,New York Knicks,3,70-59,10,free throw,False,15,False,False
2006-01-21,30.5333333333,New Orleans Pelicans,New York Knicks,3,71-59,11,free throw,False,15,True,False
2006-01-21,35.95,New Orleans Pelicans,New York Knicks,3,87-71,14,dunk,False,0,True,False
2006-01-21,35.95,New Orleans Pelicans,New York Knicks,3,87-71,15,free throw,False,15,False,False
2006-11-21,6.41666666667,New Orleans Pelicans,Philadelphia 76ers,1,17-20,-4,free throw,False,15,False,True
2006-11-21,6.41666666667,New Orleans Pelicans,Philadelphia 76ers,1,18-20,-3,free throw,False,15,True,True
2006-11-21,9.28333333333,New Orleans Pelicans,Philadelphia 76ers,1,25-27,-4,two point jumper,False,20,True,True
2006-11-21,34.6833333333,New Orleans Pelicans,Philadelphia 76ers,3,62-78,-18,layup,False,0,False,True
2006-11-21,36.4666666667,New Orleans Pelicans,Philadelphia 76ers,4,65-83,-20,layup,False,0,True,True
2006-11-21,36.4666666667,New Orleans Pelicans,Philadelphia 76ers,4,65-83,-19,free throw,False,15,False,True
