date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-18,3.21666666667,Toronto Raptors,Boston Celtics,1,3-2,-1,two point jumper,False,19,False,True
2006-11-18,4.53333333333,Toronto Raptors,Boston Celtics,1,6-4,0,two point jumper,False,16,False,True
2006-11-18,4.91666666667,Toronto Raptors,Boston Celtics,1,6-4,0,two point jumper,False,17,False,True
2006-11-18,8.71666666667,Toronto Raptors,Boston Celtics,1,14-14,-2,layup,False,0,True,True
2006-11-18,8.71666666667,Toronto Raptors,Boston Celtics,1,15-14,0,free throw,False,15,True,True
2006-11-18,9.08333333333,Toronto Raptors,Boston Celtics,1,16-14,1,free throw,False,15,True,True
2006-11-18,9.08333333333,Toronto Raptors,Boston Celtics,1,16-14,1,free throw,False,15,False,True
2006-11-18,16.1,Toronto Raptors,Boston Celtics,2,32-23,8,free throw,False,15,True,True
2006-11-18,16.1,Toronto Raptors,Boston Celtics,2,33-23,9,free throw,False,15,True,True
2006-11-18,16.7,Toronto Raptors,Boston Celtics,2,33-25,6,two point jumper,False,10,False,True
2006-11-18,20.2666666667,Toronto Raptors,Boston Celtics,2,41-34,5,two point jumper,False,13,False,True
2006-11-18,26.3166666667,Toronto Raptors,Boston Celtics,3,52-48,2,hook shot,False,1,True,True
2006-11-18,27.8833333333,Toronto Raptors,Boston Celtics,3,55-53,0,two point jumper,False,17,False,True
2006-11-18,28.6,Toronto Raptors,Boston Celtics,3,57-54,1,layup,False,0,True,True
2006-11-18,31.0333333333,Toronto Raptors,Boston Celtics,3,62-61,0,free throw,False,15,False,True
2006-11-18,31.0333333333,Toronto Raptors,Boston Celtics,3,63-61,1,free throw,False,15,True,True
2006-11-18,32.5666666667,Toronto Raptors,Boston Celtics,3,64-68,-5,free throw,False,15,True,True
2006-11-18,32.5666666667,Toronto Raptors,Boston Celtics,3,65-68,-4,free throw,False,15,True,True
2006-11-18,35.05,Toronto Raptors,Boston Celtics,3,68-70,-4,two point jumper,False,16,True,True
2006-11-18,36.2,Toronto Raptors,Boston Celtics,4,70-70,-2,layup,False,0,True,True
2006-11-18,37.7166666667,Toronto Raptors,Boston Celtics,4,72-74,-4,layup,False,0,True,True
2006-11-18,44.2166666667,Toronto Raptors,Boston Celtics,4,82-87,-7,two point jumper,False,17,True,True
2006-11-18,46.0166666667,Toronto Raptors,Boston Celtics,4,89-90,-3,dunk,False,0,True,True
2006-11-18,46.4833333333,Toronto Raptors,Boston Celtics,4,89-90,-3,two point jumper,False,20,False,True
2006-11-18,47.0,Toronto Raptors,Boston Celtics,4,90-92,-3,free throw,False,15,True,True
2006-11-18,47.0,Toronto Raptors,Boston Celtics,4,90-92,-3,free throw,False,15,False,True
2006-03-05,1.08333333333,Toronto Raptors,Boston Celtics,1,2-4,0,two point jumper,True,18,True,True
2006-03-05,6.78333333333,Toronto Raptors,Boston Celtics,1,12-20,6,two point shot,True,15,True,True
2006-03-05,10.55,Toronto Raptors,Boston Celtics,1,25-26,0,free throw,True,15,True,True
2006-03-05,10.55,Toronto Raptors,Boston Celtics,1,25-26,0,free throw,True,15,False,True
2006-03-05,11.0,Toronto Raptors,Boston Celtics,1,25-28,1,two point jumper,True,15,True,True
2006-03-05,15.5833333333,Toronto Raptors,Boston Celtics,2,35-41,5,free throw,True,15,True,True
2006-03-05,15.5833333333,Toronto Raptors,Boston Celtics,2,35-42,6,free throw,True,15,True,True
2006-03-05,17.1666666667,Toronto Raptors,Boston Celtics,2,35-42,5,two point shot,True,10,False,True
2006-03-05,21.4666666667,Toronto Raptors,Boston Celtics,2,46-51,3,two point shot,True,1,True,True
2006-03-05,24.4,Toronto Raptors,Boston Celtics,3,52-51,-3,two point shot,True,12,False,True
2006-03-05,25.5666666667,Toronto Raptors,Boston Celtics,3,54-53,-3,dunk,True,0,True,True
2006-03-05,31.0333333333,Toronto Raptors,Boston Celtics,3,63-68,4,free throw,True,15,True,True
2006-03-05,31.0333333333,Toronto Raptors,Boston Celtics,3,63-68,4,free throw,True,15,False,True
2006-03-05,31.95,Toronto Raptors,Boston Celtics,3,65-70,3,dunk,True,0,True,True
2006-03-05,33.9166666667,Toronto Raptors,Boston Celtics,3,70-78,7,free throw,True,15,True,True
2006-03-05,33.9166666667,Toronto Raptors,Boston Celtics,3,70-79,8,free throw,True,15,True,True
2006-03-05,37.25,Toronto Raptors,Boston Celtics,4,79-82,1,two point jumper,True,16,False,True
2006-03-05,38.6333333333,Toronto Raptors,Boston Celtics,4,81-84,1,two point jumper,True,15,True,True
2006-03-05,42.35,Toronto Raptors,Boston Celtics,4,87-92,4,free throw,True,15,True,True
2006-03-05,42.35,Toronto Raptors,Boston Celtics,4,87-93,5,free throw,True,15,True,True
2006-03-05,42.85,Toronto Raptors,Boston Celtics,4,87-94,6,free throw,True,15,True,True
2006-03-05,42.85,Toronto Raptors,Boston Celtics,4,87-95,7,free throw,True,15,True,True
2006-03-05,43.5333333333,Toronto Raptors,Boston Celtics,4,87-95,6,two point shot,True,16,False,True
2006-03-05,45.9666666667,Toronto Raptors,Boston Celtics,4,92-102,8,two point jumper,True,1,False,True
2006-03-22,2.31666666667,Toronto Raptors,Boston Celtics,1,6-5,-1,two point jumper,False,16,True,True
2006-03-22,4.91666666667,Toronto Raptors,Boston Celtics,1,12-11,-1,two point jumper,False,18,True,True
2006-03-22,6.03333333333,Toronto Raptors,Boston Celtics,1,12-15,-5,two point jumper,False,7,False,True
2006-03-22,7.16666666667,Toronto Raptors,Boston Celtics,1,18-17,-1,two point jumper,False,18,True,True
2006-03-22,20.1,Toronto Raptors,Boston Celtics,2,45-49,-6,two point jumper,False,19,True,True
2006-03-22,26.95,Toronto Raptors,Boston Celtics,3,59-66,-9,two point shot,False,6,True,True
2006-03-22,28.1,Toronto Raptors,Boston Celtics,3,61-68,-9,two point shot,False,1,True,True
2006-03-22,28.1,Toronto Raptors,Boston Celtics,3,62-68,-7,free throw,False,15,True,True
2006-03-22,29.9833333333,Toronto Raptors,Boston Celtics,3,66-70,-6,two point jumper,False,4,False,True
2006-03-22,32.3333333333,Toronto Raptors,Boston Celtics,3,70-75,-7,two point jumper,False,16,True,True
2006-03-22,35.5,Toronto Raptors,Boston Celtics,3,75-81,-8,dunk,False,0,True,True
2006-03-22,35.9833333333,Toronto Raptors,Boston Celtics,3,77-81,-6,layup,False,0,True,True
2006-03-22,36.5,Toronto Raptors,Boston Celtics,4,77-81,-6,layup,False,0,False,True
2006-03-22,38.3166666667,Toronto Raptors,Boston Celtics,4,79-85,-8,two point shot,False,17,True,True
2006-03-22,42.1,Toronto Raptors,Boston Celtics,4,86-93,-8,free throw,False,15,False,True
2006-03-22,42.1,Toronto Raptors,Boston Celtics,4,87-93,-7,free throw,False,15,True,True
2006-03-22,43.1333333333,Toronto Raptors,Boston Celtics,4,89-96,-9,two point jumper,False,17,True,True
2006-03-22,43.8166666667,Toronto Raptors,Boston Celtics,4,89-99,-12,two point jumper,False,18,False,True
2006-12-03,0.8,Toronto Raptors,Brooklyn Nets,1,1-0,0,free throw,False,15,True,True
2006-12-03,0.8,Toronto Raptors,Brooklyn Nets,1,2-0,1,free throw,False,15,True,True
2006-12-03,1.25,Toronto Raptors,Brooklyn Nets,1,2-2,-2,two point jumper,False,19,False,True
2006-12-03,2.65,Toronto Raptors,Brooklyn Nets,1,7-8,-3,layup,False,0,False,True
2006-12-03,4.91666666667,Toronto Raptors,Brooklyn Nets,1,11-13,-4,two point jumper,False,1,False,True
2006-12-03,8.48333333333,Toronto Raptors,Brooklyn Nets,1,18-21,-5,layup,False,0,True,True
2006-12-03,8.48333333333,Toronto Raptors,Brooklyn Nets,1,19-21,-3,free throw,False,15,True,True
2006-12-03,10.1,Toronto Raptors,Brooklyn Nets,1,23-25,-4,dunk,False,0,True,True
2006-12-03,11.2333333333,Toronto Raptors,Brooklyn Nets,1,25-27,-4,two point jumper,False,1,True,True
2006-12-03,11.9333333333,Toronto Raptors,Brooklyn Nets,1,26-27,-2,free throw,False,15,True,True
2006-12-03,11.9333333333,Toronto Raptors,Brooklyn Nets,1,27-27,-1,free throw,False,15,True,True
2006-12-03,18.7833333333,Toronto Raptors,Brooklyn Nets,2,43-40,2,free throw,False,15,True,True
2006-12-03,18.7833333333,Toronto Raptors,Brooklyn Nets,2,44-40,3,free throw,False,15,True,True
2006-12-03,19.2833333333,Toronto Raptors,Brooklyn Nets,2,44-41,1,two point shot,False,1,False,True
2006-12-03,19.8166666667,Toronto Raptors,Brooklyn Nets,2,46-43,1,two point jumper,False,13,True,True
2006-12-03,21.4833333333,Toronto Raptors,Brooklyn Nets,2,51-47,2,two point jumper,False,15,True,True
2006-12-03,23.45,Toronto Raptors,Brooklyn Nets,2,55-48,5,layup,False,0,True,True
2006-12-03,23.45,Toronto Raptors,Brooklyn Nets,2,56-48,7,free throw,False,15,True,True
2006-12-03,24.3333333333,Toronto Raptors,Brooklyn Nets,3,56-50,4,two point jumper,False,14,False,True
2006-12-03,25.3833333333,Toronto Raptors,Brooklyn Nets,3,56-50,4,hook shot,False,9,False,True
2006-12-03,29.3166666667,Toronto Raptors,Brooklyn Nets,3,60-57,1,layup,False,0,False,True
2006-12-03,32.65,Toronto Raptors,Brooklyn Nets,3,67-61,5,free throw,False,15,True,True
2006-12-03,32.65,Toronto Raptors,Brooklyn Nets,3,68-61,6,free throw,False,15,True,True
2006-12-03,38.5,Toronto Raptors,Brooklyn Nets,4,73-70,1,two point jumper,False,1,False,True
2006-12-03,40.35,Toronto Raptors,Brooklyn Nets,4,74-71,2,free throw,False,15,True,True
2006-12-03,40.35,Toronto Raptors,Brooklyn Nets,4,75-71,3,free throw,False,15,True,True
2006-12-03,43.2,Toronto Raptors,Brooklyn Nets,4,80-75,3,two point jumper,False,11,False,True
2006-12-03,43.75,Toronto Raptors,Brooklyn Nets,4,80-77,1,two point shot,False,15,False,True
2006-12-03,46.15,Toronto Raptors,Brooklyn Nets,4,85-80,4,free throw,False,15,False,True
2006-12-03,46.15,Toronto Raptors,Brooklyn Nets,4,86-80,5,free throw,False,15,True,True
2006-12-03,46.6833333333,Toronto Raptors,Brooklyn Nets,4,88-80,6,tip shot,False,0,True,True
2006-12-03,47.5,Toronto Raptors,Brooklyn Nets,4,92-82,9,free throw,False,15,True,True
2006-12-03,47.5,Toronto Raptors,Brooklyn Nets,4,93-82,10,free throw,False,15,True,True
2006-01-08,3.5,Toronto Raptors,Brooklyn Nets,1,5-6,-1,two point jumper,True,15,False,False
2006-01-08,5.75,Toronto Raptors,Brooklyn Nets,1,9-10,-1,two point shot,True,16,False,False
2006-01-08,6.7,Toronto Raptors,Brooklyn Nets,1,12-11,-2,free throw,True,15,True,False
