date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-12-31,0.316666666667,Los Angeles Clippers,Boston Celtics,1,0-2,0,two point jumper,True,12,True,True
2006-12-31,4.66666666667,Los Angeles Clippers,Boston Celtics,1,8-12,2,two point jumper,True,17,False,True
2006-12-31,5.03333333333,Los Angeles Clippers,Boston Celtics,1,8-12,3,free throw,True,15,False,True
2006-12-31,5.03333333333,Los Angeles Clippers,Boston Celtics,1,8-12,3,free throw,True,15,False,True
2006-12-31,5.03333333333,Los Angeles Clippers,Boston Celtics,1,8-13,4,free throw,True,15,True,True
2006-12-31,6.28333333333,Los Angeles Clippers,Boston Celtics,1,12-16,1,three point jumper,True,25,True,True
2006-12-31,7.73333333333,Los Angeles Clippers,Boston Celtics,1,19-19,-2,layup,True,0,True,True
2006-12-31,14.0666666667,Los Angeles Clippers,Boston Celtics,2,33-31,-4,two point jumper,True,22,False,True
2006-12-31,21.4,Los Angeles Clippers,Boston Celtics,2,56-40,-19,three point jumper,True,22,False,True
2006-12-31,22.6833333333,Los Angeles Clippers,Boston Celtics,2,62-44,-20,two point jumper,True,20,True,True
2006-12-31,25.45,Los Angeles Clippers,Boston Celtics,3,66-46,-22,two point jumper,True,4,False,True
2006-12-31,31.0,Los Angeles Clippers,Boston Celtics,3,81-65,-19,three point jumper,True,27,True,True
2006-12-31,31.5,Los Angeles Clippers,Boston Celtics,3,83-68,-18,three point jumper,True,25,True,True
2006-12-31,32.4666666667,Los Angeles Clippers,Boston Celtics,3,83-68,-18,three point jumper,True,26,False,True
2006-12-31,33.0,Los Angeles Clippers,Boston Celtics,3,83-70,-15,layup,True,0,True,True
2006-12-31,33.4833333333,Los Angeles Clippers,Boston Celtics,3,85-70,-18,three point jumper,True,26,False,True
2006-12-31,34.8,Los Angeles Clippers,Boston Celtics,3,87-74,-15,layup,True,0,True,True
2006-12-31,35.6,Los Angeles Clippers,Boston Celtics,3,89-76,-15,two point shot,True,13,True,True
2006-12-31,37.0166666667,Los Angeles Clippers,Boston Celtics,4,89-78,-13,layup,True,0,True,True
2006-12-31,38.65,Los Angeles Clippers,Boston Celtics,4,91-78,-15,two point jumper,True,14,False,True
2006-12-31,39.0,Los Angeles Clippers,Boston Celtics,4,91-81,-13,three point jumper,True,26,True,True
2006-12-31,41.4833333333,Los Angeles Clippers,Boston Celtics,4,95-81,-17,three point jumper,True,26,False,True
2006-02-03,2.8,Los Angeles Clippers,Boston Celtics,1,6-4,0,layup,False,0,False,True
2006-02-03,7.38333333333,Los Angeles Clippers,Boston Celtics,1,16-15,-1,layup,False,0,False,True
2006-02-03,10.3,Los Angeles Clippers,Boston Celtics,1,24-19,3,two point jumper,False,21,True,True
2006-02-03,17.2833333333,Los Angeles Clippers,Boston Celtics,2,42-32,8,layup,False,0,True,True
2006-02-03,17.95,Los Angeles Clippers,Boston Celtics,2,44-34,8,layup,False,0,True,True
2006-02-03,19.45,Los Angeles Clippers,Boston Celtics,2,47-37,9,free throw,False,15,True,True
2006-02-03,19.45,Los Angeles Clippers,Boston Celtics,2,48-37,10,free throw,False,15,True,True
2006-02-03,21.05,Los Angeles Clippers,Boston Celtics,2,51-41,9,free throw,False,15,True,True
2006-02-03,21.05,Los Angeles Clippers,Boston Celtics,2,52-41,10,free throw,False,15,True,True
2006-02-03,25.65,Los Angeles Clippers,Boston Celtics,3,60-48,10,two point jumper,False,15,False,True
2006-02-03,31.35,Los Angeles Clippers,Boston Celtics,3,71-59,9,three point jumper,False,25,True,True
2006-02-03,34.55,Los Angeles Clippers,Boston Celtics,3,78-64,12,dunk,False,0,True,True
2006-02-03,39.7,Los Angeles Clippers,Boston Celtics,4,80-74,4,two point jumper,False,21,False,True
2006-02-03,41.5333333333,Los Angeles Clippers,Boston Celtics,4,82-74,6,two point jumper,False,18,False,True
2006-02-03,46.8333333333,Los Angeles Clippers,Boston Celtics,4,99-81,16,layup,False,0,True,True
2006-02-03,46.8333333333,Los Angeles Clippers,Boston Celtics,4,100-81,18,free throw,False,15,True,True
2006-12-20,3.26666666667,Los Angeles Clippers,Brooklyn Nets,1,6-8,-4,layup,False,0,False,False
2006-12-20,4.73333333333,Los Angeles Clippers,Brooklyn Nets,1,6-13,-10,three point jumper,False,25,False,False
2006-12-20,5.31666666667,Los Angeles Clippers,Brooklyn Nets,1,8-13,-7,two point jumper,False,16,True,False
2006-12-20,6.41666666667,Los Angeles Clippers,Brooklyn Nets,1,12-17,-7,two point shot,False,1,True,False
2006-12-20,8.31666666667,Los Angeles Clippers,Brooklyn Nets,1,15-22,-8,free throw,False,15,True,False
2006-12-20,8.31666666667,Los Angeles Clippers,Brooklyn Nets,1,16-22,-7,free throw,False,15,True,False
2006-12-20,8.78333333333,Los Angeles Clippers,Brooklyn Nets,1,18-24,-8,two point jumper,False,19,True,False
2006-12-20,10.35,Los Angeles Clippers,Brooklyn Nets,1,18-26,-10,two point jumper,False,12,False,False
2006-12-20,11.0666666667,Los Angeles Clippers,Brooklyn Nets,1,21-26,-7,two point jumper,False,20,False,False
2006-12-20,14.75,Los Angeles Clippers,Brooklyn Nets,2,26-28,-5,three point jumper,False,25,False,False
2006-12-20,20.2666666667,Los Angeles Clippers,Brooklyn Nets,2,36-44,-10,two point jumper,False,18,False,False
2006-12-20,27.1833333333,Los Angeles Clippers,Brooklyn Nets,3,50-61,-13,two point shot,False,1,True,False
