date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2009-03-27,17.85,Los Angeles Lakers,Brooklyn Nets,2,45-36,7,hook shot,False,6,False,False
2009-03-27,19.1,Los Angeles Lakers,Brooklyn Nets,2,47-38,7,two point shot,False,1,True,False
2009-03-27,19.7,Los Angeles Lakers,Brooklyn Nets,2,47-40,5,two point shot,False,1,False,False
2009-11-30,47.55,Los Angeles Lakers,Toronto Raptors,4,96-112,14,two point shot,True,8,False,False
2009-04-05,16.1,Los Angeles Lakers,Los Angeles Clippers,2,22-39,15,layup,True,0,False,True
2009-04-05,19.0333333333,Los Angeles Lakers,Los Angeles Clippers,2,29-43,12,two point jumper,True,13,True,True
2009-04-05,22.05,Los Angeles Lakers,Los Angeles Clippers,2,38-51,11,layup,True,0,False,True
2009-04-05,35.9666666667,Los Angeles Lakers,Los Angeles Clippers,3,56-68,9,three point jumper,True,23,False,True
2009-02-26,13.3666666667,Los Angeles Lakers,Phoenix Suns,2,29-46,15,two point jumper,True,14,True,True
2009-02-26,14.05,Los Angeles Lakers,Phoenix Suns,2,29-48,17,two point shot,True,16,True,True
2009-02-26,41.1333333333,Los Angeles Lakers,Phoenix Suns,4,88-113,23,dunk,True,0,True,True
2009-02-26,41.6666666667,Los Angeles Lakers,Phoenix Suns,4,91-113,20,two point jumper,True,17,False,True
2009-02-26,46.9833333333,Los Angeles Lakers,Phoenix Suns,4,101-129,26,two point jumper,True,15,True,True
2009-02-26,47.95,Los Angeles Lakers,Phoenix Suns,4,106-132,24,two point jumper,True,1,False,True
2009-02-27,22.15,Los Angeles Lakers,Denver Nuggets,2,36-42,-8,two point jumper,False,7,True,False
2009-02-27,23.3833333333,Los Angeles Lakers,Denver Nuggets,2,39-44,-6,free throw,False,15,False,False
2009-02-27,23.3833333333,Los Angeles Lakers,Denver Nuggets,2,40-44,-5,free throw,False,15,True,False
2009-03-01,19.4166666667,Los Angeles Lakers,Phoenix Suns,2,38-52,-16,two point jumper,False,16,False,False
2009-03-03,37.3333333333,Los Angeles Lakers,Memphis Grizzlies,4,67-82,13,two point jumper,True,15,True,True
2009-03-03,39.8166666667,Los Angeles Lakers,Memphis Grizzlies,4,69-90,19,two point jumper,True,21,True,True
2009-03-03,47.75,Los Angeles Lakers,Memphis Grizzlies,4,89-99,8,hook shot,True,9,False,True
2009-03-06,11.1833333333,Los Angeles Lakers,Minnesota Timberwolves,1,15-22,5,two point shot,True,6,True,False
2009-03-06,38.2666666667,Los Angeles Lakers,Minnesota Timberwolves,4,64-85,19,two point jumper,True,11,True,False
2009-03-06,38.75,Los Angeles Lakers,Minnesota Timberwolves,4,64-87,21,layup,True,0,True,False
2009-03-06,39.9333333333,Los Angeles Lakers,Minnesota Timberwolves,4,68-88,19,free throw,True,15,True,False
2009-03-06,39.9333333333,Los Angeles Lakers,Minnesota Timberwolves,4,68-89,20,free throw,True,15,True,False
2009-03-06,43.45,Los Angeles Lakers,Minnesota Timberwolves,4,79-98,17,two point jumper,True,17,False,False
2009-03-06,46.9833333333,Los Angeles Lakers,Minnesota Timberwolves,4,88-109,19,two point jumper,True,16,True,False
2009-03-09,17.2,Los Angeles Lakers,Portland Trail Blazers,2,28-41,-14,free throw,False,15,True,True
2009-03-09,17.2,Los Angeles Lakers,Portland Trail Blazers,2,29-41,-13,free throw,False,15,True,True
2009-03-09,18.6666666667,Los Angeles Lakers,Portland Trail Blazers,2,31-44,-15,hook shot,False,9,False,True
2009-03-09,38.3,Los Angeles Lakers,Portland Trail Blazers,4,66-86,-22,two point jumper,False,14,True,True
2009-03-09,39.5166666667,Los Angeles Lakers,Portland Trail Blazers,4,70-87,-19,two point shot,False,1,True,True
2009-03-09,42.0333333333,Los Angeles Lakers,Portland Trail Blazers,4,75-92,-19,dunk,False,0,True,True
2009-03-12,18.85,Los Angeles Lakers,San Antonio Spurs,2,45-31,12,two point jumper,False,1,True,False
2009-03-12,20.75,Los Angeles Lakers,San Antonio Spurs,2,49-32,15,two point jumper,False,14,True,False
2009-03-15,15.1833333333,Los Angeles Lakers,Dallas Mavericks,2,34-43,7,two point shot,True,1,True,True
2009-03-15,16.2166666667,Los Angeles Lakers,Dallas Mavericks,2,37-43,4,two point jumper,True,13,False,True
2009-03-21,19.5666666667,Los Angeles Lakers,Chicago Bulls,2,39-51,-14,dunk,False,0,True,True
2009-03-24,18.6,Los Angeles Lakers,Oklahoma City Thunder,2,47-34,11,two point shot,False,12,False,False
2009-03-24,19.2,Los Angeles Lakers,Oklahoma City Thunder,2,48-34,13,free throw,False,15,True,False
2009-03-24,19.2,Los Angeles Lakers,Oklahoma City Thunder,2,49-34,14,free throw,False,15,True,False
2009-03-24,41.2166666667,Los Angeles Lakers,Oklahoma City Thunder,4,98-81,15,layup,False,0,False,False
2009-03-24,42.9166666667,Los Angeles Lakers,Oklahoma City Thunder,4,103-83,18,two point jumper,False,18,False,False
2009-03-24,47.1666666667,Los Angeles Lakers,Oklahoma City Thunder,4,105-87,16,layup,False,0,False,False
2009-03-26,15.4666666667,Los Angeles Lakers,Detroit Pistons,2,25-24,-1,two point jumper,False,15,False,True
2009-03-26,39.4666666667,Los Angeles Lakers,Detroit Pistons,4,72-62,8,two point jumper,False,17,False,True
2009-03-26,40.5333333333,Los Angeles Lakers,Detroit Pistons,4,76-62,12,dunk,False,0,True,True
2009-03-29,19.45,Los Angeles Lakers,Atlanta Hawks,2,27-34,-9,two point jumper,False,1,True,False
2009-03-31,17.35,Los Angeles Lakers,Charlotte Bobcats,2,36-30,4,hook shot,False,9,False,False
2009-03-31,18.2833333333,Los Angeles Lakers,Charlotte Bobcats,2,36-33,1,layup,False,0,False,False
2009-04-01,16.85,Los Angeles Lakers,Milwaukee Bucks,2,34-43,-11,two point jumper,False,11,True,False
2009-04-03,15.6333333333,Los Angeles Lakers,Houston Rockets,2,29-29,-2,two point jumper,True,16,True,True
2009-04-03,16.1666666667,Los Angeles Lakers,Houston Rockets,2,29-29,-2,hook shot,True,7,False,True
2009-04-03,17.5666666667,Los Angeles Lakers,Houston Rockets,2,29-31,0,dunk,True,0,True,True
2009-04-03,19.1,Los Angeles Lakers,Houston Rockets,2,33-35,0,two point jumper,True,20,True,True
2009-04-03,20.2,Los Angeles Lakers,Houston Rockets,2,35-35,-2,two point jumper,True,1,False,True
2009-04-03,40.5,Los Angeles Lakers,Houston Rockets,4,71-77,4,hook shot,True,3,True,True
2009-04-07,43.0333333333,Los Angeles Lakers,Sacramento Kings,4,114-96,16,two point jumper,False,5,False,True
2009-04-07,46.1333333333,Los Angeles Lakers,Sacramento Kings,4,120-98,20,two point shot,False,11,False,True
2009-04-07,47.4333333333,Los Angeles Lakers,Sacramento Kings,4,122-104,16,two point jumper,False,17,False,True
2010-11-29,42.5666666667,Los Angeles Lakers,Brooklyn Nets,4,79-100,19,two point jumper,True,17,True,False
2010-11-29,45.2833333333,Los Angeles Lakers,Brooklyn Nets,4,84-102,16,two point jumper,True,12,False,False
2010-11-29,46.3,Los Angeles Lakers,Brooklyn Nets,4,84-104,18,two point jumper,True,11,True,False
2010-12-19,15.15,Los Angeles Lakers,Brooklyn Nets,2,35-23,10,two point jumper,False,16,True,False
2010-12-19,47.0666666667,Los Angeles Lakers,Brooklyn Nets,4,104-83,19,hook shot,False,8,False,False
2010-10-27,15.3833333333,Los Angeles Lakers,Los Angeles Clippers,2,29-40,9,two point shot,True,7,False,True
2010-10-27,15.5,Los Angeles Lakers,Los Angeles Clippers,2,29-40,9,two point jumper,True,11,False,True
