date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-22,7.78333333333,Cleveland Cavaliers,Boston Celtics,1,9-23,11,three point jumper,True,23,False,False
2006-11-22,8.7,Cleveland Cavaliers,Boston Celtics,1,11-23,9,three point jumper,True,26,False,False
2006-11-22,11.4166666667,Cleveland Cavaliers,Boston Celtics,1,18-26,5,three point jumper,True,25,False,False
2006-02-15,14.8666666667,Cleveland Cavaliers,Boston Celtics,2,35-23,9,three point jumper,False,24,True,True
2006-02-15,32.9,Cleveland Cavaliers,Boston Celtics,3,64-61,0,three point jumper,False,26,True,True
2006-02-15,33.4333333333,Cleveland Cavaliers,Boston Celtics,3,64-61,0,three point jumper,False,26,False,True
2006-02-15,38.25,Cleveland Cavaliers,Boston Celtics,4,76-69,5,two point jumper,False,19,False,True
2006-02-15,42.1,Cleveland Cavaliers,Boston Celtics,4,85-79,3,three point jumper,False,24,True,True
2006-02-15,44.1166666667,Cleveland Cavaliers,Boston Celtics,4,87-84,0,three point jumper,False,23,False,True
2006-02-15,47.5666666667,Cleveland Cavaliers,Boston Celtics,4,94-90,3,free throw,False,15,True,True
2006-02-15,47.5666666667,Cleveland Cavaliers,Boston Celtics,4,94-90,3,free throw,False,15,False,True
2006-02-15,18.6333333333,Cleveland Cavaliers,Boston Celtics,5,98-93,3,two point shot,False,20,True,True
2006-02-15,24.0666666667,Cleveland Cavaliers,Boston Celtics,6,114-109,4,free throw,False,15,True,True
2006-02-15,24.0666666667,Cleveland Cavaliers,Boston Celtics,6,114-109,4,free throw,False,15,False,True
2006-03-24,15.5666666667,Cleveland Cavaliers,Boston Celtics,2,27-21,-9,three point jumper,True,25,False,True
2006-03-24,35.05,Cleveland Cavaliers,Boston Celtics,3,56-54,-4,layup,True,0,False,True
2006-04-17,6.35,Cleveland Cavaliers,Boston Celtics,1,14-13,-2,three point jumper,False,24,True,True
2006-04-17,7.21666666667,Cleveland Cavaliers,Boston Celtics,1,14-13,-2,three point jumper,False,24,False,True
