date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2013-11-21,3.38333333333,San Antonio Spurs,Boston Celtics,1,8-10,-4,two point jumper,False,19,True,True
2013-11-21,5.16666666667,San Antonio Spurs,Boston Celtics,1,11-14,-6,three point jumper,False,27,False,True
2013-11-21,6.78333333333,San Antonio Spurs,Boston Celtics,1,17-16,-2,three point jumper,False,23,False,True
2013-11-21,18.1,San Antonio Spurs,Boston Celtics,2,41-38,2,free throw,False,15,True,True
2013-11-21,18.1,San Antonio Spurs,Boston Celtics,2,42-38,3,free throw,False,15,True,True
2013-11-21,21.1666666667,San Antonio Spurs,Boston Celtics,2,50-44,3,three point jumper,False,25,True,True
2013-11-21,40.7833333333,San Antonio Spurs,Boston Celtics,4,96-84,10,two point jumper,False,7,False,True
2013-12-15,12.2666666667,San Antonio Spurs,Boston Celtics,2,21-28,5,two point jumper,True,18,True,False
2013-12-15,14.3166666667,San Antonio Spurs,Boston Celtics,2,24-30,3,three point jumper,True,25,False,False
2013-12-15,22.6166666667,San Antonio Spurs,Boston Celtics,2,43-48,2,three point jumper,True,24,True,False
2013-12-15,24.0,San Antonio Spurs,Boston Celtics,2,49-52,0,three point jumper,True,26,False,False
2013-12-15,24.2166666667,San Antonio Spurs,Boston Celtics,3,49-52,1,layup,True,0,False,False
2013-12-15,27.9666666667,San Antonio Spurs,Boston Celtics,3,55-61,3,three point jumper,True,25,True,False
2013-12-15,29.25,San Antonio Spurs,Boston Celtics,3,55-66,8,three point jumper,True,26,True,False
2013-12-15,30.3833333333,San Antonio Spurs,Boston Celtics,3,59-66,4,three point jumper,True,25,False,False
2013-12-15,30.45,San Antonio Spurs,Boston Celtics,3,59-66,6,free throw,True,15,False,False
2013-12-15,30.45,San Antonio Spurs,Boston Celtics,3,59-67,7,free throw,True,15,True,False
2013-12-15,42.6333333333,San Antonio Spurs,Boston Celtics,4,81-89,5,three point jumper,True,24,False,False
2013-12-31,3.18333333333,San Antonio Spurs,Brooklyn Nets,1,7-8,-1,layup,True,0,True,False
2013-12-31,16.6333333333,San Antonio Spurs,Brooklyn Nets,2,33-37,3,free throw,True,15,False,False
2013-12-31,16.6333333333,San Antonio Spurs,Brooklyn Nets,2,33-38,4,free throw,True,15,True,False
2013-02-10,4.85,San Antonio Spurs,Brooklyn Nets,1,9-9,-2,layup,False,0,False,False
2013-02-10,7.1,San Antonio Spurs,Brooklyn Nets,1,16-17,-4,three point jumper,False,24,True,False
2013-02-10,17.2,San Antonio Spurs,Brooklyn Nets,2,38-44,-9,three point jumper,False,24,True,False
2013-02-10,19.2833333333,San Antonio Spurs,Brooklyn Nets,2,41-46,-8,unknown,False,24,False,False
2013-02-10,20.9833333333,San Antonio Spurs,Brooklyn Nets,2,44-50,-7,free throw,False,15,True,False
2013-02-10,20.9833333333,San Antonio Spurs,Brooklyn Nets,2,45-50,-6,free throw,False,15,True,False
2013-02-10,26.05,San Antonio Spurs,Brooklyn Nets,3,58-61,-6,three point jumper,False,24,True,False
2013-02-10,26.95,San Antonio Spurs,Brooklyn Nets,3,58-61,-5,two point shot,False,24,False,False
2013-02-10,27.6166666667,San Antonio Spurs,Brooklyn Nets,3,60-61,-4,three point jumper,False,25,False,False
2013-02-10,28.6333333333,San Antonio Spurs,Brooklyn Nets,3,63-61,-1,three point jumper,False,26,False,False
2013-02-10,31.5,San Antonio Spurs,Brooklyn Nets,3,68-65,0,three point jumper,False,23,True,False
2013-11-15,0.3,San Antonio Spurs,New York Knicks,1,0-2,0,layup,True,0,True,False
2013-11-15,0.883333333333,San Antonio Spurs,New York Knicks,1,3-4,-1,layup,True,0,True,False
2013-11-15,2.06666666667,San Antonio Spurs,New York Knicks,1,3-4,-2,three point jumper,True,25,False,False
2013-11-15,2.75,San Antonio Spurs,New York Knicks,1,5-4,-4,three point jumper,True,23,False,False
2013-11-15,6.45,San Antonio Spurs,New York Knicks,1,17-17,-2,two point shot,True,8,True,False
2013-11-15,20.2333333333,San Antonio Spurs,New York Knicks,2,48-44,-7,three point jumper,True,23,False,False
2013-11-15,24.0,San Antonio Spurs,New York Knicks,2,55-57,-1,three point jumper,True,23,True,False
2013-11-15,28.45,San Antonio Spurs,New York Knicks,3,65-66,-2,three point jumper,True,25,False,False
2013-11-15,37.6833333333,San Antonio Spurs,New York Knicks,4,72-76,2,layup,True,0,False,False
2013-01-03,0.45,San Antonio Spurs,New York Knicks,1,3-1,-1,three point jumper,False,24,True,True
2013-01-03,3.2,San Antonio Spurs,New York Knicks,1,5-5,-3,three point jumper,False,25,False,True
2013-01-03,5.5,San Antonio Spurs,New York Knicks,1,10-7,2,free throw,False,15,True,True
2013-01-03,5.5,San Antonio Spurs,New York Knicks,1,10-7,2,free throw,False,15,False,True
2013-01-03,14.0,San Antonio Spurs,New York Knicks,2,21-30,-12,three point jumper,False,23,False,True
2013-01-03,15.5,San Antonio Spurs,New York Knicks,2,24-32,-11,three point jumper,False,25,False,True
2013-01-03,17.5,San Antonio Spurs,New York Knicks,2,31-37,-8,two point jumper,False,18,True,True
2013-01-03,27.1166666667,San Antonio Spurs,New York Knicks,3,44-49,-7,two point jumper,False,4,False,True
2013-01-03,35.5166666667,San Antonio Spurs,New York Knicks,3,60-66,-9,three point jumper,False,25,True,True
2013-01-03,36.8166666667,San Antonio Spurs,New York Knicks,4,60-72,-15,three point jumper,False,25,False,True
2013-01-05,2.06666666667,San Antonio Spurs,Philadelphia 76ers,1,2-7,2,three point jumper,True,26,True,False
2013-01-05,3.06666666667,San Antonio Spurs,Philadelphia 76ers,1,2-9,4,three point jumper,True,25,False,False
2013-01-05,4.2,San Antonio Spurs,Philadelphia 76ers,1,6-13,4,three point jumper,True,23,True,False
2013-01-05,7.6,San Antonio Spurs,Philadelphia 76ers,1,14-22,5,three point jumper,True,25,False,False
2013-01-05,13.5833333333,San Antonio Spurs,Philadelphia 76ers,2,25-37,9,three point jumper,True,25,True,False
2013-01-05,15.6333333333,San Antonio Spurs,Philadelphia 76ers,2,30-39,7,two point shot,True,1,True,False
2013-01-05,25.95,San Antonio Spurs,Philadelphia 76ers,3,44-58,12,two point shot,True,1,False,False
2013-01-05,34.6666666667,San Antonio Spurs,Philadelphia 76ers,3,63-76,11,layup,True,0,False,False
2013-01-05,40.6333333333,San Antonio Spurs,Philadelphia 76ers,4,71-89,15,three point jumper,True,26,False,False
2013-01-05,40.8166666667,San Antonio Spurs,Philadelphia 76ers,4,71-90,18,free throw,True,15,True,False
2013-01-05,40.8166666667,San Antonio Spurs,Philadelphia 76ers,4,71-91,19,free throw,True,15,True,False
2013-01-05,42.1,San Antonio Spurs,Philadelphia 76ers,4,71-93,19,three point jumper,True,23,False,False
2013-01-21,1.96666666667,San Antonio Spurs,Philadelphia 76ers,1,6-4,0,layup,False,0,True,True
2013-01-21,6.2,San Antonio Spurs,Philadelphia 76ers,1,14-6,5,three point jumper,False,24,False,True
2013-01-21,8.1,San Antonio Spurs,Philadelphia 76ers,1,14-8,3,three point jumper,False,25,False,True
2013-01-21,21.4833333333,San Antonio Spurs,Philadelphia 76ers,2,44-31,12,free throw,False,15,True,True
2013-01-21,21.4833333333,San Antonio Spurs,Philadelphia 76ers,2,45-31,13,free throw,False,15,True,True
2013-01-21,24.6333333333,San Antonio Spurs,Philadelphia 76ers,3,51-35,14,two point shot,False,1,True,True
2013-01-21,27.65,San Antonio Spurs,Philadelphia 76ers,3,53-46,4,three point jumper,False,25,False,True
2013-01-21,39.9666666667,San Antonio Spurs,Philadelphia 76ers,4,73-77,-7,three point jumper,False,26,False,True
2013-01-21,42.6333333333,San Antonio Spurs,Philadelphia 76ers,4,75-82,-10,three point jumper,False,23,False,True
2013-11-25,7.16666666667,San Antonio Spurs,Toronto Raptors,1,18-16,-1,three point jumper,False,24,True,True
2013-11-25,13.65,San Antonio Spurs,Toronto Raptors,2,26-28,-4,two point shot,False,6,True,True
2013-11-25,14.5666666667,San Antonio Spurs,Toronto Raptors,2,29-28,-2,three point jumper,False,23,False,True
2013-11-25,16.7833333333,San Antonio Spurs,Toronto Raptors,2,33-34,-3,two point jumper,False,1,True,True
2013-11-25,25.3,San Antonio Spurs,Toronto Raptors,3,49-51,-5,three point jumper,False,23,False,True
2013-11-25,36.5166666667,San Antonio Spurs,Toronto Raptors,4,69-72,-6,three point jumper,False,23,False,True
2013-11-25,38.8833333333,San Antonio Spurs,Toronto Raptors,4,75-76,-4,three point jumper,False,24,True,True
2013-11-25,43.35,San Antonio Spurs,Toronto Raptors,4,81-79,-1,three point jumper,False,25,False,True
2013-11-25,45.2833333333,San Antonio Spurs,Toronto Raptors,4,83-86,-6,three point jumper,False,23,False,True
2013-11-25,20.7333333333,San Antonio Spurs,Toronto Raptors,5,92-90,-1,three point jumper,False,25,False,True
2013-11-25,19.45,San Antonio Spurs,Toronto Raptors,6,100-97,0,three point jumper,False,23,True,True
2013-11-25,20.9,San Antonio Spurs,Toronto Raptors,6,100-97,0,three point jumper,False,23,False,True
2013-12-26,1.4,San Antonio Spurs,Toronto Raptors,1,2-7,2,three point jumper,True,24,True,False
2013-12-26,14.1333333333,San Antonio Spurs,Toronto Raptors,2,23-27,1,three point jumper,True,23,True,False
2013-12-26,18.7333333333,San Antonio Spurs,Toronto Raptors,2,29-30,-2,three point jumper,True,23,False,False
2013-12-26,21.1666666667,San Antonio Spurs,Toronto Raptors,2,33-34,0,free throw,True,15,True,False
2013-12-26,21.1666666667,San Antonio Spurs,Toronto Raptors,2,33-35,1,free throw,True,15,True,False
2013-12-26,26.0666666667,San Antonio Spurs,Toronto Raptors,3,39-46,4,three point jumper,True,23,False,False
2013-01-18,0.383333333333,San Antonio Spurs,Golden State Warriors,1,0-0,-2,two point jumper,True,17,False,True
2013-01-18,2.25,San Antonio Spurs,Golden State Warriors,1,2-0,-5,three point jumper,True,24,False,True
2013-01-18,21.5166666667,San Antonio Spurs,Golden State Warriors,2,41-38,-5,two point shot,True,1,True,True
2013-01-18,21.5166666667,San Antonio Spurs,Golden State Warriors,2,41-38,-4,free throw,True,15,False,True
2013-01-18,22.5166666667,San Antonio Spurs,Golden State Warriors,2,43-38,-8,three point jumper,True,23,False,True
2013-01-18,24.0,San Antonio Spurs,Golden State Warriors,2,47-46,-4,three point jumper,True,26,False,True
2013-01-18,26.0,San Antonio Spurs,Golden State Warriors,3,52-47,-6,free throw,True,15,True,True
2013-01-18,26.0,San Antonio Spurs,Golden State Warriors,3,52-48,-5,free throw,True,15,True,True
2013-01-18,26.4333333333,San Antonio Spurs,Golden State Warriors,3,54-51,-6,three point jumper,True,23,True,True
2013-01-18,28.45,San Antonio Spurs,Golden State Warriors,3,58-58,-3,three point jumper,True,24,True,True
2013-01-18,40.6,San Antonio Spurs,Golden State Warriors,4,80-82,-1,three point jumper,True,22,False,True
2013-01-18,46.5,San Antonio Spurs,Golden State Warriors,4,86-93,4,three point jumper,True,23,True,True
2013-02-22,0.25,San Antonio Spurs,Golden State Warriors,1,0-0,-3,three point jumper,False,26,False,False
2013-02-22,2.05,San Antonio Spurs,Golden State Warriors,1,5-5,-3,three point jumper,False,24,True,False
2013-02-22,2.7,San Antonio Spurs,Golden State Warriors,1,5-5,-3,three point jumper,False,26,False,False
2013-02-22,5.81666666667,San Antonio Spurs,Golden State Warriors,1,14-11,0,three point jumper,False,26,True,False
2013-02-22,6.28333333333,San Antonio Spurs,Golden State Warriors,1,14-11,1,layup,False,0,False,False
2013-02-22,6.28333333333,San Antonio Spurs,Golden State Warriors,1,16-11,3,two point shot,False,1,True,False
2013-02-22,17.7333333333,San Antonio Spurs,Golden State Warriors,2,32-36,-5,free throw,False,15,True,False
