date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2010-03-19,12.3166666667,Houston Rockets,Boston Celtics,2,28-24,-6,two point jumper,True,22,False,False
2010-03-19,13.1833333333,Houston Rockets,Boston Celtics,2,30-24,-7,free throw,True,15,False,False
2010-03-19,13.1833333333,Houston Rockets,Boston Celtics,2,30-24,-7,free throw,True,15,False,False
2010-03-19,14.0,Houston Rockets,Boston Celtics,2,30-24,-8,layup,True,0,False,False
2010-12-26,14.25,Houston Rockets,Brooklyn Nets,2,29-26,1,two point jumper,False,13,False,True
2010-12-26,16.1333333333,Houston Rockets,Brooklyn Nets,2,38-31,4,three point jumper,False,24,True,True
2010-12-26,37.45,Houston Rockets,Brooklyn Nets,4,73-71,0,two point jumper,False,20,True,True
2010-12-26,38.8833333333,Houston Rockets,Brooklyn Nets,4,75-75,-2,two point jumper,False,19,False,True
2010-12-26,41.0666666667,Houston Rockets,Brooklyn Nets,4,82-79,0,three point jumper,False,25,True,True
2010-12-26,43.45,Houston Rockets,Brooklyn Nets,4,86-85,-2,three point jumper,False,25,False,True
2010-03-13,12.3666666667,Houston Rockets,Brooklyn Nets,2,31-33,0,two point shot,True,10,True,True
2010-03-13,16.45,Houston Rockets,Brooklyn Nets,2,38-39,-1,two point jumper,True,23,True,True
2010-03-13,17.1,Houston Rockets,Brooklyn Nets,2,39-39,-3,three point jumper,True,25,False,True
2010-03-13,20.5166666667,Houston Rockets,Brooklyn Nets,2,48-46,-4,two point jumper,True,24,False,True
2010-01-09,13.1333333333,Houston Rockets,New York Knicks,2,32-26,-7,free throw,True,15,True,False
2010-01-09,13.1333333333,Houston Rockets,New York Knicks,2,32-27,-6,free throw,True,15,True,False
2010-01-09,14.75,Houston Rockets,New York Knicks,2,39-33,-8,two point jumper,True,13,True,False
2010-01-09,17.6,Houston Rockets,New York Knicks,2,45-37,-10,two point jumper,True,15,True,False
2010-01-09,19.4166666667,Houston Rockets,New York Knicks,2,49-42,-9,dunk,True,0,True,False
2010-01-09,21.3666666667,Houston Rockets,New York Knicks,2,53-42,-13,two point shot,True,17,False,False
2010-01-09,21.6833333333,Houston Rockets,New York Knicks,2,53-42,-14,three point jumper,True,25,False,False
2010-01-09,36.6333333333,Houston Rockets,New York Knicks,4,80-80,-2,hook shot,True,8,True,False
2010-01-09,44.7333333333,Houston Rockets,New York Knicks,4,94-97,0,three point jumper,True,26,False,False
2010-12-11,13.9,Houston Rockets,Philadelphia 76ers,2,22-33,-13,two point jumper,False,22,False,True
2010-12-11,19.2333333333,Houston Rockets,Philadelphia 76ers,2,35-41,-9,three point jumper,False,26,False,True
2010-12-11,35.1,Houston Rockets,Philadelphia 76ers,3,74-64,7,three point jumper,False,22,False,True
2010-12-11,36.6333333333,Houston Rockets,Philadelphia 76ers,4,76-66,8,two point jumper,False,17,False,True
2010-12-11,38.1333333333,Houston Rockets,Philadelphia 76ers,4,81-68,11,dunk,False,0,False,True
2010-12-13,12.3833333333,Houston Rockets,Toronto Raptors,2,17-32,-18,three point jumper,False,23,False,True
2010-12-13,15.95,Houston Rockets,Toronto Raptors,2,20-37,-20,three point jumper,False,25,False,True
2010-12-13,16.9166666667,Houston Rockets,Toronto Raptors,2,24-40,-18,dunk,False,0,True,True
2010-03-01,15.4666666667,Houston Rockets,Toronto Raptors,2,37-45,6,two point jumper,True,13,True,False
2010-03-01,17.0666666667,Houston Rockets,Toronto Raptors,2,39-49,8,two point jumper,True,18,True,False
2010-03-01,18.6666666667,Houston Rockets,Toronto Raptors,2,43-52,7,two point shot,True,9,False,False
2010-03-01,19.45,Houston Rockets,Toronto Raptors,2,43-55,9,three point jumper,True,25,True,False
