date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2010-12-03,14.0666666667,San Antonio Spurs,Boston Celtics,2,27-19,-10,layup,True,0,True,False
2010-12-03,14.7,San Antonio Spurs,Boston Celtics,2,27-21,-8,two point shot,True,1,True,False
2010-12-03,15.3833333333,San Antonio Spurs,Boston Celtics,2,29-23,-8,layup,True,0,True,False
2010-12-03,15.3833333333,San Antonio Spurs,Boston Celtics,2,29-23,-7,free throw,True,15,False,False
2010-12-03,34.6166666667,San Antonio Spurs,Boston Celtics,3,69-62,-9,two point shot,True,1,True,False
2010-12-03,35.1333333333,San Antonio Spurs,Boston Celtics,3,71-62,-11,layup,True,0,False,False
2010-12-03,36.3833333333,San Antonio Spurs,Boston Celtics,4,74-65,-11,two point shot,True,1,True,False
2010-12-03,40.95,San Antonio Spurs,Boston Celtics,4,81-75,-8,two point jumper,True,1,True,False
2010-12-03,42.1333333333,San Antonio Spurs,Boston Celtics,4,83-77,-8,layup,True,0,True,False
2010-12-03,43.2833333333,San Antonio Spurs,Boston Celtics,4,85-79,-8,layup,True,0,True,False
2010-12-03,45.2166666667,San Antonio Spurs,Boston Celtics,4,85-81,-6,tip shot,True,0,True,False
2010-03-28,11.95,San Antonio Spurs,Boston Celtics,1,18-23,-6,free throw,False,15,False,True
2010-03-28,11.95,San Antonio Spurs,Boston Celtics,1,19-23,-5,free throw,False,15,True,True
2010-03-28,42.6666666667,San Antonio Spurs,Boston Celtics,4,84-67,15,layup,False,0,False,True
2010-03-28,43.1,San Antonio Spurs,Boston Celtics,4,86-67,17,tip shot,False,0,True,True
2010-03-28,43.6333333333,San Antonio Spurs,Boston Celtics,4,88-67,19,dunk,False,0,True,True
2010-03-28,45.1166666667,San Antonio Spurs,Boston Celtics,4,92-69,21,two point jumper,False,1,True,True
2010-01-10,1.0,San Antonio Spurs,Brooklyn Nets,1,0-2,0,two point shot,True,4,False,True
2010-01-10,1.68333333333,San Antonio Spurs,Brooklyn Nets,1,0-4,2,dunk,True,0,True,True
2010-01-10,4.31666666667,San Antonio Spurs,Brooklyn Nets,1,9-4,-7,layup,True,0,False,True
