date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2010-11-27,0.5,Toronto Raptors,Boston Celtics,1,0-0,-2,two point jumper,False,12,False,False
2010-11-27,2.61666666667,Toronto Raptors,Boston Celtics,1,3-4,-3,layup,False,0,True,False
2010-11-27,5.73333333333,Toronto Raptors,Boston Celtics,1,16-16,-2,layup,False,0,True,False
2010-11-27,7.81666666667,Toronto Raptors,Boston Celtics,1,20-20,-2,two point jumper,False,20,False,False
2010-11-27,24.3666666667,Toronto Raptors,Boston Celtics,3,55-54,-1,two point jumper,False,5,False,False
2010-11-27,24.9666666667,Toronto Raptors,Boston Celtics,3,59-57,0,two point shot,False,1,True,False
2010-11-27,28.7833333333,Toronto Raptors,Boston Celtics,3,61-64,-5,two point jumper,False,19,False,False
2010-11-27,47.6333333333,Toronto Raptors,Boston Celtics,4,103-116,-16,three point jumper,False,24,True,False
2010-01-02,0.133333333333,Toronto Raptors,Boston Celtics,1,0-0,-2,layup,False,0,False,True
2010-01-02,2.25,Toronto Raptors,Boston Celtics,1,6-4,1,free throw,False,15,True,True
2010-01-02,2.25,Toronto Raptors,Boston Celtics,1,6-4,1,free throw,False,15,False,True
2010-01-02,24.95,Toronto Raptors,Boston Celtics,3,51-58,-9,dunk,False,0,True,True
2010-01-02,27.8166666667,Toronto Raptors,Boston Celtics,3,55-64,-11,two point jumper,False,17,False,True
2010-01-10,3.01666666667,Toronto Raptors,Boston Celtics,1,10-4,-8,layup,True,0,True,False
2010-01-10,8.03333333333,Toronto Raptors,Boston Celtics,1,21-19,-4,two point jumper,True,16,True,False
2010-01-10,11.3833333333,Toronto Raptors,Boston Celtics,1,28-24,-6,layup,True,0,False,False
2010-01-10,28.5666666667,Toronto Raptors,Boston Celtics,3,70-59,-13,two point jumper,True,7,True,False
2010-01-10,33.7,Toronto Raptors,Boston Celtics,3,84-74,-11,free throw,True,15,False,False
2010-01-10,33.7,Toronto Raptors,Boston Celtics,3,84-75,-10,free throw,True,15,True,False
2010-04-07,13.3166666667,Toronto Raptors,Boston Celtics,2,30-25,-7,two point shot,True,2,False,False
2010-04-07,15.2166666667,Toronto Raptors,Boston Celtics,2,32-32,-2,two point shot,True,20,False,False
2010-04-07,33.2833333333,Toronto Raptors,Boston Celtics,3,75-73,-4,two point shot,True,18,True,False
2010-04-07,38.3,Toronto Raptors,Boston Celtics,4,86-80,-8,layup,True,0,True,False
2010-04-07,40.5333333333,Toronto Raptors,Boston Celtics,4,95-85,-12,layup,True,0,True,False
2010-04-07,41.7333333333,Toronto Raptors,Boston Celtics,4,98-89,-11,two point shot,True,1,True,False
2010-04-07,42.95,Toronto Raptors,Boston Celtics,4,99-93,-8,two point shot,True,1,True,False
2010-04-07,44.4166666667,Toronto Raptors,Boston Celtics,4,104-97,-9,two point jumper,True,21,True,False
2010-04-07,47.5,Toronto Raptors,Boston Celtics,4,115-104,-13,two point jumper,True,22,True,False
2010-12-18,1.36666666667,Toronto Raptors,Brooklyn Nets,1,2-6,2,two point shot,True,1,True,False
2010-12-18,1.36666666667,Toronto Raptors,Brooklyn Nets,1,2-7,4,free throw,True,15,True,False
2010-12-18,1.56666666667,Toronto Raptors,Brooklyn Nets,1,2-8,5,free throw,True,15,True,False
2010-12-18,1.56666666667,Toronto Raptors,Brooklyn Nets,1,2-9,6,free throw,True,15,True,False
2010-12-18,6.13333333333,Toronto Raptors,Brooklyn Nets,1,10-20,9,free throw,True,15,False,False
2010-12-18,6.13333333333,Toronto Raptors,Brooklyn Nets,1,10-21,10,free throw,True,15,True,False
2010-12-18,6.73333333333,Toronto Raptors,Brooklyn Nets,1,12-23,9,two point jumper,True,17,True,False
2010-12-18,8.65,Toronto Raptors,Brooklyn Nets,1,12-32,18,two point shot,True,1,True,False
2010-12-18,23.9833333333,Toronto Raptors,Brooklyn Nets,2,33-68,33,two point shot,True,3,False,False
2010-12-18,27.5833333333,Toronto Raptors,Brooklyn Nets,3,46-77,29,two point shot,True,1,True,False
2010-12-18,29.6,Toronto Raptors,Brooklyn Nets,3,50-83,31,two point shot,True,2,True,False
2010-12-18,44.5833333333,Toronto Raptors,Brooklyn Nets,4,84-112,26,two point jumper,True,9,True,False
2010-12-18,46.2833333333,Toronto Raptors,Brooklyn Nets,4,91-114,21,two point jumper,True,21,False,False
2010-02-19,1.13333333333,Toronto Raptors,Brooklyn Nets,1,4-2,0,two point shot,False,1,True,False
2010-02-19,1.75,Toronto Raptors,Brooklyn Nets,1,4-4,-1,free throw,False,15,False,False
2010-02-19,1.75,Toronto Raptors,Brooklyn Nets,1,5-4,0,free throw,False,15,True,False
2010-02-19,2.56666666667,Toronto Raptors,Brooklyn Nets,1,5-6,-3,layup,False,0,False,False
2010-02-19,4.88333333333,Toronto Raptors,Brooklyn Nets,1,11-9,1,free throw,False,15,False,False
2010-02-19,4.88333333333,Toronto Raptors,Brooklyn Nets,1,12-9,2,free throw,False,15,True,False
2010-02-19,27.65,Toronto Raptors,Brooklyn Nets,3,65-49,14,layup,False,0,True,False
2010-02-19,28.2833333333,Toronto Raptors,Brooklyn Nets,3,67-52,13,layup,False,0,True,False
2010-02-19,31.4833333333,Toronto Raptors,Brooklyn Nets,3,73-61,10,dunk,False,0,True,False
2010-02-19,32.9333333333,Toronto Raptors,Brooklyn Nets,3,75-66,8,free throw,False,15,False,False
2010-02-19,32.9333333333,Toronto Raptors,Brooklyn Nets,3,75-66,8,free throw,False,15,False,False
2010-02-19,33.7833333333,Toronto Raptors,Brooklyn Nets,3,77-66,9,two point shot,False,1,True,False
2010-02-19,40.85,Toronto Raptors,Brooklyn Nets,4,92-79,11,layup,False,0,True,False
2010-03-20,3.05,Toronto Raptors,Brooklyn Nets,1,5-4,-1,layup,False,0,False,False
2010-03-20,3.95,Toronto Raptors,Brooklyn Nets,1,7-4,1,layup,False,0,True,False
2010-03-20,6.38333333333,Toronto Raptors,Brooklyn Nets,1,15-11,2,layup,False,0,True,False
2010-03-20,29.7,Toronto Raptors,Brooklyn Nets,3,63-63,-2,layup,False,0,False,False
2010-03-20,29.7333333333,Toronto Raptors,Brooklyn Nets,3,63-63,-2,two point shot,False,1,False,False
2010-01-15,2.2,Toronto Raptors,New York Knicks,1,8-2,4,two point jumper,False,17,False,True
2010-01-15,4.35,Toronto Raptors,New York Knicks,1,14-3,10,free throw,False,15,False,True
2010-01-15,4.35,Toronto Raptors,New York Knicks,1,14-3,10,free throw,False,15,False,True
2010-01-15,6.81666666667,Toronto Raptors,New York Knicks,1,24-8,14,two point jumper,False,17,False,True
2010-01-15,8.53333333333,Toronto Raptors,New York Knicks,1,27-13,13,free throw,False,15,True,True
2010-01-15,8.53333333333,Toronto Raptors,New York Knicks,1,28-13,14,free throw,False,15,True,True
2010-01-15,10.9166666667,Toronto Raptors,New York Knicks,1,34-16,17,free throw,False,15,True,True
2010-01-15,10.9166666667,Toronto Raptors,New York Knicks,1,35-16,18,free throw,False,15,True,True
2010-01-15,11.9333333333,Toronto Raptors,New York Knicks,1,39-20,17,two point shot,False,1,True,True
2010-01-15,21.85,Toronto Raptors,New York Knicks,2,66-40,24,layup,False,0,True,True
2010-01-15,23.1833333333,Toronto Raptors,New York Knicks,2,66-40,25,free throw,False,15,False,True
2010-01-15,23.1833333333,Toronto Raptors,New York Knicks,2,67-40,26,free throw,False,15,True,True
2010-01-15,26.55,Toronto Raptors,New York Knicks,3,71-48,21,layup,False,0,False,True
2010-01-15,29.1666666667,Toronto Raptors,New York Knicks,3,76-60,15,free throw,False,15,True,True
2010-01-15,29.1666666667,Toronto Raptors,New York Knicks,3,77-60,16,free throw,False,15,True,True
2010-01-15,33.8333333333,Toronto Raptors,New York Knicks,3,85-73,11,free throw,False,15,True,True
2010-01-15,33.8333333333,Toronto Raptors,New York Knicks,3,86-73,12,free throw,False,15,True,True
2010-01-15,34.5,Toronto Raptors,New York Knicks,3,88-75,11,two point shot,False,1,True,True
2010-01-15,35.8666666667,Toronto Raptors,New York Knicks,3,91-80,9,two point jumper,False,17,True,True
2010-01-15,36.0,Toronto Raptors,New York Knicks,3,92-80,11,free throw,False,15,True,True
2010-01-15,36.0,Toronto Raptors,New York Knicks,3,93-80,12,free throw,False,15,True,True
2010-01-15,47.35,Toronto Raptors,New York Knicks,4,112-102,8,two point jumper,False,18,False,True
2010-03-05,0.716666666667,Toronto Raptors,New York Knicks,1,0-2,0,two point jumper,True,17,True,False
2010-03-05,8.0,Toronto Raptors,New York Knicks,1,17-18,-1,layup,True,0,True,False
2010-03-05,20.55,Toronto Raptors,New York Knicks,2,45-47,0,two point jumper,True,20,False,False
2010-03-05,23.3666666667,Toronto Raptors,New York Knicks,2,50-51,-1,two point shot,True,5,False,False
2010-03-05,26.0833333333,Toronto Raptors,New York Knicks,3,54-58,2,two point jumper,True,22,False,False
2010-03-05,28.2833333333,Toronto Raptors,New York Knicks,3,60-62,0,layup,True,0,True,False
2010-03-05,30.2,Toronto Raptors,New York Knicks,3,63-66,1,two point jumper,True,19,True,False
2010-03-05,32.7,Toronto Raptors,New York Knicks,3,67-70,1,two point shot,True,1,True,False
2010-04-14,14.1833333333,Toronto Raptors,New York Knicks,2,34-44,8,layup,True,0,True,True
2010-04-14,16.8833333333,Toronto Raptors,New York Knicks,2,43-52,7,two point jumper,True,18,True,True
2010-04-14,21.0833333333,Toronto Raptors,New York Knicks,2,50-64,13,free throw,True,15,True,True
2010-04-14,21.0833333333,Toronto Raptors,New York Knicks,2,50-65,14,free throw,True,15,True,True
2010-04-14,22.5,Toronto Raptors,New York Knicks,2,55-69,12,two point jumper,True,21,False,True
2010-04-14,27.4666666667,Toronto Raptors,New York Knicks,3,73-81,7,free throw,True,15,False,True
2010-04-14,27.4666666667,Toronto Raptors,New York Knicks,3,73-82,8,free throw,True,15,True,True
2010-04-14,29.45,Toronto Raptors,New York Knicks,3,80-88,6,two point shot,True,4,True,True
2010-04-14,31.3833333333,Toronto Raptors,New York Knicks,3,86-94,6,layup,True,0,True,True
