date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-11-18,14.6833333333,Oklahoma City Thunder,Golden State Warriors,2,26-28,-5,three point jumper,False,27,False,True
2007-12-13,16.35,Oklahoma City Thunder,Chicago Bulls,2,21-33,-14,two point shot,False,1,False,False
2007-12-13,16.7333333333,Oklahoma City Thunder,Chicago Bulls,2,21-33,-14,two point jumper,False,20,False,False
2007-12-13,47.9666666667,Oklahoma City Thunder,Chicago Bulls,4,84-99,-18,three point jumper,False,24,False,False
2007-12-15,36.4,Oklahoma City Thunder,Cleveland Cavaliers,4,61-85,-26,layup,False,0,False,True
2007-12-15,38.8666666667,Oklahoma City Thunder,Cleveland Cavaliers,4,66-89,-26,three point jumper,False,25,False,True
2007-12-08,47.6666666667,Oklahoma City Thunder,New Orleans Pelicans,4,72-94,19,three point jumper,True,25,False,True
2007-12-05,47.8,Oklahoma City Thunder,Atlanta Hawks,4,87-102,13,two point jumper,True,18,True,False
2007-12-28,45.7666666667,Oklahoma City Thunder,Denver Nuggets,4,91-109,-21,three point jumper,False,23,False,True
2007-12-28,47.5166666667,Oklahoma City Thunder,Denver Nuggets,4,98-112,-17,three point jumper,False,25,True,True
2007-12-28,47.9333333333,Oklahoma City Thunder,Denver Nuggets,4,98-112,-17,three point jumper,False,27,False,True
2007-12-29,42.4833333333,Oklahoma City Thunder,Minnesota Timberwolves,4,67-87,-23,three point jumper,False,25,True,True
2007-12-29,43.1666666667,Oklahoma City Thunder,Minnesota Timberwolves,4,69-89,-22,two point jumper,False,21,True,True
2007-12-29,45.0833333333,Oklahoma City Thunder,Minnesota Timberwolves,4,75-97,-24,layup,False,0,True,True
2007-12-29,45.0833333333,Oklahoma City Thunder,Minnesota Timberwolves,4,76-97,-22,free throw,False,15,True,True
2007-12-29,47.95,Oklahoma City Thunder,Minnesota Timberwolves,4,82-101,-21,two point jumper,False,24,False,True
2009-11-04,37.55,San Antonio Spurs,Dallas Mavericks,4,76-65,-14,three point jumper,True,26,True,False
2009-11-04,46.25,San Antonio Spurs,Dallas Mavericks,4,96-78,-21,three point jumper,True,22,False,False
2009-10-31,11.6333333333,San Antonio Spurs,Portland Trail Blazers,1,21-21,-1,free throw,False,15,True,True
2009-10-31,11.6333333333,San Antonio Spurs,Portland Trail Blazers,1,22-21,0,free throw,False,15,True,True
2009-10-31,21.5666666667,San Antonio Spurs,Portland Trail Blazers,2,37-42,-8,three point jumper,False,23,False,True
2009-10-31,23.4833333333,San Antonio Spurs,Portland Trail Blazers,2,45-48,-6,three point jumper,False,24,True,True
2009-10-31,33.7,San Antonio Spurs,Portland Trail Blazers,3,63-72,-12,three point jumper,False,23,False,True
2009-11-07,13.8833333333,San Antonio Spurs,Miami Heat,2,29-15,-16,layup,True,0,False,False
2009-11-07,16.4166666667,San Antonio Spurs,Miami Heat,2,34-20,-17,three point jumper,True,25,True,False
2009-11-07,18.0333333333,San Antonio Spurs,Miami Heat,2,36-24,-15,three point jumper,True,22,False,False
2009-11-07,25.5,San Antonio Spurs,Miami Heat,3,55-34,-24,three point jumper,True,26,False,False
2009-11-07,26.3,San Antonio Spurs,Miami Heat,3,55-39,-18,layup,True,0,True,False
2009-11-07,28.2833333333,San Antonio Spurs,Miami Heat,3,59-42,-20,three point jumper,True,24,False,False
2009-11-07,31.7833333333,San Antonio Spurs,Miami Heat,3,65-47,-21,three point jumper,True,22,False,False
2009-11-07,46.75,San Antonio Spurs,Miami Heat,4,94-81,-16,three point jumper,True,22,False,False
2009-11-07,47.6666666667,San Antonio Spurs,Miami Heat,4,99-81,-21,three point jumper,True,23,False,False
