date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-02-26,13.1166666667,Los Angeles Lakers,Boston Celtics,2,26-27,-1,layup,True,0,False,False
2006-11-27,37.15,Los Angeles Lakers,Brooklyn Nets,4,67-60,-9,layup,True,0,True,True
2006-11-27,37.15,Los Angeles Lakers,Brooklyn Nets,4,67-60,-8,free throw,True,15,False,True
2006-11-27,38.2666666667,Los Angeles Lakers,Brooklyn Nets,4,71-62,-11,layup,True,0,False,True
2006-11-16,40.7833333333,Los Angeles Lakers,New York Knicks,4,72-86,12,two point jumper,True,19,False,True
2006-01-31,44.2166666667,Los Angeles Lakers,New York Knicks,4,119-85,32,layup,False,0,True,False
2006-01-31,45.4666666667,Los Angeles Lakers,New York Knicks,4,120-87,32,free throw,False,15,True,False
2006-01-31,45.4666666667,Los Angeles Lakers,New York Knicks,4,120-87,32,free throw,False,15,False,False
2006-01-31,47.35,Los Angeles Lakers,New York Knicks,4,127-93,33,free throw,False,15,True,False
2006-01-31,47.35,Los Angeles Lakers,New York Knicks,4,128-93,34,free throw,False,15,True,False
2006-12-07,44.2833333333,Los Angeles Lakers,Toronto Raptors,4,96-79,16,free throw,False,15,False,False
2006-12-07,44.2833333333,Los Angeles Lakers,Toronto Raptors,4,96-79,16,free throw,False,15,False,False
2006-12-07,46.3,Los Angeles Lakers,Toronto Raptors,4,96-83,11,two point jumper,False,16,False,False
2006-02-24,17.5333333333,Los Angeles Lakers,Los Angeles Clippers,2,26-33,-9,two point jumper,False,1,False,True
2006-02-24,48.0,Los Angeles Lakers,Los Angeles Clippers,4,83-102,-21,two point jumper,False,9,False,True
2006-11-14,34.2666666667,Los Angeles Lakers,Memphis Grizzlies,3,46-69,-24,free throw,False,15,False,False
2006-11-14,34.2666666667,Los Angeles Lakers,Memphis Grizzlies,3,47-69,-23,free throw,False,15,True,False
2006-11-14,43.4166666667,Los Angeles Lakers,Memphis Grizzlies,4,61-77,-17,free throw,False,15,True,False
2006-11-14,43.4166666667,Los Angeles Lakers,Memphis Grizzlies,4,62-77,-16,free throw,False,15,True,False
2006-11-14,46.8666666667,Los Angeles Lakers,Memphis Grizzlies,4,67-81,-15,free throw,False,15,False,False
2006-11-14,46.8666666667,Los Angeles Lakers,Memphis Grizzlies,4,68-81,-14,free throw,False,15,True,False
2006-11-24,43.1,Los Angeles Lakers,Oklahoma City Thunder,4,82-94,10,two point jumper,True,17,False,False
2006-11-24,46.9666666667,Los Angeles Lakers,Oklahoma City Thunder,4,94-106,11,free throw,True,15,False,False
2006-11-24,46.9666666667,Los Angeles Lakers,Oklahoma City Thunder,4,94-107,12,free throw,True,15,True,False
2006-11-24,47.4666666667,Los Angeles Lakers,Oklahoma City Thunder,4,94-107,11,two point jumper,True,18,False,False
2006-12-06,47.1833333333,Los Angeles Lakers,Milwaukee Bucks,4,105-89,14,two point jumper,False,13,False,False
2006-12-14,46.0,Los Angeles Lakers,Memphis Grizzlies,4,93-72,19,two point jumper,False,17,True,True
2006-12-14,47.1666666667,Los Angeles Lakers,Memphis Grizzlies,4,93-74,17,two point shot,False,10,False,True
2006-12-20,44.4,Los Angeles Lakers,Dallas Mavericks,4,77-108,29,two point jumper,True,9,False,False
2006-12-20,44.75,Los Angeles Lakers,Dallas Mavericks,4,79-109,29,free throw,True,15,True,False
2006-12-20,44.75,Los Angeles Lakers,Dallas Mavericks,4,79-110,30,free throw,True,15,True,False
2006-12-20,46.8833333333,Los Angeles Lakers,Dallas Mavericks,4,85-110,22,three point jumper,True,23,False,False
2006-12-20,47.6166666667,Los Angeles Lakers,Dallas Mavericks,4,88-112,22,two point shot,True,11,True,False
2006-01-29,41.5666666667,Los Angeles Lakers,Detroit Pistons,4,80-94,-16,dunk,False,0,True,True
2006-02-01,41.75,Los Angeles Lakers,Indiana Pacers,4,69-94,-27,two point jumper,False,16,False,True
2006-02-07,29.2166666667,Los Angeles Lakers,Dallas Mavericks,3,20-38,-21,three point jumper,False,25,False,True
2006-02-28,41.5333333333,Los Angeles Lakers,Orlando Magic,4,78-90,10,two point jumper,True,14,False,False
2006-02-28,41.9833333333,Los Angeles Lakers,Orlando Magic,4,78-92,12,tip shot,True,0,True,False
2006-03-30,46.3,Los Angeles Lakers,San Antonio Spurs,4,96-83,-15,two point jumper,True,6,False,False
2006-03-30,46.4666666667,Los Angeles Lakers,San Antonio Spurs,4,96-83,-15,two point jumper,True,17,False,False
2006-03-30,47.4,Los Angeles Lakers,San Antonio Spurs,4,96-86,-11,free throw,True,15,False,False
2006-03-30,47.4,Los Angeles Lakers,San Antonio Spurs,4,96-87,-10,free throw,True,15,True,False
2006-03-30,47.8833333333,Los Angeles Lakers,San Antonio Spurs,4,96-87,-11,two point jumper,True,14,False,False
