date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2011-04-13,16.0666666667,Miami Heat,Toronto Raptors,2,38-29,7,layup,False,0,False,True
2011-04-13,23.4833333333,Miami Heat,Toronto Raptors,2,50-49,-1,layup,False,0,True,True
2011-04-01,46.1666666667,Miami Heat,Minnesota Timberwolves,4,108-88,18,two point jumper,False,1,False,False
2012-04-01,44.1666666667,Miami Heat,Boston Celtics,4,68-89,-23,layup,False,0,True,False
2012-04-01,44.1666666667,Miami Heat,Boston Celtics,4,68-89,-22,free throw,False,15,False,False
2012-04-01,45.75,Miami Heat,Boston Celtics,4,72-91,-21,hook shot,False,11,False,False
2012-04-01,47.4166666667,Miami Heat,Boston Celtics,4,72-91,-21,hook shot,False,9,False,False
2012-04-24,3.25,Miami Heat,Boston Celtics,1,5-0,3,layup,False,0,True,False
2012-04-24,7.78333333333,Miami Heat,Boston Celtics,1,11-4,5,hook shot,False,3,False,False
2012-04-24,7.81666666667,Miami Heat,Boston Celtics,1,13-4,7,layup,False,0,True,False
2012-04-24,8.48333333333,Miami Heat,Boston Celtics,1,13-4,7,two point jumper,False,5,False,False
2012-04-24,20.0166666667,Miami Heat,Boston Celtics,2,26-23,1,two point shot,False,9,False,False
2012-04-24,21.6833333333,Miami Heat,Boston Celtics,2,32-25,5,dunk,False,0,True,False
2012-04-24,27.95,Miami Heat,Boston Celtics,3,44-34,8,dunk,False,0,True,False
2012-04-24,28.6333333333,Miami Heat,Boston Celtics,3,44-34,8,hook shot,False,4,False,False
2012-04-24,47.25,Miami Heat,Boston Celtics,4,64-78,-16,dunk,False,0,True,False
2012-04-24,47.7833333333,Miami Heat,Boston Celtics,4,66-78,-14,layup,False,0,True,False
2012-01-07,35.0166666667,Miami Heat,Brooklyn Nets,3,76-59,15,layup,False,0,True,False
2012-01-07,47.5333333333,Miami Heat,Brooklyn Nets,4,100-90,9,free throw,False,15,False,False
2012-01-07,47.5333333333,Miami Heat,Brooklyn Nets,4,101-90,10,free throw,False,15,True,False
2012-03-06,7.88333333333,Miami Heat,Brooklyn Nets,1,13-22,7,dunk,True,0,True,False
2012-03-06,8.53333333333,Miami Heat,Brooklyn Nets,1,15-24,7,two point shot,True,1,True,False
2012-03-06,37.0833333333,Miami Heat,Brooklyn Nets,4,58-90,30,hook shot,True,10,True,False
2012-03-06,38.65,Miami Heat,Brooklyn Nets,4,58-95,35,hook shot,True,4,True,False
2012-03-06,39.25,Miami Heat,Brooklyn Nets,4,58-96,37,free throw,True,15,True,False
2012-03-06,39.25,Miami Heat,Brooklyn Nets,4,58-97,38,free throw,True,15,True,False
