date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2009-04-13,10.0333333333,Charlotte Bobcats,Brooklyn Nets,1,18-13,3,layup,False,0,True,False
2009-04-13,11.9666666667,Charlotte Bobcats,Brooklyn Nets,1,25-20,3,layup,False,0,True,False
2009-04-13,14.2,Charlotte Bobcats,Brooklyn Nets,2,29-20,7,layup,False,0,True,False
2009-04-13,41.8833333333,Charlotte Bobcats,Brooklyn Nets,4,80-77,2,free throw,False,15,True,False
2009-04-13,41.8833333333,Charlotte Bobcats,Brooklyn Nets,4,80-77,2,free throw,False,15,False,False
2009-04-13,45.6166666667,Charlotte Bobcats,Brooklyn Nets,4,87-85,0,two point jumper,False,1,False,False
2009-04-13,47.2333333333,Charlotte Bobcats,Brooklyn Nets,4,87-91,-7,three point jumper,False,25,False,False
2009-04-07,14.7166666667,Charlotte Bobcats,Philadelphia 76ers,2,21-40,18,free throw,True,15,True,False
2009-04-07,14.7166666667,Charlotte Bobcats,Philadelphia 76ers,2,21-40,18,free throw,True,15,False,False
2009-04-11,20.2166666667,Charlotte Bobcats,Chicago Bulls,2,42-50,-10,two point jumper,False,17,False,False
2009-04-11,35.8666666667,Charlotte Bobcats,Chicago Bulls,3,83-78,3,layup,False,0,True,False
2009-04-11,37.95,Charlotte Bobcats,Chicago Bulls,4,85-82,2,free throw,False,15,False,False
2009-04-11,37.95,Charlotte Bobcats,Chicago Bulls,4,86-82,3,free throw,False,15,True,False
2009-04-05,9.68333333333,Charlotte Bobcats,Detroit Pistons,1,14-20,-8,layup,False,0,False,True
2009-04-05,10.1,Charlotte Bobcats,Detroit Pistons,1,14-20,-8,two point jumper,False,1,False,True
2009-04-05,11.8,Charlotte Bobcats,Detroit Pistons,1,17-24,-9,two point jumper,False,16,False,True
2009-04-05,15.8666666667,Charlotte Bobcats,Detroit Pistons,2,23-33,-12,two point shot,False,1,True,True
2009-04-05,17.2166666667,Charlotte Bobcats,Detroit Pistons,2,23-39,-18,two point shot,False,13,False,True
2009-04-10,18.35,Charlotte Bobcats,Oklahoma City Thunder,2,27-39,-14,layup,False,0,True,False
2009-04-10,19.5333333333,Charlotte Bobcats,Oklahoma City Thunder,2,33-39,-8,dunk,False,0,True,False
2009-04-10,40.3166666667,Charlotte Bobcats,Oklahoma City Thunder,4,69-68,-1,layup,False,0,True,False
2009-04-15,14.8833333333,Charlotte Bobcats,Orlando Magic,2,19-37,-20,two point jumper,False,14,False,False
2009-04-15,24.0,Charlotte Bobcats,Orlando Magic,2,37-57,-21,free throw,False,15,True,False
2009-04-15,24.0,Charlotte Bobcats,Orlando Magic,2,38-57,-20,free throw,False,15,True,False
2009-04-15,36.5833333333,Charlotte Bobcats,Orlando Magic,4,60-79,-21,two point jumper,False,11,True,False
2009-04-15,38.5666666667,Charlotte Bobcats,Orlando Magic,4,63-84,-24,three point jumper,False,24,True,False
2009-04-15,41.5,Charlotte Bobcats,Orlando Magic,4,63-89,-28,two point jumper,False,20,False,False
2009-04-15,45.2666666667,Charlotte Bobcats,Orlando Magic,4,67-89,-24,layup,False,0,True,False
2009-04-15,45.2666666667,Charlotte Bobcats,Orlando Magic,4,68-89,-22,free throw,False,15,True,False
