date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-22,9.31666666667,Cleveland Cavaliers,Boston Celtics,1,13-24,8,three point jumper,True,24,False,False
2006-11-22,13.75,Cleveland Cavaliers,Boston Celtics,2,20-29,6,three point jumper,True,25,False,False
2006-11-22,18.95,Cleveland Cavaliers,Boston Celtics,5,91-105,11,three point jumper,True,25,True,False
2006-11-22,20.1333333333,Cleveland Cavaliers,Boston Celtics,5,92-111,16,three point jumper,True,24,True,False
2006-02-15,11.1833333333,Cleveland Cavaliers,Boston Celtics,1,30-23,5,layup,False,0,True,True
2006-02-15,14.3,Cleveland Cavaliers,Boston Celtics,2,32-23,6,three point jumper,False,23,False,True
2006-02-15,17.5333333333,Cleveland Cavaliers,Boston Celtics,2,41-28,11,dunk,False,0,True,True
2006-02-15,34.15,Cleveland Cavaliers,Boston Celtics,3,68-61,5,layup,False,0,True,True
2006-02-15,35.2,Cleveland Cavaliers,Boston Celtics,3,69-63,4,two point jumper,False,19,False,True
2006-02-15,35.7666666667,Cleveland Cavaliers,Boston Celtics,3,72-65,4,three point jumper,False,23,True,True
2006-02-15,17.4666666667,Cleveland Cavaliers,Boston Celtics,5,94-93,-2,three point jumper,False,23,False,True
2006-02-15,19.25,Cleveland Cavaliers,Boston Celtics,5,98-95,1,two point jumper,False,5,False,True
2006-02-15,20.6333333333,Cleveland Cavaliers,Boston Celtics,6,105-104,-1,layup,False,0,True,True
2006-03-24,9.86666666667,Cleveland Cavaliers,Boston Celtics,1,16-15,-4,three point jumper,True,25,True,True
2006-03-24,33.0,Cleveland Cavaliers,Boston Celtics,3,53-54,-2,three point jumper,True,26,False,True
2006-03-24,35.8166666667,Cleveland Cavaliers,Boston Celtics,3,59-58,-3,hook shot,True,4,True,True
2006-03-24,36.3333333333,Cleveland Cavaliers,Boston Celtics,4,59-61,-1,three point jumper,True,23,True,True
2006-03-24,37.05,Cleveland Cavaliers,Boston Celtics,4,61-61,-2,two point shot,True,9,False,True
2006-03-24,37.75,Cleveland Cavaliers,Boston Celtics,4,61-61,-2,two point jumper,True,18,False,True
2006-03-24,40.5,Cleveland Cavaliers,Boston Celtics,4,63-69,3,three point jumper,True,24,False,True
2006-03-24,44.4,Cleveland Cavaliers,Boston Celtics,4,75-81,3,three point jumper,True,25,True,True
2006-03-24,46.7333333333,Cleveland Cavaliers,Boston Celtics,4,79-88,6,three point jumper,True,23,True,True
2006-04-17,9.0,Cleveland Cavaliers,Boston Celtics,1,17-17,-3,three point jumper,False,23,False,True
2006-04-17,36.0,Cleveland Cavaliers,Boston Celtics,3,82-63,17,two point jumper,False,21,False,True
2006-04-17,39.7666666667,Cleveland Cavaliers,Boston Celtics,4,83-72,9,two point jumper,False,18,False,True
2006-04-17,42.9833333333,Cleveland Cavaliers,Boston Celtics,4,89-78,10,free throw,False,15,True,True
2006-04-17,42.9833333333,Cleveland Cavaliers,Boston Celtics,4,90-78,11,free throw,False,15,True,True
2006-04-17,47.75,Cleveland Cavaliers,Boston Celtics,4,92-88,3,free throw,False,15,True,True
2006-04-17,47.75,Cleveland Cavaliers,Boston Celtics,4,93-88,4,free throw,False,15,True,True
2006-12-09,7.6,Cleveland Cavaliers,Brooklyn Nets,1,16-9,-9,layup,True,0,False,False
2006-12-09,12.0,Cleveland Cavaliers,Brooklyn Nets,1,29-19,-13,three point jumper,True,26,True,False
2006-12-09,13.8833333333,Cleveland Cavaliers,Brooklyn Nets,2,33-21,-14,two point jumper,True,10,False,False
2006-12-09,15.5666666667,Cleveland Cavaliers,Brooklyn Nets,2,33-22,-14,three point jumper,True,26,False,False
2006-12-09,32.2833333333,Cleveland Cavaliers,Brooklyn Nets,3,71-61,-13,three point jumper,True,23,True,False
2006-12-09,36.45,Cleveland Cavaliers,Brooklyn Nets,4,82-72,-13,three point jumper,True,23,False,False
2006-12-09,39.5666666667,Cleveland Cavaliers,Brooklyn Nets,4,85-80,-8,three point jumper,True,26,True,False
