date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-02-10,41.8833333333,Boston Celtics,Portland Trail Blazers,4,72-100,27,free throw,True,15,False,False
2006-02-10,41.8833333333,Boston Celtics,Portland Trail Blazers,4,72-100,27,free throw,True,15,False,False
2006-02-10,42.45,Boston Celtics,Portland Trail Blazers,4,74-102,26,dunk,True,0,True,False
2006-02-10,45.7833333333,Boston Celtics,Portland Trail Blazers,4,79-110,30,free throw,True,15,False,False
2006-02-10,45.7833333333,Boston Celtics,Portland Trail Blazers,4,79-111,31,free throw,True,15,True,False
2006-03-14,46.5,Boston Celtics,Memphis Grizzlies,4,72-89,-18,free throw,False,15,False,False
2006-03-14,46.5,Boston Celtics,Memphis Grizzlies,4,72-89,-18,free throw,False,15,False,False
2006-03-29,47.9666666667,Boston Celtics,New York Knicks,4,123-98,23,layup,False,0,False,False
2006-04-16,46.5833333333,Boston Celtics,Brooklyn Nets,4,89-93,-6,layup,False,0,True,False
2006-04-16,46.5833333333,Boston Celtics,Brooklyn Nets,4,89-93,-5,free throw,False,15,False,False
2006-04-17,9.25,Boston Celtics,Cleveland Cavaliers,1,20-18,-3,free throw,True,15,True,False
2006-04-17,9.25,Boston Celtics,Cleveland Cavaliers,1,20-19,-2,free throw,True,15,True,False
2006-04-17,15.8166666667,Boston Celtics,Cleveland Cavaliers,2,30-31,-1,layup,True,0,False,False
2006-04-17,41.45,Boston Celtics,Cleveland Cavaliers,4,88-74,-16,hook shot,True,6,False,False
2006-04-19,11.1333333333,Boston Celtics,Miami Heat,1,14-20,5,free throw,True,15,False,True
2006-04-19,11.1333333333,Boston Celtics,Miami Heat,1,14-21,6,free throw,True,15,True,True
2006-04-19,22.7333333333,Boston Celtics,Miami Heat,2,42-46,3,free throw,True,15,True,True
2006-04-19,22.7333333333,Boston Celtics,Miami Heat,2,42-47,4,free throw,True,15,True,True
2006-04-19,34.4166666667,Boston Celtics,Miami Heat,3,64-70,4,dunk,True,0,True,True
2006-04-19,35.05,Boston Celtics,Miami Heat,3,65-70,3,two point jumper,True,7,False,True
2006-04-19,39.8333333333,Boston Celtics,Miami Heat,4,67-82,13,dunk,True,0,True,True
2007-01-30,43.6,Cleveland Cavaliers,Golden State Warriors,4,86-110,23,free throw,True,15,False,False
2007-01-30,43.6,Cleveland Cavaliers,Golden State Warriors,4,86-111,24,free throw,True,15,True,False
2007-01-30,46.8833333333,Cleveland Cavaliers,Golden State Warriors,4,93-119,25,free throw,True,15,True,False
2007-01-30,46.8833333333,Cleveland Cavaliers,Golden State Warriors,4,93-120,26,free throw,True,15,True,False
2007-12-29,40.95,Cleveland Cavaliers,Milwaukee Bucks,4,81-88,6,free throw,True,15,False,False
2007-12-29,40.95,Cleveland Cavaliers,Milwaukee Bucks,4,81-88,6,free throw,True,15,False,False
2008-12-02,18.2,Cleveland Cavaliers,Boston Celtics,2,32-26,4,layup,False,0,True,False
2008-12-02,34.55,Cleveland Cavaliers,Boston Celtics,3,50-61,-13,two point shot,False,1,True,False
2008-12-02,43.6,Cleveland Cavaliers,Boston Celtics,4,58-77,-21,layup,False,0,True,False
2008-02-05,12.45,Cleveland Cavaliers,Boston Celtics,2,35-38,1,layup,True,0,True,True
2008-02-05,12.45,Cleveland Cavaliers,Boston Celtics,2,35-39,3,free throw,True,15,True,True
2008-02-05,32.7666666667,Cleveland Cavaliers,Boston Celtics,3,81-83,1,free throw,True,15,False,True
2008-02-05,32.7666666667,Cleveland Cavaliers,Boston Celtics,3,81-83,1,free throw,True,15,False,True
2008-12-04,10.9333333333,Cleveland Cavaliers,Brooklyn Nets,1,19-20,-1,layup,True,0,False,True
2008-12-04,12.0,Cleveland Cavaliers,Brooklyn Nets,1,19-22,1,two point shot,True,1,True,True
2008-12-04,16.0333333333,Cleveland Cavaliers,Brooklyn Nets,2,23-29,4,layup,True,0,True,True
2008-12-04,32.2166666667,Cleveland Cavaliers,Brooklyn Nets,3,67-57,-12,tip shot,True,0,True,True
2008-12-04,47.2666666667,Cleveland Cavaliers,Brooklyn Nets,4,97-77,-21,free throw,True,15,True,True
2008-12-04,47.2666666667,Cleveland Cavaliers,Brooklyn Nets,4,97-78,-20,free throw,True,15,True,True
2008-12-04,47.8166666667,Cleveland Cavaliers,Brooklyn Nets,4,100-78,-23,free throw,True,15,False,True
2008-12-04,47.8166666667,Cleveland Cavaliers,Brooklyn Nets,4,100-79,-22,free throw,True,15,True,True
2008-04-09,47.7666666667,Cleveland Cavaliers,Brooklyn Nets,4,83-104,19,layup,True,0,True,False
2008-11-02,39.25,Cleveland Cavaliers,New York Knicks,4,84-83,-3,two point shot,True,1,True,True
2008-11-02,39.25,Cleveland Cavaliers,New York Knicks,4,84-83,-2,free throw,True,15,False,True
2008-12-19,44.4833333333,Cleveland Cavaliers,New York Knicks,4,88-106,-19,free throw,False,15,False,True
2008-12-19,44.4833333333,Cleveland Cavaliers,New York Knicks,4,88-106,-19,free throw,False,15,False,True
2008-03-30,10.1,Cleveland Cavaliers,Philadelphia 76ers,1,25-20,-7,dunk,True,0,True,True
2008-04-14,28.8166666667,Cleveland Cavaliers,Philadelphia 76ers,3,53-47,5,free throw,False,15,False,True
2008-04-14,28.8166666667,Cleveland Cavaliers,Philadelphia 76ers,3,53-47,5,free throw,False,15,False,True
2008-01-06,35.5333333333,Cleveland Cavaliers,Toronto Raptors,3,55-70,-17,layup,False,0,True,True
2008-11-11,23.6666666667,Cleveland Cavaliers,Los Angeles Clippers,2,46-41,4,free throw,False,15,False,False
2008-11-11,23.6666666667,Cleveland Cavaliers,Los Angeles Clippers,2,46-41,4,free throw,False,15,False,False
2008-02-02,11.3,Cleveland Cavaliers,Los Angeles Clippers,1,22-19,-4,free throw,True,15,False,True
2008-02-02,11.3,Cleveland Cavaliers,Los Angeles Clippers,1,22-19,-4,free throw,True,15,False,True
2008-02-02,35.75,Cleveland Cavaliers,Los Angeles Clippers,3,67-73,5,free throw,True,15,True,True
2008-02-02,35.75,Cleveland Cavaliers,Los Angeles Clippers,3,67-73,5,free throw,True,15,False,True
