date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-01-02,11.2666666667,Denver Nuggets,Boston Celtics,1,31-27,-7,three point jumper,True,24,True,True
2006-01-02,13.0833333333,Denver Nuggets,Boston Celtics,2,33-31,-4,two point jumper,True,21,False,True
2006-01-02,14.5833333333,Denver Nuggets,Boston Celtics,2,36-34,-4,two point shot,True,8,True,True
2006-01-02,14.5833333333,Denver Nuggets,Boston Celtics,2,36-35,-2,free throw,True,15,True,True
2006-01-02,14.8666666667,Denver Nuggets,Boston Celtics,2,36-38,-1,three point jumper,True,25,True,True
2006-01-02,18.1333333333,Denver Nuggets,Boston Celtics,2,40-44,2,two point jumper,True,21,False,True
2006-01-02,34.4833333333,Denver Nuggets,Boston Celtics,3,78-90,11,free throw,True,15,True,True
2006-01-02,34.4833333333,Denver Nuggets,Boston Celtics,3,78-91,12,free throw,True,15,True,True
2006-01-02,35.5833333333,Denver Nuggets,Boston Celtics,3,78-93,13,two point jumper,True,12,False,True
2006-01-02,36.9,Denver Nuggets,Boston Celtics,4,80-96,13,three point jumper,True,24,False,True
2006-01-02,38.45,Denver Nuggets,Boston Celtics,4,83-104,18,three point jumper,True,25,True,True
2006-01-02,39.2166666667,Denver Nuggets,Boston Celtics,4,85-108,21,two point shot,True,1,True,True
2006-01-02,41.2333333333,Denver Nuggets,Boston Celtics,4,90-108,15,three point jumper,True,25,False,True
2006-01-02,46.05,Denver Nuggets,Boston Celtics,4,101-113,11,free throw,True,15,True,True
2006-01-02,46.05,Denver Nuggets,Boston Celtics,4,101-114,12,free throw,True,15,True,True
2006-03-12,13.25,Denver Nuggets,Boston Celtics,2,34-31,1,two point jumper,False,18,True,False
2006-03-12,15.1333333333,Denver Nuggets,Boston Celtics,2,39-33,4,two point jumper,False,22,False,False
2006-03-12,18.0666666667,Denver Nuggets,Boston Celtics,2,48-39,7,two point jumper,False,17,True,False
2006-03-12,34.4333333333,Denver Nuggets,Boston Celtics,3,83-81,1,free throw,False,15,True,False
2006-03-12,36.8666666667,Denver Nuggets,Boston Celtics,4,89-88,-1,two point jumper,False,11,False,False
2006-03-12,40.5333333333,Denver Nuggets,Boston Celtics,4,93-95,-5,three point jumper,False,26,False,False
2006-03-12,40.8833333333,Denver Nuggets,Boston Celtics,4,95-95,-2,layup,False,0,True,False
2006-11-28,8.25,Denver Nuggets,Brooklyn Nets,1,21-16,-7,two point jumper,True,16,True,True
2006-11-28,9.18333333333,Denver Nuggets,Brooklyn Nets,1,23-18,-7,two point jumper,True,20,True,True
2006-11-28,10.3833333333,Denver Nuggets,Brooklyn Nets,1,28-21,-10,three point jumper,True,24,True,True
2006-11-28,12.0,Denver Nuggets,Brooklyn Nets,1,36-21,-18,three point jumper,True,26,False,True
2006-11-28,14.9333333333,Denver Nuggets,Brooklyn Nets,2,43-21,-24,two point jumper,True,1,False,True
2006-11-28,16.85,Denver Nuggets,Brooklyn Nets,2,43-28,-18,three point jumper,True,24,True,True
2006-11-28,18.7,Denver Nuggets,Brooklyn Nets,2,48-30,-20,two point jumper,True,22,True,True
2006-11-28,25.5,Denver Nuggets,Brooklyn Nets,3,57-44,-16,three point jumper,True,25,True,True
2006-11-28,29.0333333333,Denver Nuggets,Brooklyn Nets,3,65-53,-15,three point jumper,True,25,False,True
2006-11-28,30.1,Denver Nuggets,Brooklyn Nets,3,67-56,-12,free throw,True,15,False,True
2006-11-28,30.1,Denver Nuggets,Brooklyn Nets,3,67-57,-11,free throw,True,15,True,True
2006-11-28,31.35,Denver Nuggets,Brooklyn Nets,3,70-60,-11,free throw,True,15,True,True
2006-11-28,31.35,Denver Nuggets,Brooklyn Nets,3,70-60,-11,free throw,True,15,False,True
2006-11-28,32.25,Denver Nuggets,Brooklyn Nets,3,72-61,-13,layup,True,0,False,True
2006-11-28,33.7666666667,Denver Nuggets,Brooklyn Nets,3,74-61,-15,two point jumper,True,17,False,True
2006-11-28,34.65,Denver Nuggets,Brooklyn Nets,3,76-64,-13,free throw,True,15,False,True
2006-11-28,34.65,Denver Nuggets,Brooklyn Nets,3,76-65,-12,free throw,True,15,True,True
2006-11-28,35.0333333333,Denver Nuggets,Brooklyn Nets,3,77-67,-12,two point shot,True,1,True,True
2006-11-28,35.0333333333,Denver Nuggets,Brooklyn Nets,3,77-68,-10,free throw,True,15,True,True
2006-11-28,36.5666666667,Denver Nuggets,Brooklyn Nets,4,77-70,-10,three point jumper,True,25,False,True
2006-11-28,45.6666666667,Denver Nuggets,Brooklyn Nets,4,91-83,-10,layup,True,0,False,True
2006-11-28,46.6166666667,Denver Nuggets,Brooklyn Nets,4,93-85,-11,three point jumper,True,25,False,True
2006-11-28,47.0833333333,Denver Nuggets,Brooklyn Nets,4,98-90,-11,three point jumper,True,25,True,True
2006-11-28,47.8833333333,Denver Nuggets,Brooklyn Nets,4,101-92,-12,three point jumper,True,26,False,True
2006-11-18,10.4833333333,Denver Nuggets,New York Knicks,1,20-22,-1,three point jumper,True,26,False,True
2006-11-18,12.7,Denver Nuggets,New York Knicks,2,26-24,-4,two point jumper,True,20,False,True
2006-11-18,17.1333333333,Denver Nuggets,New York Knicks,2,32-32,-2,layup,True,0,True,True
2006-11-18,19.1,Denver Nuggets,New York Knicks,2,36-32,-6,layup,True,0,False,True
2006-11-18,33.9166666667,Denver Nuggets,New York Knicks,3,62-74,11,free throw,True,15,True,True
2006-11-18,33.9166666667,Denver Nuggets,New York Knicks,3,62-75,12,free throw,True,15,True,True
2006-11-18,34.5166666667,Denver Nuggets,New York Knicks,3,64-75,9,two point jumper,True,10,False,True
2006-11-18,34.8333333333,Denver Nuggets,New York Knicks,3,64-75,9,two point jumper,True,20,False,True
2006-11-18,36.3666666667,Denver Nuggets,New York Knicks,4,66-75,6,three point jumper,True,23,False,True
2006-11-18,40.7,Denver Nuggets,New York Knicks,4,68-84,14,two point jumper,True,19,True,True
2006-11-18,41.4833333333,Denver Nuggets,New York Knicks,4,69-84,12,three point jumper,True,27,False,True
2006-11-18,41.7333333333,Denver Nuggets,New York Knicks,4,70-86,14,two point jumper,True,19,True,True
2006-03-13,13.5166666667,Denver Nuggets,New York Knicks,2,35-26,7,layup,False,0,True,False
2006-03-13,15.2,Denver Nuggets,New York Knicks,2,39-28,8,three point jumper,False,24,True,False
2006-03-13,15.6333333333,Denver Nuggets,New York Knicks,2,41-28,11,two point jumper,False,5,True,False
2006-03-13,17.1666666667,Denver Nuggets,New York Knicks,2,46-32,12,two point jumper,False,9,False,False
2006-03-13,17.85,Denver Nuggets,New York Knicks,2,51-36,13,two point jumper,False,8,True,False
2006-03-13,20.0333333333,Denver Nuggets,New York Knicks,2,53-40,11,two point shot,False,10,True,False
2006-03-13,20.5,Denver Nuggets,New York Knicks,2,53-42,9,two point jumper,False,12,False,False
2006-03-13,35.3333333333,Denver Nuggets,New York Knicks,3,87-69,17,free throw,False,15,True,False
2006-03-13,35.3333333333,Denver Nuggets,New York Knicks,3,88-69,18,free throw,False,15,True,False
2006-03-13,37.65,Denver Nuggets,New York Knicks,4,93-71,19,three point jumper,False,26,False,False
2006-03-13,39.8,Denver Nuggets,New York Knicks,4,97-75,19,three point jumper,False,25,False,False
2006-03-13,41.6,Denver Nuggets,New York Knicks,4,99-79,18,two point jumper,False,15,False,False
2006-03-13,42.5666666667,Denver Nuggets,New York Knicks,4,103-79,23,free throw,False,15,True,False
2006-03-13,42.5666666667,Denver Nuggets,New York Knicks,4,104-79,24,free throw,False,15,True,False
2006-03-13,46.2166666667,Denver Nuggets,New York Knicks,4,108-90,15,three point jumper,False,25,False,False
2006-12-27,17.6333333333,Denver Nuggets,Philadelphia 76ers,2,40-38,-4,two point jumper,True,18,True,False
2006-12-27,20.5333333333,Denver Nuggets,Philadelphia 76ers,2,50-43,-10,three point jumper,True,25,False,False
2006-12-27,37.6333333333,Denver Nuggets,Philadelphia 76ers,4,80-85,2,three point jumper,True,26,False,False
2006-12-27,38.2,Denver Nuggets,Philadelphia 76ers,4,83-85,-1,three point jumper,True,24,False,False
2006-12-27,39.2666666667,Denver Nuggets,Philadelphia 76ers,4,86-87,-1,two point shot,True,11,True,False
2006-12-27,41.9166666667,Denver Nuggets,Philadelphia 76ers,4,93-89,-6,two point jumper,True,18,True,False
2006-12-27,45.4833333333,Denver Nuggets,Philadelphia 76ers,4,99-100,-1,two point jumper,True,9,False,False
2006-12-27,46.9166666667,Denver Nuggets,Philadelphia 76ers,4,105-106,-1,two point jumper,True,1,True,False
2006-03-09,12.0,Denver Nuggets,Philadelphia 76ers,1,23-22,-2,three point jumper,False,26,False,True
2006-03-09,13.65,Denver Nuggets,Philadelphia 76ers,2,24-28,-6,two point jumper,False,12,False,True
2006-03-09,17.0333333333,Denver Nuggets,Philadelphia 76ers,2,32-34,-4,two point jumper,False,14,True,True
2006-03-09,18.5333333333,Denver Nuggets,Philadelphia 76ers,2,32-38,-9,three point jumper,False,27,False,True
2006-03-09,37.75,Denver Nuggets,Philadelphia 76ers,4,79-79,-3,three point jumper,False,24,True,True
2006-03-09,41.1,Denver Nuggets,Philadelphia 76ers,4,85-84,-1,two point jumper,False,17,False,True
2006-03-09,44.1,Denver Nuggets,Philadelphia 76ers,4,92-89,1,two point jumper,False,17,False,True
2006-01-23,10.2333333333,Denver Nuggets,Toronto Raptors,1,17-22,3,two point jumper,True,16,True,True
2006-01-23,10.7833333333,Denver Nuggets,Toronto Raptors,1,19-22,0,three point jumper,True,24,False,True
2006-01-23,12.25,Denver Nuggets,Toronto Raptors,2,22-28,4,two point jumper,True,8,True,True
2006-01-23,14.65,Denver Nuggets,Toronto Raptors,2,28-32,1,three point jumper,True,26,False,True
2006-01-23,15.7666666667,Denver Nuggets,Toronto Raptors,2,30-32,0,two point jumper,True,17,False,True
2006-01-23,34.7166666667,Denver Nuggets,Toronto Raptors,3,69-77,5,three point jumper,True,24,True,True
2006-01-23,35.1666666667,Denver Nuggets,Toronto Raptors,3,71-77,4,layup,True,0,False,True
2006-01-23,35.55,Denver Nuggets,Toronto Raptors,3,73-77,2,two point jumper,True,17,False,True
2006-01-23,38.5666666667,Denver Nuggets,Toronto Raptors,4,77-84,6,free throw,True,15,True,True
2006-01-23,38.5666666667,Denver Nuggets,Toronto Raptors,4,77-85,7,free throw,True,15,True,True
2006-01-23,40.2333333333,Denver Nuggets,Toronto Raptors,4,79-87,5,three point jumper,True,24,False,True
2006-01-23,40.8166666667,Denver Nuggets,Toronto Raptors,4,79-89,8,two point jumper,True,19,True,True
2006-01-23,41.95,Denver Nuggets,Toronto Raptors,4,81-91,7,three point jumper,True,25,False,True
