date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-02-01,12.8166666667,Phoenix Suns,Boston Celtics,2,28-20,6,two point jumper,False,21,True,False
2006-02-01,13.3833333333,Phoenix Suns,Boston Celtics,2,31-20,8,three point jumper,False,25,True,False
2006-02-01,15.8333333333,Phoenix Suns,Boston Celtics,2,36-25,8,three point jumper,False,26,True,False
2006-02-01,36.2166666667,Phoenix Suns,Boston Celtics,4,75-69,4,two point jumper,False,19,False,False
2006-02-01,39.25,Phoenix Suns,Boston Celtics,4,82-78,2,two point jumper,False,22,True,False
2006-02-01,40.1333333333,Phoenix Suns,Boston Celtics,4,84-78,3,three point jumper,False,24,False,False
2006-02-22,13.0,Phoenix Suns,Boston Celtics,2,24-31,4,three point jumper,True,26,False,False
2006-02-22,14.55,Phoenix Suns,Boston Celtics,2,29-33,1,three point jumper,True,25,False,False
2006-02-22,15.8,Phoenix Suns,Boston Celtics,2,29-37,6,two point jumper,True,19,True,False
2006-02-22,18.6666666667,Phoenix Suns,Boston Celtics,2,34-44,8,two point jumper,True,16,False,False
2006-02-22,18.9166666667,Phoenix Suns,Boston Celtics,2,34-44,7,three point jumper,True,24,False,False
2006-02-22,36.2166666667,Phoenix Suns,Boston Celtics,4,65-79,11,three point jumper,True,26,False,False
2006-02-22,38.6333333333,Phoenix Suns,Boston Celtics,4,73-84,8,three point jumper,True,25,False,False
2006-02-22,44.6166666667,Phoenix Suns,Boston Celtics,4,89-95,3,three point jumper,True,25,False,False
2006-11-25,10.55,Phoenix Suns,Brooklyn Nets,1,16-25,6,three point jumper,True,22,True,True
2006-11-25,11.8,Phoenix Suns,Brooklyn Nets,1,16-25,6,three point jumper,True,25,False,True
2006-11-25,12.4,Phoenix Suns,Brooklyn Nets,2,16-25,7,two point jumper,True,21,False,True
2006-11-25,14.6333333333,Phoenix Suns,Brooklyn Nets,2,16-27,9,two point jumper,True,21,True,True
2006-11-25,35.5666666667,Phoenix Suns,Brooklyn Nets,3,64-70,4,two point jumper,True,21,True,True
2006-11-25,36.8166666667,Phoenix Suns,Brooklyn Nets,4,65-72,5,two point jumper,True,21,True,True
2006-03-27,10.0,Phoenix Suns,Brooklyn Nets,1,14-20,-9,three point jumper,False,24,False,True
2006-03-27,12.8833333333,Phoenix Suns,Brooklyn Nets,2,18-20,-4,two point jumper,False,17,False,True
2006-03-27,14.2,Phoenix Suns,Brooklyn Nets,2,20-24,-6,two point jumper,False,23,False,True
2006-03-27,33.3333333333,Phoenix Suns,Brooklyn Nets,3,41-80,-41,two point jumper,False,20,True,True
2006-03-27,34.3,Phoenix Suns,Brooklyn Nets,3,44-80,-39,three point jumper,False,26,True,True
2006-03-27,35.9,Phoenix Suns,Brooklyn Nets,3,45-80,-37,two point shot,False,10,False,True
2006-03-27,36.6333333333,Phoenix Suns,Brooklyn Nets,4,45-83,-40,two point jumper,False,16,False,True
2006-03-27,40.1666666667,Phoenix Suns,Brooklyn Nets,4,52-90,-40,two point jumper,False,17,True,True
2006-03-27,42.2166666667,Phoenix Suns,Brooklyn Nets,4,55-97,-44,layup,False,0,False,True
2006-03-27,43.7,Phoenix Suns,Brooklyn Nets,4,62-97,-38,three point jumper,False,26,True,True
2006-03-27,45.3333333333,Phoenix Suns,Brooklyn Nets,4,68-99,-34,three point jumper,False,25,True,True
2006-03-27,45.75,Phoenix Suns,Brooklyn Nets,4,70-102,-34,layup,False,0,True,True
2006-03-27,46.75,Phoenix Suns,Brooklyn Nets,4,70-105,-38,three point jumper,False,24,False,True
2006-03-27,48.0,Phoenix Suns,Brooklyn Nets,4,72-110,-41,three point jumper,False,34,False,True
2006-12-09,10.6833333333,Phoenix Suns,New York Knicks,1,25-20,-8,three point jumper,True,24,False,True
2006-12-09,11.2666666667,Phoenix Suns,New York Knicks,1,25-22,-5,two point jumper,True,21,True,True
2006-12-09,15.0166666667,Phoenix Suns,New York Knicks,2,33-28,-7,two point jumper,True,17,True,True
2006-12-09,16.2,Phoenix Suns,New York Knicks,2,38-28,-13,three point jumper,True,26,False,True
2006-12-09,22.55,Phoenix Suns,New York Knicks,2,44-41,-6,three point jumper,True,24,True,True
2006-12-09,23.3833333333,Phoenix Suns,New York Knicks,2,44-43,-3,two point jumper,True,21,True,True
2006-12-09,24.0,Phoenix Suns,New York Knicks,2,44-46,-1,three point jumper,True,41,False,True
2006-12-09,34.9666666667,Phoenix Suns,New York Knicks,3,61-62,-1,two point jumper,True,21,True,True
2006-12-09,35.5333333333,Phoenix Suns,New York Knicks,3,61-64,1,two point jumper,True,20,True,True
2006-12-09,36.25,Phoenix Suns,New York Knicks,4,64-66,0,two point jumper,True,18,True,True
2006-12-09,36.9,Phoenix Suns,New York Knicks,4,64-66,0,two point jumper,True,24,False,True
2006-12-09,39.8166666667,Phoenix Suns,New York Knicks,4,70-73,1,two point jumper,True,19,False,True
2006-01-02,7.95,Phoenix Suns,New York Knicks,1,12-17,-7,two point jumper,False,18,True,False
2006-01-02,10.5333333333,Phoenix Suns,New York Knicks,1,21-22,-4,three point jumper,False,23,True,False
