date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-11-09,0.4,Memphis Grizzlies,Boston Celtics,1,3-0,0,three point jumper,False,26,True,False
2006-11-09,2.46666666667,Memphis Grizzlies,Boston Celtics,1,5-4,-2,three point jumper,False,23,False,False
2006-11-09,6.35,Memphis Grizzlies,Boston Celtics,1,11-11,-3,three point jumper,False,23,False,False
2006-11-09,30.3166666667,Memphis Grizzlies,Boston Celtics,3,43-31,10,two point shot,False,16,False,False
2006-11-09,30.4833333333,Memphis Grizzlies,Boston Celtics,3,45-31,12,dunk,False,0,True,False
2006-11-09,31.0,Memphis Grizzlies,Boston Celtics,3,48-31,14,three point jumper,False,25,True,False
2006-11-09,31.5666666667,Memphis Grizzlies,Boston Celtics,3,51-33,15,three point jumper,False,25,True,False
2006-11-09,32.75,Memphis Grizzlies,Boston Celtics,3,55-37,16,two point shot,False,1,True,False
2006-11-09,36.0,Memphis Grizzlies,Boston Celtics,3,59-47,9,three point jumper,False,58,False,False
2006-11-09,41.45,Memphis Grizzlies,Boston Celtics,4,67-59,5,three point jumper,False,26,True,False
2006-11-09,43.3166666667,Memphis Grizzlies,Boston Celtics,4,69-60,6,three point jumper,False,23,False,False
2006-11-09,45.9166666667,Memphis Grizzlies,Boston Celtics,4,69-69,-2,two point jumper,False,1,False,False
2006-11-09,20.3666666667,Memphis Grizzlies,Boston Celtics,5,94-93,-2,three point jumper,False,24,False,False
2006-11-09,20.9666666667,Memphis Grizzlies,Boston Celtics,5,95-95,-1,free throw,False,15,True,False
2006-11-09,20.9666666667,Memphis Grizzlies,Boston Celtics,5,96-95,0,free throw,False,15,True,False
2006-11-09,21.8666666667,Memphis Grizzlies,Boston Celtics,5,98-97,-1,two point jumper,False,1,True,False
2006-03-14,4.98333333333,Memphis Grizzlies,Boston Celtics,1,8-11,0,three point jumper,True,25,True,True
2006-03-14,20.15,Memphis Grizzlies,Boston Celtics,2,25-38,10,three point jumper,True,23,True,True
2006-03-14,23.9833333333,Memphis Grizzlies,Boston Celtics,2,34-50,13,three point jumper,True,22,False,True
2006-03-14,26.8,Memphis Grizzlies,Boston Celtics,3,39-55,15,free throw,True,15,True,True
2006-03-14,26.9333333333,Memphis Grizzlies,Boston Celtics,3,39-58,16,three point jumper,True,24,True,True
2006-03-14,27.5,Memphis Grizzlies,Boston Celtics,3,42-58,13,three point jumper,True,23,False,True
2006-03-14,43.0333333333,Memphis Grizzlies,Boston Celtics,4,67-80,10,three point jumper,True,25,False,True
2006-03-14,43.7833333333,Memphis Grizzlies,Boston Celtics,4,69-85,13,three point jumper,True,26,True,True
2006-01-13,1.38333333333,Memphis Grizzlies,Brooklyn Nets,1,0-0,-3,three point jumper,True,24,False,True
2006-01-13,7.03333333333,Memphis Grizzlies,Brooklyn Nets,1,10-10,-3,three point jumper,True,25,False,True
2006-01-13,12.8333333333,Memphis Grizzlies,Brooklyn Nets,2,18-18,-3,three point jumper,True,22,False,True
2006-01-13,18.8833333333,Memphis Grizzlies,Brooklyn Nets,2,27-32,4,free throw,True,15,True,True
2006-01-13,22.7333333333,Memphis Grizzlies,Brooklyn Nets,2,29-43,13,free throw,True,15,True,True
2006-01-13,22.7333333333,Memphis Grizzlies,Brooklyn Nets,2,29-44,14,free throw,True,15,True,True
2006-01-13,23.85,Memphis Grizzlies,Brooklyn Nets,2,29-47,15,three point jumper,True,25,True,True
2006-01-13,24.4,Memphis Grizzlies,Brooklyn Nets,3,29-47,17,free throw,True,15,False,True
2006-01-13,24.5833333333,Memphis Grizzlies,Brooklyn Nets,3,29-49,18,layup,True,0,True,True
2006-01-13,26.8166666667,Memphis Grizzlies,Brooklyn Nets,3,30-53,20,three point jumper,True,26,False,True
2006-01-13,29.9166666667,Memphis Grizzlies,Brooklyn Nets,3,37-56,17,two point jumper,True,5,False,True
2006-01-13,33.9,Memphis Grizzlies,Brooklyn Nets,3,42-61,16,three point jumper,True,23,False,True
2006-01-13,35.4166666667,Memphis Grizzlies,Brooklyn Nets,3,45-65,17,three point jumper,True,23,False,True
2006-01-13,36.65,Memphis Grizzlies,Brooklyn Nets,4,46-67,19,two point shot,True,1,True,True
2006-01-13,41.0666666667,Memphis Grizzlies,Brooklyn Nets,4,54-71,15,layup,True,0,True,True
2006-01-13,42.1333333333,Memphis Grizzlies,Brooklyn Nets,4,56-71,12,three point jumper,True,23,False,True
2006-03-29,2.88333333333,Memphis Grizzlies,Brooklyn Nets,1,4-7,-5,two point jumper,False,21,False,False
