date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2012-03-28,10.75,Utah Jazz,Boston Celtics,1,17-16,0,free throw,False,15,False,False
2012-03-28,10.75,Utah Jazz,Boston Celtics,1,17-16,0,free throw,False,15,False,False
2012-03-28,36.5166666667,Utah Jazz,Boston Celtics,4,63-66,-5,two point jumper,False,17,True,False
2012-03-28,38.8166666667,Utah Jazz,Boston Celtics,4,66-73,-8,free throw,False,15,False,False
2012-03-28,38.8166666667,Utah Jazz,Boston Celtics,4,68-73,-7,layup,False,0,True,False
2012-03-28,39.4333333333,Utah Jazz,Boston Celtics,4,70-73,-5,layup,False,0,True,False
2012-01-14,12.0,Utah Jazz,Brooklyn Nets,1,20-30,8,two point jumper,True,11,False,False
2012-01-14,15.6833333333,Utah Jazz,Brooklyn Nets,2,30-34,2,two point jumper,True,9,False,False
2012-01-14,37.5166666667,Utah Jazz,Brooklyn Nets,4,71-90,18,free throw,True,15,True,False
2012-01-14,37.5166666667,Utah Jazz,Brooklyn Nets,4,71-90,18,free throw,True,15,False,False
2012-01-14,39.4333333333,Utah Jazz,Brooklyn Nets,4,71-94,21,layup,True,0,True,False
2012-01-14,43.1,Utah Jazz,Brooklyn Nets,4,80-100,18,two point jumper,True,4,True,False
2012-01-14,47.3666666667,Utah Jazz,Brooklyn Nets,4,91-107,14,dunk,True,0,True,False
2012-03-26,8.21666666667,Utah Jazz,Brooklyn Nets,1,14-9,4,free throw,False,15,True,False
2012-03-26,8.21666666667,Utah Jazz,Brooklyn Nets,1,15-9,5,free throw,False,15,True,False
2012-03-26,13.45,Utah Jazz,Brooklyn Nets,2,19-17,0,two point jumper,False,1,True,False
2012-03-26,45.45,Utah Jazz,Brooklyn Nets,4,99-79,18,two point jumper,False,12,False,False
2012-12-30,13.2166666667,Utah Jazz,Philadelphia 76ers,2,35-24,-13,layup,True,0,False,False
2012-12-30,37.15,Utah Jazz,Philadelphia 76ers,4,73-76,1,layup,True,0,True,False
2012-12-30,40.8166666667,Utah Jazz,Philadelphia 76ers,4,82-89,5,two point shot,True,1,True,False
2012-03-09,11.0,Utah Jazz,Philadelphia 76ers,1,22-21,-1,two point jumper,False,1,False,True
2012-01-25,19.1333333333,Utah Jazz,Toronto Raptors,2,41-43,1,free throw,True,15,False,False
2012-01-25,19.1333333333,Utah Jazz,Toronto Raptors,2,41-44,2,free throw,True,15,True,False
2012-01-25,34.7166666667,Utah Jazz,Toronto Raptors,3,67-73,4,dunk,True,0,True,False
2012-01-25,35.5,Utah Jazz,Toronto Raptors,3,69-75,4,dunk,True,0,True,False
2012-01-07,14.8833333333,Utah Jazz,Golden State Warriors,2,31-26,3,layup,False,0,False,True
2012-01-07,14.9,Utah Jazz,Golden State Warriors,2,33-26,5,layup,False,0,True,True
2012-01-07,34.1,Utah Jazz,Golden State Warriors,3,61-59,0,two point jumper,False,4,True,True
2012-01-07,34.1,Utah Jazz,Golden State Warriors,3,62-59,2,free throw,False,15,True,True
2012-01-07,35.2666666667,Utah Jazz,Golden State Warriors,3,63-64,-2,free throw,False,15,True,True
2012-01-07,35.2666666667,Utah Jazz,Golden State Warriors,3,63-64,-2,free throw,False,15,False,True
2012-02-02,17.3166666667,Utah Jazz,Golden State Warriors,2,30-36,-8,layup,False,0,True,False
2012-02-02,17.3166666667,Utah Jazz,Golden State Warriors,2,31-36,-6,free throw,False,15,True,False
2012-02-02,19.2166666667,Utah Jazz,Golden State Warriors,2,34-37,-5,layup,False,0,False,False
2012-02-02,34.5833333333,Utah Jazz,Golden State Warriors,3,75-80,-6,free throw,False,15,False,False
2012-02-02,34.5833333333,Utah Jazz,Golden State Warriors,3,76-80,-5,free throw,False,15,True,False
2012-02-02,46.85,Utah Jazz,Golden State Warriors,4,95-117,-23,free throw,False,15,False,False
2012-02-02,46.85,Utah Jazz,Golden State Warriors,4,96-117,-22,free throw,False,15,True,False
2012-03-17,10.35,Utah Jazz,Golden State Warriors,1,23-16,-9,two point shot,True,7,False,True
2012-03-17,11.9666666667,Utah Jazz,Golden State Warriors,1,25-18,-9,two point jumper,True,8,False,True
2012-03-17,13.0666666667,Utah Jazz,Golden State Warriors,2,25-20,-7,layup,True,0,True,True
2012-03-17,33.2166666667,Utah Jazz,Golden State Warriors,3,62-63,-1,two point shot,True,6,True,True
2012-03-17,35.25,Utah Jazz,Golden State Warriors,3,64-69,3,two point jumper,True,1,False,True
2012-03-17,41.95,Utah Jazz,Golden State Warriors,4,75-76,-1,two point jumper,True,2,False,True
2012-03-17,41.9833333333,Utah Jazz,Golden State Warriors,4,75-76,-1,dunk,True,0,False,True
2012-01-17,10.05,Utah Jazz,Los Angeles Clippers,1,15-23,6,tip shot,True,0,True,False
2012-01-17,11.6833333333,Utah Jazz,Los Angeles Clippers,1,17-28,10,free throw,True,15,True,False
2012-01-17,11.6833333333,Utah Jazz,Los Angeles Clippers,1,17-29,11,free throw,True,15,True,False
2012-01-17,16.2333333333,Utah Jazz,Los Angeles Clippers,2,25-37,10,two point jumper,True,16,False,False
2012-01-17,37.5833333333,Utah Jazz,Los Angeles Clippers,4,61-79,16,two point jumper,True,8,False,False
2012-01-17,39.0166666667,Utah Jazz,Los Angeles Clippers,4,65-85,18,two point shot,True,4,True,False
2012-01-17,41.6333333333,Utah Jazz,Los Angeles Clippers,4,68-95,25,dunk,True,0,True,False
2012-01-17,44.4,Utah Jazz,Los Angeles Clippers,4,71-105,32,two point jumper,True,4,True,False
2012-02-01,12.3666666667,Utah Jazz,Los Angeles Clippers,2,32-31,-3,two point jumper,True,17,True,False
