date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2011-02-26,3.5,Los Angeles Clippers,Boston Celtics,1,6-6,-2,layup,True,0,True,False
2011-02-26,3.86666666667,Los Angeles Clippers,Boston Celtics,1,6-8,0,layup,True,0,True,False
2011-02-26,18.5333333333,Los Angeles Clippers,Boston Celtics,2,29-38,7,two point shot,True,10,False,False
2011-02-26,23.3333333333,Los Angeles Clippers,Boston Celtics,2,40-46,3,three point jumper,True,28,False,False
2011-02-26,25.5666666667,Los Angeles Clippers,Boston Celtics,3,46-51,3,layup,True,0,True,False
2011-02-26,26.9,Los Angeles Clippers,Boston Celtics,3,48-51,1,two point jumper,True,1,False,False
2011-02-26,29.75,Los Angeles Clippers,Boston Celtics,3,56-53,-5,two point jumper,True,21,False,False
2011-02-26,32.0166666667,Los Angeles Clippers,Boston Celtics,3,62-55,-9,two point jumper,True,15,False,False
2011-02-26,35.05,Los Angeles Clippers,Boston Celtics,3,70-63,-9,two point shot,True,1,False,False
2011-02-26,41.6666666667,Los Angeles Clippers,Boston Celtics,4,87-77,-12,layup,True,0,False,False
2011-03-09,18.5666666667,Los Angeles Clippers,Boston Celtics,2,46-32,12,layup,False,0,True,True
2011-03-09,20.75,Los Angeles Clippers,Boston Celtics,2,51-34,14,three point jumper,False,24,True,True
2011-03-09,36.0,Los Angeles Clippers,Boston Celtics,3,76-66,7,three point jumper,False,54,False,True
2011-03-09,37.5666666667,Los Angeles Clippers,Boston Celtics,4,84-68,14,two point jumper,False,14,True,True
2011-03-09,38.25,Los Angeles Clippers,Boston Celtics,4,84-71,11,layup,False,0,False,True
2011-03-09,41.9166666667,Los Angeles Clippers,Boston Celtics,4,86-83,0,three point jumper,False,23,False,True
2011-11-15,3.0,Los Angeles Clippers,Brooklyn Nets,1,4-5,-1,tip shot,True,0,False,True
2011-11-15,4.73333333333,Los Angeles Clippers,Brooklyn Nets,1,10-10,-2,two point jumper,True,18,False,True
2011-11-15,13.3166666667,Los Angeles Clippers,Brooklyn Nets,2,26-24,-4,two point jumper,True,22,False,True
2011-11-15,15.0833333333,Los Angeles Clippers,Brooklyn Nets,2,31-25,-7,free throw,True,15,True,True
2011-11-15,15.0833333333,Los Angeles Clippers,Brooklyn Nets,2,31-25,-7,free throw,True,15,False,True
2011-11-15,23.05,Los Angeles Clippers,Brooklyn Nets,2,52-42,-12,layup,True,0,True,True
2011-11-15,23.05,Los Angeles Clippers,Brooklyn Nets,2,52-43,-10,free throw,True,15,True,True
2011-11-15,25.5,Los Angeles Clippers,Brooklyn Nets,3,57-48,-11,layup,True,0,True,True
2011-11-15,32.1166666667,Los Angeles Clippers,Brooklyn Nets,3,70-60,-12,layup,True,0,False,True
2011-11-15,37.3833333333,Los Angeles Clippers,Brooklyn Nets,4,79-72,-9,two point jumper,True,12,True,True
2011-11-15,39.1333333333,Los Angeles Clippers,Brooklyn Nets,4,83-77,-8,layup,True,0,True,True
2011-11-15,39.1333333333,Los Angeles Clippers,Brooklyn Nets,4,83-78,-6,free throw,True,15,True,True
2011-11-15,39.3166666667,Los Angeles Clippers,Brooklyn Nets,4,85-78,-9,layup,True,0,False,True
2011-11-15,40.1,Los Angeles Clippers,Brooklyn Nets,4,85-82,-5,layup,True,0,True,True
2011-11-15,40.7,Los Angeles Clippers,Brooklyn Nets,4,87-82,-7,two point jumper,True,10,False,True
2011-11-15,40.8166666667,Los Angeles Clippers,Brooklyn Nets,4,87-82,-7,two point jumper,True,5,False,True
2011-11-15,41.2833333333,Los Angeles Clippers,Brooklyn Nets,4,89-84,-7,two point jumper,True,20,True,True
2011-11-15,43.8833333333,Los Angeles Clippers,Brooklyn Nets,4,95-86,-12,three point jumper,True,24,False,True
2011-11-15,45.4166666667,Los Angeles Clippers,Brooklyn Nets,4,100-90,-13,three point jumper,True,25,False,True
2011-03-11,11.0166666667,Los Angeles Clippers,Brooklyn Nets,1,24-14,7,three point jumper,False,23,False,True
2011-11-20,4.23333333333,Los Angeles Clippers,New York Knicks,1,10-13,1,layup,True,0,True,False
2011-11-20,11.8666666667,Los Angeles Clippers,New York Knicks,1,28-29,-1,two point shot,True,1,False,False
2011-11-20,36.2666666667,Los Angeles Clippers,New York Knicks,4,93-87,-8,layup,True,0,True,False
2011-11-20,44.8666666667,Los Angeles Clippers,New York Knicks,4,118-110,-10,two point shot,True,8,True,False
2011-02-09,11.8666666667,Los Angeles Clippers,New York Knicks,1,28-29,-3,tip shot,False,0,False,True
2011-02-09,12.65,Los Angeles Clippers,New York Knicks,2,30-29,-1,layup,False,0,True,True
2011-02-09,13.9666666667,Los Angeles Clippers,New York Knicks,2,30-29,-2,three point jumper,False,24,False,True
2011-02-09,15.2,Los Angeles Clippers,New York Knicks,2,32-31,-1,two point jumper,False,4,False,True
2011-02-09,15.8833333333,Los Angeles Clippers,New York Knicks,2,32-33,-3,layup,False,0,False,True
2011-02-09,16.3833333333,Los Angeles Clippers,New York Knicks,2,35-35,-3,three point jumper,False,23,True,True
2011-02-09,21.6,Los Angeles Clippers,New York Knicks,2,52-41,9,layup,False,0,True,True
2011-02-09,22.2333333333,Los Angeles Clippers,New York Knicks,2,52-41,9,two point jumper,False,4,False,True
2011-02-09,29.5666666667,Los Angeles Clippers,New York Knicks,3,71-58,11,two point shot,False,5,True,True
2011-02-09,30.0,Los Angeles Clippers,New York Knicks,3,74-58,13,three point jumper,False,23,True,True
2011-02-09,32.4833333333,Los Angeles Clippers,New York Knicks,3,81-62,17,two point jumper,False,19,True,True
2011-02-09,33.3666666667,Los Angeles Clippers,New York Knicks,3,84-66,15,three point jumper,False,26,False,True
2011-02-09,35.25,Los Angeles Clippers,New York Knicks,3,87-75,11,free throw,False,15,True,True
2011-02-09,35.25,Los Angeles Clippers,New York Knicks,3,88-75,12,free throw,False,15,True,True
2011-12-15,9.9,Los Angeles Clippers,Philadelphia 76ers,1,25-21,2,two point jumper,False,15,False,True
2011-12-15,10.8333333333,Los Angeles Clippers,Philadelphia 76ers,1,27-24,1,layup,False,0,True,True
2011-12-15,22.8833333333,Los Angeles Clippers,Philadelphia 76ers,2,54-50,2,two point jumper,False,7,False,True
2011-12-15,23.1666666667,Los Angeles Clippers,Philadelphia 76ers,2,54-50,2,layup,False,0,False,True
2011-12-15,32.8166666667,Los Angeles Clippers,Philadelphia 76ers,3,69-75,-9,three point jumper,False,26,False,True
2011-12-15,44.9833333333,Los Angeles Clippers,Philadelphia 76ers,4,85-103,-20,two point jumper,False,1,False,True
2011-12-15,45.8666666667,Los Angeles Clippers,Philadelphia 76ers,4,86-105,-20,free throw,False,15,True,True
2011-12-15,45.8666666667,Los Angeles Clippers,Philadelphia 76ers,4,87-105,-19,free throw,False,15,True,True
2011-12-15,47.55,Los Angeles Clippers,Philadelphia 76ers,4,91-105,-16,layup,False,0,True,True
2011-12-15,47.9833333333,Los Angeles Clippers,Philadelphia 76ers,4,91-105,-17,three point jumper,False,30,False,True
2011-03-16,11.3833333333,Los Angeles Clippers,Philadelphia 76ers,1,24-21,-5,two point jumper,True,18,False,True
2011-03-16,34.5,Los Angeles Clippers,Philadelphia 76ers,3,79-61,-20,two point jumper,True,9,False,True
2011-03-16,35.9833333333,Los Angeles Clippers,Philadelphia 76ers,3,79-63,-18,layup,True,0,True,True
2011-03-16,35.9833333333,Los Angeles Clippers,Philadelphia 76ers,3,79-63,-17,free throw,True,15,False,True
2011-03-16,36.8166666667,Los Angeles Clippers,Philadelphia 76ers,4,79-69,-12,two point shot,True,9,True,True
2011-03-16,37.8166666667,Los Angeles Clippers,Philadelphia 76ers,4,79-71,-10,layup,True,0,True,True
2011-03-16,43.45,Los Angeles Clippers,Philadelphia 76ers,4,92-81,-14,three point jumper,True,24,False,True
2011-03-16,44.7,Los Angeles Clippers,Philadelphia 76ers,4,97-84,-16,three point jumper,True,26,True,True
2011-02-13,11.9833333333,Los Angeles Clippers,Toronto Raptors,1,24-24,-2,layup,False,0,True,False
2011-02-13,16.45,Los Angeles Clippers,Toronto Raptors,2,31-30,0,free throw,False,15,True,False
2011-02-13,18.7833333333,Los Angeles Clippers,Toronto Raptors,2,35-36,-3,two point shot,False,16,False,False
2011-02-13,22.7833333333,Los Angeles Clippers,Toronto Raptors,2,46-46,-3,three point jumper,False,23,False,False
2011-02-13,23.2166666667,Los Angeles Clippers,Toronto Raptors,2,46-46,-2,layup,False,0,False,False
2011-02-13,23.25,Los Angeles Clippers,Toronto Raptors,2,46-46,-2,tip shot,False,0,False,False
2011-02-13,32.6,Los Angeles Clippers,Toronto Raptors,3,66-68,-3,free throw,False,15,True,False
2011-02-13,32.6,Los Angeles Clippers,Toronto Raptors,3,66-68,-3,free throw,False,15,False,False
