date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2012-03-23,46.8666666667,San Antonio Spurs,Dallas Mavericks,4,86-100,12,two point jumper,True,17,True,False
2012-03-23,47.2333333333,San Antonio Spurs,Dallas Mavericks,4,86-102,14,two point jumper,True,15,True,False
2012-03-23,47.75,San Antonio Spurs,Dallas Mavericks,4,87-104,15,two point jumper,True,21,True,False
2012-02-21,10.0166666667,San Antonio Spurs,Portland Trail Blazers,1,20-29,-11,two point jumper,False,20,False,True
2012-02-21,13.0,San Antonio Spurs,Portland Trail Blazers,2,23-41,-20,two point jumper,False,14,False,True
2012-02-21,13.8166666667,San Antonio Spurs,Portland Trail Blazers,2,23-43,-22,layup,False,0,False,True
2012-02-21,16.5333333333,San Antonio Spurs,Portland Trail Blazers,2,30-48,-20,two point jumper,False,17,True,True
2012-02-21,37.45,San Antonio Spurs,Portland Trail Blazers,4,66-109,-44,free throw,False,15,False,True
2012-02-21,37.45,San Antonio Spurs,Portland Trail Blazers,4,67-109,-43,free throw,False,15,True,True
2012-02-21,38.0,San Antonio Spurs,Portland Trail Blazers,4,69-112,-45,two point shot,False,1,True,True
2012-02-21,38.5,San Antonio Spurs,Portland Trail Blazers,4,71-112,-43,two point shot,False,1,True,True
2012-02-21,45.0833333333,San Antonio Spurs,Portland Trail Blazers,4,88-134,-48,two point shot,False,1,True,True
2012-03-21,46.6166666667,San Antonio Spurs,Minnesota Timberwolves,4,96-116,18,two point jumper,True,18,False,True
