date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2011-01-05,6.28333333333,San Antonio Spurs,Boston Celtics,1,11-16,-7,two point jumper,False,19,True,False
2011-01-05,8.48333333333,San Antonio Spurs,Boston Celtics,1,17-20,-5,two point jumper,False,16,True,False
2011-01-05,9.58333333333,San Antonio Spurs,Boston Celtics,1,20-22,-5,three point jumper,False,25,True,False
2011-01-05,34.75,San Antonio Spurs,Boston Celtics,3,70-73,-6,three point jumper,False,23,False,False
2011-01-05,37.15,San Antonio Spurs,Boston Celtics,4,72-77,-8,three point jumper,False,24,False,False
2011-01-05,38.7666666667,San Antonio Spurs,Boston Celtics,4,76-79,-5,two point jumper,False,11,True,False
2011-01-05,38.7666666667,San Antonio Spurs,Boston Celtics,4,77-79,-3,free throw,False,15,True,False
2011-03-31,11.45,San Antonio Spurs,Boston Celtics,1,29-33,2,two point jumper,True,10,False,True
2011-03-31,13.3833333333,San Antonio Spurs,Boston Celtics,2,31-36,2,three point jumper,True,24,False,True
2011-03-31,15.8,San Antonio Spurs,Boston Celtics,2,33-38,2,three point jumper,True,22,False,True
2011-03-31,21.0833333333,San Antonio Spurs,Boston Celtics,2,45-47,-1,three point jumper,True,25,False,True
2011-03-31,23.9833333333,San Antonio Spurs,Boston Celtics,2,49-49,-2,two point shot,True,9,False,True
2011-03-31,33.7666666667,San Antonio Spurs,Boston Celtics,3,73-67,-8,two point jumper,True,21,False,True
2011-03-31,37.0,San Antonio Spurs,Boston Celtics,4,79-72,-9,two point shot,True,21,True,True
2011-03-31,37.75,San Antonio Spurs,Boston Celtics,4,82-74,-10,two point jumper,True,11,True,True
2011-03-31,39.5,San Antonio Spurs,Boston Celtics,4,86-76,-13,three point jumper,True,23,False,True
2011-03-31,39.8666666667,San Antonio Spurs,Boston Celtics,4,86-78,-10,two point jumper,True,14,True,True
2011-03-31,40.5333333333,San Antonio Spurs,Boston Celtics,4,89-80,-11,two point jumper,True,10,True,True
2011-03-31,41.95,San Antonio Spurs,Boston Celtics,4,89-80,-11,two point shot,True,1,False,True
2011-02-14,11.3,San Antonio Spurs,Brooklyn Nets,1,25-19,4,two point jumper,False,21,True,False
2011-02-14,12.0,San Antonio Spurs,Brooklyn Nets,1,27-23,2,two point jumper,False,8,True,False
2011-02-14,12.75,San Antonio Spurs,Brooklyn Nets,2,29-28,-1,two point jumper,False,18,True,False
2011-02-14,13.5,San Antonio Spurs,Brooklyn Nets,2,29-30,-4,three point jumper,False,24,False,False
2011-02-14,15.6333333333,San Antonio Spurs,Brooklyn Nets,2,33-36,-5,two point jumper,False,17,False,False
2011-02-14,34.6,San Antonio Spurs,Brooklyn Nets,3,75-66,6,three point jumper,False,24,True,False
2011-02-14,43.9833333333,San Antonio Spurs,Brooklyn Nets,4,95-76,17,two point shot,False,10,False,False
2011-02-14,46.8833333333,San Antonio Spurs,Brooklyn Nets,4,102-83,17,two point jumper,False,18,True,False
2011-02-14,47.4666666667,San Antonio Spurs,Brooklyn Nets,4,102-83,17,two point shot,False,1,False,False
2011-01-04,12.0,San Antonio Spurs,New York Knicks,1,35-36,-4,three point jumper,False,62,False,False
2011-01-04,19.1,San Antonio Spurs,New York Knicks,2,51-53,-5,three point jumper,False,24,True,False
2011-01-04,30.5666666667,San Antonio Spurs,New York Knicks,3,86-90,-6,two point shot,False,4,True,False
2011-01-04,31.9833333333,San Antonio Spurs,New York Knicks,3,88-94,-9,three point jumper,False,25,False,False
2011-01-04,35.1,San Antonio Spurs,New York Knicks,3,91-101,-12,two point jumper,False,11,False,False
2011-01-04,35.9833333333,San Antonio Spurs,New York Knicks,3,95-101,-9,three point jumper,False,25,False,False
2011-01-04,36.3333333333,San Antonio Spurs,New York Knicks,4,95-101,-8,two point jumper,False,18,False,False
2011-01-04,37.2,San Antonio Spurs,New York Knicks,4,97-103,-8,two point jumper,False,5,True,False
2011-01-04,37.2,San Antonio Spurs,New York Knicks,4,98-103,-6,free throw,False,15,True,False
2011-01-04,38.3833333333,San Antonio Spurs,New York Knicks,4,100-107,-10,three point jumper,False,25,False,False
2011-01-04,40.8166666667,San Antonio Spurs,New York Knicks,4,105-110,-8,three point jumper,False,25,False,False
2011-01-04,47.85,San Antonio Spurs,New York Knicks,4,115-128,-16,three point jumper,False,23,False,False
2011-01-21,6.63333333333,San Antonio Spurs,New York Knicks,1,12-16,2,two point jumper,True,17,False,False
2011-01-21,7.73333333333,San Antonio Spurs,New York Knicks,1,16-16,-3,three point jumper,True,25,False,False
2011-01-21,9.53333333333,San Antonio Spurs,New York Knicks,1,22-21,-4,three point jumper,True,25,True,False
2011-01-21,10.5333333333,San Antonio Spurs,New York Knicks,1,25-24,-3,two point shot,True,7,False,False
2011-01-21,11.4,San Antonio Spurs,New York Knicks,1,27-26,-3,two point jumper,True,1,False,False
2011-01-21,14.25,San Antonio Spurs,New York Knicks,2,32-32,-3,three point jumper,True,24,False,False
2011-01-21,18.6,San Antonio Spurs,New York Knicks,2,40-45,3,two point jumper,True,1,True,False
2011-01-21,22.1166666667,San Antonio Spurs,New York Knicks,2,46-57,8,three point jumper,True,23,True,False
2011-01-21,30.95,San Antonio Spurs,New York Knicks,3,59-71,10,two point jumper,True,17,False,False
2011-01-21,33.25,San Antonio Spurs,New York Knicks,3,64-75,9,two point shot,True,13,True,False
2011-01-21,35.5666666667,San Antonio Spurs,New York Knicks,3,71-77,3,three point jumper,True,25,False,False
2011-11-13,11.3666666667,San Antonio Spurs,Philadelphia 76ers,1,26-39,11,two point jumper,True,19,False,False
2011-11-13,33.3333333333,San Antonio Spurs,Philadelphia 76ers,3,62-87,22,three point jumper,True,25,True,False
2011-11-13,34.0833333333,San Antonio Spurs,Philadelphia 76ers,3,62-87,22,three point jumper,True,25,False,False
2011-11-13,38.0833333333,San Antonio Spurs,Philadelphia 76ers,4,69-100,29,two point shot,True,17,True,False
2011-11-13,39.55,San Antonio Spurs,Philadelphia 76ers,4,75-102,25,two point jumper,True,12,False,False
2011-11-13,42.7,San Antonio Spurs,Philadelphia 76ers,4,81-111,28,two point jumper,True,9,False,False
2011-11-13,45.1,San Antonio Spurs,Philadelphia 76ers,4,85-113,25,three point jumper,True,27,False,False
2011-11-13,47.1,San Antonio Spurs,Philadelphia 76ers,4,90-113,21,two point shot,True,9,False,False
2011-02-11,6.6,San Antonio Spurs,Philadelphia 76ers,1,11-14,-5,two point jumper,False,22,True,False
2011-02-11,7.06666666667,San Antonio Spurs,Philadelphia 76ers,1,13-16,-5,two point shot,False,3,True,False
2011-02-11,9.71666666667,San Antonio Spurs,Philadelphia 76ers,1,15-23,-10,two point jumper,False,9,False,False
2011-02-11,11.75,San Antonio Spurs,Philadelphia 76ers,1,22-27,-8,three point jumper,False,25,True,False
2011-02-11,24.0,San Antonio Spurs,Philadelphia 76ers,2,46-46,-2,two point jumper,False,11,True,False
2011-02-11,34.5333333333,San Antonio Spurs,Philadelphia 76ers,3,56-58,-4,two point jumper,False,7,False,False
2011-02-11,36.3166666667,San Antonio Spurs,Philadelphia 76ers,4,60-60,-2,two point shot,False,16,True,False
2011-02-11,37.95,San Antonio Spurs,Philadelphia 76ers,4,65-62,0,three point jumper,False,23,False,False
2011-02-11,38.95,San Antonio Spurs,Philadelphia 76ers,4,67-65,0,two point jumper,False,15,False,False
2011-02-11,47.7666666667,San Antonio Spurs,Philadelphia 76ers,4,71-75,-7,three point jumper,False,27,False,False
