date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-12-21,1.51666666667,Utah Jazz,Boston Celtics,1,2-3,-3,two point jumper,False,12,False,True
2006-12-21,3.93333333333,Utah Jazz,Boston Celtics,1,7-7,-2,two point jumper,False,19,True,True
2006-12-21,6.66666666667,Utah Jazz,Boston Celtics,1,12-11,-1,two point jumper,False,17,False,True
2006-12-21,17.8833333333,Utah Jazz,Boston Celtics,2,25-34,-11,two point jumper,False,19,False,True
2006-12-21,18.2166666667,Utah Jazz,Boston Celtics,2,25-34,-11,layup,False,0,False,True
2006-12-21,19.1666666667,Utah Jazz,Boston Celtics,2,27-36,-11,layup,False,0,True,True
2006-12-21,20.1833333333,Utah Jazz,Boston Celtics,2,29-38,-11,two point jumper,False,20,False,True
2006-12-21,22.1833333333,Utah Jazz,Boston Celtics,2,31-41,-12,two point jumper,False,20,False,True
2006-12-21,25.2,Utah Jazz,Boston Celtics,3,43-51,-10,layup,False,0,True,True
2006-12-21,29.5666666667,Utah Jazz,Boston Celtics,3,53-60,-9,two point jumper,False,19,True,True
2006-12-21,30.7,Utah Jazz,Boston Celtics,3,55-62,-9,two point jumper,False,1,False,True
2006-12-21,31.6333333333,Utah Jazz,Boston Celtics,3,60-64,-6,two point jumper,False,21,True,True
2006-12-21,35.9833333333,Utah Jazz,Boston Celtics,3,69-74,-7,two point jumper,False,17,True,True
2006-12-21,41.5333333333,Utah Jazz,Boston Celtics,4,78-82,-6,two point jumper,False,23,True,True
2006-12-21,46.8833333333,Utah Jazz,Boston Celtics,4,87-99,-14,two point jumper,False,20,False,True
2006-11-09,3.0,Utah Jazz,Brooklyn Nets,1,4-8,-7,three point jumper,False,24,False,False
2006-11-09,6.81666666667,Utah Jazz,Brooklyn Nets,1,13-17,-6,two point jumper,False,18,True,False
2006-11-09,8.16666666667,Utah Jazz,Brooklyn Nets,1,18-19,-4,three point jumper,False,26,True,False
2006-11-09,9.05,Utah Jazz,Brooklyn Nets,1,20-20,-2,two point shot,False,1,True,False
2006-11-09,22.1166666667,Utah Jazz,Brooklyn Nets,2,40-38,0,two point jumper,False,20,True,False
2006-11-09,25.6833333333,Utah Jazz,Brooklyn Nets,3,44-46,-4,layup,False,0,False,False
2006-11-09,26.5166666667,Utah Jazz,Brooklyn Nets,3,44-46,-4,two point jumper,False,22,False,False
2006-11-09,29.7333333333,Utah Jazz,Brooklyn Nets,3,49-53,-7,three point jumper,False,25,False,False
2006-01-23,2.3,Utah Jazz,Brooklyn Nets,1,6-0,-8,two point jumper,True,21,False,True
2006-01-23,3.4,Utah Jazz,Brooklyn Nets,1,6-4,-4,two point jumper,True,17,True,True
2006-01-23,3.7,Utah Jazz,Brooklyn Nets,1,6-6,-2,two point jumper,True,22,True,True
2006-01-23,5.16666666667,Utah Jazz,Brooklyn Nets,1,8-10,0,two point jumper,True,22,True,True
2006-01-23,6.13333333333,Utah Jazz,Brooklyn Nets,1,10-10,-2,two point jumper,True,22,False,True
2006-01-23,6.66666666667,Utah Jazz,Brooklyn Nets,1,10-10,-2,two point jumper,True,23,False,True
2006-01-23,27.25,Utah Jazz,Brooklyn Nets,3,30-46,13,three point jumper,True,24,False,True
2006-01-23,28.5666666667,Utah Jazz,Brooklyn Nets,3,33-48,13,two point jumper,True,22,True,True
2006-01-23,29.2333333333,Utah Jazz,Brooklyn Nets,3,33-49,15,free throw,True,15,True,True
2006-01-23,29.2333333333,Utah Jazz,Brooklyn Nets,3,33-50,16,free throw,True,15,True,True
2006-01-23,29.7333333333,Utah Jazz,Brooklyn Nets,3,35-52,15,two point jumper,True,15,True,True
2006-01-23,30.45,Utah Jazz,Brooklyn Nets,3,37-54,15,two point jumper,True,21,True,True
2006-01-23,32.6666666667,Utah Jazz,Brooklyn Nets,3,40-58,15,three point jumper,True,25,False,True
2006-01-23,33.2333333333,Utah Jazz,Brooklyn Nets,3,40-58,16,two point jumper,True,19,False,True
2006-12-23,0.716666666667,Utah Jazz,New York Knicks,1,0-0,-2,two point jumper,False,21,False,False
2006-12-23,4.1,Utah Jazz,New York Knicks,1,6-4,0,two point jumper,False,23,True,False
2006-12-23,7.75,Utah Jazz,New York Knicks,1,12-9,2,free throw,False,15,False,False
2006-12-23,7.75,Utah Jazz,New York Knicks,1,13-9,3,free throw,False,15,True,False
2006-12-23,9.53333333333,Utah Jazz,New York Knicks,1,17-11,4,two point jumper,False,19,True,False
2006-12-23,19.85,Utah Jazz,New York Knicks,2,36-37,-3,two point jumper,False,22,False,False
2006-12-23,20.4166666667,Utah Jazz,New York Knicks,2,38-37,-1,dunk,False,0,True,False
2006-12-23,25.05,Utah Jazz,New York Knicks,3,46-49,-5,two point jumper,False,22,True,False
2006-12-23,25.65,Utah Jazz,New York Knicks,3,48-51,-5,two point jumper,False,17,True,False
2006-12-23,30.0333333333,Utah Jazz,New York Knicks,3,56-59,-5,two point jumper,False,20,True,False
2006-12-23,31.4833333333,Utah Jazz,New York Knicks,3,56-60,-5,free throw,False,15,False,False
2006-12-23,31.4833333333,Utah Jazz,New York Knicks,3,57-60,-4,free throw,False,15,True,False
2006-12-23,33.9666666667,Utah Jazz,New York Knicks,3,63-61,0,two point jumper,False,1,True,False
2006-12-23,41.2333333333,Utah Jazz,New York Knicks,4,77-82,-8,three point jumper,False,25,True,False
2006-12-23,44.8,Utah Jazz,New York Knicks,4,82-90,-10,two point jumper,False,21,False,False
2006-12-31,0.316666666667,Utah Jazz,Philadelphia 76ers,1,0-2,0,two point jumper,True,22,True,True
2006-12-31,2.0,Utah Jazz,Philadelphia 76ers,1,2-5,0,three point jumper,True,23,True,True
2006-12-31,2.43333333333,Utah Jazz,Philadelphia 76ers,1,4-8,1,three point jumper,True,24,True,True
2006-12-31,7.75,Utah Jazz,Philadelphia 76ers,1,15-21,4,two point jumper,True,20,False,True
2006-12-31,19.6333333333,Utah Jazz,Philadelphia 76ers,2,36-47,9,two point jumper,True,18,False,True
2006-12-31,21.4833333333,Utah Jazz,Philadelphia 76ers,2,42-49,5,two point jumper,True,18,False,True
2006-12-31,22.2833333333,Utah Jazz,Philadelphia 76ers,2,44-51,5,layup,True,0,True,True
2006-12-31,25.9,Utah Jazz,Philadelphia 76ers,3,52-56,2,two point jumper,True,19,False,True
2006-12-31,28.1666666667,Utah Jazz,Philadelphia 76ers,3,58-60,0,layup,True,0,True,True
2006-12-31,29.1,Utah Jazz,Philadelphia 76ers,3,63-60,-5,two point jumper,True,19,False,True
2006-12-31,29.6333333333,Utah Jazz,Philadelphia 76ers,3,66-60,-8,two point jumper,True,18,False,True
2006-12-31,31.1,Utah Jazz,Philadelphia 76ers,3,70-62,-9,free throw,True,15,True,True
2006-12-31,31.1,Utah Jazz,Philadelphia 76ers,3,70-63,-8,free throw,True,15,True,True
2006-12-31,31.35,Utah Jazz,Philadelphia 76ers,3,70-65,-7,dunk,True,0,True,True
2006-12-31,32.3666666667,Utah Jazz,Philadelphia 76ers,3,70-68,-4,layup,True,0,False,True
2006-12-31,36.6166666667,Utah Jazz,Philadelphia 76ers,4,82-83,-1,two point jumper,True,21,True,True
2006-12-31,41.6333333333,Utah Jazz,Philadelphia 76ers,4,91-91,-2,layup,True,0,True,True
2006-12-31,44.0333333333,Utah Jazz,Philadelphia 76ers,4,95-91,-6,two point jumper,True,21,False,True
2006-12-31,44.5833333333,Utah Jazz,Philadelphia 76ers,4,97-92,-6,free throw,True,15,True,True
2006-12-31,44.5833333333,Utah Jazz,Philadelphia 76ers,4,97-92,-6,free throw,True,15,False,True
2006-12-31,45.2833333333,Utah Jazz,Philadelphia 76ers,4,99-94,-7,layup,True,0,True,True
2006-01-11,5.03333333333,Utah Jazz,Philadelphia 76ers,1,14-13,-1,two point jumper,False,22,False,True
2006-01-11,6.41666666667,Utah Jazz,Philadelphia 76ers,1,16-15,-1,layup,False,0,False,True
2006-01-11,8.11666666667,Utah Jazz,Philadelphia 76ers,1,18-17,-1,two point jumper,False,18,False,True
2006-01-11,20.5333333333,Utah Jazz,Philadelphia 76ers,2,42-39,1,two point jumper,False,15,True,True
2006-01-11,28.1,Utah Jazz,Philadelphia 76ers,3,52-56,-6,two point jumper,False,16,True,True
2006-01-11,29.0,Utah Jazz,Philadelphia 76ers,3,54-60,-8,layup,False,0,True,True
2006-01-11,30.7,Utah Jazz,Philadelphia 76ers,3,57-65,-9,free throw,False,15,True,True
2006-01-11,30.7,Utah Jazz,Philadelphia 76ers,3,58-65,-8,free throw,False,15,True,True
2006-01-11,35.05,Utah Jazz,Philadelphia 76ers,3,71-70,-1,two point jumper,False,1,True,True
2006-01-11,36.5166666667,Utah Jazz,Philadelphia 76ers,4,77-76,-1,two point jumper,False,7,True,True
2006-01-11,39.8666666667,Utah Jazz,Philadelphia 76ers,4,89-81,6,layup,False,0,True,True
2006-01-11,40.4166666667,Utah Jazz,Philadelphia 76ers,4,89-81,6,two point jumper,False,18,False,True
2006-01-11,43.5666666667,Utah Jazz,Philadelphia 76ers,4,97-88,7,two point jumper,False,11,True,True
2006-11-11,2.11666666667,Utah Jazz,Toronto Raptors,1,6-5,-1,two point jumper,False,17,True,True
2006-11-11,6.1,Utah Jazz,Toronto Raptors,1,10-13,-5,two point jumper,False,19,True,True
2006-11-11,10.8833333333,Utah Jazz,Toronto Raptors,1,16-19,-5,two point jumper,False,1,False,True
2006-11-11,11.1833333333,Utah Jazz,Toronto Raptors,1,16-19,-5,two point shot,False,1,False,True
2006-11-11,26.1166666667,Utah Jazz,Toronto Raptors,3,47-37,8,two point jumper,False,1,True,True
