date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2009-12-05,0.583333333333,Portland Trail Blazers,Boston Celtics,1,2-2,-2,hook shot,False,2,True,False
2009-12-05,3.63333333333,Portland Trail Blazers,Boston Celtics,1,6-7,-3,dunk,False,0,False,False
2009-12-05,6.31666666667,Portland Trail Blazers,Boston Celtics,1,14-11,1,dunk,False,0,True,False
2009-12-05,24.3333333333,Portland Trail Blazers,Boston Celtics,3,36-49,-15,two point jumper,False,4,False,False
2009-12-05,26.3333333333,Portland Trail Blazers,Boston Celtics,3,36-54,-20,hook shot,False,1,False,False
2009-12-05,41.45,Portland Trail Blazers,Boston Celtics,4,63-80,-18,free throw,False,15,False,False
2009-12-05,41.45,Portland Trail Blazers,Boston Celtics,4,64-80,-17,free throw,False,15,True,False
2009-12-30,2.38333333333,Portland Trail Blazers,Boston Celtics,1,0-2,0,two point shot,True,8,True,True
2009-12-30,6.66666666667,Portland Trail Blazers,Boston Celtics,1,13-11,-4,two point jumper,True,1,True,True
2009-12-30,15.4666666667,Portland Trail Blazers,Boston Celtics,2,30-18,-14,layup,True,0,False,True
2009-12-30,18.7,Portland Trail Blazers,Boston Celtics,2,34-25,-11,two point shot,True,1,False,True
2009-12-30,18.9833333333,Portland Trail Blazers,Boston Celtics,2,37-25,-13,free throw,True,15,False,True
2009-12-30,18.9833333333,Portland Trail Blazers,Boston Celtics,2,37-26,-12,free throw,True,15,True,True
2009-12-30,21.6833333333,Portland Trail Blazers,Boston Celtics,2,39-33,-7,free throw,True,15,False,True
2009-12-30,21.6833333333,Portland Trail Blazers,Boston Celtics,2,39-34,-6,free throw,True,15,True,True
2009-12-30,22.3333333333,Portland Trail Blazers,Boston Celtics,2,42-34,-10,two point shot,True,7,False,True
2009-12-30,28.2833333333,Portland Trail Blazers,Boston Celtics,3,49-49,-2,layup,True,0,True,True
2009-12-30,35.15,Portland Trail Blazers,Boston Celtics,3,62-63,-1,layup,True,0,True,True
2009-12-30,35.15,Portland Trail Blazers,Boston Celtics,3,62-64,1,free throw,True,15,True,True
2009-12-30,44.05,Portland Trail Blazers,Boston Celtics,4,76-79,1,two point shot,True,5,False,True
2009-12-30,44.3166666667,Portland Trail Blazers,Boston Celtics,4,76-81,3,two point shot,True,3,True,True
2009-01-15,1.55,Portland Trail Blazers,Brooklyn Nets,1,4-0,2,layup,False,0,True,False
2009-01-15,28.0666666667,Portland Trail Blazers,Brooklyn Nets,3,52-58,-8,two point jumper,False,14,False,False
2009-12-02,0.7,Portland Trail Blazers,New York Knicks,1,3-0,1,two point jumper,False,6,False,False
2009-12-02,3.26666666667,Portland Trail Blazers,New York Knicks,1,5-2,1,layup,False,0,False,False
2009-12-02,4.0,Portland Trail Blazers,New York Knicks,1,7-4,1,two point jumper,False,11,False,False
2009-12-02,4.98333333333,Portland Trail Blazers,New York Knicks,1,10-7,1,two point jumper,False,8,False,False
2009-12-02,27.2666666667,Portland Trail Blazers,New York Knicks,3,58-57,-1,dunk,False,0,True,False
2009-02-08,1.65,Portland Trail Blazers,New York Knicks,1,5-2,-5,layup,True,0,True,True
2009-02-08,1.65,Portland Trail Blazers,New York Knicks,1,5-2,-4,free throw,True,15,False,True
2009-02-08,3.2,Portland Trail Blazers,New York Knicks,1,10-6,-6,dunk,True,0,True,True
2009-02-08,18.3166666667,Portland Trail Blazers,New York Knicks,2,40-42,0,layup,True,0,False,True
2009-02-08,18.8166666667,Portland Trail Blazers,New York Knicks,2,42-44,0,layup,True,0,True,True
2009-02-08,19.9833333333,Portland Trail Blazers,New York Knicks,2,44-46,0,two point shot,True,7,False,True
2009-02-08,20.0,Portland Trail Blazers,New York Knicks,2,44-48,2,layup,True,0,True,True
2009-02-08,21.1166666667,Portland Trail Blazers,New York Knicks,2,44-52,7,free throw,True,15,True,True
2009-02-08,21.1166666667,Portland Trail Blazers,New York Knicks,2,44-53,8,free throw,True,15,True,True
2009-02-08,22.1833333333,Portland Trail Blazers,New York Knicks,2,46-53,6,free throw,True,15,False,True
2009-02-08,22.1833333333,Portland Trail Blazers,New York Knicks,2,46-54,7,free throw,True,15,True,True
2009-02-08,24.7,Portland Trail Blazers,New York Knicks,3,52-59,5,layup,True,0,False,True
2009-02-08,26.5833333333,Portland Trail Blazers,New York Knicks,3,56-67,9,two point shot,True,1,True,True
2009-02-08,29.7833333333,Portland Trail Blazers,New York Knicks,3,60-75,13,layup,True,0,True,True
2009-02-08,46.2833333333,Portland Trail Blazers,New York Knicks,4,108-103,-7,tip shot,True,0,True,True
2009-02-08,47.45,Portland Trail Blazers,New York Knicks,4,108-105,-5,tip shot,True,0,False,True
2009-01-14,0.4,Portland Trail Blazers,Philadelphia 76ers,1,0-0,-2,layup,False,0,False,True
2009-01-14,1.46666666667,Portland Trail Blazers,Philadelphia 76ers,1,0-2,-4,hook shot,False,5,False,True
2009-01-14,25.7,Portland Trail Blazers,Philadelphia 76ers,3,38-55,-19,hook shot,False,1,True,True
2009-03-23,8.05,Portland Trail Blazers,Philadelphia 76ers,1,16-14,-4,dunk,True,0,True,False
2009-03-23,8.05,Portland Trail Blazers,Philadelphia 76ers,1,16-15,-2,free throw,True,15,True,False
2009-03-23,9.35,Portland Trail Blazers,Philadelphia 76ers,1,18-19,-1,dunk,True,0,True,False
2009-03-23,30.5333333333,Portland Trail Blazers,Philadelphia 76ers,3,61-56,-7,two point shot,True,4,False,False
2009-03-23,34.4666666667,Portland Trail Blazers,Philadelphia 76ers,3,71-68,-4,free throw,True,15,True,False
2009-03-23,34.4666666667,Portland Trail Blazers,Philadelphia 76ers,3,71-69,-3,free throw,True,15,True,False
2009-03-23,38.6333333333,Portland Trail Blazers,Philadelphia 76ers,4,79-82,1,two point shot,True,1,True,False
2009-03-23,46.9666666667,Portland Trail Blazers,Philadelphia 76ers,4,96-96,-2,hook shot,True,4,False,False
2009-03-23,47.5,Portland Trail Blazers,Philadelphia 76ers,4,96-98,0,dunk,True,0,True,False
2009-03-23,19.2333333333,Portland Trail Blazers,Philadelphia 76ers,5,102-100,-4,dunk,True,0,True,False
2009-12-07,1.4,Portland Trail Blazers,Toronto Raptors,1,2-0,0,two point shot,False,9,False,True
2009-12-07,6.48333333333,Portland Trail Blazers,Toronto Raptors,1,5-14,-11,two point shot,False,8,True,True
2009-12-07,19.6666666667,Portland Trail Blazers,Toronto Raptors,2,38-48,-12,dunk,False,0,True,True
2009-12-07,22.9666666667,Portland Trail Blazers,Toronto Raptors,2,48-50,-4,two point shot,False,8,False,True
2009-12-07,29.6,Portland Trail Blazers,Toronto Raptors,3,67-59,7,free throw,False,15,True,True
2009-12-07,29.6,Portland Trail Blazers,Toronto Raptors,3,68-59,8,free throw,False,15,True,True
2009-12-07,30.9166666667,Portland Trail Blazers,Toronto Raptors,3,70-61,8,free throw,False,15,False,True
2009-12-07,30.9166666667,Portland Trail Blazers,Toronto Raptors,3,71-61,9,free throw,False,15,True,True
2009-12-07,42.6666666667,Portland Trail Blazers,Toronto Raptors,4,90-89,-1,layup,False,0,True,True
2009-12-07,46.4833333333,Portland Trail Blazers,Toronto Raptors,4,93-95,-3,free throw,False,15,True,True
2009-12-07,46.4833333333,Portland Trail Blazers,Toronto Raptors,4,93-95,-3,free throw,False,15,False,True
2009-12-07,47.75,Portland Trail Blazers,Toronto Raptors,4,95-97,-4,layup,False,0,False,True
2009-12-27,1.0,Portland Trail Blazers,Toronto Raptors,1,2-4,0,dunk,True,0,True,False
2009-12-27,1.88333333333,Portland Trail Blazers,Toronto Raptors,1,2-6,2,hook shot,True,9,True,False
2009-12-27,2.71666666667,Portland Trail Blazers,Toronto Raptors,1,4-8,2,layup,True,0,True,False
2009-12-27,5.48333333333,Portland Trail Blazers,Toronto Raptors,1,8-13,4,free throw,True,15,True,False
2009-12-27,5.48333333333,Portland Trail Blazers,Toronto Raptors,1,8-14,5,free throw,True,15,True,False
