date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-03-14,16.0666666667,Memphis Grizzlies,Boston Celtics,2,20-26,5,free throw,True,15,True,True
2006-03-14,16.0666666667,Memphis Grizzlies,Boston Celtics,2,20-27,6,free throw,True,15,True,True
2006-03-14,17.8166666667,Memphis Grizzlies,Boston Celtics,2,25-32,6,free throw,True,15,True,True
2006-03-14,17.8166666667,Memphis Grizzlies,Boston Celtics,2,25-33,7,free throw,True,15,True,True
2006-01-13,13.3833333333,Memphis Grizzlies,Brooklyn Nets,2,18-20,0,two point shot,True,9,True,True
2006-01-13,14.0,Memphis Grizzlies,Brooklyn Nets,2,18-21,2,free throw,True,15,True,True
2006-01-13,14.0,Memphis Grizzlies,Brooklyn Nets,2,18-22,3,free throw,True,15,True,True
2006-01-13,15.45,Memphis Grizzlies,Brooklyn Nets,2,21-25,2,two point shot,True,13,False,True
2006-01-13,34.8333333333,Memphis Grizzlies,Brooklyn Nets,3,43-64,20,free throw,True,15,True,True
2006-01-13,34.8333333333,Memphis Grizzlies,Brooklyn Nets,3,43-65,21,free throw,True,15,True,True
2006-01-13,37.3166666667,Memphis Grizzlies,Brooklyn Nets,4,48-67,17,two point jumper,True,20,False,True
2006-01-13,46.05,Memphis Grizzlies,Brooklyn Nets,4,60-76,14,dunk,True,0,False,True
2006-03-29,35.1,Memphis Grizzlies,Brooklyn Nets,3,50-67,-19,layup,False,0,True,False
2006-03-29,37.25,Memphis Grizzlies,Brooklyn Nets,4,54-67,-15,two point jumper,False,16,True,False
2006-03-29,38.4333333333,Memphis Grizzlies,Brooklyn Nets,4,56-67,-13,dunk,False,0,True,False
2006-03-29,43.4833333333,Memphis Grizzlies,Brooklyn Nets,4,61-77,-18,dunk,False,0,True,False
2006-03-29,43.9166666667,Memphis Grizzlies,Brooklyn Nets,4,63-77,-16,two point jumper,False,16,True,False
2006-03-29,47.2333333333,Memphis Grizzlies,Brooklyn Nets,4,71-83,-14,two point jumper,False,19,False,False
2006-03-01,15.25,Memphis Grizzlies,New York Knicks,2,26-27,-1,layup,True,0,True,False
2006-03-01,16.7,Memphis Grizzlies,New York Knicks,2,30-27,-5,two point jumper,True,7,False,False
2006-03-01,23.5166666667,Memphis Grizzlies,New York Knicks,2,49-46,-5,two point jumper,True,7,True,False
2006-03-01,23.5166666667,Memphis Grizzlies,New York Knicks,2,49-46,-4,free throw,True,15,False,False
2006-03-01,23.5166666667,Memphis Grizzlies,New York Knicks,2,49-47,-3,free throw,True,15,True,False
2006-03-01,38.65,Memphis Grizzlies,New York Knicks,4,76-78,1,free throw,True,15,True,False
2006-03-01,38.65,Memphis Grizzlies,New York Knicks,4,76-79,2,free throw,True,15,True,False
2006-01-20,10.9333333333,Memphis Grizzlies,Philadelphia 76ers,1,14-23,-11,hook shot,False,1,False,False
2006-01-20,11.4333333333,Memphis Grizzlies,Philadelphia 76ers,1,16-23,-9,two point shot,False,5,True,False
2006-01-20,11.9833333333,Memphis Grizzlies,Philadelphia 76ers,1,16-25,-11,two point jumper,False,13,False,False
2006-03-12,18.95,Memphis Grizzlies,Philadelphia 76ers,2,39-33,-8,two point jumper,True,1,False,False
2006-03-12,19.35,Memphis Grizzlies,Philadelphia 76ers,2,39-34,-6,free throw,True,15,True,False
2006-03-12,19.35,Memphis Grizzlies,Philadelphia 76ers,2,39-35,-5,free throw,True,15,True,False
2006-03-12,19.95,Memphis Grizzlies,Philadelphia 76ers,2,41-37,-6,dunk,True,0,True,False
2006-11-30,12.3666666667,Memphis Grizzlies,Toronto Raptors,2,32-17,13,two point jumper,False,9,False,True
