date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2013-12-29,0.25,Golden State Warriors,Boston Celtics,1,0-1,0,free throw,True,15,True,False
2013-12-29,0.25,Golden State Warriors,Boston Celtics,1,0-2,1,free throw,True,15,True,False
2013-12-29,1.71666666667,Golden State Warriors,Boston Celtics,1,7-6,-3,two point shot,True,5,True,False
2013-12-29,3.05,Golden State Warriors,Boston Celtics,1,7-11,1,three point jumper,True,27,True,False
2013-12-29,7.41666666667,Golden State Warriors,Boston Celtics,1,15-24,6,three point jumper,True,25,True,False
2013-12-29,21.2833333333,Golden State Warriors,Boston Celtics,2,37-52,13,two point shot,True,26,False,False
2013-12-29,23.25,Golden State Warriors,Boston Celtics,2,39-57,15,three point jumper,True,26,True,False
2013-12-29,27.2666666667,Golden State Warriors,Boston Celtics,3,46-64,16,two point shot,True,17,True,False
2013-03-01,0.45,Golden State Warriors,Boston Celtics,1,2-0,0,two point shot,False,21,True,False
2013-03-01,2.51666666667,Golden State Warriors,Boston Celtics,1,4-5,-3,two point jumper,False,1,False,False
2013-03-01,3.7,Golden State Warriors,Boston Celtics,1,6-7,-4,three point jumper,False,25,False,False
2013-03-01,7.45,Golden State Warriors,Boston Celtics,1,13-15,-4,layup,False,0,False,False
2013-03-01,8.83333333333,Golden State Warriors,Boston Celtics,1,15-22,-9,two point jumper,False,7,True,False
2013-03-01,14.8166666667,Golden State Warriors,Boston Celtics,2,27-36,-11,layup,False,0,True,False
2013-03-01,14.8166666667,Golden State Warriors,Boston Celtics,2,28-36,-9,free throw,False,15,True,False
2013-03-01,15.75,Golden State Warriors,Boston Celtics,2,30-37,-9,two point shot,False,1,True,False
2013-03-01,18.35,Golden State Warriors,Boston Celtics,2,32-37,-7,two point jumper,False,18,False,False
2013-03-01,19.8166666667,Golden State Warriors,Boston Celtics,2,34-39,-7,layup,False,0,False,False
2013-03-01,19.9833333333,Golden State Warriors,Boston Celtics,2,36-39,-5,two point shot,False,1,True,False
2013-03-01,20.4833333333,Golden State Warriors,Boston Celtics,2,38-39,-3,dunk,False,0,True,False
2013-03-01,25.0,Golden State Warriors,Boston Celtics,3,50-50,-2,dunk,False,0,True,False
2013-03-01,25.6166666667,Golden State Warriors,Boston Celtics,3,50-50,-2,layup,False,0,False,False
2013-03-01,27.15,Golden State Warriors,Boston Celtics,3,52-50,0,two point shot,False,1,False,False
2013-03-01,39.15,Golden State Warriors,Boston Celtics,4,66-77,-13,two point jumper,False,5,False,False
2013-03-01,40.7333333333,Golden State Warriors,Boston Celtics,4,70-79,-10,free throw,False,15,False,False
2013-03-01,40.7333333333,Golden State Warriors,Boston Celtics,4,71-79,-9,free throw,False,15,True,False
2013-03-01,43.6333333333,Golden State Warriors,Boston Celtics,4,74-87,-16,three point jumper,False,23,False,False
2013-11-21,2.15,Golden State Warriors,Brooklyn Nets,1,4-0,-6,two point jumper,True,11,False,False
2013-11-21,2.88333333333,Golden State Warriors,Brooklyn Nets,1,6-3,-4,free throw,True,15,True,False
2013-11-21,2.88333333333,Golden State Warriors,Brooklyn Nets,1,6-4,-3,free throw,True,15,True,False
2013-11-21,5.16666666667,Golden State Warriors,Brooklyn Nets,1,14-9,-8,three point jumper,True,26,True,False
2013-11-21,15.8833333333,Golden State Warriors,Brooklyn Nets,2,39-26,-15,two point shot,True,27,False,False
2013-11-21,19.7833333333,Golden State Warriors,Brooklyn Nets,2,41-36,-7,layup,True,0,True,False
2013-11-21,19.7833333333,Golden State Warriors,Brooklyn Nets,2,41-36,-6,free throw,True,15,False,False
2013-11-21,21.6,Golden State Warriors,Brooklyn Nets,2,45-41,-6,two point shot,True,1,True,False
2013-11-21,23.6666666667,Golden State Warriors,Brooklyn Nets,2,46-41,-7,two point shot,True,14,False,False
2013-12-07,5.91666666667,Golden State Warriors,Brooklyn Nets,1,11-16,-6,free throw,False,15,True,True
2013-12-07,5.91666666667,Golden State Warriors,Brooklyn Nets,1,12-16,-5,free throw,False,15,True,True
2013-12-07,8.7,Golden State Warriors,Brooklyn Nets,1,21-23,-4,two point jumper,False,18,True,True
2013-12-07,27.0666666667,Golden State Warriors,Brooklyn Nets,3,61-68,-9,two point jumper,False,1,False,True
2013-12-07,27.3833333333,Golden State Warriors,Brooklyn Nets,3,63-68,-7,layup,False,0,True,True
2013-12-07,37.6833333333,Golden State Warriors,Brooklyn Nets,4,84-85,-4,three point jumper,False,24,False,True
2013-02-27,2.43333333333,Golden State Warriors,New York Knicks,1,5-3,-1,three point jumper,False,23,True,False
2013-02-27,4.06666666667,Golden State Warriors,New York Knicks,1,5-7,-4,two point shot,False,1,False,False
2013-02-27,27.45,Golden State Warriors,New York Knicks,3,67-65,0,two point shot,False,4,False,False
2013-03-11,1.5,Golden State Warriors,New York Knicks,1,1-0,-3,two point jumper,True,9,False,True
2013-03-11,25.6166666667,Golden State Warriors,New York Knicks,3,37-52,13,two point shot,True,9,True,True
2013-03-11,26.0,Golden State Warriors,New York Knicks,3,37-54,15,two point shot,True,7,True,True
2013-03-11,27.1166666667,Golden State Warriors,New York Knicks,3,40-56,14,two point jumper,True,1,False,True
2013-03-11,29.1666666667,Golden State Warriors,New York Knicks,3,40-64,23,free throw,True,15,False,True
2013-03-11,29.1666666667,Golden State Warriors,New York Knicks,3,40-65,24,free throw,True,15,True,True
2013-03-11,32.15,Golden State Warriors,New York Knicks,3,47-69,20,two point shot,True,15,False,True
2013-12-28,1.25,Golden State Warriors,Philadelphia 76ers,1,0-4,2,layup,True,0,True,True
2013-12-28,1.4,Golden State Warriors,Philadelphia 76ers,1,0-6,4,two point shot,True,2,True,True
2013-12-28,3.38333333333,Golden State Warriors,Philadelphia 76ers,1,5-6,-1,two point shot,True,27,False,True
2013-12-28,24.2,Golden State Warriors,Philadelphia 76ers,3,42-59,15,two point shot,True,9,True,True
2013-12-28,27.9333333333,Golden State Warriors,Philadelphia 76ers,3,47-59,10,two point jumper,True,11,False,True
2013-12-28,28.9833333333,Golden State Warriors,Philadelphia 76ers,3,47-65,16,layup,True,0,True,True
2013-12-28,29.6,Golden State Warriors,Philadelphia 76ers,3,49-66,16,free throw,True,15,True,True
2013-12-28,29.6,Golden State Warriors,Philadelphia 76ers,3,49-67,17,free throw,True,15,True,True
2013-03-02,0.433333333333,Golden State Warriors,Philadelphia 76ers,1,0-0,-2,two point jumper,False,6,False,True
2013-03-02,0.633333333333,Golden State Warriors,Philadelphia 76ers,1,2-0,0,two point shot,False,1,True,True
2013-03-02,3.93333333333,Golden State Warriors,Philadelphia 76ers,1,14-7,5,two point shot,False,1,True,True
2013-03-02,3.93333333333,Golden State Warriors,Philadelphia 76ers,1,15-7,7,free throw,False,15,True,True
2013-03-02,22.15,Golden State Warriors,Philadelphia 76ers,2,50-48,-1,three point jumper,False,23,False,True
2013-03-02,25.2,Golden State Warriors,Philadelphia 76ers,3,56-51,3,two point jumper,False,13,False,True
2013-03-02,30.9166666667,Golden State Warriors,Philadelphia 76ers,3,66-61,3,two point jumper,False,10,False,True
2013-01-28,3.9,Golden State Warriors,Toronto Raptors,1,12-8,2,layup,False,0,False,True
2013-01-28,10.6,Golden State Warriors,Toronto Raptors,1,25-24,-1,layup,False,0,True,True
2013-01-28,22.0333333333,Golden State Warriors,Toronto Raptors,2,45-48,-6,three point jumper,False,25,False,True
2013-01-28,27.1833333333,Golden State Warriors,Toronto Raptors,3,60-57,1,layup,False,0,True,True
2013-01-28,29.7,Golden State Warriors,Toronto Raptors,3,71-61,9,free throw,False,15,True,True
2013-01-28,29.7,Golden State Warriors,Toronto Raptors,3,71-61,9,free throw,False,15,False,True
2013-01-28,30.3166666667,Golden State Warriors,Toronto Raptors,3,71-64,5,two point jumper,False,4,False,True
2013-01-28,30.3833333333,Golden State Warriors,Toronto Raptors,3,73-64,7,two point shot,False,2,True,True
2013-01-28,41.8166666667,Golden State Warriors,Toronto Raptors,4,94-85,7,two point shot,False,1,True,True
2013-01-28,46.6333333333,Golden State Warriors,Toronto Raptors,4,107-96,9,two point shot,False,1,True,True
2013-01-28,47.0166666667,Golden State Warriors,Toronto Raptors,4,110-98,10,two point shot,False,1,True,True
2013-01-28,47.0166666667,Golden State Warriors,Toronto Raptors,4,110-98,11,free throw,False,15,True,True
2013-03-04,0.266666666667,Golden State Warriors,Toronto Raptors,1,0-2,0,two point shot,True,2,True,True
2013-03-04,1.08333333333,Golden State Warriors,Toronto Raptors,1,2-2,-2,two point jumper,True,13,False,True
2013-03-04,8.18333333333,Golden State Warriors,Toronto Raptors,1,20-18,-5,three point jumper,True,27,False,True
2013-03-04,28.2833333333,Golden State Warriors,Toronto Raptors,3,64-65,0,free throw,True,15,True,True
2013-03-04,28.2833333333,Golden State Warriors,Toronto Raptors,3,64-66,1,free throw,True,15,True,True
2013-03-04,29.1,Golden State Warriors,Toronto Raptors,3,64-70,4,two point shot,True,1,True,True
2013-03-04,42.35,Golden State Warriors,Toronto Raptors,4,100-103,0,three point jumper,True,26,True,True
2013-03-04,46.8833333333,Golden State Warriors,Toronto Raptors,4,105-113,6,layup,True,0,True,True
2013-03-04,46.8833333333,Golden State Warriors,Toronto Raptors,4,105-114,8,free throw,True,15,True,True
2013-11-02,0.5,Golden State Warriors,Memphis Grizzlies,1,0-2,0,two point shot,True,1,True,True
2013-11-02,24.7666666667,Golden State Warriors,Memphis Grizzlies,3,51-47,-7,three point jumper,True,27,False,True
2013-11-02,37.2,Golden State Warriors,Memphis Grizzlies,4,78-69,-12,three point jumper,True,26,True,True
2013-11-02,46.1333333333,Golden State Warriors,Memphis Grizzlies,4,98-86,-15,three point jumper,True,27,False,True
2013-11-02,46.7666666667,Golden State Warriors,Memphis Grizzlies,4,100-89,-14,three point jumper,True,26,True,True
2013-11-02,47.9166666667,Golden State Warriors,Memphis Grizzlies,4,104-94,-13,three point jumper,True,28,False,True
2013-11-03,1.75,Golden State Warriors,Los Angeles Clippers,1,4-0,2,two point shot,False,1,True,True
2013-11-03,25.2,Golden State Warriors,Los Angeles Clippers,3,59-55,2,two point jumper,False,21,True,True
2013-11-03,28.1333333333,Golden State Warriors,Los Angeles Clippers,3,66-63,2,free throw,False,15,True,True
2013-11-03,28.1333333333,Golden State Warriors,Los Angeles Clippers,3,67-63,3,free throw,False,15,True,True
2013-11-03,30.7833333333,Golden State Warriors,Los Angeles Clippers,3,71-67,2,two point jumper,False,1,False,True
2013-11-03,43.6,Golden State Warriors,Los Angeles Clippers,4,102-93,7,two point jumper,False,21,True,True
2013-11-03,44.0666666667,Golden State Warriors,Los Angeles Clippers,4,101-97,2,two point jumper,False,12,False,True
2013-11-03,45.0833333333,Golden State Warriors,Los Angeles Clippers,4,105-102,1,layup,False,0,True,True
2013-11-05,0.8,Golden State Warriors,Sacramento Kings,1,0-0,-3,three point jumper,False,25,False,False
2013-11-05,1.95,Golden State Warriors,Sacramento Kings,1,2-4,-4,two point jumper,False,14,False,False
2013-11-05,2.25,Golden State Warriors,Sacramento Kings,1,4-4,-2,dunk,False,0,True,False
2013-11-05,7.06666666667,Golden State Warriors,Sacramento Kings,1,17-11,4,two point shot,False,2,True,False
2013-11-05,7.91666666667,Golden State Warriors,Sacramento Kings,1,17-11,3,three point jumper,False,25,False,False
2013-11-05,9.23333333333,Golden State Warriors,Sacramento Kings,1,21-14,5,dunk,False,0,True,False
2013-11-05,28.9166666667,Golden State Warriors,Sacramento Kings,3,56-60,-7,three point jumper,False,25,False,False
2013-11-07,3.7,Golden State Warriors,Cleveland Cavaliers,1,5-12,4,three point jumper,True,26,False,False
2013-11-07,4.03333333333,Golden State Warriors,Cleveland Cavaliers,1,5-12,5,two point jumper,True,1,False,False
2013-11-07,4.78333333333,Golden State Warriors,Cleveland Cavaliers,1,7-16,8,free throw,True,15,True,False
2013-11-07,4.78333333333,Golden State Warriors,Cleveland Cavaliers,1,7-16,8,free throw,True,15,False,False
2013-11-07,20.75,Golden State Warriors,Cleveland Cavaliers,2,43-54,9,layup,True,0,True,False
2013-11-07,22.1833333333,Golden State Warriors,Cleveland Cavaliers,2,46-54,6,two point jumper,True,17,False,False
2013-11-07,28.4166666667,Golden State Warriors,Cleveland Cavaliers,3,65-67,0,layup,True,0,True,False
2013-11-07,29.7333333333,Golden State Warriors,Cleveland Cavaliers,3,69-67,-4,two point jumper,True,5,False,False
2013-11-07,29.7333333333,Golden State Warriors,Cleveland Cavaliers,3,69-67,-3,free throw,True,15,False,False
2013-11-07,29.7333333333,Golden State Warriors,Cleveland Cavaliers,3,69-68,-2,free throw,True,15,True,False
2013-11-07,13.4166666667,Golden State Warriors,Cleveland Cavaliers,5,78-89,9,layup,True,0,True,False
2013-11-07,13.4166666667,Golden State Warriors,Cleveland Cavaliers,5,78-89,10,free throw,True,15,False,False
2013-11-07,13.4166666667,Golden State Warriors,Cleveland Cavaliers,5,78-90,11,free throw,True,15,True,False
2013-11-07,14.5333333333,Golden State Warriors,Cleveland Cavaliers,5,81-92,9,two point shot,True,1,True,False
2013-11-07,19.5333333333,Golden State Warriors,Cleveland Cavaliers,5,88-101,10,unknown,True,24,True,False
2013-11-09,0.433333333333,Golden State Warriors,Los Angeles Lakers,1,2-0,0,two point shot,False,21,True,True
2013-11-09,16.0333333333,Golden State Warriors,Los Angeles Lakers,2,26-31,-7,two point shot,False,2,False,True
2013-11-09,22.35,Golden State Warriors,Los Angeles Lakers,2,36-46,-13,three point jumper,False,25,False,True
2013-11-09,23.1333333333,Golden State Warriors,Los Angeles Lakers,2,36-47,-13,hook shot,False,6,False,True
2013-11-09,28.8833333333,Golden State Warriors,Los Angeles Lakers,3,48-54,-8,two point shot,False,8,True,True
