date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-03-19,39.8,New Orleans Pelicans,Boston Celtics,4,67-90,21,two point jumper,True,16,True,False
2007-03-19,45.9166666667,New Orleans Pelicans,Boston Celtics,4,78-104,24,two point jumper,True,7,True,False
2007-03-16,36.7166666667,New Orleans Pelicans,New York Knicks,4,65-73,-9,free throw,False,15,True,True
2007-03-16,36.7166666667,New Orleans Pelicans,New York Knicks,4,66-73,-8,free throw,False,15,True,True
2007-03-31,13.65,New Orleans Pelicans,New York Knicks,2,25-21,-6,two point jumper,True,11,False,False
2007-03-31,13.9333333333,New Orleans Pelicans,New York Knicks,2,25-21,-5,free throw,True,15,False,False
2007-03-31,13.9333333333,New Orleans Pelicans,New York Knicks,2,25-21,-5,free throw,True,15,False,False
2007-03-31,17.5333333333,New Orleans Pelicans,New York Knicks,2,29-31,0,layup,True,0,True,False
2007-03-31,17.5333333333,New Orleans Pelicans,New York Knicks,2,29-31,1,free throw,True,15,False,False
2007-03-31,23.2333333333,New Orleans Pelicans,New York Knicks,2,37-48,9,dunk,True,0,True,False
2007-01-31,12.6166666667,New Orleans Pelicans,Philadelphia 76ers,2,20-18,-4,two point jumper,True,17,False,False
2007-01-31,12.8166666667,New Orleans Pelicans,Philadelphia 76ers,2,20-20,-2,dunk,True,0,True,False
2007-01-31,37.9666666667,New Orleans Pelicans,Philadelphia 76ers,4,73-65,-10,layup,True,0,True,False
2007-11-28,12.8166666667,New Orleans Pelicans,Toronto Raptors,2,25-25,-1,free throw,True,15,False,False
2007-11-28,12.8166666667,New Orleans Pelicans,Toronto Raptors,2,25-25,-1,free throw,True,15,False,False
2007-12-09,37.45,New Orleans Pelicans,Golden State Warriors,4,63-77,-15,free throw,False,15,True,True
2007-12-09,37.45,New Orleans Pelicans,Golden State Warriors,4,64-77,-14,free throw,False,15,True,True
2007-12-09,45.5666666667,New Orleans Pelicans,Golden State Warriors,4,77-94,-19,layup,False,0,True,True
2007-12-09,45.5666666667,New Orleans Pelicans,Golden State Warriors,4,77-94,-18,free throw,False,15,False,True
2007-12-09,47.35,New Orleans Pelicans,Golden State Warriors,4,78-99,-23,two point jumper,False,15,False,True
2007-01-02,23.9666666667,New Orleans Pelicans,Golden State Warriors,2,49-45,-6,layup,True,0,True,False
2007-01-02,23.9666666667,New Orleans Pelicans,Golden State Warriors,2,49-45,-5,free throw,True,15,False,False
2007-04-10,34.3333333333,New Orleans Pelicans,Los Angeles Clippers,3,65-70,3,layup,True,0,True,True
2007-04-18,11.4166666667,New Orleans Pelicans,Los Angeles Clippers,1,25-24,-1,dunk,False,0,True,True
2007-04-18,12.6166666667,New Orleans Pelicans,Los Angeles Clippers,2,27-28,-3,two point jumper,False,13,True,True
2007-04-18,36.6833333333,New Orleans Pelicans,Los Angeles Clippers,4,65-68,-5,hook shot,False,1,False,True
2007-04-18,38.5666666667,New Orleans Pelicans,Los Angeles Clippers,4,67-69,-4,two point jumper,False,16,False,True
2007-12-06,37.15,New Orleans Pelicans,Los Angeles Lakers,4,77-74,2,free throw,False,15,False,False
2007-12-06,37.15,New Orleans Pelicans,Los Angeles Lakers,4,77-74,2,free throw,False,15,False,False
2007-04-06,11.5333333333,New Orleans Pelicans,Phoenix Suns,1,33-23,-12,two point shot,True,9,False,True
2007-04-06,15.8833333333,New Orleans Pelicans,Phoenix Suns,2,41-33,-10,dunk,True,0,True,True
2007-04-06,15.8833333333,New Orleans Pelicans,Phoenix Suns,2,41-34,-8,free throw,True,15,True,True
2007-04-06,35.1833333333,New Orleans Pelicans,Phoenix Suns,3,74-65,-10,free throw,True,15,True,True
2007-04-06,35.1833333333,New Orleans Pelicans,Phoenix Suns,3,74-65,-10,free throw,True,15,False,True
2007-04-06,38.1166666667,New Orleans Pelicans,Phoenix Suns,4,82-71,-13,dunk,True,0,True,True
2007-04-06,40.1666666667,New Orleans Pelicans,Phoenix Suns,4,86-71,-17,two point shot,True,8,False,True
2007-04-06,41.6666666667,New Orleans Pelicans,Phoenix Suns,4,93-76,-19,two point shot,True,1,True,True
2007-02-05,14.75,New Orleans Pelicans,Sacramento Kings,2,30-41,-13,two point jumper,False,1,True,True
2007-02-14,14.0,New Orleans Pelicans,Sacramento Kings,2,26-29,1,layup,True,0,False,False
2007-02-14,40.3833333333,New Orleans Pelicans,Sacramento Kings,4,76-100,22,layup,True,0,True,False
2007-02-14,41.6666666667,New Orleans Pelicans,Sacramento Kings,4,76-102,24,layup,True,0,False,False
2007-02-14,41.7,New Orleans Pelicans,Sacramento Kings,4,76-104,26,tip shot,True,0,True,False
2007-02-14,46.25,New Orleans Pelicans,Sacramento Kings,4,90-108,16,two point shot,True,1,True,False
2007-02-14,47.1333333333,New Orleans Pelicans,Sacramento Kings,4,90-110,18,dunk,True,0,True,False
2007-04-16,6.75,New Orleans Pelicans,Sacramento Kings,1,11-25,-16,layup,False,0,False,True
2007-04-16,6.78333333333,New Orleans Pelicans,Sacramento Kings,1,11-25,-16,layup,False,0,True,True
2007-04-16,13.6333333333,New Orleans Pelicans,Sacramento Kings,2,33-36,-5,dunk,False,0,True,True
2007-04-16,38.0,New Orleans Pelicans,Sacramento Kings,4,98-100,-4,dunk,False,0,True,True
2007-12-11,20.1833333333,New Orleans Pelicans,Cleveland Cavaliers,2,42-39,-5,two point jumper,True,17,True,True
2007-12-11,21.4333333333,New Orleans Pelicans,Cleveland Cavaliers,2,48-43,-7,layup,True,0,True,True
2007-12-11,21.4333333333,New Orleans Pelicans,Cleveland Cavaliers,2,48-44,-5,free throw,True,15,True,True
2007-12-11,21.9,New Orleans Pelicans,Cleveland Cavaliers,2,48-46,-4,dunk,True,0,True,True
2007-12-11,21.9,New Orleans Pelicans,Cleveland Cavaliers,2,48-47,-2,free throw,True,15,True,True
2007-12-11,22.6166666667,New Orleans Pelicans,Cleveland Cavaliers,2,50-47,-5,two point jumper,True,14,False,True
2007-12-11,23.0833333333,New Orleans Pelicans,Cleveland Cavaliers,2,51-49,-4,two point jumper,True,15,True,True
2007-12-11,38.4,New Orleans Pelicans,Cleveland Cavaliers,4,79-80,-1,layup,True,0,True,True
2007-02-27,13.8666666667,New Orleans Pelicans,Cleveland Cavaliers,2,24-27,-5,dunk,False,0,True,False
2007-11-15,1.56666666667,New Orleans Pelicans,Detroit Pistons,1,4-2,1,free throw,False,15,True,False
2007-11-15,1.56666666667,New Orleans Pelicans,Detroit Pistons,1,4-2,1,free throw,False,15,False,False
2007-11-15,2.7,New Orleans Pelicans,Detroit Pistons,1,6-4,0,dunk,False,0,True,False
2007-11-15,5.35,New Orleans Pelicans,Detroit Pistons,1,14-10,2,layup,False,0,True,False
2007-11-15,5.98333333333,New Orleans Pelicans,Detroit Pistons,1,14-12,0,tip shot,False,0,False,False
2007-11-15,16.1,New Orleans Pelicans,Detroit Pistons,2,39-31,6,two point shot,False,1,True,False
2007-11-15,16.5666666667,New Orleans Pelicans,Detroit Pistons,2,41-33,6,two point shot,False,16,True,False
2007-11-15,16.5666666667,New Orleans Pelicans,Detroit Pistons,2,42-33,8,free throw,False,15,True,False
2007-11-15,17.6,New Orleans Pelicans,Detroit Pistons,2,44-35,7,layup,False,0,False,False
2007-11-15,20.5166666667,New Orleans Pelicans,Detroit Pistons,2,52-38,12,layup,False,0,True,False
2007-11-15,27.6166666667,New Orleans Pelicans,Detroit Pistons,3,66-57,7,dunk,False,0,True,False
2007-11-15,39.25,New Orleans Pelicans,Detroit Pistons,4,86-80,4,two point jumper,False,16,True,False
2007-11-15,46.85,New Orleans Pelicans,Detroit Pistons,4,97-97,-2,layup,False,0,False,False
2007-11-15,47.95,New Orleans Pelicans,Detroit Pistons,4,100-99,0,free throw,False,15,True,False
2007-11-15,47.95,New Orleans Pelicans,Detroit Pistons,4,100-99,0,free throw,False,15,False,False
2007-01-04,39.5666666667,New Orleans Pelicans,Detroit Pistons,4,77-61,-18,dunk,True,0,True,False
2007-01-04,40.9166666667,New Orleans Pelicans,Detroit Pistons,4,77-63,-16,two point jumper,True,4,False,False
2007-01-04,45.0666666667,New Orleans Pelicans,Detroit Pistons,4,90-66,-26,two point shot,True,1,False,False
2007-02-08,14.3666666667,New Orleans Pelicans,Milwaukee Bucks,2,25-32,6,free throw,True,15,True,True
2007-02-08,14.3666666667,New Orleans Pelicans,Milwaukee Bucks,2,25-33,7,free throw,True,15,True,True
2007-02-08,15.3333333333,New Orleans Pelicans,Milwaukee Bucks,2,25-34,8,free throw,True,15,True,True
2007-02-08,15.3333333333,New Orleans Pelicans,Milwaukee Bucks,2,25-35,9,free throw,True,15,True,True
2007-02-08,36.3,New Orleans Pelicans,Milwaukee Bucks,4,64-75,10,free throw,True,15,True,True
2007-02-08,36.3,New Orleans Pelicans,Milwaukee Bucks,4,64-75,10,free throw,True,15,False,True
2007-02-08,40.7333333333,New Orleans Pelicans,Milwaukee Bucks,4,74-82,6,two point jumper,True,17,False,True
2007-11-25,37.4,New Orleans Pelicans,Dallas Mavericks,4,55-72,-19,two point shot,False,10,True,False
2007-11-25,40.2833333333,New Orleans Pelicans,Dallas Mavericks,4,59-75,-18,two point jumper,False,18,True,False
2007-11-25,46.7833333333,New Orleans Pelicans,Dallas Mavericks,4,68-85,-18,free throw,False,15,True,False
2007-11-25,46.7833333333,New Orleans Pelicans,Dallas Mavericks,4,68-85,-18,free throw,False,15,False,False
2007-11-25,47.4166666667,New Orleans Pelicans,Dallas Mavericks,4,70-85,-17,two point jumper,False,17,True,False
2007-12-30,46.2166666667,New Orleans Pelicans,Dallas Mavericks,4,75-92,-18,free throw,False,15,True,False
2007-12-30,46.2166666667,New Orleans Pelicans,Dallas Mavericks,4,75-92,-18,free throw,False,15,False,False
2007-03-27,38.75,New Orleans Pelicans,Dallas Mavericks,4,91-61,-31,free throw,True,15,False,True
2007-03-27,38.75,New Orleans Pelicans,Dallas Mavericks,4,91-62,-30,free throw,True,15,True,True
2007-03-27,42.0666666667,New Orleans Pelicans,Dallas Mavericks,4,99-70,-31,two point shot,True,6,False,True
2007-03-27,44.05,New Orleans Pelicans,Dallas Mavericks,4,101-73,-30,two point shot,True,1,True,True
2007-03-27,44.05,New Orleans Pelicans,Dallas Mavericks,4,101-74,-28,free throw,True,15,True,True
2007-03-27,45.9833333333,New Orleans Pelicans,Dallas Mavericks,4,101-78,-25,layup,True,0,False,True
2007-02-03,17.0666666667,New Orleans Pelicans,Houston Rockets,2,26-22,2,two point jumper,False,4,True,True
2007-03-25,16.7,New Orleans Pelicans,Houston Rockets,2,40-28,-14,dunk,True,0,False,False
2007-03-25,16.85,New Orleans Pelicans,Houston Rockets,2,40-28,-14,layup,True,0,False,False
2007-04-14,6.7,New Orleans Pelicans,Houston Rockets,1,18-22,-5,free throw,False,15,False,False
2007-04-14,6.7,New Orleans Pelicans,Houston Rockets,1,18-22,-5,free throw,False,15,False,False
2007-04-14,35.2166666667,New Orleans Pelicans,Houston Rockets,3,75-83,-9,free throw,False,15,True,False
2007-04-14,35.2166666667,New Orleans Pelicans,Houston Rockets,3,76-83,-8,free throw,False,15,True,False
2007-04-14,35.6166666667,New Orleans Pelicans,Houston Rockets,3,77-85,-9,free throw,False,15,True,False
2007-04-14,35.6166666667,New Orleans Pelicans,Houston Rockets,3,78-85,-8,free throw,False,15,True,False
2007-04-14,38.95,New Orleans Pelicans,Houston Rockets,4,82-91,-11,two point jumper,False,1,True,False
2007-12-22,2.5,New Orleans Pelicans,Memphis Grizzlies,1,5-1,-6,two point jumper,True,8,False,False
2007-12-22,4.06666666667,New Orleans Pelicans,Memphis Grizzlies,1,9-5,-6,two point shot,True,6,False,False
2007-12-22,5.56666666667,New Orleans Pelicans,Memphis Grizzlies,1,14-5,-11,two point jumper,True,19,False,False
2007-12-22,15.3666666667,New Orleans Pelicans,Memphis Grizzlies,2,26-25,-2,free throw,True,15,False,False
2007-12-22,15.3666666667,New Orleans Pelicans,Memphis Grizzlies,2,26-26,-1,free throw,True,15,True,False
2007-12-22,16.4833333333,New Orleans Pelicans,Memphis Grizzlies,2,28-28,-2,two point jumper,True,12,True,False
2007-12-22,17.6333333333,New Orleans Pelicans,Memphis Grizzlies,2,30-33,1,two point jumper,True,17,True,False
2007-12-22,18.6333333333,New Orleans Pelicans,Memphis Grizzlies,2,33-33,-2,two point jumper,True,13,False,False
2007-12-22,25.1333333333,New Orleans Pelicans,Memphis Grizzlies,3,42-47,3,layup,True,0,True,False
2007-12-22,28.3166666667,New Orleans Pelicans,Memphis Grizzlies,3,47-55,6,dunk,True,0,True,False
2007-12-22,30.6,New Orleans Pelicans,Memphis Grizzlies,3,59-59,-2,two point jumper,True,17,False,False
2007-12-22,32.5833333333,New Orleans Pelicans,Memphis Grizzlies,3,61-63,0,two point jumper,True,16,True,False
2007-12-22,33.4666666667,New Orleans Pelicans,Memphis Grizzlies,3,64-63,-3,two point jumper,True,4,False,False
2007-12-22,34.0,New Orleans Pelicans,Memphis Grizzlies,3,67-63,-6,two point jumper,True,16,False,False
2007-12-22,40.8166666667,New Orleans Pelicans,Memphis Grizzlies,4,79-75,-6,layup,True,0,True,False
2007-12-22,40.8166666667,New Orleans Pelicans,Memphis Grizzlies,4,79-76,-4,free throw,True,15,True,False
2007-02-10,12.5833333333,New Orleans Pelicans,Memphis Grizzlies,2,27-29,0,hook shot,True,6,False,False
2007-02-10,16.5333333333,New Orleans Pelicans,Memphis Grizzlies,2,34-36,0,layup,True,0,True,False
2007-02-10,16.95,New Orleans Pelicans,Memphis Grizzlies,2,36-38,0,layup,True,0,True,False
2007-02-10,38.4,New Orleans Pelicans,Memphis Grizzlies,4,77-96,18,free throw,True,15,True,False
2007-02-10,38.4,New Orleans Pelicans,Memphis Grizzlies,4,77-96,18,free throw,True,15,False,False
2007-02-10,38.45,New Orleans Pelicans,Memphis Grizzlies,4,77-97,19,free throw,True,15,True,False
2007-02-10,38.45,New Orleans Pelicans,Memphis Grizzlies,4,77-97,19,free throw,True,15,False,False
2007-02-10,42.4166666667,New Orleans Pelicans,Memphis Grizzlies,4,87-102,13,two point jumper,True,17,False,False
2007-02-13,40.4166666667,New Orleans Pelicans,Memphis Grizzlies,4,87-85,0,layup,False,0,True,False
2007-11-18,15.2,New Orleans Pelicans,Minnesota Timberwolves,2,38-28,8,layup,False,0,False,True
