date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-04-09,34.7666666667,New York Knicks,Boston Celtics,3,69-74,-6,free throw,False,15,False,False
2006-04-09,34.7666666667,New York Knicks,Boston Celtics,3,69-74,-6,free throw,False,15,False,False
2006-04-09,34.8,New York Knicks,Boston Celtics,3,69-74,-6,free throw,False,15,False,False
2006-04-09,34.8,New York Knicks,Boston Celtics,3,70-74,-5,free throw,False,15,True,False
2006-04-09,35.9666666667,New York Knicks,Boston Celtics,3,70-76,-8,layup,False,0,False,False
2006-04-19,15.2666666667,New York Knicks,Brooklyn Nets,2,30-30,-2,two point jumper,False,19,True,True
2006-04-19,19.7833333333,New York Knicks,Brooklyn Nets,2,34-35,-3,two point jumper,False,17,False,True
2006-04-19,22.0833333333,New York Knicks,Brooklyn Nets,2,38-37,-1,two point jumper,False,17,False,True
2006-04-19,41.7,New York Knicks,Brooklyn Nets,4,75-64,9,two point jumper,False,1,False,True
2006-04-10,45.1,New York Knicks,Indiana Pacers,4,76-94,-20,two point jumper,False,18,False,True
2006-04-10,46.4166666667,New York Knicks,Indiana Pacers,4,76-98,-24,two point jumper,False,19,False,True
2006-04-13,15.8,New York Knicks,Cleveland Cavaliers,2,23-23,-2,two point jumper,False,21,False,False
2006-04-13,17.0666666667,New York Knicks,Cleveland Cavaliers,2,27-27,-2,layup,False,0,False,False
2006-04-13,22.65,New York Knicks,Cleveland Cavaliers,2,37-39,-4,two point jumper,False,21,False,False
2006-04-14,22.75,New York Knicks,Milwaukee Bucks,2,48-41,-9,tip shot,True,0,True,False
2006-04-14,40.2166666667,New York Knicks,Milwaukee Bucks,4,94-63,-33,layup,True,0,True,False
2006-04-14,42.9833333333,New York Knicks,Milwaukee Bucks,4,96-68,-30,two point jumper,True,16,True,False
2006-04-14,44.9333333333,New York Knicks,Milwaukee Bucks,4,96-73,-24,free throw,True,15,True,False
2006-04-14,44.9333333333,New York Knicks,Milwaukee Bucks,4,96-74,-23,free throw,True,15,True,False
2006-04-16,2.95,New York Knicks,Detroit Pistons,1,0-15,-17,two point jumper,False,20,False,True
2006-04-16,14.75,New York Knicks,Detroit Pistons,2,24-44,-22,tip shot,False,0,False,True
2006-04-16,19.95,New York Knicks,Detroit Pistons,2,35-53,-20,two point jumper,False,19,False,True
2006-04-16,21.65,New York Knicks,Detroit Pistons,2,37-60,-26,three point jumper,False,24,False,True
2006-04-16,23.5666666667,New York Knicks,Detroit Pistons,2,43-60,-19,tip shot,False,0,True,True
2006-04-16,45.75,New York Knicks,Detroit Pistons,4,91-101,-12,two point jumper,False,18,True,True
2006-04-16,46.35,New York Knicks,Detroit Pistons,4,93-101,-10,layup,False,0,True,True
2006-04-17,14.1333333333,New York Knicks,Charlotte Bobcats,2,30-29,-4,three point jumper,True,24,False,False
2006-04-17,15.7666666667,New York Knicks,Charlotte Bobcats,2,36-31,-7,two point jumper,True,21,True,False
2006-04-17,31.7333333333,New York Knicks,Charlotte Bobcats,3,65-63,-5,three point jumper,True,23,True,False
2007-11-17,1.88333333333,Portland Trail Blazers,Boston Celtics,1,1-2,-4,three point jumper,False,24,False,True
2007-11-17,2.81666666667,Portland Trail Blazers,Boston Celtics,1,3-5,-4,two point jumper,False,14,False,True
2007-11-17,3.7,Portland Trail Blazers,Boston Celtics,1,7-8,-3,layup,False,0,True,True
2007-11-17,5.85,Portland Trail Blazers,Boston Celtics,1,11-12,-3,tip shot,False,0,True,True
2007-11-17,20.2666666667,Portland Trail Blazers,Boston Celtics,2,33-37,-7,three point jumper,False,25,True,True
2007-11-17,22.3,Portland Trail Blazers,Boston Celtics,2,39-41,-4,two point jumper,False,19,False,True
2007-11-17,26.95,Portland Trail Blazers,Boston Celtics,3,51-52,-4,three point jumper,False,23,True,True
2007-11-17,29.4833333333,Portland Trail Blazers,Boston Celtics,3,51-58,-10,three point jumper,False,24,False,True
2007-11-17,30.0666666667,Portland Trail Blazers,Boston Celtics,3,53-60,-9,layup,False,0,True,True
2007-11-17,31.95,Portland Trail Blazers,Boston Celtics,3,58-62,-6,two point jumper,False,19,False,True
2007-11-17,32.4666666667,Portland Trail Blazers,Boston Celtics,3,60-65,-7,layup,False,0,True,True
2007-01-01,2.25,Portland Trail Blazers,Boston Celtics,1,4-4,-2,two point jumper,True,21,False,False
2007-01-01,3.25,Portland Trail Blazers,Boston Celtics,1,6-5,-2,free throw,True,15,True,False
2007-01-01,3.25,Portland Trail Blazers,Boston Celtics,1,6-6,-1,free throw,True,15,True,False
2007-01-01,4.66666666667,Portland Trail Blazers,Boston Celtics,1,8-10,0,two point shot,True,4,False,False
2007-01-01,8.71666666667,Portland Trail Blazers,Boston Celtics,1,16-20,1,three point jumper,True,23,True,False
2007-01-01,19.1,Portland Trail Blazers,Boston Celtics,2,31-39,5,three point jumper,True,25,False,False
2007-01-01,24.6833333333,Portland Trail Blazers,Boston Celtics,3,46-44,-5,three point jumper,True,24,False,False
2007-01-01,26.5666666667,Portland Trail Blazers,Boston Celtics,3,52-50,-4,layup,True,0,True,False
2007-01-01,26.5666666667,Portland Trail Blazers,Boston Celtics,3,52-51,-2,free throw,True,15,True,False
2007-01-01,28.85,Portland Trail Blazers,Boston Celtics,3,54-55,0,free throw,True,15,False,False
2007-01-01,28.85,Portland Trail Blazers,Boston Celtics,3,54-56,1,free throw,True,15,True,False
2007-01-01,41.5333333333,Portland Trail Blazers,Boston Celtics,4,74-71,-4,free throw,True,15,True,False
2007-01-01,41.5333333333,Portland Trail Blazers,Boston Celtics,4,74-72,-3,free throw,True,15,True,False
2007-01-01,47.4333333333,Portland Trail Blazers,Boston Celtics,4,87-79,-11,three point jumper,True,24,False,False
2007-11-18,4.41666666667,Portland Trail Blazers,Brooklyn Nets,1,13-0,11,two point jumper,False,20,True,True
2007-11-18,8.51666666667,Portland Trail Blazers,Brooklyn Nets,1,23-5,15,three point jumper,False,24,True,True
2007-11-18,27.3166666667,Portland Trail Blazers,Brooklyn Nets,3,47-34,11,two point jumper,False,19,False,True
2007-11-18,28.2833333333,Portland Trail Blazers,Brooklyn Nets,3,48-36,11,free throw,False,15,True,True
2007-11-18,28.2833333333,Portland Trail Blazers,Brooklyn Nets,3,49-36,12,free throw,False,15,True,True
2007-11-18,30.0333333333,Portland Trail Blazers,Brooklyn Nets,3,51-38,11,tip shot,False,0,False,True
2007-11-18,35.55,Portland Trail Blazers,Brooklyn Nets,3,67-48,16,three point jumper,False,23,True,True
2007-11-18,45.05,Portland Trail Blazers,Brooklyn Nets,4,82-61,18,three point jumper,False,23,False,True
2007-11-18,45.75,Portland Trail Blazers,Brooklyn Nets,4,82-61,18,three point jumper,False,24,False,True
2007-11-22,7.28333333333,Portland Trail Blazers,Brooklyn Nets,1,20-8,-14,two point jumper,True,14,False,False
2007-11-22,16.5666666667,Portland Trail Blazers,Brooklyn Nets,2,40-32,-11,three point jumper,True,23,True,False
2007-11-22,18.95,Portland Trail Blazers,Brooklyn Nets,2,42-39,-6,three point jumper,True,23,True,False
2007-11-22,29.8166666667,Portland Trail Blazers,Brooklyn Nets,3,65-59,-8,layup,True,0,True,False
2007-01-03,1.08333333333,Portland Trail Blazers,New York Knicks,1,1-1,-1,free throw,True,15,True,False
2007-01-03,1.08333333333,Portland Trail Blazers,New York Knicks,1,1-2,0,free throw,True,15,True,False
2007-01-03,2.76666666667,Portland Trail Blazers,New York Knicks,1,1-6,3,two point jumper,True,14,True,False
2007-01-03,5.48333333333,Portland Trail Blazers,New York Knicks,1,7-10,1,two point jumper,True,23,False,False
2007-01-03,22.35,Portland Trail Blazers,New York Knicks,2,47-40,-10,three point jumper,True,24,False,False
2007-01-03,26.2,Portland Trail Blazers,New York Knicks,3,55-42,-15,two point jumper,True,21,False,False
2007-01-03,33.5166666667,Portland Trail Blazers,New York Knicks,3,72-58,-17,three point jumper,True,23,False,False
2007-03-22,6.06666666667,Portland Trail Blazers,New York Knicks,1,12-14,-5,three point jumper,False,24,True,True
2007-03-22,7.35,Portland Trail Blazers,New York Knicks,1,16-14,0,hook shot,False,5,True,True
2007-03-22,26.8,Portland Trail Blazers,New York Knicks,3,50-50,-3,three point jumper,False,24,False,True
2007-03-22,27.0666666667,Portland Trail Blazers,New York Knicks,3,52-50,0,two point shot,False,1,True,True
2007-03-22,45.2666666667,Portland Trail Blazers,New York Knicks,4,86-81,2,three point jumper,False,24,False,True
2007-12-11,8.6,Portland Trail Blazers,Philadelphia 76ers,1,14-8,5,free throw,False,15,True,True
2007-12-11,8.6,Portland Trail Blazers,Philadelphia 76ers,1,15-8,6,free throw,False,15,True,True
2007-12-11,21.35,Portland Trail Blazers,Philadelphia 76ers,2,39-30,6,three point jumper,False,23,True,True
