date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2009-12-11,0.383333333333,Washington Wizards,Boston Celtics,1,0-2,0,tip shot,True,0,True,True
2009-12-11,5.31666666667,Washington Wizards,Boston Celtics,1,17-13,-5,free throw,True,15,True,True
2009-12-11,5.31666666667,Washington Wizards,Boston Celtics,1,17-13,-5,free throw,True,15,False,True
2009-12-11,24.5166666667,Washington Wizards,Boston Celtics,3,63-41,-24,two point shot,True,1,True,True
2009-12-11,26.05,Washington Wizards,Boston Celtics,3,65-44,-22,free throw,True,15,True,True
2009-12-11,26.05,Washington Wizards,Boston Celtics,3,65-45,-21,free throw,True,15,True,True
2009-12-11,29.25,Washington Wizards,Boston Celtics,3,72-57,-17,two point shot,True,5,True,True
2009-12-11,29.5333333333,Washington Wizards,Boston Celtics,3,74-57,-19,layup,True,0,False,True
2009-12-11,46.5833333333,Washington Wizards,Boston Celtics,4,120-84,-37,free throw,True,15,False,True
2009-12-11,46.5833333333,Washington Wizards,Boston Celtics,4,120-84,-37,free throw,True,15,False,True
2009-12-11,46.6166666667,Washington Wizards,Boston Celtics,4,120-86,-36,layup,True,0,True,True
2009-01-02,34.2166666667,Washington Wizards,Boston Celtics,3,53-79,-28,layup,False,0,True,True
2009-01-02,35.0,Washington Wizards,Boston Celtics,3,53-81,-30,two point jumper,False,7,False,True
2009-01-02,35.2,Washington Wizards,Boston Celtics,3,55-81,-28,layup,False,0,True,True
2009-01-02,35.2,Washington Wizards,Boston Celtics,3,55-81,-27,free throw,False,15,False,True
2009-01-02,37.1333333333,Washington Wizards,Boston Celtics,4,60-88,-30,two point shot,False,1,True,True
2009-01-02,45.5833333333,Washington Wizards,Boston Celtics,4,77-104,-29,layup,False,0,False,True
2009-04-15,0.833333333333,Washington Wizards,Boston Celtics,1,0-2,-4,layup,False,0,False,False
2009-04-15,1.31666666667,Washington Wizards,Boston Celtics,1,0-4,-6,two point jumper,False,12,False,False
2009-04-15,14.1333333333,Washington Wizards,Boston Celtics,2,27-32,-7,layup,False,0,False,False
2009-04-15,16.6333333333,Washington Wizards,Boston Celtics,2,34-36,-4,dunk,False,0,True,False
2009-04-15,17.1666666667,Washington Wizards,Boston Celtics,2,36-36,-2,two point shot,False,8,True,False
2009-04-15,18.2833333333,Washington Wizards,Boston Celtics,2,40-38,0,layup,False,0,True,False
2009-04-15,18.2833333333,Washington Wizards,Boston Celtics,2,41-38,2,free throw,False,15,True,False
2009-04-15,25.5166666667,Washington Wizards,Boston Celtics,3,55-62,-8,free throw,False,15,True,False
2009-04-15,25.5166666667,Washington Wizards,Boston Celtics,3,56-62,-7,free throw,False,15,True,False
2009-04-15,29.3166666667,Washington Wizards,Boston Celtics,3,63-68,-7,two point jumper,False,1,True,False
2009-04-15,36.4,Washington Wizards,Boston Celtics,4,83-79,2,two point jumper,False,6,False,False
2009-04-15,36.45,Washington Wizards,Boston Celtics,4,85-79,4,tip shot,False,0,True,False
2009-04-15,36.9666666667,Washington Wizards,Boston Celtics,4,87-82,3,two point jumper,False,16,True,False
2009-04-15,39.8833333333,Washington Wizards,Boston Celtics,4,97-90,5,two point shot,False,1,True,False
2009-04-15,41.7833333333,Washington Wizards,Boston Celtics,4,99-93,5,free throw,False,15,False,False
2009-04-15,41.7833333333,Washington Wizards,Boston Celtics,4,99-93,5,free throw,False,15,False,False
2009-10-29,33.4833333333,Washington Wizards,Brooklyn Nets,3,63-62,-3,layup,True,0,False,False
2009-10-29,37.3,Washington Wizards,Brooklyn Nets,4,69-71,0,two point jumper,True,6,False,False
2009-10-29,38.2,Washington Wizards,Brooklyn Nets,4,74-71,-5,two point jumper,True,16,False,False
2009-12-02,2.8,Washington Wizards,Brooklyn Nets,1,7-4,1,layup,False,0,True,False
