date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-01-20,20.25,Brooklyn Nets,Boston Celtics,2,36-47,-13,two point jumper,False,16,False,False
2006-01-21,8.03333333333,Brooklyn Nets,Boston Celtics,1,14-19,3,layup,True,0,True,False
2006-01-21,9.86666666667,Brooklyn Nets,Boston Celtics,1,18-25,5,two point jumper,True,18,True,False
2006-01-21,10.1833333333,Brooklyn Nets,Boston Celtics,1,18-27,7,layup,True,0,True,False
2006-01-21,12.6333333333,Brooklyn Nets,Boston Celtics,2,25-31,5,free throw,True,15,False,False
2006-01-21,12.6333333333,Brooklyn Nets,Boston Celtics,2,25-32,6,free throw,True,15,True,False
2006-01-21,13.3833333333,Brooklyn Nets,Boston Celtics,2,25-36,9,two point jumper,True,16,True,False
2006-01-21,15.5166666667,Brooklyn Nets,Boston Celtics,2,29-39,8,two point shot,True,1,False,False
2006-01-21,31.3833333333,Brooklyn Nets,Boston Celtics,3,54-76,20,layup,True,0,False,False
2006-01-21,33.8,Brooklyn Nets,Boston Celtics,3,60-86,24,two point jumper,True,1,True,False
2006-01-21,38.3666666667,Brooklyn Nets,Boston Celtics,4,65-95,28,layup,True,0,True,False
2006-04-14,10.5333333333,Brooklyn Nets,Boston Celtics,1,12-16,-6,two point jumper,False,13,False,True
2006-04-14,12.0,Brooklyn Nets,Boston Celtics,1,13-18,-6,free throw,False,15,True,True
2006-04-14,12.0,Brooklyn Nets,Boston Celtics,1,14-18,-5,free throw,False,15,True,True
2006-04-14,13.5,Brooklyn Nets,Boston Celtics,2,16-22,-8,layup,False,0,True,True
2006-04-14,17.6666666667,Brooklyn Nets,Boston Celtics,2,20-25,-6,free throw,False,15,False,True
2006-04-14,34.8333333333,Brooklyn Nets,Boston Celtics,3,52-52,-2,two point jumper,False,4,False,True
2006-04-14,38.1333333333,Brooklyn Nets,Boston Celtics,4,61-57,2,layup,False,0,True,True
2006-04-16,16.2,Brooklyn Nets,Boston Celtics,2,26-38,10,two point jumper,True,20,True,True
2006-04-16,35.5166666667,Brooklyn Nets,Boston Celtics,3,68-74,5,free throw,True,15,True,True
2006-04-16,35.5166666667,Brooklyn Nets,Boston Celtics,3,68-74,5,free throw,True,15,False,True
2006-04-16,37.2666666667,Brooklyn Nets,Boston Celtics,4,74-78,2,two point jumper,True,19,True,True
2006-04-16,41.1333333333,Brooklyn Nets,Boston Celtics,4,78-86,6,two point jumper,True,18,True,True
2006-04-16,43.95,Brooklyn Nets,Boston Celtics,4,82-89,5,two point jumper,True,19,False,True
2006-04-16,47.9166666667,Brooklyn Nets,Boston Celtics,4,93-94,0,free throw,True,15,False,True
2006-04-16,47.9166666667,Brooklyn Nets,Boston Celtics,4,93-95,1,free throw,True,15,True,True
2006-11-07,39.1166666667,Brooklyn Nets,Miami Heat,4,70-78,-10,two point jumper,False,1,False,False
2006-11-11,13.55,Brooklyn Nets,Indiana Pacers,2,23-30,-9,two point jumper,False,1,False,True
2006-11-23,43.6333333333,Brooklyn Nets,Sacramento Kings,4,94-108,-16,two point jumper,False,1,True,False
2006-11-25,22.3,Brooklyn Nets,Phoenix Suns,2,24-44,-22,layup,False,0,False,False
2006-11-25,37.7666666667,Brooklyn Nets,Phoenix Suns,4,68-74,-8,two point jumper,False,17,False,False
2006-11-27,35.6333333333,Brooklyn Nets,Los Angeles Lakers,3,65-53,10,two point jumper,False,9,True,False
2006-11-27,18.4333333333,Brooklyn Nets,Los Angeles Lakers,5,95-93,0,two point jumper,False,21,True,False
2006-11-28,34.1,Brooklyn Nets,Denver Nuggets,3,76-63,11,two point jumper,False,21,True,False
2006-11-28,47.7,Brooklyn Nets,Denver Nuggets,4,101-92,8,free throw,False,15,True,False
2006-11-28,47.7,Brooklyn Nets,Denver Nuggets,4,101-92,8,free throw,False,15,False,False
2006-12-07,15.5833333333,Brooklyn Nets,Charlotte Bobcats,2,28-23,3,two point jumper,False,20,True,True
2006-12-07,16.1,Brooklyn Nets,Charlotte Bobcats,2,30-23,5,two point shot,False,1,True,True
2006-12-07,39.1166666667,Brooklyn Nets,Charlotte Bobcats,4,74-68,4,two point jumper,False,16,False,True
2006-12-09,15.3833333333,Brooklyn Nets,Cleveland Cavaliers,2,33-22,9,two point jumper,False,18,False,True
2006-12-10,13.25,Brooklyn Nets,Philadelphia 76ers,2,30-29,-3,layup,True,0,True,True
2006-12-10,17.0333333333,Brooklyn Nets,Philadelphia 76ers,2,40-31,-10,free throw,True,15,False,True
2006-12-10,17.0333333333,Brooklyn Nets,Philadelphia 76ers,2,40-32,-9,free throw,True,15,True,True
2006-12-10,40.5666666667,Brooklyn Nets,Philadelphia 76ers,4,96-80,-18,two point jumper,True,22,True,True
2006-12-10,44.3333333333,Brooklyn Nets,Philadelphia 76ers,4,100-87,-15,layup,True,0,False,True
2006-12-10,47.65,Brooklyn Nets,Philadelphia 76ers,4,107-90,-20,three point jumper,True,24,False,True
2006-12-13,39.1833333333,Brooklyn Nets,Washington Wizards,4,55-80,-27,two point jumper,False,19,True,False
2006-12-13,39.8666666667,Brooklyn Nets,Washington Wizards,4,57-82,-27,two point jumper,False,17,True,False
2006-12-13,43.8166666667,Brooklyn Nets,Washington Wizards,4,68-89,-23,layup,False,0,True,False
2006-12-13,46.7166666667,Brooklyn Nets,Washington Wizards,4,69-94,-26,free throw,False,15,True,False
2006-12-13,46.7166666667,Brooklyn Nets,Washington Wizards,4,70-94,-25,free throw,False,15,True,False
2006-12-14,12.25,Brooklyn Nets,Charlotte Bobcats,2,19-24,3,two point jumper,True,7,True,False
2006-12-14,12.95,Brooklyn Nets,Charlotte Bobcats,2,19-25,5,free throw,True,15,True,False
2006-12-14,12.95,Brooklyn Nets,Charlotte Bobcats,2,19-25,5,free throw,True,15,False,False
2006-12-14,15.3833333333,Brooklyn Nets,Charlotte Bobcats,2,21-31,8,two point jumper,True,17,True,False
2006-12-14,36.9666666667,Brooklyn Nets,Charlotte Bobcats,4,63-58,-7,two point jumper,True,19,False,False
2006-12-14,47.5666666667,Brooklyn Nets,Charlotte Bobcats,4,87-81,-8,layup,True,0,True,False
2006-12-16,11.2166666667,Brooklyn Nets,Denver Nuggets,1,15-29,13,free throw,True,15,True,True
2006-12-16,11.2166666667,Brooklyn Nets,Denver Nuggets,1,15-29,13,free throw,True,15,False,True
2006-12-16,14.95,Brooklyn Nets,Denver Nuggets,2,21-31,8,layup,True,0,False,True
2006-12-16,23.4666666667,Brooklyn Nets,Denver Nuggets,2,43-47,2,layup,True,0,True,True
2006-12-16,37.8666666667,Brooklyn Nets,Denver Nuggets,4,73-71,-4,two point jumper,True,21,False,True
2006-12-16,40.2833333333,Brooklyn Nets,Denver Nuggets,4,73-77,2,layup,True,0,False,True
2006-12-16,23.6833333333,Brooklyn Nets,Denver Nuggets,6,100-114,12,layup,True,0,True,True
2006-12-16,23.6833333333,Brooklyn Nets,Denver Nuggets,6,100-115,14,free throw,True,15,True,True
2006-12-18,13.45,Brooklyn Nets,Golden State Warriors,2,25-42,15,two point jumper,True,1,False,False
2006-12-18,34.0833333333,Brooklyn Nets,Golden State Warriors,3,63-90,25,two point jumper,True,19,True,False
2006-12-18,36.9666666667,Brooklyn Nets,Golden State Warriors,4,65-94,27,two point jumper,True,20,False,False
2006-12-20,12.8166666667,Brooklyn Nets,Los Angeles Clippers,2,24-26,0,two point jumper,True,18,False,True
2006-12-20,12.95,Brooklyn Nets,Los Angeles Clippers,2,24-26,0,two point jumper,True,15,False,True
2006-12-20,14.8333333333,Brooklyn Nets,Los Angeles Clippers,2,26-30,2,layup,True,0,True,True
2006-12-20,34.1,Brooklyn Nets,Los Angeles Clippers,3,63-75,10,two point jumper,True,18,False,True
2006-12-20,35.1833333333,Brooklyn Nets,Los Angeles Clippers,3,68-80,10,two point jumper,True,21,True,True
2006-12-21,35.1,Brooklyn Nets,Orlando Magic,3,71-64,5,layup,False,0,True,True
2006-12-21,35.1,Brooklyn Nets,Orlando Magic,3,72-64,7,free throw,False,15,True,True
2006-12-23,36.0,Brooklyn Nets,Miami Heat,3,69-60,6,three point jumper,False,25,False,True
2006-12-23,40.35,Brooklyn Nets,Miami Heat,4,76-66,8,two point jumper,False,1,False,True
2006-12-26,13.5833333333,Brooklyn Nets,New York Knicks,2,37-25,10,two point jumper,False,19,False,True
2006-12-26,36.0,Brooklyn Nets,New York Knicks,3,95-75,18,two point jumper,False,6,False,True
2006-12-26,40.0333333333,Brooklyn Nets,New York Knicks,4,103-86,15,two point jumper,False,22,False,True
2006-12-26,40.8833333333,Brooklyn Nets,New York Knicks,4,104-89,14,free throw,False,15,True,True
2006-12-26,40.8833333333,Brooklyn Nets,New York Knicks,4,104-89,14,free throw,False,15,False,True
2006-12-26,40.8833333333,Brooklyn Nets,New York Knicks,4,105-89,15,free throw,False,15,True,True
2006-12-27,10.9666666667,Brooklyn Nets,Cleveland Cavaliers,1,19-25,4,two point jumper,True,18,True,True
2006-12-27,14.9,Brooklyn Nets,Cleveland Cavaliers,2,28-35,5,two point jumper,True,19,False,True
2006-12-27,29.7333333333,Brooklyn Nets,Cleveland Cavaliers,3,54-60,4,layup,True,0,False,True
2006-12-27,34.7666666667,Brooklyn Nets,Cleveland Cavaliers,3,62-78,14,two point jumper,True,19,True,True
2006-12-27,42.4833333333,Brooklyn Nets,Cleveland Cavaliers,4,75-89,12,two point jumper,True,19,False,True
2006-12-30,11.4833333333,Brooklyn Nets,Atlanta Hawks,1,19-20,-1,two point jumper,True,13,False,True
2006-12-30,16.1,Brooklyn Nets,Atlanta Hawks,2,30-31,-1,two point jumper,True,20,True,True
2006-12-30,43.1333333333,Brooklyn Nets,Atlanta Hawks,4,84-85,-1,two point jumper,True,19,True,True
2006-12-30,44.5666666667,Brooklyn Nets,Atlanta Hawks,4,86-89,1,two point jumper,True,20,True,True
2006-12-30,47.2833333333,Brooklyn Nets,Atlanta Hawks,4,91-96,3,two point jumper,True,1,True,True
2006-01-06,11.15,Brooklyn Nets,Orlando Magic,1,25-23,-4,two point jumper,True,19,False,True
2006-01-06,11.5166666667,Brooklyn Nets,Orlando Magic,1,27-27,-2,two point jumper,True,1,True,True
2006-01-06,16.3833333333,Brooklyn Nets,Orlando Magic,2,37-37,-2,two point jumper,True,17,True,True
2006-01-06,10.7,Brooklyn Nets,Orlando Magic,5,65-85,18,two point jumper,True,19,True,True
2006-01-06,11.7166666667,Brooklyn Nets,Orlando Magic,5,69-85,14,two point jumper,True,17,False,True
2006-01-06,21.0833333333,Brooklyn Nets,Orlando Magic,5,92-101,7,layup,True,0,False,True
2006-01-06,21.7166666667,Brooklyn Nets,Orlando Magic,5,98-106,7,free throw,True,15,True,True
2006-01-06,21.7166666667,Brooklyn Nets,Orlando Magic,5,98-107,8,free throw,True,15,True,True
2006-01-06,21.8166666667,Brooklyn Nets,Orlando Magic,5,100-108,7,free throw,True,15,True,True
2006-01-06,21.8166666667,Brooklyn Nets,Orlando Magic,5,100-109,8,free throw,True,15,True,True
2006-01-08,2.33333333333,Brooklyn Nets,Toronto Raptors,1,3-4,-3,two point jumper,False,19,False,True
2006-01-08,7.25,Brooklyn Nets,Toronto Raptors,1,15-12,2,free throw,False,15,True,True
