date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2010-12-04,13.3833333333,Oklahoma City Thunder,Boston Celtics,2,33-22,-12,free throw,True,15,False,True
2010-12-04,13.3833333333,Oklahoma City Thunder,Boston Celtics,2,33-22,-12,free throw,True,15,False,True
2010-12-04,13.95,Oklahoma City Thunder,Boston Celtics,2,35-23,-13,free throw,True,15,True,True
2010-12-04,13.95,Oklahoma City Thunder,Boston Celtics,2,35-24,-12,free throw,True,15,True,True
2010-12-04,28.8833333333,Oklahoma City Thunder,Boston Celtics,3,71-55,-18,two point shot,True,1,True,True
2010-12-04,31.0333333333,Oklahoma City Thunder,Boston Celtics,3,76-59,-18,free throw,True,15,True,True
2010-12-04,31.0333333333,Oklahoma City Thunder,Boston Celtics,3,76-60,-17,free throw,True,15,True,True
2010-12-04,32.1166666667,Oklahoma City Thunder,Boston Celtics,3,78-60,-20,two point jumper,True,17,False,True
2010-12-04,34.4333333333,Oklahoma City Thunder,Boston Celtics,3,85-61,-26,two point jumper,True,22,False,True
2010-12-04,41.8833333333,Oklahoma City Thunder,Boston Celtics,4,98-74,-27,three point jumper,True,24,False,True
2010-12-04,44.5666666667,Oklahoma City Thunder,Boston Celtics,4,101-77,-27,three point jumper,True,24,False,True
2010-12-04,46.6833333333,Oklahoma City Thunder,Boston Celtics,4,102-83,-22,three point jumper,True,24,False,True
2010-03-31,9.95,Oklahoma City Thunder,Boston Celtics,1,23-21,-1,three point jumper,False,25,False,True
2010-03-31,11.0166666667,Oklahoma City Thunder,Boston Celtics,1,27-23,2,dunk,False,0,True,True
2010-03-31,15.6333333333,Oklahoma City Thunder,Boston Celtics,2,35-33,1,free throw,False,15,True,True
2010-03-31,15.6333333333,Oklahoma City Thunder,Boston Celtics,2,36-33,2,free throw,False,15,True,True
2010-03-31,37.1333333333,Oklahoma City Thunder,Boston Celtics,4,85-85,-1,free throw,False,15,False,True
2010-03-31,37.1333333333,Oklahoma City Thunder,Boston Celtics,4,86-85,0,free throw,False,15,True,True
2010-12-28,10.0,Oklahoma City Thunder,Brooklyn Nets,1,28-22,4,layup,False,0,False,False
2010-12-28,10.3666666667,Oklahoma City Thunder,Brooklyn Nets,1,28-22,4,layup,False,0,False,False
2010-12-28,13.45,Oklahoma City Thunder,Brooklyn Nets,2,32-27,2,three point jumper,False,24,False,False
2010-12-28,16.0666666667,Oklahoma City Thunder,Brooklyn Nets,2,34-33,-2,three point jumper,False,24,False,False
2010-12-28,34.2166666667,Oklahoma City Thunder,Brooklyn Nets,3,82-76,4,layup,False,0,False,False
2010-12-28,34.25,Oklahoma City Thunder,Brooklyn Nets,3,82-76,4,two point shot,False,1,False,False
2010-12-28,38.5,Oklahoma City Thunder,Brooklyn Nets,4,86-78,7,free throw,False,15,False,False
2010-12-28,38.5,Oklahoma City Thunder,Brooklyn Nets,4,87-78,8,free throw,False,15,True,False
2010-12-28,39.1166666667,Oklahoma City Thunder,Brooklyn Nets,4,87-78,7,two point jumper,False,18,False,False
2010-12-28,39.2,Oklahoma City Thunder,Brooklyn Nets,4,88-78,9,free throw,False,15,True,False
2010-12-28,39.2,Oklahoma City Thunder,Brooklyn Nets,4,89-78,10,free throw,False,15,True,False
2010-12-28,40.6666666667,Oklahoma City Thunder,Brooklyn Nets,4,91-78,10,three point jumper,False,27,False,False
2010-12-28,42.4833333333,Oklahoma City Thunder,Brooklyn Nets,4,94-80,11,three point jumper,False,24,False,False
2010-01-11,8.35,Oklahoma City Thunder,New York Knicks,1,13-22,6,three point jumper,True,24,False,False
2010-01-11,12.0,Oklahoma City Thunder,New York Knicks,1,24-34,7,three point jumper,True,60,False,False
2010-01-11,18.2833333333,Oklahoma City Thunder,New York Knicks,2,36-46,7,three point jumper,True,22,False,False
2010-01-11,33.0833333333,Oklahoma City Thunder,New York Knicks,3,60-79,17,layup,True,0,True,False
2010-01-11,33.0833333333,Oklahoma City Thunder,New York Knicks,3,60-80,19,free throw,True,15,True,False
2010-01-11,34.8833333333,Oklahoma City Thunder,New York Knicks,3,60-82,19,three point jumper,True,24,False,False
2010-01-11,38.6166666667,Oklahoma City Thunder,New York Knicks,4,67-93,24,layup,True,0,True,False
2010-01-11,42.2333333333,Oklahoma City Thunder,New York Knicks,4,71-100,27,layup,True,0,True,False
2010-01-11,46.6833333333,Oklahoma City Thunder,New York Knicks,4,84-104,18,two point jumper,True,17,False,False
2010-02-20,12.75,Oklahoma City Thunder,New York Knicks,2,25-34,-10,free throw,False,15,False,True
2010-02-20,12.75,Oklahoma City Thunder,New York Knicks,2,26-34,-9,free throw,False,15,True,True
2010-02-20,14.6333333333,Oklahoma City Thunder,New York Knicks,2,29-38,-11,layup,False,0,True,True
2010-02-20,16.6,Oklahoma City Thunder,New York Knicks,2,35-42,-9,two point jumper,False,20,False,True
2010-02-20,17.4833333333,Oklahoma City Thunder,New York Knicks,2,37-44,-9,layup,False,0,True,True
2010-02-20,18.0333333333,Oklahoma City Thunder,New York Knicks,2,37-46,-11,two point jumper,False,16,False,True
2010-02-20,19.7333333333,Oklahoma City Thunder,New York Knicks,2,42-46,-7,three point jumper,False,23,True,True
2010-02-20,24.0,Oklahoma City Thunder,New York Knicks,2,52-57,-8,three point jumper,False,33,False,True
2010-02-20,34.9333333333,Oklahoma City Thunder,New York Knicks,3,78-78,-2,two point jumper,False,17,False,True
2010-02-20,35.8833333333,Oklahoma City Thunder,New York Knicks,3,81-80,0,free throw,False,15,True,True
2010-02-20,35.8833333333,Oklahoma City Thunder,New York Knicks,3,82-80,1,free throw,False,15,True,True
2010-02-20,37.45,Oklahoma City Thunder,New York Knicks,4,85-84,-1,layup,False,0,True,True
2010-02-20,39.3333333333,Oklahoma City Thunder,New York Knicks,4,88-86,1,free throw,False,15,True,True
2010-02-20,39.3333333333,Oklahoma City Thunder,New York Knicks,4,88-86,1,free throw,False,15,False,True
2010-02-20,39.3333333333,Oklahoma City Thunder,New York Knicks,4,89-86,2,free throw,False,15,True,True
2010-02-20,42.7833333333,Oklahoma City Thunder,New York Knicks,4,91-92,-4,three point jumper,False,25,False,True
2010-12-02,12.3166666667,Oklahoma City Thunder,Philadelphia 76ers,2,33-29,-7,three point jumper,True,24,False,True
2010-12-02,13.2666666667,Oklahoma City Thunder,Philadelphia 76ers,2,33-30,-4,free throw,True,15,True,True
2010-12-02,13.2666666667,Oklahoma City Thunder,Philadelphia 76ers,2,33-31,-3,free throw,True,15,True,True
