date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-02-01,8.51666666667,Phoenix Suns,Boston Celtics,1,16-9,4,three point jumper,False,26,False,False
2006-02-01,9.0,Phoenix Suns,Boston Celtics,1,18-9,7,two point jumper,False,20,True,False
2006-02-01,17.6,Phoenix Suns,Boston Celtics,2,42-25,14,three point jumper,False,24,True,False
2006-02-01,27.8,Phoenix Suns,Boston Celtics,3,59-51,6,two point jumper,False,16,False,False
2006-02-01,29.4833333333,Phoenix Suns,Boston Celtics,3,62-54,7,free throw,False,15,True,False
2006-02-01,29.4833333333,Phoenix Suns,Boston Celtics,3,63-54,8,free throw,False,15,True,False
2006-02-01,29.4833333333,Phoenix Suns,Boston Celtics,3,64-54,9,free throw,False,15,True,False
2006-02-01,30.0,Phoenix Suns,Boston Celtics,3,64-57,4,three point jumper,False,25,False,False
2006-02-01,30.5,Phoenix Suns,Boston Celtics,3,64-59,2,three point jumper,False,25,False,False
2006-02-01,33.25,Phoenix Suns,Boston Celtics,3,73-62,8,three point jumper,False,24,True,False
2006-11-25,0.8,Phoenix Suns,Brooklyn Nets,1,0-0,-2,two point jumper,True,17,False,True
2006-11-25,4.78333333333,Phoenix Suns,Brooklyn Nets,1,9-13,1,three point jumper,True,22,True,True
2006-11-25,5.6,Phoenix Suns,Brooklyn Nets,1,11-13,-1,three point jumper,True,24,False,True
2006-11-25,12.9666666667,Phoenix Suns,Brooklyn Nets,2,16-25,6,three point jumper,True,26,False,True
2006-11-25,13.8833333333,Phoenix Suns,Brooklyn Nets,2,16-25,7,two point jumper,True,18,False,True
2006-11-25,16.0,Phoenix Suns,Brooklyn Nets,2,18-31,11,two point jumper,True,20,True,True
2006-11-25,18.7333333333,Phoenix Suns,Brooklyn Nets,2,20-38,15,three point jumper,True,26,True,True
2006-11-25,25.25,Phoenix Suns,Brooklyn Nets,3,32-48,14,two point jumper,True,18,True,True
2006-11-25,28.6666666667,Phoenix Suns,Brooklyn Nets,3,44-57,10,three point jumper,True,25,False,True
2006-11-25,31.2,Phoenix Suns,Brooklyn Nets,3,50-63,10,three point jumper,True,24,False,True
2006-03-27,17.1666666667,Phoenix Suns,Brooklyn Nets,2,25-30,-8,three point jumper,False,25,False,True
2006-03-27,38.7666666667,Phoenix Suns,Brooklyn Nets,4,49-86,-38,free throw,False,15,True,True
2006-03-27,38.7666666667,Phoenix Suns,Brooklyn Nets,4,50-86,-37,free throw,False,15,True,True
2006-03-27,42.35,Phoenix Suns,Brooklyn Nets,4,55-97,-45,three point jumper,False,24,False,True
2006-03-27,42.7333333333,Phoenix Suns,Brooklyn Nets,4,55-97,-44,layup,False,0,False,True
2006-03-27,42.75,Phoenix Suns,Brooklyn Nets,4,56-97,-42,free throw,False,15,True,True
2006-03-27,42.75,Phoenix Suns,Brooklyn Nets,4,57-97,-41,free throw,False,15,True,True
2006-03-27,47.1333333333,Phoenix Suns,Brooklyn Nets,4,70-105,-38,three point jumper,False,25,False,True
2006-12-09,7.53333333333,Phoenix Suns,New York Knicks,1,15-15,-3,three point jumper,True,25,False,True
2006-12-09,8.23333333333,Phoenix Suns,New York Knicks,1,17-15,-5,three point jumper,True,24,False,True
2006-12-09,14.2,Phoenix Suns,New York Knicks,2,31-24,-10,three point jumper,True,25,False,True
2006-12-09,37.25,Phoenix Suns,New York Knicks,4,64-66,0,two point jumper,True,9,False,True
2006-12-09,37.75,Phoenix Suns,New York Knicks,4,66-71,2,three point jumper,True,26,True,True
2006-12-09,40.0,Phoenix Suns,New York Knicks,4,70-73,0,three point jumper,True,27,False,True
2006-01-02,8.4,Phoenix Suns,New York Knicks,1,12-17,-8,three point jumper,False,25,False,False
2006-01-02,13.3833333333,Phoenix Suns,New York Knicks,2,27-32,-7,two point jumper,False,17,False,False
2006-01-02,34.2166666667,Phoenix Suns,New York Knicks,3,70-74,-7,three point jumper,False,22,False,False
2006-01-02,18.7833333333,Phoenix Suns,New York Knicks,5,106-108,-4,layup,False,0,True,False
2006-01-02,18.7833333333,Phoenix Suns,New York Knicks,5,107-108,-2,free throw,False,15,True,False
2006-01-02,19.4,Phoenix Suns,New York Knicks,6,120-118,0,two point jumper,False,21,True,False
2006-01-02,22.75,Phoenix Suns,New York Knicks,7,135-133,-1,three point jumper,False,23,False,False
2006-01-02,24.7333333333,Phoenix Suns,New York Knicks,7,135-138,-6,three point jumper,False,24,False,False
2006-01-04,8.21666666667,Phoenix Suns,Philadelphia 76ers,1,20-20,-3,three point jumper,True,26,False,False
2006-01-04,9.48333333333,Phoenix Suns,Philadelphia 76ers,1,22-22,-2,two point jumper,True,21,False,False
2006-01-04,11.5666666667,Phoenix Suns,Philadelphia 76ers,1,28-27,-3,two point jumper,True,17,True,False
2006-01-04,12.55,Phoenix Suns,Philadelphia 76ers,2,30-29,-3,two point jumper,True,16,False,False
2006-01-04,29.1,Phoenix Suns,Philadelphia 76ers,3,51-60,6,three point jumper,True,25,True,False
2006-01-04,31.1,Phoenix Suns,Philadelphia 76ers,3,53-63,7,three point jumper,True,26,False,False
2006-01-04,31.7,Phoenix Suns,Philadelphia 76ers,3,55-65,8,two point shot,True,1,True,False
2006-01-04,31.7,Phoenix Suns,Philadelphia 76ers,3,55-66,10,free throw,True,15,True,False
2006-01-04,32.6833333333,Phoenix Suns,Philadelphia 76ers,3,55-70,13,two point jumper,True,21,True,False
2006-01-04,34.6,Phoenix Suns,Philadelphia 76ers,3,57-72,12,three point jumper,True,24,False,False
2006-01-04,34.6666666667,Phoenix Suns,Philadelphia 76ers,3,57-75,15,three point jumper,True,24,True,False
2006-01-04,36.3166666667,Phoenix Suns,Philadelphia 76ers,4,61-79,16,two point jumper,True,13,False,False
2006-01-04,40.0666666667,Phoenix Suns,Philadelphia 76ers,4,70-90,17,three point jumper,True,26,True,False
2006-01-04,42.1666666667,Phoenix Suns,Philadelphia 76ers,4,72-95,20,three point jumper,True,25,True,False
2006-01-31,8.43333333333,Phoenix Suns,Philadelphia 76ers,1,20-13,4,three point jumper,False,26,False,False
2006-01-31,13.9666666667,Phoenix Suns,Philadelphia 76ers,2,37-27,8,two point jumper,False,21,True,False
2006-01-31,16.2833333333,Phoenix Suns,Philadelphia 76ers,2,42-29,12,free throw,False,15,True,False
2006-01-31,16.2833333333,Phoenix Suns,Philadelphia 76ers,2,43-29,13,free throw,False,15,True,False
2006-01-31,16.2833333333,Phoenix Suns,Philadelphia 76ers,2,43-29,13,free throw,False,15,False,False
2006-01-31,23.2166666667,Phoenix Suns,Philadelphia 76ers,2,58-45,11,two point jumper,False,18,False,False
2006-01-31,31.8166666667,Phoenix Suns,Philadelphia 76ers,3,79-61,15,three point jumper,False,25,True,False
2006-01-31,34.5,Phoenix Suns,Philadelphia 76ers,3,81-64,14,three point jumper,False,23,False,False
2006-01-31,42.8166666667,Phoenix Suns,Philadelphia 76ers,4,103-83,18,layup,False,0,False,False
2006-01-31,44.7333333333,Phoenix Suns,Philadelphia 76ers,4,111-88,21,two point jumper,False,20,True,False
2006-11-22,7.78333333333,Phoenix Suns,Toronto Raptors,1,14-10,-6,two point jumper,True,23,False,True
2006-11-22,11.3166666667,Phoenix Suns,Toronto Raptors,1,18-16,-5,three point jumper,True,27,False,True
2006-11-22,11.3666666667,Phoenix Suns,Toronto Raptors,1,18-16,-4,two point jumper,True,19,False,True
2006-11-22,33.4333333333,Phoenix Suns,Toronto Raptors,3,58-57,-3,two point jumper,True,1,True,True
2006-11-22,33.9166666667,Phoenix Suns,Toronto Raptors,3,58-57,-4,three point jumper,True,26,False,True
2006-11-22,36.6833333333,Phoenix Suns,Toronto Raptors,4,63-61,-5,three point jumper,True,26,False,True
2006-11-22,37.1333333333,Phoenix Suns,Toronto Raptors,4,63-61,-5,three point jumper,True,26,False,True
2006-03-31,0.133333333333,Phoenix Suns,Toronto Raptors,1,3-0,0,three point jumper,False,25,True,True
2006-03-31,5.13333333333,Phoenix Suns,Toronto Raptors,1,19-13,3,three point jumper,False,23,True,True
2006-03-31,5.7,Phoenix Suns,Toronto Raptors,1,21-13,6,two point jumper,False,17,True,True
2006-03-31,6.0,Phoenix Suns,Toronto Raptors,1,21-13,5,three point jumper,False,25,False,True
2006-03-31,26.4666666667,Phoenix Suns,Toronto Raptors,3,45-34,9,two point jumper,False,20,False,True
2006-03-31,27.9,Phoenix Suns,Toronto Raptors,3,47-38,8,free throw,False,15,False,True
2006-03-31,27.9,Phoenix Suns,Toronto Raptors,3,48-38,9,free throw,False,15,True,True
2006-03-31,28.6333333333,Phoenix Suns,Toronto Raptors,3,51-41,7,three point jumper,False,24,True,True
2006-03-31,32.6166666667,Phoenix Suns,Toronto Raptors,3,59-48,8,three point jumper,False,25,False,True
2006-03-31,38.7666666667,Phoenix Suns,Toronto Raptors,4,75-66,6,three point jumper,False,24,False,True
2006-03-31,39.9666666667,Phoenix Suns,Toronto Raptors,4,78-68,9,free throw,False,15,True,True
2006-03-31,39.9666666667,Phoenix Suns,Toronto Raptors,4,79-68,10,free throw,False,15,True,True
