date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2013-10-30,9.76666666667,Boston Celtics,Miami Heat,1,23-24,-3,dunk,False,0,True,False
2013-11-02,7.98333333333,Boston Celtics,Milwaukee Bucks,1,16-14,-4,layup,True,0,True,False
2013-11-02,9.11666666667,Boston Celtics,Milwaukee Bucks,1,18-14,-6,tip shot,True,0,False,False
2013-11-02,9.11666666667,Boston Celtics,Milwaukee Bucks,1,18-15,-4,free throw,True,15,True,False
2013-11-02,9.11666666667,Boston Celtics,Milwaukee Bucks,1,18-16,-3,free throw,True,15,True,False
2013-11-02,10.9,Boston Celtics,Milwaukee Bucks,1,21-18,-5,two point jumper,True,16,False,False
2013-11-02,14.25,Boston Celtics,Milwaukee Bucks,2,27-20,-9,layup,True,0,True,False
2013-11-03,5.06666666667,Boston Celtics,Washington Wizards,1,11-2,7,layup,False,0,True,True
2013-11-03,6.91666666667,Boston Celtics,Washington Wizards,1,15-2,11,two point shot,False,1,True,True
2013-11-03,18.5666666667,Boston Celtics,Washington Wizards,2,36-29,5,two point jumper,False,3,False,True
2013-11-07,2.06666666667,Boston Celtics,Washington Wizards,1,2-7,3,two point jumper,True,17,False,False
2013-11-07,3.38333333333,Boston Celtics,Washington Wizards,1,2-11,7,layup,True,0,True,False
2013-11-07,10.2666666667,Boston Celtics,Washington Wizards,1,16-17,-1,layup,True,0,True,False
2013-11-09,3.93333333333,Boston Celtics,Philadelphia 76ers,1,3-8,3,unknown,True,10,False,False
2013-11-09,18.8833333333,Boston Celtics,Philadelphia 76ers,2,41-33,-10,two point shot,True,1,True,False
2013-11-09,28.7333333333,Boston Celtics,Philadelphia 76ers,3,66-57,-11,two point shot,True,8,True,False
2013-11-10,7.66666666667,Boston Celtics,Milwaukee Bucks,1,16-16,-1,free throw,False,15,True,True
2013-11-10,7.66666666667,Boston Celtics,Milwaukee Bucks,1,17-16,0,free throw,False,15,True,True
2013-11-12,6.25,Boston Celtics,Chicago Bulls,1,17-10,5,two point jumper,False,17,False,False
2013-11-12,36.0,Boston Celtics,Chicago Bulls,3,82-70,9,three point jumper,False,25,True,False
2013-11-14,42.2833333333,Boston Celtics,Utah Jazz,4,84-88,2,two point jumper,True,19,True,True
2013-11-15,18.5333333333,Boston Celtics,Brooklyn Nets,2,38-41,-5,two point jumper,False,19,False,True
2013-11-17,8.9,Boston Celtics,Toronto Raptors,1,11-22,9,two point jumper,True,16,True,False
2013-11-17,10.2166666667,Boston Celtics,Toronto Raptors,1,14-26,10,two point jumper,True,18,True,False
2013-11-17,14.6333333333,Boston Celtics,Toronto Raptors,2,18-33,13,two point jumper,True,4,False,False
2013-11-17,33.45,Boston Celtics,Toronto Raptors,3,62-68,4,layup,True,0,True,False
2013-11-17,36.8666666667,Boston Celtics,Toronto Raptors,4,64-83,17,two point jumper,True,20,True,False
2013-11-17,37.45,Boston Celtics,Toronto Raptors,4,64-84,19,free throw,True,15,True,False
2013-11-17,37.45,Boston Celtics,Toronto Raptors,4,64-85,20,free throw,True,15,True,False
2013-11-17,37.8,Boston Celtics,Toronto Raptors,4,64-85,19,two point jumper,True,19,False,False
2013-11-17,41.6666666667,Boston Celtics,Toronto Raptors,4,76-93,15,layup,True,0,True,False
2013-11-18,22.7833333333,Boston Celtics,Detroit Pistons,2,40-46,-8,two point jumper,False,19,False,True
2013-11-18,33.8,Boston Celtics,Detroit Pistons,3,53-65,-14,two point jumper,False,19,False,True
2013-11-18,34.9333333333,Boston Celtics,Detroit Pistons,3,53-69,-18,two point shot,False,16,False,True
2013-11-18,35.8,Boston Celtics,Detroit Pistons,3,55-71,-18,layup,False,0,False,True
2013-11-18,35.8333333333,Boston Celtics,Detroit Pistons,3,57-71,-16,two point shot,False,1,True,True
2013-11-18,37.3,Boston Celtics,Detroit Pistons,4,60-75,-17,layup,False,0,True,True
2013-11-18,42.0666666667,Boston Celtics,Detroit Pistons,4,69-85,-18,dunk,False,0,True,True
2013-11-18,43.2,Boston Celtics,Detroit Pistons,4,73-89,-18,layup,False,0,True,True
2013-11-18,43.8166666667,Boston Celtics,Detroit Pistons,4,74-92,-19,free throw,False,15,True,True
2013-11-18,43.8166666667,Boston Celtics,Detroit Pistons,4,75-92,-18,free throw,False,15,True,True
2013-11-18,44.3333333333,Boston Celtics,Detroit Pistons,4,77-94,-19,layup,False,0,True,True
2013-11-18,45.4,Boston Celtics,Detroit Pistons,4,79-96,-19,two point jumper,False,17,True,True
2013-11-18,47.15,Boston Celtics,Detroit Pistons,4,81-100,-21,two point jumper,False,21,True,True
2013-11-21,8.26666666667,Boston Celtics,San Antonio Spurs,1,17-21,2,two point jumper,True,5,False,False
2013-11-21,16.0666666667,Boston Celtics,San Antonio Spurs,2,38-38,-2,two point jumper,True,12,True,False
2013-11-23,14.3833333333,Boston Celtics,Oklahoma City Thunder,2,30-25,-7,layup,True,0,True,True
2013-11-23,16.2833333333,Boston Celtics,Oklahoma City Thunder,2,32-30,-4,layup,True,0,True,True
2013-11-23,17.45,Boston Celtics,Oklahoma City Thunder,2,34-32,-4,two point jumper,True,20,True,True
2013-11-23,32.1666666667,Boston Celtics,Oklahoma City Thunder,3,63-66,1,two point shot,True,7,False,True
