date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2006-12-30,14.3,Sacramento Kings,Boston Celtics,2,26-32,4,two point jumper,True,19,True,True
2006-12-30,17.35,Sacramento Kings,Boston Celtics,2,31-41,8,two point jumper,True,23,False,True
2006-12-30,36.6166666667,Sacramento Kings,Boston Celtics,4,86-87,-1,two point jumper,True,1,False,True
2006-12-30,38.3166666667,Sacramento Kings,Boston Celtics,4,90-89,-3,two point jumper,True,16,True,True
2006-12-30,40.5666666667,Sacramento Kings,Boston Celtics,4,92-95,0,three point jumper,True,24,False,True
2006-12-30,46.3,Sacramento Kings,Boston Celtics,4,103-109,4,two point jumper,True,19,False,True
2006-01-27,17.1333333333,Sacramento Kings,Boston Celtics,2,32-39,-9,two point jumper,False,22,False,False
2006-01-27,38.05,Sacramento Kings,Boston Celtics,4,64-70,-8,layup,False,0,False,False
2006-01-27,40.1,Sacramento Kings,Boston Celtics,4,65-72,-9,two point jumper,False,17,False,False
2006-01-27,40.2833333333,Sacramento Kings,Boston Celtics,4,65-72,-9,layup,False,0,False,False
2006-11-23,14.6833333333,Sacramento Kings,Brooklyn Nets,2,34-32,-3,free throw,True,15,True,True
2006-11-23,14.6833333333,Sacramento Kings,Brooklyn Nets,2,34-32,-3,free throw,True,15,False,True
2006-11-23,47.0666666667,Sacramento Kings,Brooklyn Nets,4,101-112,9,two point jumper,True,9,False,True
2006-11-23,47.7333333333,Sacramento Kings,Brooklyn Nets,4,103-113,9,free throw,True,15,True,True
2006-11-23,47.7333333333,Sacramento Kings,Brooklyn Nets,4,103-114,10,free throw,True,15,True,True
2006-03-06,44.2166666667,Sacramento Kings,Brooklyn Nets,4,100-77,20,three point jumper,False,22,False,False
2006-03-06,45.0166666667,Sacramento Kings,Brooklyn Nets,4,104-78,24,two point jumper,False,21,True,False
2006-03-06,47.3,Sacramento Kings,Brooklyn Nets,4,109-82,24,three point jumper,False,23,True,False
