date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2013-01-14,12.2166666667,Charlotte Bobcats,Boston Celtics,2,18-28,-12,two point jumper,False,8,False,True
2013-01-14,15.2,Charlotte Bobcats,Boston Celtics,2,28-34,-9,three point jumper,False,24,True,True
2013-01-14,31.7,Charlotte Bobcats,Boston Celtics,3,62-67,-7,two point shot,False,1,True,True
2013-01-14,34.4333333333,Charlotte Bobcats,Boston Celtics,3,68-72,-7,three point jumper,False,26,True,True
2013-02-11,11.6166666667,Charlotte Bobcats,Boston Celtics,1,24-24,-3,three point jumper,True,23,False,True
2013-02-11,35.0,Charlotte Bobcats,Boston Celtics,3,70-73,0,three point jumper,True,24,False,True
2013-02-11,35.3833333333,Charlotte Bobcats,Boston Celtics,3,70-74,3,free throw,True,15,True,True
2013-02-11,35.3833333333,Charlotte Bobcats,Boston Celtics,3,70-75,4,free throw,True,15,True,True
2013-03-12,46.3,Charlotte Bobcats,Boston Celtics,4,72-98,23,three point jumper,True,26,True,False
2013-03-12,46.9666666667,Charlotte Bobcats,Boston Celtics,4,72-98,24,two point jumper,True,1,False,False
2013-03-16,13.5,Charlotte Bobcats,Boston Celtics,2,24-29,-6,free throw,False,15,False,True
2013-03-16,13.5,Charlotte Bobcats,Boston Celtics,2,25-29,-5,free throw,False,15,True,True
2013-03-16,43.35,Charlotte Bobcats,Boston Celtics,4,81-97,-18,two point shot,False,17,True,True
2013-03-16,45.9,Charlotte Bobcats,Boston Celtics,4,86-103,-19,two point jumper,False,22,False,True
2013-12-28,21.2833333333,Charlotte Bobcats,Brooklyn Nets,2,36-46,-13,three point jumper,False,23,True,False
2013-12-28,22.1166666667,Charlotte Bobcats,Brooklyn Nets,2,38-49,-13,two point shot,False,12,True,False
2013-12-28,34.0,Charlotte Bobcats,Brooklyn Nets,3,49-78,-31,two point jumper,False,1,False,False
2013-12-28,39.1333333333,Charlotte Bobcats,Brooklyn Nets,4,60-85,-28,three point jumper,False,24,False,False
