date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2007-02-07,41.0333333333,Atlanta Hawks,Brooklyn Nets,4,69-65,-7,three point jumper,True,27,False,False
2007-02-07,42.75,Atlanta Hawks,Brooklyn Nets,4,74-70,-7,three point jumper,True,27,True,False
2007-02-07,47.9666666667,Atlanta Hawks,Brooklyn Nets,4,86-85,-3,two point jumper,True,1,False,False
2007-01-31,19.1,Atlanta Hawks,Golden State Warriors,2,44-54,7,three point jumper,True,26,True,False
2007-01-31,46.25,Atlanta Hawks,Golden State Warriors,4,88-111,21,two point jumper,True,21,False,False
2007-01-31,46.8833333333,Atlanta Hawks,Golden State Warriors,4,90-113,21,two point jumper,True,21,True,False
2008-02-22,10.6666666667,Atlanta Hawks,Golden State Warriors,1,31-21,7,three point jumper,False,23,False,True
2008-02-22,12.45,Atlanta Hawks,Golden State Warriors,2,35-23,10,two point jumper,False,15,False,True
2008-02-22,13.3166666667,Atlanta Hawks,Golden State Warriors,2,35-23,9,three point jumper,False,24,False,True
2008-02-22,36.45,Atlanta Hawks,Golden State Warriors,4,94-89,3,layup,False,0,False,True
2008-02-22,38.1833333333,Atlanta Hawks,Golden State Warriors,4,103-91,9,three point jumper,False,24,True,True
2008-03-04,47.8833333333,Atlanta Hawks,Golden State Warriors,4,135-118,-19,two point jumper,True,19,False,False
2008-03-14,23.2666666667,Atlanta Hawks,Los Angeles Clippers,2,45-60,13,two point jumper,True,20,False,False
2008-03-14,42.45,Atlanta Hawks,Los Angeles Clippers,4,79-109,27,three point jumper,True,27,False,False
2008-03-14,44.4833333333,Atlanta Hawks,Los Angeles Clippers,4,83-113,27,three point jumper,True,27,False,False
2008-03-14,45.0833333333,Atlanta Hawks,Los Angeles Clippers,4,85-113,25,three point jumper,True,28,False,False
2008-02-19,22.6666666667,Atlanta Hawks,Los Angeles Lakers,2,28-64,-38,two point jumper,False,20,False,True
2008-02-19,23.3,Atlanta Hawks,Los Angeles Lakers,2,31-69,-41,three point jumper,False,25,True,True
2008-02-19,23.6833333333,Atlanta Hawks,Los Angeles Lakers,2,34-71,-40,three point jumper,False,23,True,True
2008-02-19,47.85,Atlanta Hawks,Los Angeles Lakers,4,93-122,-31,two point jumper,False,21,True,True
2008-02-20,16.7333333333,Atlanta Hawks,Sacramento Kings,2,41-38,0,three point jumper,False,24,True,False
2008-02-20,17.25,Atlanta Hawks,Sacramento Kings,2,41-38,0,three point jumper,False,23,False,False
2008-02-20,17.9833333333,Atlanta Hawks,Sacramento Kings,2,43-40,1,two point jumper,False,19,True,False
2008-02-20,23.3,Atlanta Hawks,Sacramento Kings,2,59-57,0,layup,False,0,True,False
2008-02-27,15.1833333333,Atlanta Hawks,Sacramento Kings,2,33-45,10,two point jumper,True,17,True,True
2008-02-27,16.0666666667,Atlanta Hawks,Sacramento Kings,2,35-45,8,two point jumper,True,19,False,True
2008-02-27,17.5,Atlanta Hawks,Sacramento Kings,2,37-48,9,two point shot,True,1,True,True
2008-02-27,18.0666666667,Atlanta Hawks,Sacramento Kings,2,39-48,6,three point jumper,True,24,False,True
2008-12-21,40.5333333333,Memphis Grizzlies,Detroit Pistons,4,60-79,-21,two point jumper,False,18,False,False
2008-12-21,42.0333333333,Memphis Grizzlies,Detroit Pistons,4,60-83,-25,two point jumper,False,19,False,False
2008-12-21,44.4166666667,Memphis Grizzlies,Detroit Pistons,4,61-84,-26,three point jumper,False,23,False,False
2008-03-31,35.2166666667,Atlanta Hawks,Memphis Grizzlies,3,103-69,32,two point jumper,False,5,False,False
2008-01-26,41.0,San Antonio Spurs,New Orleans Pelicans,4,86-66,-23,three point jumper,True,24,False,True
2008-01-26,46.75,San Antonio Spurs,New Orleans Pelicans,4,100-76,-26,two point jumper,True,17,True,True
2008-01-26,47.1833333333,San Antonio Spurs,New Orleans Pelicans,4,100-76,-27,three point jumper,True,24,False,True
2008-03-05,47.4333333333,Atlanta Hawks,New Orleans Pelicans,4,101-114,-15,two point jumper,False,22,True,False
2008-03-05,47.9333333333,Atlanta Hawks,New Orleans Pelicans,4,101-116,-17,two point jumper,False,20,False,False
