date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2012-03-16,7.56666666667,Brooklyn Nets,Orlando Magic,1,11-16,-8,three point jumper,False,29,True,False
2012-03-16,12.6333333333,Brooklyn Nets,Orlando Magic,2,20-22,-4,layup,False,0,False,False
2012-03-16,13.1333333333,Brooklyn Nets,Orlando Magic,2,22-24,-5,three point jumper,False,23,False,False
2012-03-16,21.05,Brooklyn Nets,Orlando Magic,2,31-43,-14,two point jumper,False,15,True,False
2012-03-16,21.4666666667,Brooklyn Nets,Orlando Magic,2,31-43,-15,three point jumper,False,27,False,False
2012-03-16,23.4833333333,Brooklyn Nets,Orlando Magic,2,36-43,-9,two point jumper,False,3,False,False
2012-03-16,33.9666666667,Brooklyn Nets,Orlando Magic,3,53-69,-18,two point jumper,False,1,False,False
2012-03-17,9.21666666667,Brooklyn Nets,New Orleans Pelicans,1,21-26,3,two point jumper,True,18,True,True
2012-03-17,11.7333333333,Brooklyn Nets,New Orleans Pelicans,1,26-29,1,two point jumper,True,1,False,True
2012-03-17,36.2,Brooklyn Nets,New Orleans Pelicans,4,70-82,9,three point jumper,True,23,False,True
2012-03-17,38.8833333333,Brooklyn Nets,New Orleans Pelicans,4,74-82,6,layup,True,0,False,True
2012-03-19,9.31666666667,Brooklyn Nets,Cleveland Cavaliers,1,24-13,-14,three point jumper,True,25,False,False
2012-03-21,43.5333333333,Brooklyn Nets,Washington Wizards,4,101-84,-19,two point jumper,True,1,False,True
2012-03-21,45.2166666667,Brooklyn Nets,Washington Wizards,4,101-84,-20,three point jumper,True,23,False,True
