date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2009-12-22,47.4666666667,Houston Rockets,Brooklyn Nets,4,114-89,23,dunk,False,0,True,False
2010-02-06,14.0,Houston Rockets,Philadelphia 76ers,2,30-26,-6,layup,True,0,True,True
2010-02-06,40.6,Houston Rockets,Philadelphia 76ers,4,83-83,-2,two point shot,True,1,True,True
2010-02-28,11.45,Sacramento Kings,Los Angeles Clippers,1,18-28,9,free throw,True,15,True,True
2010-02-28,11.45,Sacramento Kings,Los Angeles Clippers,1,18-28,9,free throw,True,15,False,True
2010-02-23,36.5,Sacramento Kings,Detroit Pistons,4,83-60,-25,two point shot,True,1,True,True
2010-02-23,40.9166666667,Sacramento Kings,Detroit Pistons,4,91-68,-24,free throw,True,15,False,True
2010-02-23,40.9166666667,Sacramento Kings,Detroit Pistons,4,91-69,-23,free throw,True,15,True,True
2010-02-23,43.0333333333,Sacramento Kings,Detroit Pistons,4,91-77,-15,free throw,True,15,False,True
2010-02-23,43.0333333333,Sacramento Kings,Detroit Pistons,4,91-77,-15,free throw,True,15,False,True
2010-03-02,14.7166666667,Sacramento Kings,Oklahoma City Thunder,2,35-32,1,two point shot,False,1,True,False
2010-03-02,17.7,Sacramento Kings,Oklahoma City Thunder,2,42-41,-1,hook shot,False,1,True,False
2010-03-03,29.35,Sacramento Kings,Houston Rockets,3,53-48,3,dunk,False,0,True,True
2010-03-03,32.75,Sacramento Kings,Houston Rockets,3,62-54,7,free throw,False,15,False,True
2010-03-03,32.75,Sacramento Kings,Houston Rockets,3,63-54,8,free throw,False,15,True,True
2010-03-14,45.75,Sacramento Kings,Minnesota Timberwolves,4,90-109,18,free throw,True,15,False,True
2010-03-14,45.75,Sacramento Kings,Minnesota Timberwolves,4,90-110,19,free throw,True,15,True,True
2010-03-14,46.1833333333,Sacramento Kings,Minnesota Timberwolves,4,90-110,18,layup,True,0,False,True
2010-02-17,46.6333333333,Houston Rockets,Milwaukee Bucks,4,121-95,24,layup,False,0,False,False
2010-02-05,19.3833333333,Houston Rockets,Memphis Grizzlies,2,38-37,-1,layup,False,0,True,False
2010-02-05,21.4833333333,Houston Rockets,Memphis Grizzlies,2,43-41,1,free throw,False,15,False,False
2010-02-05,21.4833333333,Houston Rockets,Memphis Grizzlies,2,44-41,2,free throw,False,15,True,False
2010-02-05,23.5,Houston Rockets,Memphis Grizzlies,2,48-43,3,layup,False,0,True,False
2010-02-05,35.9666666667,Houston Rockets,Memphis Grizzlies,3,73-66,5,tip shot,False,0,False,False
2010-02-05,41.0666666667,Houston Rockets,Memphis Grizzlies,4,87-70,15,dunk,False,0,True,False
2011-01-02,1.46666666667,Toronto Raptors,Boston Celtics,1,0-3,2,free throw,True,15,True,False
2011-01-02,1.46666666667,Toronto Raptors,Boston Celtics,1,0-4,3,free throw,True,15,True,False
2011-01-02,3.06666666667,Toronto Raptors,Boston Celtics,1,5-4,-2,free throw,True,15,False,False
2011-01-02,3.06666666667,Toronto Raptors,Boston Celtics,1,5-4,-2,free throw,True,15,False,False
2011-01-02,5.41666666667,Toronto Raptors,Boston Celtics,1,9-8,-3,layup,True,0,False,False
2011-01-02,6.48333333333,Toronto Raptors,Boston Celtics,1,13-9,-5,free throw,True,15,True,False
2011-01-02,6.48333333333,Toronto Raptors,Boston Celtics,1,13-9,-5,free throw,True,15,False,False
2011-01-02,18.0666666667,Toronto Raptors,Boston Celtics,2,33-31,-4,dunk,True,0,False,False
2011-01-02,19.7,Toronto Raptors,Boston Celtics,2,36-33,-5,layup,True,0,True,False
2011-01-02,21.1,Toronto Raptors,Boston Celtics,2,38-38,-2,layup,True,0,True,False
2011-01-02,23.1,Toronto Raptors,Boston Celtics,2,43-42,-3,two point shot,True,2,False,False
2011-01-02,29.6666666667,Toronto Raptors,Boston Celtics,3,56-55,-3,two point shot,True,1,True,False
2011-01-02,35.1666666667,Toronto Raptors,Boston Celtics,3,68-62,-8,layup,True,0,True,False
2011-01-02,43.4833333333,Toronto Raptors,Boston Celtics,4,80-75,-6,free throw,True,15,False,False
2011-01-02,43.4833333333,Toronto Raptors,Boston Celtics,4,80-75,-6,free throw,True,15,False,False
2011-01-02,45.2166666667,Toronto Raptors,Boston Celtics,4,87-77,-12,layup,True,0,True,False
2011-01-07,22.1333333333,Toronto Raptors,Boston Celtics,2,43-61,-20,dunk,False,0,True,False
2011-01-07,22.5833333333,Toronto Raptors,Boston Celtics,2,43-63,-22,layup,False,0,False,False
2011-01-07,23.35,Toronto Raptors,Boston Celtics,2,44-65,-22,free throw,False,15,True,False
2011-01-07,23.35,Toronto Raptors,Boston Celtics,2,45-65,-21,free throw,False,15,True,False
2011-01-07,46.0166666667,Toronto Raptors,Boston Celtics,4,93-117,-26,tip shot,False,0,False,False
2011-12-17,8.6,Toronto Raptors,Brooklyn Nets,1,19-14,-7,two point shot,True,1,False,True
2011-12-17,14.9333333333,Toronto Raptors,Brooklyn Nets,2,29-25,-6,tip shot,True,0,False,True
2011-12-17,32.8,Toronto Raptors,Brooklyn Nets,3,67-63,-5,free throw,True,15,False,True
2011-12-17,32.8,Toronto Raptors,Brooklyn Nets,3,67-64,-4,free throw,True,15,True,True
2011-04-10,37.25,Toronto Raptors,Brooklyn Nets,4,64-83,18,free throw,True,15,True,True
