date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2013-12-01,0.316666666667,Milwaukee Bucks,Boston Celtics,1,0-0,-2,two point jumper,True,18,False,True
2013-12-01,3.13333333333,Milwaukee Bucks,Boston Celtics,1,9-0,-11,two point jumper,True,1,False,True
2013-12-01,3.5,Milwaukee Bucks,Boston Celtics,1,9-0,-10,free throw,True,15,False,True
2013-12-01,3.5,Milwaukee Bucks,Boston Celtics,1,9-0,-10,free throw,True,15,False,True
2013-12-01,33.1,Milwaukee Bucks,Boston Celtics,3,67-60,-8,free throw,True,15,False,True
2013-12-01,33.1,Milwaukee Bucks,Boston Celtics,3,67-61,-7,free throw,True,15,True,True
2013-12-01,35.3666666667,Milwaukee Bucks,Boston Celtics,3,69-67,-4,two point jumper,True,12,True,True
2013-12-01,37.8833333333,Milwaukee Bucks,Boston Celtics,4,69-75,4,two point jumper,True,1,True,True
2013-02-19,10.8,Milwaukee Bucks,Brooklyn Nets,1,22-27,-7,layup,False,0,True,False
2013-02-19,11.45,Milwaukee Bucks,Brooklyn Nets,1,22-31,-11,hook shot,False,5,False,False
2013-02-19,11.6166666667,Milwaukee Bucks,Brooklyn Nets,1,24-31,-9,dunk,False,0,True,False
2013-02-19,12.8666666667,Milwaukee Bucks,Brooklyn Nets,2,26-31,-6,free throw,False,15,False,False
2013-02-19,12.8666666667,Milwaukee Bucks,Brooklyn Nets,2,27-31,-5,free throw,False,15,True,False
2013-02-20,17.4833333333,Milwaukee Bucks,Brooklyn Nets,2,32-39,5,hook shot,True,12,False,False
2013-02-20,17.9166666667,Milwaukee Bucks,Brooklyn Nets,2,32-41,7,layup,True,0,True,False
2013-02-20,17.9166666667,Milwaukee Bucks,Brooklyn Nets,2,32-41,8,free throw,True,15,False,False
2013-11-28,3.68333333333,Milwaukee Bucks,New York Knicks,1,3-9,4,two point jumper,True,16,False,True
2013-11-28,4.63333333333,Milwaukee Bucks,New York Knicks,1,8-10,0,hook shot,True,1,False,True
