date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2011-11-22,12.2666666667,Atlanta Hawks,Boston Celtics,2,39-16,-26,three point jumper,True,25,True,False
2011-11-22,13.8166666667,Atlanta Hawks,Boston Celtics,2,44-21,-25,two point jumper,True,19,False,False
2011-11-22,15.65,Atlanta Hawks,Boston Celtics,2,48-27,-23,two point jumper,True,11,False,False
2011-11-22,31.1333333333,Atlanta Hawks,Boston Celtics,3,79-50,-32,three point jumper,True,25,True,False
2011-11-22,31.7333333333,Atlanta Hawks,Boston Celtics,3,79-50,-32,three point jumper,True,26,False,False
2011-11-22,33.1166666667,Atlanta Hawks,Boston Celtics,3,82-54,-30,two point shot,True,20,False,False
2011-11-22,38.8166666667,Atlanta Hawks,Boston Celtics,4,89-62,-29,two point jumper,True,1,True,False
2011-11-22,40.4166666667,Atlanta Hawks,Boston Celtics,4,89-64,-28,three point jumper,True,27,False,False
2011-11-22,41.0,Atlanta Hawks,Boston Celtics,4,89-64,-28,three point jumper,True,24,False,False
2011-11-22,43.1333333333,Atlanta Hawks,Boston Celtics,4,95-64,-33,two point shot,True,4,False,False
2011-11-22,43.1333333333,Atlanta Hawks,Boston Celtics,4,95-65,-31,free throw,True,15,True,False
2011-11-22,43.1333333333,Atlanta Hawks,Boston Celtics,4,95-66,-30,free throw,True,15,True,False
2011-11-22,46.7333333333,Atlanta Hawks,Boston Celtics,4,99-74,-27,two point shot,True,1,False,False
2011-11-22,47.0,Atlanta Hawks,Boston Celtics,4,99-74,-27,layup,True,0,False,False
2011-12-16,18.7,Atlanta Hawks,Boston Celtics,2,41-34,4,three point jumper,False,25,True,True
2011-12-16,19.3166666667,Atlanta Hawks,Boston Celtics,2,41-36,3,two point jumper,False,19,False,True
2011-12-16,22.9333333333,Atlanta Hawks,Boston Celtics,2,43-40,0,three point jumper,False,25,False,True
2011-04-08,0.966666666667,Washington Wizards,Boston Celtics,1,2-2,-3,three point jumper,False,23,False,True
2011-04-08,1.56666666667,Washington Wizards,Boston Celtics,1,2-2,-2,two point shot,False,11,False,True
2011-04-08,5.95,Washington Wizards,Boston Celtics,1,8-18,-12,two point shot,False,18,True,True
2011-04-08,7.45,Washington Wizards,Boston Celtics,1,12-20,-10,two point shot,False,8,True,True
2011-04-08,8.75,Washington Wizards,Boston Celtics,1,14-22,-10,two point jumper,False,21,False,True
2011-04-08,14.1333333333,Washington Wizards,Boston Celtics,2,29-34,-7,two point shot,False,21,True,True
2011-04-08,14.75,Washington Wizards,Boston Celtics,2,29-36,-9,two point jumper,False,13,False,True
2011-04-08,15.1166666667,Washington Wizards,Boston Celtics,2,30-38,-9,free throw,False,15,True,True
2011-04-08,15.1166666667,Washington Wizards,Boston Celtics,2,31-38,-8,free throw,False,15,True,True
2011-04-08,17.0333333333,Washington Wizards,Boston Celtics,2,37-40,-5,layup,False,0,False,True
2011-04-08,17.6333333333,Washington Wizards,Boston Celtics,2,38-43,-6,free throw,False,15,True,True
2011-04-08,19.1333333333,Washington Wizards,Boston Celtics,2,42-47,-7,two point jumper,False,18,True,True
2011-04-08,23.2166666667,Washington Wizards,Boston Celtics,2,54-57,-5,tip shot,False,0,True,True
2011-04-08,23.8333333333,Washington Wizards,Boston Celtics,2,56-59,-5,two point jumper,False,6,True,True
2011-04-08,27.8166666667,Washington Wizards,Boston Celtics,3,62-69,-9,two point jumper,False,22,False,True
2011-04-08,31.8833333333,Washington Wizards,Boston Celtics,3,68-79,-13,two point jumper,False,11,False,True
2011-04-08,39.8666666667,Washington Wizards,Boston Celtics,4,79-85,-8,two point jumper,False,19,False,True
2011-04-08,40.4833333333,Washington Wizards,Boston Celtics,4,81-87,-8,layup,False,0,True,True
2011-04-08,40.95,Washington Wizards,Boston Celtics,4,83-87,-6,layup,False,0,True,True
2011-04-08,41.5333333333,Washington Wizards,Boston Celtics,4,83-87,-7,three point jumper,False,24,False,True
2011-04-11,3.5,Washington Wizards,Boston Celtics,1,10-2,-10,two point jumper,True,3,False,True
2011-04-11,5.21666666667,Washington Wizards,Boston Celtics,1,12-2,-12,two point jumper,True,14,False,True
2011-04-11,13.8833333333,Washington Wizards,Boston Celtics,2,23-25,0,two point jumper,True,3,True,True
2011-04-11,17.7,Washington Wizards,Boston Celtics,2,27-33,4,two point jumper,True,4,False,True
2011-04-11,21.9333333333,Washington Wizards,Boston Celtics,2,40-35,-7,two point jumper,True,6,False,True
2011-04-11,25.5,Washington Wizards,Boston Celtics,3,44-43,-3,two point jumper,True,19,True,True
2011-04-11,27.3166666667,Washington Wizards,Boston Celtics,3,46-47,-1,two point shot,True,1,True,True
